Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
1058116737612843,USR,Uniunea Salvați România,300986,102
178362315106,European Parliament,European Parliament,97964,71
990747367737692,Cătălin Drulă,Uniunea Salvați România,72165,26
163943696987223,Ziarul Puterea,Ziarul Puterea,39550,360
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,36820,100
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,26827,30
321890494859228,Vlad Gheorghe,Vlad Gheorghe,23346,28
291177524360702,Partidul Social Democrat,Partidul Social Democrat,20491,35
321890494859228,Vlad Gheorghe,GHEORGHE VLAD-DAN,17638,83
1559885467641191,Râul Alb,Râul Alb,14697,43
108295090637741,ASAP România,Fundatia The Institute,13124,34
207741001672,Speranta pentru Romania,Speranta pentru Romania,10647,6
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,10480,38
1208682419220715,Sorin Grindeanu,Partidul Social Democrat,9500,12
102601499822802,RMDSZ,RMDSZ,9426,52
181375448581167,Partidul Naţional Liberal,Partidul Național Liberal,8606,20
2546711162025064,Politice.net,politice.net,8244,7
1577877239102295,Nicolae Ionel Ciucă,Partidul National Liberal,8096,32
114319753592403,AFACERI.news,Trend Communication,7507,37
686190454826244,Declic,Declic,7490,117
147547541961576,Council of the European Union,Council of the European Union,7005,15
123526378261795,Stiri Locale,Stiri Locale,6901,9
112664490103704,Salvăm România,Salvăm România,6747,6
107898832590939,European Commission,European Commission,6722,7
731035500293728,Siegfried Muresan,Siegfried Muresan,6710,2
100187575506085,Bogdan Balaniscu,Partidul Social Democrat,6522,34
1133289623473565,Lucian Patrascu,Partidul Social Democrat,6000,16
988607871174850,Grupul de Investigatii Politice,Grupul de Investigatii Politice,5000,1
1157480384268430,Partidul Umanist Social Liberal PUSL Sediul Central,Partidul Umanist Social Liberal,4999,33
149371012371397,Newsweek Romania,Newsweek Romania,4768,19
697451833786949,Mihai Polițeanu,Mihai Polițeanu,4742,24
113873916863079,Mathias Corvinus Collegium - Erdély,Mathias Corvinus Collegium Egyesület,4708,53
1504323906337545,Litere.net,litere.net,4417,5
108801900624850,Cojocaru Petru Bogdan,Partidul Social Democrat,4367,26
102626229459814,Spunem NU pasajului subteran,Partidul Câmpina Curată,4277,37
177357623816,Ziare.com,Ziare.com,4232,3
177992992396061,SenioriNET,SenioriNET,4033,11
