Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
114061055053463,Ojo pelado,an advertiser in Venezuela,7146771475,67
333566379844819,VE Hasta el Final,an advertiser in Venezuela,6864413720,76
110796658935065,Antonio Ecarri,an advertiser in Venezuela,5628117600,56
258138027555902,Javier Bertucci,an advertiser in Venezuela,3884961020,21
107610985494719,NicoLike,an advertiser in Venezuela,2575699833,38
288469374339113,Movimiento Futuro Venezuela,an advertiser in Venezuela,1887784210,10
199200900429071,Asamblea Nacional de Venezuela,an advertiser in Venezuela,1390461260,8
122824350906367,El Plan B,an advertiser in Venezuela,979108387,11
273935265792194,Daniel Ceballos 6,an advertiser in Venezuela,908203323,67
105561381892975,Luis Eduardo Martinez,an advertiser in Venezuela,800750000,33
317535981437275,Claudio Fermín,an advertiser in Venezuela,465127921,19
272794672831993,Partido El Cambio,an advertiser in Venezuela,397412860,3
111657317280046,Generación Democrática,an advertiser in Venezuela,356417823,18
312039538663002,Amor por Venezuela,These ads ran without a disclaimer,315160286,4
203010570527820,Cambiemos - Movimiento - Ciudadano,an advertiser in Venezuela,288792762,31
373546572732957,Eric Daniel Ondarroa,an advertiser in Venezuela,250687727,12
111838814067641,El Cuarto Rojo,an advertiser in Venezuela,234955213,35
225739507299283,Indira Urbaneja,an advertiser in Venezuela,229357708,10
150130821715740,Er Conde del Guacharo,an advertiser in Venezuela,228150207,7
285843427941736,Enrique Marquez P,an advertiser in Venezuela,76202569,11
372688549251890,PDVSA Ad Hoc Oficial,These ads ran without a disclaimer,66328227,2
355905114267857,La Verdad,These ads ran without a disclaimer,59067554,2
102020462232263,Gustavo Fernández,an advertiser in Venezuela,56997552,7
148231808588187,Gatorade Venezuela,an advertiser in Venezuela,37195034,2
37896015468,"Embajada de los EE.UU., Venezuela",an advertiser in Venezuela,26805024,2
1318476414972266,UNT_Carabobo,an advertiser in Venezuela,26582524,5
818618048171456,Roberto Patiño,an advertiser in Venezuela,26035024,24
739084392884954,Pancho Perez Lugo,an advertiser in Venezuela,25750000,4
328207698997,David Uzcátegui,an advertiser in Venezuela,21510019,8
1708210952761939,Cristofer Correia,an advertiser in Venezuela,18990017,4
105784759076521,Partido Verde de Venezuela,an advertiser in Venezuela,17392516,4
128071033870721,Voz de América,These ads ran without a disclaimer,14019743,2
1795463487400744,Página: Astrid Silvestri,an advertiser in Venezuela,13985013,3
11449543593,Carlos Ocariz,an advertiser in Venezuela,13000000,2
117944284575568,Amor por Venezuela,These ads ran without a disclaimer,12837512,4
2555255427839567,Partido COPEI,an advertiser in Venezuela,12690011,2
224702387391134,José Javier Martinez,an advertiser in Venezuela,12250000,3
209666191448,Manuel Rosales Guerrero,an advertiser in Venezuela,7500000,2
2234055216631949,Luis Augusto Martinez,an advertiser in Venezuela,7500000,7
102909028767557,Nabil Maalouf,an advertiser in Venezuela,7500000,1
104684664230254,Travel Union Vzla,These ads ran without a disclaimer,7250007,2
173685262763596,Lester Toledo,These ads ran without a disclaimer,7000000,1
192599677277092,Reto Anzoategui te enamora,These ads ran without a disclaimer,5320005,1
419356848257185,Omar Veracierto,an advertiser in Venezuela,4972505,4
104117804789876,Un Té con Teresa,These ads ran without a disclaimer,4282086,1
113310403435604,tovarroyo,These ads ran without a disclaimer,3997504,3
596206767151427,Julio Borges,an advertiser in Venezuela,3980013,3
342910153967,Upata al Día TV,an advertiser in Venezuela,3750003,2
110108881404500,mariaalejrivero,an advertiser in Venezuela,3750000,11
1893231034244336,Winston Vallenilla,These ads ran without a disclaimer,3750000,2
371399226312498,Ylidio Abreu,an advertiser in Venezuela,3500000,1
106727395168703,Gonzalez Ana respaldo,an advertiser in Venezuela,3475003,1
134944113025304,Voracious B,These ads ran without a disclaimer,2925308,2
101417536084096,TRT Español,These ads ran without a disclaimer,2800757,2
138822119319488,ivfdaddies,These ads ran without a disclaimer,2750000,1
107919011385000,specialmoment15,These ads ran without a disclaimer,2677750,1
309245512277683,Upata Al Día 24,an advertiser in Venezuela,2250000,3
201820246540281,Provea,These ads ran without a disclaimer,2250000,3
150129451747062,Fundarte Alcaldia,an advertiser in Venezuela,2000000,1
103252317700354,Mindvalley En Español,These ads ran without a disclaimer,1926002,7
150130821715740,Er Conde del Guacharo,These ads ran without a disclaimer,1750000,3
0,Instagram User 3350503388,These ads ran without a disclaimer,1680002,2
358474620685328,MiraVenezuela,These ads ran without a disclaimer,1635001,7
0,Instagram User 6136440588,These ads ran without a disclaimer,1500000,2
307774176321275,Ricardo Mendoza Davila,an advertiser in Venezuela,1500000,2
105274114909630,El Termometro Digital,an advertiser in Venezuela,1352501,1
100919972450100,Alcaldía de Maracaibo,an advertiser in Venezuela,1250000,2
303703709500989,Galuca Tymal,These ads ran without a disclaimer,1117487,2
269525579568651,medika.ve,These ads ran without a disclaimer,1000000,1
1085584391509984,María Verónica Rengifo,an advertiser in Venezuela,1000000,1
107297475528894,44.moles,These ads ran without a disclaimer,904967,1
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,899396,1
101189172428337,Aldo E. Martinez,an advertiser in Venezuela,750000,3
107874848630405,Lexius Venezuela,These ads ran without a disclaimer,750000,2
353917594475272,Nancy Muro,These ads ran without a disclaimer,750000,1
111280675223805,alessandrapazbarone,These ads ran without a disclaimer,750000,1
105728562826950,Atlantic International University,These ads ran without a disclaimer,750000,1
1082964091802622,La vida de Nos,These ads ran without a disclaimer,695001,1
116819921356867,elserver_gg,These ads ran without a disclaimer,532806,1
1957544917838853,Yosbert Vásquez Vásquez,These ads ran without a disclaimer,500000,1
0,Instagram User 8749317301,These ads ran without a disclaimer,500000,1
110132152354600,CADAL,These ads ran without a disclaimer,500000,3
0,Instagram User 8415363336,These ads ran without a disclaimer,453600,1
360157683839813,momentum_mobile,These ads ran without a disclaimer,444451,2
193670010697122,Espacio Público,These ads ran without a disclaimer,430000,1
334422936429906,Voraciouuus Blog,These ads ran without a disclaimer,396353,2
108051820979911,lfjpsuvc,These ads ran without a disclaimer,392500,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,359634,16
496063930871130,Citilennial,These ads ran without a disclaimer,345051,4
1800958006813952,Guardianes del Bosque,These ads ran without a disclaimer,316528,1
227622537655549,CGTN en Español,These ads ran without a disclaimer,316255,1
130853400911409,Toyota Mobility Foundation,These ads ran without a disclaimer,315925,1
379128332236727,Dialogue Earth América Latina,These ads ran without a disclaimer,315925,1
213634105380076,Naiset,These ads ran without a disclaimer,268113,3
201080723088797,Iucpol,These ads ran without a disclaimer,267775,1
0,Instagram User 9641195725,These ads ran without a disclaimer,250000,1
273554869169513,Federación Gobierno de Dios,These ads ran without a disclaimer,250000,1
193394557345243,Devex,These ads ran without a disclaimer,250000,5
252224197980016,Cuba Liberación Negra,These ads ran without a disclaimer,250000,1
0,Instagram User 5891124321,These ads ran without a disclaimer,250000,1
181532391707250,Mi Mapa de Venezuela no incluye Esequibo,These ads ran without a disclaimer,250000,1
173373260044990,Pablo,These ads ran without a disclaimer,250000,1
108205938408207,Movernos Venezuela,These ads ran without a disclaimer,250000,1
103586155830914,susan_applewhite,These ads ran without a disclaimer,250000,1
179731579347164,EnCarabobo,an advertiser in Venezuela,250000,1
100525092648906,Juntos por Táchira Oficial,These ads ran without a disclaimer,250000,1
318531174688070,Jesús Yánez,These ads ran without a disclaimer,250000,1
190065354185554,Esequibo es Guyana,These ads ran without a disclaimer,250000,1
111967321285504,juliaavilag,These ads ran without a disclaimer,250000,1
319424587926993,Organización Renovadora Auténtica,These ads ran without a disclaimer,250000,1
10150108659725175,VotoJoven,These ads ran without a disclaimer,250000,1
107685341592454,enfoquechavez,These ads ran without a disclaimer,250000,1
100223522077770,D Regalos y mas,These ads ran without a disclaimer,250000,1
101091652257141,Oneiber Peraza,These ads ran without a disclaimer,250000,1
100202913084556,marieljmj,These ads ran without a disclaimer,245000,1
309491672256144,Venezuela simpre vence,These ads ran without a disclaimer,245000,1
308284559043774,Recarga Virtual VE,an advertiser in Venezuela,230000,2
114684098397228,Voracious B.,These ads ran without a disclaimer,219100,18
351472174707496,UNT bruzual,These ads ran without a disclaimer,217500,1
1575300589428722,Tony Flores Oficial,These ads ran without a disclaimer,214635,1
29283722950,Revista Medicina y Salud Pública,These ads ran without a disclaimer,205193,3
376705892192920,NOI,These ads ran without a disclaimer,200518,2
185364971315933,Sabine Robb Michael,These ads ran without a disclaimer,200000,2
104879274628588,Israel Sin Filtro,These ads ran without a disclaimer,199164,1
138278482866502,The Wrestling Game,These ads ran without a disclaimer,197752,1
131189377574,MDPI,These ads ran without a disclaimer,166231,4
314145778457428,Online course 1,These ads ran without a disclaimer,160000,1
382317352633100,Noti21,These ads ran without a disclaimer,129590,1
229720866359,John Patrick Acquaviva,These ads ran without a disclaimer,122500,1
2261413827506055,Diálogo Político,These ads ran without a disclaimer,116289,1
281389265047799,Familia DaNay,These ads ran without a disclaimer,110000,1
323835788338537,UNTChile,These ads ran without a disclaimer,105334,1
0,Instagram User 746816200,These ads ran without a disclaimer,105000,1
643307955729923,Rabino Yosef Garmon - יוסף גרמון,These ads ran without a disclaimer,90818,1
366941060700822,Sinopec in Saudi Arabia,These ads ran without a disclaimer,85000,3
281232111895371,Yusma Online,These ads ran without a disclaimer,80000,2
102183732467134,Travelsmaniacos.tours,These ads ran without a disclaimer,72500,1
122100621146004307,Sandro MAGMA Inglés,These ads ran without a disclaimer,72479,1
31292782350,Deutschland.de,These ads ran without a disclaimer,66879,3
108971328768830,panchomarin_official,These ads ran without a disclaimer,65270,1
0,Instagram User 1456881498,These ads ran without a disclaimer,65176,1
135203410517435,Pablo Trujillo Travel,These ads ran without a disclaimer,64584,1
150192472305184,Carlos Giménez Creador Teatral,These ads ran without a disclaimer,62932,1
102241316165270,Una finestra aperta,These ads ran without a disclaimer,59968,5
151973864666085,ALAM,These ads ran without a disclaimer,52943,1
101512779421553,Global Yo.,These ads ran without a disclaimer,47475,1
158428210693814,Dr Sanquetta Créditos de Carbono,These ads ran without a disclaimer,46239,1
672069596549991,Lírica,These ads ran without a disclaimer,45000,1
177582758764868,Germano Romero,These ads ran without a disclaimer,44963,1
147524361967377,Cocinero del Año México,These ads ran without a disclaimer,42850,1
0,Instagram User 3671982431,These ads ran without a disclaimer,34051,1
211928638679961,Palestinelivesmatter,These ads ran without a disclaimer,32477,2
855254981507596,Atheer – أثير,These ads ran without a disclaimer,32347,1
100520825048827,Movant Connection,These ads ran without a disclaimer,29241,1
100378731839692,Run Run Ice Cube,These ads ran without a disclaimer,28655,1
101535892581753,Codey Lee James,These ads ran without a disclaimer,27500,4
156017067602600,United por la Educación Judía,These ads ran without a disclaimer,26455,1
109570912175181,carlosagudelomontoya,These ads ran without a disclaimer,23216,1
1803279899993382,"Ni Una Palmadita, Fernanda Restrepo",These ads ran without a disclaimer,23096,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,17475,7
144465468752403,Collectibles House,These ads ran without a disclaimer,17409,1
111237125287210,We Ballin',These ads ran without a disclaimer,17366,1
100768199351046,julios.werkraum,These ads ran without a disclaimer,16064,1
107469295464682,Сrypto-analyst,These ads ran without a disclaimer,16064,1
187507461122650,Tramaefimera,These ads ran without a disclaimer,13475,1
330436690157901,rockgeracaoy,These ads ran without a disclaimer,13039,1
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,10354,1
104387498728560,Hype Hub,These ads ran without a disclaimer,9965,1
503569446649440,التحالف الدولي,These ads ran without a disclaimer,8618,5
229087490286658,USA Today 2X,These ads ran without a disclaimer,7500,2
328032180384215,IIPC New York,These ads ran without a disclaimer,6779,1
102034382841874,lorena.kukurian,These ads ran without a disclaimer,6300,2
105477872473617,HSPX Magazine,These ads ran without a disclaimer,4946,1
247111886152003,Alfonso Borjas,These ads ran without a disclaimer,3449,1
100451442088817,BERNA Media Production,These ads ran without a disclaimer,2287,3
1526002304307359,صفوة الأحاديث القدسيه والنبويه,These ads ran without a disclaimer,1360,2
1183197131713150,에쓰-오일,These ads ran without a disclaimer,182,2
223745337716768,KOREAZ,These ads ran without a disclaimer,182,2
238044912896496,HISTORY,These ads ran without a disclaimer,≤100,1
1493551577321676,Chery International,These ads ran without a disclaimer,≤100,2
117858107953451,Modern Fashion Guru,These ads ran without a disclaimer,≤100,1
0,Instagram User 3764469159,These ads ran without a disclaimer,≤100,1
372068526800,International Bamboo and Rattan Organization - INBAR,These ads ran without a disclaimer,≤100,1
187429968296722,Harvard Online,These ads ran without a disclaimer,≤100,1
174854712654851,Rick Marcel,These ads ran without a disclaimer,≤100,1
105786847820214,_dlk_,These ads ran without a disclaimer,≤100,1
103929712315370,Gobiernointeligente,These ads ran without a disclaimer,≤100,2
1751278701797841,June’s Journey,These ads ran without a disclaimer,≤100,1
1939895749579622,Point de Vue,These ads ran without a disclaimer,≤100,2
103954999479142,Bruno Donat,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,1
117830263463198,jorgemontespv,These ads ran without a disclaimer,≤100,1
98367118441,Vogue España,These ads ran without a disclaimer,≤100,1
176165712395389,World Heart,These ads ran without a disclaimer,≤100,1
297318053472698,D5a7w67e4d,These ads ran without a disclaimer,≤100,1
94118672764,ACNUR Comite español,These ads ran without a disclaimer,≤100,1
140705399123619,Lynn Harvey,These ads ran without a disclaimer,≤100,1
0,Instagram User 7311358950,These ads ran without a disclaimer,≤100,10
108619972038603,Vincent Russo,These ads ran without a disclaimer,≤100,2
101164404768881,CGTN Frontline,These ads ran without a disclaimer,≤100,3
199695929889934,CulturesWorks,These ads ran without a disclaimer,≤100,1
251360678068375,Newblacks,These ads ran without a disclaimer,≤100,4
101655562862155,Immigration Legal Services,These ads ran without a disclaimer,≤100,1
339932985874704,Flux VPN,These ads ran without a disclaimer,≤100,1
1061420730573798,Sinopec,These ads ran without a disclaimer,≤100,1
104022512482518,"Cangzhou,China",These ads ran without a disclaimer,≤100,1
109975500525233,Darwyn Rosales D,These ads ran without a disclaimer,≤100,1
108645754989425,MATW Project UK,These ads ran without a disclaimer,≤100,3
565225540184937,CGTN,These ads ran without a disclaimer,≤100,4
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,1
101997405902207,_camilamoros,These ads ran without a disclaimer,≤100,1
325935647511804,Joe Walsh,These ads ran without a disclaimer,≤100,1
178355362032581,Daily fun magazine,These ads ran without a disclaimer,≤100,1
978632558959596,José David Angulo García,These ads ran without a disclaimer,≤100,1
267822946949,"Mary Ann Liebert, Inc., publishers",These ads ran without a disclaimer,≤100,1
345208575346983,Mohices pixel,These ads ran without a disclaimer,≤100,1
108245017766966,Madinah US,These ads ran without a disclaimer,≤100,2
107344742410655,Business Pulse English,These ads ran without a disclaimer,≤100,1
104642729116605,VIEW Iceland,These ads ran without a disclaimer,≤100,1
118659501186637,felipe.vera.benitez,These ads ran without a disclaimer,≤100,1
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,1
101196751837892,caricotejose,These ads ran without a disclaimer,≤100,1
109228408557935,Scotland illuminati brotherhood,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,1
19595510126,Annual Reviews,These ads ran without a disclaimer,≤100,2
102809579308581,Serv Migratorio,These ads ran without a disclaimer,≤100,1
113205131621824,WorldOrder.News,These ads ran without a disclaimer,≤100,1
