Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
107500025457981,Magdulag Mabulo,Teresita Bolima,7202,1
166107624078770,Camanava News,Camanava News,7161,48
110529111699411,PhilNews24,Polsure IT Services,7030,5
1581188235521874,Vice Mayor Atty. Sherwin N. Tugna,Vice Mayor Atty. Sherwin N. Tugna,7000,2
1571061213111533,GlobeICON,Globe Telecom,6786,1
110829087227170,QC Waves Swim Club Inc.,QC WAVES SWIM CLUB INC,6564,4
105159369188048,Hotelex Shanghai,These ads ran without a disclaimer,6517,1
100667769054642,Buildbetterph Supporters,Clutchmedia PH,6500,3
374004705980904,Philippine Business for Education,Philippine Business for Education,6424,7
1424468067858949,Vice Justin Gatuslao,Justin Dominic Silos Gatuslao,6377,6
675526249465359,Rolando A. UY,Jerome L. Jungco,6341,5
100305568984268,EdukNaman,Philippine Business for Education Inc.,6271,13
914556591894195,CitizenWatch Philippines,CitizenWatch Philippines,6184,4
103603888274167,YouthLed PH,YouthLed PH,6115,3
107463358538636,planetGOLD Philippines,planetGOLD Philippines,6024,9
147975588597216,Stratbase,Stratbase,6012,4
3163536800339047,"Congresswoman Antonieta ""Ate Tata"" Eudela",Edgar Nerosa Alegre,6000,12
1669303526443380,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,Diomar Dizon Lagunero,5995,1
266790296879,Bloomberg,These ads ran without a disclaimer,5913,6
100562967966954,Radyo BAHIN,WFPH,5911,9
105969951219886,Sibika.ph,Philippine Business for Education Inc.,5809,7
101178932348592,Office of the Municipal Mayor - Atty. Philip A. Dacayo,Mae Madelaine Galamay Danao,5649,8
109710341495997,Atty. Alex Abaton,Cosairi Abedin Maniri,5516,5
108275365284886,Doc Tony Golez,Para Sa Bayan,5446,5
104291395914077,Nuclear Supporters PH,Nuclear Supporters PH,5429,7
404729389612751,"Teodorico ""Nonong"" T Haresco, Jr",BIHA-MPC,5414,11
487665301425069,Puerto Galera Get Away Travel And Tours,These ads ran without a disclaimer,5195,2
107701168822758,Aksyon TV,Aksyon TV,5111,15
537843086665379,City Inquirer,City Inquirer,5066,32
103206424893248,Davao Consumer Movement,Davao Consumer Movement,5057,4
111324628476603,REact PH: Choose Renewables,REact PH: Choose Renewables,5008,5
1834423440210624,"Bantay Konsyumer, Kalsada, Kuryente","Bantay Konsyumer, Kalsada, Kuryente",5004,3
360722237731669,Mayor Cezanne Fritz H. Diaz,Ronald Policarpio Olarte,5000,1
210897252268891,Women's Global Network for Reproductive Rights (WGNRR),Women's Global Network for Reproductive Rights (WGNRR),5000,2
142802334452,INQUIRER.net,"Inquirer Interactive, Inc",5000,2
895774137107433,Denver Chua,Unlad Cavite City,5000,1
556893261136432,Atty. Lordan Suan,Lordan Gualberto Suan,5000,1
