Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
105666454157523,Szikra Mozgalom,Szikra Mozgalom,203960,5
851784814892644,Simicskó István,KDNP frakció,201846,4
136387873164491,Csárdi Antal,LMP - Magyarország Zöld Pártja,200999,21
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,196685,43
85568463466,Mérce,Mérce,196418,47
992066384198880,Tóth Edina,Tóth Edina,187850,1
348148758663062,Indahouse Hungary,InDaHouse Hungary Egyesület,185992,20
109734398272339,Dr. Mészáros Lajos,Dr. Mészáros Lajos,185607,29
103922897650335,Bakos Bernadett,LMP - Magyarország Zöld Pártja,184985,27
109444347287972,Cassandra Program,CASSEE Klímaadaptációs Zrt.,178781,32
115388925185513,Magyar Szocialista Párt,MSZP,175457,5
112694594992064,Mehr Licht,Mehr Licht,175265,66
142684465906231,Üdvhadsereg Salvation Army Hungary,Üdvhadsereg Szabadegyház Magyarország,171510,32
537817739693723,Brain Bar,Brain Bar,167146,21
100905288315705,Jelen hetilap,Liberty Press Kft.,166070,16
1215492498464496,Angyal Károly,Angyal Károly Tibor,162395,4
2552532618151148,Újpesti Hírek,Újpesti Hírek,159391,7
128573907819549,Fekete-Győr András,Momentum Mozgalom,158952,6
100401808007704,EzaLényeg.hu,EzaLényeg.hu,158451,68
408924035951553,Körforrás,Körforrás,154079,26
126893087354793,Európai Parlament,Európai Parlament,153513,11
132593883577930,Dr. Keresztes László Lóránt,LMP - Magyarország Zöld Pártja,147061,16
718997391564454,Énbudapestem,Budapest Főváros Önkormányzat,144172,9
1944720419101498,Dr. Lévai István Zoltán,Fidesz,139999,6
152408681635243,Hírklikk.hu,Hírklikk.hu,139827,4
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,136392,17
115295915203476,Európa Pont,Európai Bizottság Magyarországi Képviselete,135080,18
105967164071611,Nagy Balázs Szemere és Ganztelep,Nagy Balázs István,130633,15
142116653162328,Márki-Zay Péter,Márki-Zay Péter,130342,80
519279158277826,Szülői Hang,Szülői Hang,130157,25
200480966638039,Supremacy 1914,These ads ran without a disclaimer,129841,4
113375923695023,Fidesz Budapest,Fidesz Budapest,124347,11
105140281027554,Hírnyolc,Hírnyolc,123341,18
14792493292,Magyar Kétfarkú Kutya Párt,Magyar Kétfarkú Kutya Párt,120983,11
109400335280737,Dóka Milán,Milán Dóka,120667,4
106280224056208,Gelencsér Ferenc,Momentum Mozgalom,118432,7
170187966339475,Life.hu,Mediaworks Hungary Zrt.,116288,13
108321735570338,Védd A Tényeket,Zachor Alapítvány,115692,21
393679827916885,TV18,Városgazda18,115455,4
105774734948091,Hungarian Conservative,Hungarian Conservative,113062,61
694941900537141,Ágh Péter,Fidesz,111399,50
762305787130420,Józsefvárosi Fidesz,Józsefvárosi Fidesz,111371,6
108271407361251,Transzparens Újságírásért Alapítvány,Transzparens Újságírásért Alapítvány,110023,20
1926735160968885,Válasz Online,Válasz Online,109652,19
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,109257,8
1239893846155692,Tompos Márton,Momentum Mozgalom,108689,6
198950473551610,Mercedes-Benz Magyarország,These ads ran without a disclaimer,107735,4
1408906262689093,Nyitrai Zsolt,Fidesz,107313,23
1944720419101498,Dr. Lévai István Zoltán,Dr. Lévai István Zoltán,105968,2
390232091384,Habitat for Humanity Magyarország,Habitat for Humanity Magyarország,104501,3
112879632128020,Novák Előd,Mi Hazánk Mozgalom,103507,6
778538352344518,Hollik István,Fidesz,101985,7
1265353903615539,Oeconomus,Oeconomus,100000,18
108451703856510,Szabó Bence,Momentum Mozgalom,100000,2
108995848702971,Frankó,Mondjuk a frankót,100000,3
206829842043,Rétvári Bence,Rétvári Bence,99296,11
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,98146,61
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,96644,62
1381558792064873,Niedermüller Péter,Demokratikus Koalíció,96022,10
102186064905787,Zöld Követ Egyesület,Zöld Követ Egyesület,94705,18
1321667124617769,Dr. Kovács Zoltán,Dr. Kovács Zoltán,93320,5
184922004946258,Horváth Csaba,Budapest Főváros XIV. Kerület Zugló Önkormányzata,92454,10
161746613987047,Állampolgári Bizottság az Emberi Jogokért,Állampolgári Bizottság az Emberi Jogokért,91208,9
415653125518050,Hajnal Miklós,Momentum Mozgalom,90929,8
287770891404,Jobbik-Konzervatívok,Jobbik Magyarországért Mozgalom,90000,4
2169722316616799,Fidesz Hódmezővásárhely,Fidesz Hódmezővásárhely,89847,3
445067412712417,Dr. Molnár Krisztián,Molnár Krisztián,89724,11
100609808517630,Drogkutató Intézet,Drogkutató Intézet Nonprofit Korlátolt Felelősségű Társaság,86969,23
105097844200628,EzaLényeg.hu - Pestlőrinc,EzaLényeg.hu,85192,40
103478164920832,Rubicon Intézet,Rubicon Intézet,85165,15
100467642324899,Realista,Az Év Irodája,85000,16
100711304847811,A szomszédja már tudja - Ön is tudja meg,A szomszédja már tudja - Ön is tudja meg,83894,14
160599763996285,e.on,E.ON Hungária Zrt.,83313,5
875007489333250,Hollósy András,Hollósy Endre András,82615,2
179392595425293,LMP Budapest,LMP - Magyarország Zöld Pártja,78740,1
197203437879379,Szaniszló Sándor,Szaniszló Sándor,76646,8
107793155962688,Gyermekrák Alapítvány,Gyermekrák Alapítvány,76109,3
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",75322,1
293410494975,Republikon Intézet,Republikon Alapítvány,74432,8
733923476636885,Szatmáry Kristóf,Kristóf Szatmáry,74126,33
243470906428319,Juhász Hajnalka,Juhász Hajnalka,73085,3
1767688026844895,Zalaegerszeg Megyei Jogú Város,Zalaegerszegi Televízió és Rádió Kft,72393,14
128884360624104,Bóna Zoltán,Bóna Zoltán,70257,17
188002774639,Mesterházy Attila,Mesterházy Attila Csaba,69823,2
267882727864,Kubatov Gábor,Fidesz,68887,8
228731803847927,Semjén Zsolt,KDNP frakció,68768,2
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,66799,8
386132578063762,Balaicz Zoltán,Balaicz Zoltán,66310,14
618962048554434,Havasi Gábor,Momentum Mozgalom,66017,8
360876591136521,Dr. Czeglédy Csaba,Dr. Czeglédy Csaba,65606,3
101382944578702,Szilágyi László,Szilágyi László,65502,8
101897961290159,Momentum XVIII. kerület,Momentum Mozgalom,65133,6
112677144392091,Dr. Pajtók Gábor,FIDESZ,64832,13
145368549429410,Földesi Gyula hivatalos oldala,Földesi Gyula,64670,18
162344823835042,atlatszo.hu,atlatszo.hu,63694,10
112615356818860,Vida Attila,Vida Attila,63191,14
114898003640430,Telex.hu,Telex.hu,62633,3
2309737912651039,Péterffy Attila,Péterffy Attila,60615,5
102528011823081,Száraz Zoltán • Momentum,Momentum Mozgalom,60361,3
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,60157,6
887921287887805,Király Nóra,Király Nóra,60039,20
473556426002468,Fogászat Relaxációban,Relax dental center,60009,1
215365671881695,Lounge Group,Lounge Group,59998,4
205547789523736,Dr. Nemény András,Éljen Szombathely Egyesület,59998,2
320701218553533,Alternatíva Párt,Alternatíva párt,59287,36
221754767906167,Bencsik János - A Tatai medencéért,Bencsik János,58913,27
106745191902831,Bács-Kiskun 5 - DK,Bács-Kiskun 5 - DK,58564,10
101508528866981,Fehérvár a Miénk,Fehérvár a Miénk,58521,5
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,58205,6
365977046868250,Nemzeti Agrárgazdasági Kamara - NAK,Nemzeti Agrárgazdasági Kamara,57975,2
683873478294797,Kunhalmi Ágnes,MSZP,56462,4
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,55000,6
106419404092005,HEGY,Hajnal egyesület Gyömrőért - HEGY,54998,7
161957537171267,Schmidt Mária,Schmidt Mária,54000,3
261746367828,Budapest Airport,Budapest Airport,51668,6
2108607469235146,Momentum Hegyvidék,Momentum Mozgalom,50000,2
781030738624077,Gyöngyösi Márton,Jobbik Magyarországért Mozgalom,50000,1
144489882249194,MSZP Bp18,Tóth Antal József,50000,2
265672590604606,Makronóm.Mandiner,These ads ran without a disclaimer,50000,1
392016870930528,M4 Sport,These ads ran without a disclaimer,50000,1
108087758588692,Talabér Krisztián Nézőpontja,Nézőpont,50000,1
104286485930960,Kaszab Noémi - Megoldás Mozgalom,Kaszab Noémi,49700,18
111861546845910,Fidesz I. kerület,Fidesz,47210,14
105086025574808,ThinkSurvey,ThinkSurvey,46864,6
102877499117068,Pálfalvi Milán Nézőpontja,Nézőpont,46744,5
102474542009609,Megafilm,MEGA FILM Kft.,46612,12
162344823835042,atlatszo.hu,Átlátszónet Alapítvány,46047,1
191463110979902,Crane,These ads ran without a disclaimer,45716,1
344967909393503,Nagy Bálint,Fidesz,45365,14
788960034452071,Potápi Árpád János,Potápi Árpád János,45004,3
103911652142849,Lados Tamás,Momentum Mozgalom,45000,4
127355373967413,Pécsi STOP.hu,Pécsi STOP.hu,45000,3
149061108240,Kocsis Máté,Fidesz frakció,44849,3
103141961544400,Future of Debrecen,Future of Debrecen Egyesület,44284,21
1561907127235939,Gréczy Zsolt oldal,Demokratikus Koalíció,43473,1
111508638402714,Egripost,Balogh Gábor,43276,10
144284472334021,Cseresnyés Péter,Cseresnyés Péter,42608,13
192025470988558,Mizsei László - LMP,LMP - Magyarország Zöld Pártja,42453,2
197203437879379,Szaniszló Sándor,Pestszentlőrinc-Pestszentimre polgármestere,42400,18
111262961006,Mindmegette.hu,Mediaworks Hungary Zrt,41850,5
176736266308423,Kiss László,Kiss László,41237,6
106236922109249,Hajnal-2026,Radics Gábor Zoltán,41010,10
1405665623004645,"Földi László, országgyűlési képviselő","Földi László, országgyűlési képviselő",40564,16
