Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
480539702005665,DE VERLEIDERS,DE VERLEIDERS,520,66
102026903227556,Douane Nederland,These ads ran without a disclaimer,506,1
194041757291378,PAX,PAX,500,4
269793629749221,ZOA,ZOA,500,3
114824741963035,Kom over en help,St. Kom over en help,492,6
122620689140585,Ongehoord Nederland TV,These ads ran without a disclaimer,491,2
301641784038642,Strong Babies,Strong Babies,488,14
206818316003175,ORAS,ORAS,479,24
244496714142,Humanistisch Verbond,Humanistisch Verbond,478,5
107074255523711,VVD Europa,VVD Europa,476,43
101577532862529,Meldpunt Discriminatie Regio Adam,Meldpunt Discriminatie Regio Amsterdam,460,32
1498781793769425,Buitenhof,Buitenhof,440,11
318502745709789,NoMorePlastic,NoMorePlastic,424,6
52985377549,D66,D66,413,3
195305220898593,Amsterdamse Klas,Gemeente Amsterdam,403,4
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),391,2
106938244266499,Marc Cornelissen Brightlands Award,These ads ran without a disclaimer,378,3
207573625937766,Diversion,Diversion,371,8
205668852785355,Gemeente Zaanstad,Gemeente Zaanstad,347,4
106020448037192,JA21,JA21.nl,343,5
100616856700002,Gemeente Purmerend,Gemeente Purmerend,336,3
384101518433208,Waterklaar,INOVA,335,6
115755701792480,Hogeschool Saxion,These ads ran without a disclaimer,333,2
208597659240563,STC Group,These ads ran without a disclaimer,331,1
1586038428202115,Siriz,Stichting Siriz,330,5
458631057562860,Gemeente Zeist,Gemeente Zeist,320,4
113941798666982,NEMO Science Museum,NEMO Science Museum,310,4
984274581639504,Algemene Onderwijsbond,Algemene Onderwijsbond,304,2
106304068470312,FixTok,Stichting Massaschade & Consument,302,1
256330771194175,Iedereen mediawijs,Iedereen mediawijs,296,2
582747471885273,Gemeente Barendrecht,Gemeente Barendrecht,292,1
103220632108447,Minister Geoffrey Wever,Geoffrey Wever,289,20
107429620759652,Gemeenteraad Helmond,Gemeente Helmond,284,2
180532465311930,Rode Kruis,Rode Kruis,279,3
108844660861617,Omroep ZWART,These ads ran without a disclaimer,271,11
447218628670592,UNHCR Nederland,UNHCR Nederland,256,6
194649493191,Protest Sportswear,Protest Sportswear,250,2
116592248404562,Rode Hoed,Rode Hoed,238,16
239072336114052,Gemeente Venlo,Gemeente Venlo,220,4
573092182893804,Nederlandse Stichting Over Gewicht-Life long support overgewicht & obesitas,Nederlandse Stichting Over Gewicht,209,2
165125706913810,Kadera aanpak huiselijk geweld,Kadera,207,2
368855293200544,Gemeente Medemblik,Gemeente Medemblik,207,1
2393796967568529,Coalitie-Y,Coalitie-Y,206,3
155526387811390,T-Mobile NL,These ads ran without a disclaimer,202,12
1432336870356280,Plastic Soup Surfer,Plastic Soup Surfer,201,3
196525450479383,Republiek,Republiek,200,1
233402520330711,Discriminatie Meldpunt Groningen,Stichting Discriminatie Meldpunt Groningen,200,1
567125883668607,Werken bij Stedin,These ads ran without a disclaimer,197,9
126492700715319,Sophia-Vereeniging,Sophia-Vereeniging,197,2
261743583890104,Mensen met een Missie,Mensen met een Missie,194,6
112597635531005,Royal HaskoningDHV,Royal HaskoningDHV,185,3
178854052585604,Lokaal Belang Gem. Barneveld,Vereniging Lokaal Belang,177,2
208578955894331,Bas Eickhout,GroenLinks,168,3
969158383214898,Wybren van Haga - BVNL,BVNL,162,1
393631714068016,Hoogheemraadschap van Schieland en de Krimpenerwaard,Hoogheemraadschap van Schieland en de Krimpenerwaard,160,3
136885956329650,Miele,These ads ran without a disclaimer,159,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,157,6
