Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
1845447639031005,Mayor Bradburn,These ads ran without a disclaimer,4185,11
100356216050100,Family First Party Australia,Family First Party Australia Ltd,4048,8
100492139310916,Australian Assange Campaign,Australian Assange Campaign,4012,6
447447719391089,Health Care Providers Association,Health Care Providers Association,3997,5
537762462924537,Anthony Albanese,Anthony Albanese,3895,31
328245481103110,Senator Alex Antic,Alex Antic,3893,8
234902827263288,"Max Chandler-Mather, Federal MP for Griffith",Max Chandler-Mather MP,3884,8
117058357932949,Constitutional Equality,Constitutional Equality,3867,29
200819325600,ActionAid Australia,ActionAid Australia,3712,94
101791315693,Destiny Rescue,Destiny Rescue,3688,49
798754616870434,Libby Coker MP,Libby Coker MP,3669,7
1660905180833979,Parliament of Victoria,Parliament of Victoria,3586,35
759333260797196,Libby Mettam,Libby Mettam,3563,126
2383045228374491,CPAC Australia,Conservative Political Action Network Ltd,3374,14
49991482906,Tearfund Australia,Tearfund Australia,3243,83
107765634022348,Henry Pike MP,Henry Pike MP,3214,16
952274664938382,Phillip Thompson OAM MP - Serving Our Community,Philip Bruce Thompson,3208,14
317158175535179,BitLife,These ads ran without a disclaimer,3175,7
387624131383295,Dept of Communities and Justice NSW - stronger together,Department of Communities and Justice,3127,13
21145917717,Powerhouse Museum,Powerhouse Museum,3057,2
1483396328456198,Acciona.Australia,ACCIONA Australia,3037,14
148322645565800,Andrew Wallace - LNP Federal Member for Fisher,Andrew Wallace MP,3012,4
173168582700205,SBS中文,SBS Mandarin中文普通话,2985,46
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,2982,59
2063329587276680,Anika Wells MP,Anika Wells MP,2961,34
101594851651707,The Affordable Housing Party,Matthew Peter Osland,2957,11
106781541738067,Verve Money,Verve Money,2928,28
502649159770974,Tim Watts MP,Tim Watts MP,2900,4
1449964695240375,Ethiopiaid Australia,Ethiopiaid Australia,2896,8
307339209323908,Dan Tehan MP,Dan Tehan MP,2873,4
22936848857,Institute of Public Affairs,Institute of Public Affairs,2858,11
2080670615483977,Verve Super,Verve Super,2812,4
708298282615442,Ted O'Brien MP - Federal Member for Fairfax,Ted O'Brien MP,2768,6
325083185784,Minus18,Minus18,2755,37
1300759363397798,Terry Young MP,Terry Young MP,2748,10
1500584423527469,Maurice Blackburn Lawyers,Maurice Blackburn Lawyers,2721,5
726565307466774,Peta Murphy MP Federal Member for Dunkley,Peta Murphy MP Federal Member for Dunkley,2700,12
76212817063,CARE Australia,CARE Australia,2626,46
140527268700,Act for Peace,Act for Peace Ltd,2561,67
145933972484735,Tasracing,Tasracing,2531,6
256684855281573,James Stevens MP,James Stevens MP,2476,9
268606619928735,Voice of the Martyrs Australia,Voice of the Martyrs Australia,2471,16
399509993393842,Senator Anne Ruston,Senator Anne Ruston,2467,27
105187691260140,"Pharmacy Guild of Australia, QLD","Pharmacy Guild of Australia, QLD",2458,45
1501550403427903,Senator Anthony Chisholm,Senator Anthony Chisholm,2449,27
11775531229,The Chaser,The Chaser,2441,8
147373667055,Senator Nick McKim,Senator Nick McKim,2419,5
111577958275695,Better BeCause,Better BeCause,2416,12
361491373921077,Solar Citizens,100% Renewable Community Campaign Public Fund,2415,20
1125047917526728,Murray Watt - Senator for Queensland,Murray Watt - Senator for Queensland,2408,15
280996218747910,Tim Richardson,Tim Richardson,2351,8
101162489378265,Gregory Brown for Rumney,Gregory Brown,2304,19
948595148496917,Andrew Hastie,Andrew Hastie,2258,32
174666115898903,Jerome Laxale MP,Jerome Laxale,2257,7
521903907906391,Senator Linda Reynolds,Senator Linda Reynolds,2213,14
552968198133394,Peter Dutton,Peter Dutton MP,2211,2
312189205577810,Australian & New Zealand Mental Health Association,AST Management,2176,9
536780606335962,Michelle Landry,Michelle Landry,2174,8
102453932266472,Aaron Violi MP,Aaron Violi MP,2162,19
121201504755819,Animal Justice Party AJP Victoria,Animal Justice Party,2131,91
160021291752,Environment Victoria,Environment Victoria,2074,28
453750595056,Cancer Council NSW,Cancer Council NSW,2053,54
2202229243381304,The Vocal Minority,The Vocal Minority,2050,15
204751982883846,Senator Michaelia Cash,Senator Michaelia Cash,2026,8
121559765177981,Senator Slade Brockman,Senator Slade Brockman,2026,8
330315904370434,Senator Marielle Smith,Senator Marielle Smith,2000,5
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,1942,6
101938725606868,Dan Cregan - Member for Kavel,Daniel Roy Cregan,1940,6
108381455902627,Australian Christian Lobby,Australian Christian Lobby,1878,3
198538033525283,deadly stories,"Department of Seniors, Disability Services and Aboriginal and Torres Strait Islander Partnership",1786,9
109064267654080,Senator Dorinda Cox,Senator Dorinda Cox,1758,14
157481181070130,Indigenous Employment Australia,Access,1744,79
105074562868386,The Fred Hollows Foundation,These ads ran without a disclaimer,1714,3
328287840654244,Grace Grace MP,Grace Grace MP,1700,7
708439212837712,Tasmanian Government,Department of Premier and Cabinet,1695,6
113174381629359,Alcoa Australia,Alcoa Australia,1671,27
175576645932510,Australasian Centre for Corporate Responsibility - ACCR,Australasian Centre for Corporate Responsibility,1603,16
191570179167,Catherine Hamlin Fistula Foundation,Catherine Hamlin Fistula Foundation,1587,12
145347352187764,UN Women Australia,UN Women Australia,1578,10
1490457217880377,John Pesutto,Liberal Party of Australia (Victorian Division),1559,13
159487260807787,Tindo Solar,Tindo Solar,1549,7
589611354490193,GreenPower,Alana Stocks,1537,28
205327792883589,Stuart Robert MP,Stuart Robert MP,1525,5
547466642107014,Josh Wilson MP,Josh Wilson MP,1518,3
273767159580,Physical Disability Council of NSW,Physical Disability Council of NSW,1511,3
419632568108398,Australian Citizens Party,Australian Citizens Party,1505,5
336074670274838,Heliograf,Heliograf Pty Limited,1498,1
160779783972850,City of Gold Coast,City of Gold Coast,1483,14
192720571652271,Refinery29 Australia,Pedestrian Group,1446,5
100385049145414,Allegra Spender,Allegra Spender,1435,9
287789063686,Brendan O'Connor MP,Brendan O'Connor MP,1400,6
119931654696956,Victorian Greens,Victorian Greens,1385,4
106927325413571,John Berger MP,John Berger MP,1366,12
329777267205680,ACT Government,ACT Government,1360,11
100642886236811,It's Happening Here,It's Happening Here,1356,2
102336681506217,WorkforClimate,WorkforClimate,1353,50
114334172620940,Katie Hall MP,Katie Hall MP,1315,6
246244719386767,Yourtoolkit.com,Your Toolkit,1310,22
2095657470702857,Senator Susan McDonald,Senator Susan McDonald,1308,9
409073242479531,Mornington Peninsula Shire,Mornington Peninsula Shire,1291,3
49453745631,Amnesty International Australia,These ads ran without a disclaimer,1284,17
372842266568995,Kat Theophanous MP,Kat Theophanous MP,1265,3
139174417547253,The Week on Wednesday,Benjamin John Davison,1249,18
125686330922725,Western Power,These ads ran without a disclaimer,1247,4
101317875732604,Dr Sophie Scamps,Sophie Scamps,1220,8
100314522404427,Andrew Willcox MP,Andrew Willcox MP,1218,6
100162559396,The Australia Institute,The Australia Institute,1200,4
248367108892270,Team DSC,DSC,1192,16
49453745631,Amnesty International Australia,Amnesty International Australia,1175,36
105922411114130,Compass.info,Compass.info,1167,9
104910384328602,Binge,Streamotion Pty Ltd,1158,12
186985648081724,Mark Butler MP,Mark Butler MP,1147,8
109529059078471,Australian Himalayan Foundation,Australian Himalayan Foundation,1113,29
108503834861027,Matt Burnell MP,Matt Burnell MP,1111,11
281586725365452,Governor of Queensland,Office of the Governor,1098,1
