Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
0,Instagram User 1334667693,These ads ran without a disclaimer,1648,1
117592091643709,Tree of Life Ministries｜Evangelism in Israel,These ads ran without a disclaimer,1416,2
114684098397228,Voracious B.,These ads ran without a disclaimer,1329,12
0,Instagram User 1821797552,These ads ran without a disclaimer,1314,1
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,1281,1
292129440851133,CropLife Latin America,These ads ran without a disclaimer,1091,1
131189377574,MDPI,These ads ran without a disclaimer,1083,4
138278482866502,The Wrestling Game,These ads ran without a disclaimer,967,1
101512779421553,Global Yo.,These ads ran without a disclaimer,829,1
151929731346964,Persuasión Política,These ads ran without a disclaimer,824,4
105728562826950,Atlantic International University,These ads ran without a disclaimer,754,1
376705892192920,NOI,These ads ran without a disclaimer,743,2
158428210693814,Dr Sanquetta Créditos de Carbono,These ads ran without a disclaimer,718,2
58895017663,Banco Interamericano de Desarrollo,These ads ran without a disclaimer,678,2
151973864666085,ALAM,These ads ran without a disclaimer,540,1
1751278701797841,June’s Journey,These ads ran without a disclaimer,452,1
110132152354600,CADAL,These ads ran without a disclaimer,452,3
102690945081743,𝗞𝗔𝗬 ∙ 𝗟𝗔 𝗙𝗢𝗢𝗗 𝗕𝗟𝗢𝗚𝗚𝗘𝗥,These ads ran without a disclaimer,452,1
247823875279423,Secretaría Nacional de Cultura del Paraguay,These ads ran without a disclaimer,385,1
0,Instagram User 2183800346,These ads ran without a disclaimer,360,1
496063930871130,Citilennial,These ads ran without a disclaimer,358,4
31292782350,Deutschland.de,These ads ran without a disclaimer,323,2
2261413827506055,Diálogo Político,These ads ran without a disclaimer,298,1
156017067602600,United por la Educación Judía,These ads ran without a disclaimer,238,1
102034382841874,lorena.kukurian,These ads ran without a disclaimer,181,3
0,Instagram User 7892974686,These ads ran without a disclaimer,158,1
147524361967377,Cocinero del Año México,These ads ran without a disclaimer,152,1
211928638679961,Palestinelivesmatter,These ads ran without a disclaimer,151,1
102241316165270,Una finestra aperta,These ads ran without a disclaimer,151,4
108202298520665,Tatiana Safar,These ads ran without a disclaimer,145,1
194874140385209,Poder da Manifestação,These ads ran without a disclaimer,123,6
109570912175181,carlosagudelomontoya,These ads ran without a disclaimer,≤100,1
187507461122650,Tramaefimera,These ads ran without a disclaimer,≤100,1
0,Instagram User 3671982431,These ads ran without a disclaimer,≤100,1
122100621146004307,Sandro MAGMA Inglés,These ads ran without a disclaimer,≤100,1
100520825048827,Movant Connection,These ads ran without a disclaimer,≤100,1
101779536210488,New age Agency,These ads ran without a disclaimer,≤100,1
