Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
101718182459153,天秤座戰士,Companionship Digital,8786,9
101661096011599,邱醫生減重頻道,These ads ran without a disclaimer,8733,3
101662265434180,消防安全有法可管,消防安全有法可管,8725,29
317996258579415,黃家齊,黃家齊,8545,11
157825744293951,The Garden of Hope Foundation- International Affairs 勵馨基金會國際事務,The Garden of Hope Foundation- International Affairs 勵馨基金會國際事務,8312,6
100900089572253,賤民賤解,賤民賤解,8129,5
1216928481738995,仁舟淨塑/仁舟社會企業,These ads ran without a disclaimer,8107,2
104805437969925,JERA 台灣捷熱能源,"JERA Energy Taiwan Co., Ltd.",7999,7
2290806454495023,Mangodan芒菓丹,澤嵐 林,7931,1
101628915902932,Tomas Cool,These ads ran without a disclaimer,7555,1
121692144530435,Discovery頻道,Discovery頻道,7445,2
796994720374176,鳴人堂,鳴人堂,7335,5
190684970959969,宜蘭綠色博覽會,堃廉崔,7232,34
164872546882726,羅智強,羅智強,7100,3
938117856232411,康寧大學,惠玲高,6971,1
111334712256714,勇媽阿惠 - 黃敏惠,勇媽阿惠 - 黃敏惠,6746,6
353801478448258,Ørsted 沃旭能源,These ads ran without a disclaimer,6670,3
779960838880307,蔡蕥鍹,蕥鍹 蔡,6594,5
107431888793670,王三郎嚴選,These ads ran without a disclaimer,6561,1
276861822357066,高金素梅(吉娃斯．阿麗),智葟 陳,6556,16
126361734041343,鳳凰國際公關顧問有限公司,志傑 邵,6552,5
109753231772485,日安玩美全新上市,These ads ran without a disclaimer,6447,1
112571907179969,玩霸教育,思揚 蘇,6388,3
106884252092730,恆好玩｜永續行動平台,恆好玩｜永續行動平台,6246,12
439632663513867,Mapless Vision 新趨勢影視產業報,Mapless Vision 新趨勢影視產業報,6208,5
100216765069813,唐平榮 執行長的人生甘味廚房,唐平榮 執行長的人生甘味廚房,6193,12
106334157952557,Trend Video,These ads ran without a disclaimer,6112,1
126535244622269,台北市議員 李柏毅,李柏毅,6072,7
1921016244677218,國際橋牌社 Island Nation,國際橋牌社 Island Nation,6015,3
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,6012,1
105763467865696,台灣資訊環境研究中心 IORG,台灣資訊環境研究中心 IORG,6000,4
127651067296805,ASML,These ads ran without a disclaimer,6000,1
423089255202941,菲菲服飾網,These ads ran without a disclaimer,5965,1
306276709452272,文化部,These ads ran without a disclaimer,5941,17
224048024739982,段樹文,段樹文,5847,11
689236134463889,勞動in台中,郁琪 傅,5821,4
2199675410320212,台灣制憲基金會 TNC,台灣制憲基金會 TNC,5752,3
104640252092334,許瑞宏  宏觀思維,許瑞宏,5738,3
712655452438488,水玥創研,These ads ran without a disclaimer,5671,1
1212271885604995,社團法人愛的延續公益協會,庭 溢 張,5650,4
170417986326226,微笑台灣319鄉+,微笑台灣319鄉+,5632,6
794188814045662,新業建設 Hsinyeh,新業建設股份有限公司,5544,2
100666632225707,Zuse,These ads ran without a disclaimer,5532,3
175549807657,台達基金會,台達基金會,5484,5
1503745219913314,"孫大千Sun, Ta-Chien","孫大千Sun, Ta-Chien",5446,7
154631861234059,吳秉叡,吳秉叡,5400,10
