Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,9797,22
2297075120544646,Spojenci pro kraj,JsmePRO! (Spojenci pro kraj),9797,11
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,8994,2
278259998698281,Jiří Smetana - kandidát do Senátu za Chomutovsko,Jiří Smetana - kandidát do Senátu za Chomutovsko,8954,10
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,8817,9
992961290717515,Pavel Karpíšek,Pavel Karpíšek,8612,26
145721105297433,Hana Pospíšilíková,Hana Pospíšilíková,8154,27
122348331158908,Piráti Olomoucký kraj,Česká pirátská strana,8028,9
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,8000,6
252723251252904,Pavel Šotola,Pavel Šotola,7964,66
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,Svoboda a přímá demokracie (SPD),7029,2
108256752103532,Josef Soumar - místostarosta Písku,Josef Soumar - místostarosta Písku,6935,6
103567498863549,Ecoista,Ecoista,6910,12
159935454034044,Pirátská strana - Karlovarský kraj,Česká pirátská strana,6798,31
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,6700,16
355550584307322,Ivo Mareš,ODS - Olomouc,6643,16
149368281915233,Sociální demokracie Jihočeský kraj,Sociální demokracie Jihočeský kraj,6555,10
100275622515253,Michal Kortyš,Michal Kortyš,6164,11
292218360631750,Lubomír Nymburský,Sociální demokracie,6129,11
130631260290858,Piráti Středočeský kraj,Česká pirátská strana,6078,10
351682148030970,Dominik Hašek - kandidát do Senátu,TOP 09,6072,11
325052354017676,Miloslav Čihák,Sociální demokracie,6057,8
278781882181636,Jihočeši 2012,Jihočeši 2012,5961,8
257529307701966,Jiří Pospíšil,TOP 09,5951,35
578342809023884,Jsme fér,Prague Pride,5896,4
495496033796328,Stanislav Blaha,Stanislav Blaha,5825,23
111152388465014,"Ivana Solařová - kandidátka na hejtmanku za hnutí ANO, starostka Znojma","Ivana Solařová - kandidátka na hejtmanku za hnutí ANO, starostka Znojma",5743,15
104970479178796,Pozitivně k recyklaci,Pozitivně k recyklaci,5714,13
206630153142726,Marek Výborný,KDU-ČSL,5694,3
579215965436046,JSNS,JSNS,5679,10
189097755083174,Miroslav Balatka - senátor,Miroslav Balatka - senátor,5547,18
284247164921991,Piráti Kraj Vysočina,Česká pirátská strana,5537,13
102593189144504,Karolína Kubisková,Karolína Kubisková,5434,4
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,5388,16
133508726699512,Finmag,"NextPage Media, s.r.o.",5379,18
289292980940100,Lukáš Kopecký,Sociální demokracie,5271,10
281732115013900,Hlas pro náš kraj,SOCDEM,5261,6
258989695009,Starostové pro Liberecký kraj,Starostové pro Liberecký kraj,5257,14
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",5128,11
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,5071,50
1917661888252695,Tomáš Goláň - senátor,"Tomáš Goláň, senátor za obvod č. 78 (Zlínsko)",5000,1
345130612167293,Demagog.CZ,Demagog.cz,5000,1
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",5000,3
101894271393926,Daniel Kůs - Radní Plzně,Daniel Kůs - Radní Plzně,5000,4
115106741622257,Roman Ďurčo,Roman Ďurčo,4999,5
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",4992,33
100761461345420,Hana Ančincová - statutární náměstkyně hejtmana Zlínského kraje,Česká pirátská strana,4889,24
809013272468388,Aliance pro rodinu,Aliance pro rodinu,4838,2
1386439704902726,Piráti Zlínský kraj,Česká pirátská strana,4814,18
341109722420138,Vysočina v dobrých rukou,"Frey Consulting, s.r.o.",4769,16
103059308644099,Replastuj.cz,Replastuj.cz,4748,7
100843142503124,ZjistiVíc.cz,Zjisti víc,4543,3
125830487980906,Solární asociace,Solární asociace,4538,10
443133249062600,STAN Jihočeský kraj,STAN Jihočeský kraj,4512,8
146558492026,ONDRÁŠOVKA,These ads ran without a disclaimer,4492,7
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Česká pirátská strana,4474,12
40583438943,NESEHNUTÍ,NESEHNUTÍ,4294,9
609246842426009,Rekonstrukce státu,Rekonstrukce státu,4292,4
100238859486283,Karin Podivinská - kandidátka do Senátu a náměstkyně primátorky města Brna,Karin Podivinská - kandidátka do Senátu a náměstkyně primátorky města Brna,4149,4
103624831753285,Jiří Crha - starosta Blanska a náměstek hejtmana JMK,ODS,4145,34
707458719329186,Starostové Praha,Starostové a nezávislí,4087,12
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,4052,8
255992930941327,Jihočeská veřejnost,7Agency,4000,8
397919187215,Evropská komise v ČR,Evropská komise v ČR,3969,13
271054846258904,Praha 3,Městská část Praha 3,3800,9
447167062064041,Vladimíra Ludková,CORP Production s.r.o.,3757,4
107572505087543,AŘOV - Asociace řidičů osobních vozidel,"Asociace řidičů osobních vozidel, z.s.",3756,9
355004424357828,Spolu pro lidi a krajinu,Strana zelených,3749,13
109312294926861,2. ekonomická transformace,Digital First Marketing Group s.r.o.,3584,6
348394825788,Piráti Liberecký kraj,Česká pirátská strana,3566,30
176173883021695,Robert Stržínek,Robert Stržínek,3563,6
162620837267478,Jan Bartošek,Jan Bartošek,3538,7
799083753454179,Voxpot,Voxpot z. ú.,3486,10
249525561568577,Tomáš Chmela,STAROSTOVÉ A NEZÁVISLÍ,3427,2
107898832590939,European Commission,European Commission,3387,6
245915525601678,Lukáš Wagenknecht - váš senátor,Česká pirátská strana,3387,16
115112916857629,Karel Podzimek - Radní Jihomoravského kraje,Karel Podzimek - Radní Jihomoravského kraje,3364,4
235273013506719,Medi care,These ads ran without a disclaimer,3291,4
330082643514337,Robert Baxa,Robert Baxa,3204,9
288627030991926,Jiří Řehák,SEN 21,3166,4
105236994759359,Hana Hajnová náměstkyně hejtmana Kraje Vysočina,Hana Hajnová náměstkyně hejtmana Kraje Vysočina,3131,7
252707698079845,Pavel Dobeš • místostarosta Prahy 3,Pavel Dobeš • místostarosta Prahy 3,3118,9
137301989386,Aktuálně.cz,Aktuálně.cz,3071,4
211835588951012,"Bohuslav Svoboda, primátor hl. m. Prahy",Občanská demokratická strana,3026,3
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,3020,2
1889377324515249,Praha 1,Úřad městské části Praha 1,3019,2
101279652413889,SPOLU pro Prahu,SPOLU Praha,3000,2
952005618247538,Martin Červíček,Martin Červíček,3000,2
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,3000,8
112063437174893,"Ivo Slavotínek, náměstek hejtmana OK","Ivo Slavotínek, náměstek hejtmana OK",2915,13
238356139361058,Michael Rataj - Politik,Michael Rataj - Politik,2908,3
273251297864533,"Michal Vronský, starosta Prahy 3","Michal Vronský, starosta Prahy 3",2897,12
106146725125696,Anxiety,These ads ran without a disclaimer,2891,5
1870450529906750,TERA.cz,TERA Systems s.r.o.,2770,1
108635474281466,Miranda  mimosa,These ads ran without a disclaimer,2690,4
158980731475210,Nina Spitalnikova,Nina Spitalnikova,2555,1
101051231364600,Miroslav Zborovský - poslanec za JMK,Miroslav Zborovský - poslanec za JMK,2539,6
2724697507604207,Petr Kratochvíl - radní města Brna pro dopravu,Petr Kratochvíl - radní města Brna pro dopravu,2499,3
1771562699724929,Ondřej Lochman,Ondřej Lochman,2499,5
102073112233137,Goper11,These ads ran without a disclaimer,2421,4
1139375816088491,Junjou romantica y sekachii hatsukio,These ads ran without a disclaimer,2400,7
1571432816412854,Ministerstvo pro místní rozvoj,These ads ran without a disclaimer,2355,5
205449429328974,Kutná Hora,Kutná Hora,2319,4
1812098778828241,Ostravak,"Ostravak, politické hnutí",2319,2
100156851562751,Lena Mlejnková,Starostové pro Liberecký kraj,2279,8
100353728746701,NewsCentr,These ads ran without a disclaimer,2215,4
119384121259027,Budoucnost Bydlení,These ads ran without a disclaimer,2213,3
371102969577848,Spojenci24 s vámi,Spojenci24 s vámi,2193,6
140958725929135,Pavel Čížek,STAN,2191,8
290159387524447,Miroslav Bárta,STAROSTOVÉ A NEZÁVISLÍ,2179,6
204829789371435,"Pavel Václav Kohout, starosta Opatovic nad Labem",Konektor Digital,2159,5
100760001626922,Martin Sedeke,Martin Sedeke,2133,3
1962450550674040,TVarchitect.com,Living Media s.r.o.,2132,6
110554525653740,Karlovarský kraj - oficiální stránka,Karlovarský kraj,2130,5
158980731475210,Nina Spitalnikova,These ads ran without a disclaimer,2126,1
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,PRodukujeme s.r.o.,2022,5
319958294730813,Jihomoravský kraj,Krajský úřad Jihomoravského kraje,2020,4
1382379128444365,Margita Balaštíková - poslankyně,Margita Balaštíková - poslankyně,2000,2
108798118453748,Berenika Peštová-poslankyně,Berenika Peštová-poslankyně,2000,2
177139666120181,Vlastimil Válek,TOP 09,2000,1
112063685472868,KDU-ČSL Karlovarský kraj,Krajská organizace Karlovarského kraje KDU-ČSL,2000,1
185399818317807,Ing. Roman Kubíček,Ing. Roman Kubíček,2000,2
581919708494005,Starostové pro Zlínský kraj,STAROSTOVÉ A NEZÁVISLÍ,2000,1
629195630792582,Sociální bydlení v ČR,Sociální bydlení v ČR,2000,2
251448281377394,SNK1 - Starostové našeho kraje,KDU-ČSL,2000,1
104398128891546,Jan Hrušovský,Jan Hrušovský,2000,4
215661292342258,Praha - město pro život,Praha - město pro život,2000,1
2066000537016513,František Jura,František Jura,1956,5
2068226376787023,Piráti Praha 12,Česká pirátská strana,1946,2
180430115412006,Partners finanční skupina,Partners finanční skupina,1942,15
315747282263515,"Jakub Stárek, starosta Šestky",Jakub Stárek,1933,5
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,1904,4
157675528222654,"Martin Valovič, starosta Prahy 10",Občanská demokratická strana,1893,2
192791664777731,Hana Žáková,Hana Žáková,1884,7
101925229442766,Mk,These ads ran without a disclaimer,1854,2
