Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
281999881613,World Vision Canada,World Vision Canada,4509,32
266408097438964,Canadian Consumer Rewards Coalition,Canadian Consumer Rewards Coalition,4507,8
154106431834744,Gordon Wyant,Gordon Wyant Campaign for Mayor of Saskatoon,4458,4
1876748445895294,Canadians for Affordable Energy,Canadians for Affordable Energy,4423,6
222039741253078,CUPE Saskatchewan,CUPE Saskatchewan,4371,9
168724059831514,Desjardins,Desjardins,4355,5
330847816785613,ToneTrails,These ads ran without a disclaimer,4132,78
47468265206,BC SPCA (BCSPCA),BC SPCA (BCSPCA),3980,10
282025405005131,Business Blueprint,These ads ran without a disclaimer,3979,87
1896719767021694,TMS71,These ads ran without a disclaimer,3963,96
358082838280,BC Federation of Labour,BC Federation of Labour,3944,48
281999881613,World Vision Canada,These ads ran without a disclaimer,3919,13
180862678644381,Ontario NDP,Ontario NDP,3907,16
362332913622139,Ecuador 24/7,These ads ran without a disclaimer,3898,39
119473508081113,Crest,These ads ran without a disclaimer,3863,1
115835521825983,UNHCR Canada,UNHCR Canada,3833,86
121222984568561,Amnesty International Canada,Amnesty International Canada,3813,54
54125409458,Oxfam-Québec,Oxfam-Québec,3579,32
109934690732777,Encorp Atlantic/Atlantique,Encorp Atlantic / Atlantique,3537,60
95938536190,Shoppers Drug Mart,These ads ran without a disclaimer,3521,1
98963682935,Canadian Feed The Children,Canadian Feed The Children,3381,13
53321777320,Coeur + AVC,Coeur + AVC,3262,92
168889579973,Fondation David Suzuki,Fondation David Suzuki,3125,9
358849114139008,Easter Seals Ontario,Easter Seals Ontario,3104,97
143063545561763,Metamorphosis Network,Peel Metamorphosis,3002,10
103350612362345,Strong Coast,Strong Coast,2963,72
299206850273007,Saskatchewan Federation of Labour,Saskatchewan Federation of Labour,2950,60
106360778489053,Fuelling Canada,Canadian Gas Association,2931,16
108927554871299,Southern Gulf Island Resident & Business Coalition Blog,Southern Gulf Islands Coalition,2898,3
121658954562795,Mark Gerretsen,Mark Gerretsen,2889,12
127923173900910,Ontario Federation of Agriculture,Ontario Federation of Agriculture,2833,8
106432095003415,Our Nova Scotia RCMP,National Police Federation,2829,17
584595054966592,Royal Victoria Regional Health Centre Foundation,Royal Victoria Regional Health Centre Foundation,2823,135
248281845216826,Bell Canada (Français),Bell Canada,2815,1
291843144018680,Atlantic Prosperity,Atlantic Prosperity,2813,1
371260986301489,Islamic Relief Canada,Islamic Relief Canada,2737,24
173187715838,Forests Ontario,Forests Ontario,2733,36
1538230646323033,SecondStreet.org,SecondStreet.org,2662,26
268400032839,Croix-Rouge canadienne,Croix-Rouge canadienne,2660,21
7522587804,Green Party of Ontario,Green Party of Ontario,2557,7
1671097993122619,Children Believe,Children Believe,2547,18
14742445214,BC Green Party,BC Green Party,2502,292
490282441480046,Step UP Now Resident and Business Property Tax Blog,StepUp Now,2500,4
214866875236330,PROMIS,Promis Immigration,2429,8
186062823629,Québec sans tabac,Québec sans tabac,2417,83
159713615718,WWF-Canada,WWF-Canada,2367,18
174238299256105,Manitoba Government and General Employees' Union (MGEU),Manitoba Government and General Employees' Union (MGEU),2362,27
367461053332566,Community-Based Research Centre - CBRC,Community-Based Research Centre,2339,12
925033857594085,SureHealth Canada by GreenShield,SureHealth,2327,28
