Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
117813861284497,राजगुरु राजेन्द्र सिंह खेरवा,Tejal Graphics,743,3
107555148982918,ಕಲಬುರ್ಗಿ ಗ್ರಾಮೀಣ ಕಾಂಗ್ರೆಸ್ ಗೆಳೆಯರ ಬಳಗ,Nataraja,743,1
1882679961782904,Anushesh Sharma,Anushesh Sharma,741,8
382990208485386,Brigade Group,These ads ran without a disclaimer,740,3
571648656189925,IIT Madras,These ads ran without a disclaimer,739,1
100223692558382,kravmagamumbai.club,These ads ran without a disclaimer,738,1
118655694495362,Ji jp,These ads ran without a disclaimer,737,1
1409014309424748,Sai Kaarthik City Center,These ads ran without a disclaimer,737,2
122462567803960,USAID Nepal,These ads ran without a disclaimer,737,1
367649046908008,Growatt New Energy,These ads ran without a disclaimer,737,2
104554615870523,Dr Rajesh Mishra,Rohit Kumar,736,1
101493902773017,SPIC-Turkey,These ads ran without a disclaimer,736,1
100933105489576,Polamreddy Dineshreddy,Digital Wala Company,735,5
110526438571568,Hajri Ajnar,Sarvesh Patidar,734,16
109418854898188,Indore Breaking News Wala,Indore Breaking News Wala,733,3
614709538594391,Arjun Lal Meena,Arjun Lal Meena,733,3
101033646254647,National Press Times,Sandeep Kumar Rana,733,7
183300397126772,akashgehlotbjp,These ads ran without a disclaimer,733,1
100964012405796,MLA Dr. Saptarshi Banerjee,Arpan Saha,732,2
106732451990988,Ajay Nagariya,Ajay Nagariya,732,5
105253035438899,vivaan_rajput86,These ads ran without a disclaimer,729,1
1574483566114189,Dr. Mamta Pandey,Akash Singh,728,4
100365785318937,Rupesh Singh,These ads ran without a disclaimer,727,8
105028382585197,Namita Kuldeep Shukla,Sachin Srivastava,726,5
1587393841473816,Ravi Rautela BJP,Balram Singh,726,4
107371048916909,O priyatama / ಓ ಪ್ರಿಯತಮ,Oo pretiya thamma / ಓ ಪ್ರೀತಿಯ ತಮ್ಮ,726,5
110050187024069,Chaitanya Raj Singh,These ads ran without a disclaimer,723,1
117589084614453,Bibi Ranjeet Kaur,These ads ran without a disclaimer,722,1
671049086265245,Abhay Patil,Chaitanya Ramesh Dalvi,722,2
100853619171075,Gurpreet Bassi Gogi,Harwinder Singh,722,5
121088499422905,अमोल भारती,Prakhar Kashyap Singh,721,7
259193964748187,Phani Bhushan Kukkadapu,Phani Bhushan Kukkadapu,721,1
1626877920864508,Vodafone Foundation,These ads ran without a disclaimer,721,2
954557594630192,Shubham Pailwee,Subham Pailwee,720,5
105230369208157,Venugopal N Gowda,Venkateshappa Sunil,720,4
303536713760793,Nikhil Madaan,Kuldeep Vats,720,2
394075727695251,Zirakpur Times Tv,Zirakpur Times TV,720,6
332212447369567,IYDA Foundation,These ads ran without a disclaimer,719,1
1983541075203801,BJP Ambala,Bindu Joshi,719,1
114648806633875,"VM Shanmugasundaram M.A.,",Shanmugasundaram Kanimozhi,718,2
107069552104307,Bandi Sanjay - Future of Telangana,Prafful Gyanchandani,718,1
528144820729879,Pramod Sehwag,These ads ran without a disclaimer,717,4
108439297388634,NBI Digital,NBI Digital,717,1
101183362701068,GREAT LEAP Services,These ads ran without a disclaimer,716,1
2271783459814549,Debasis Patnaik,Bibekananda Majhi,716,6
105485297822754,Inc Mudhol Social Media Mission 2023,Inc Mudhol Social Media Mission 2023,715,6
100303961805744,BJP Jind,Bindu Joshi,715,1
103182762667418,Samrat Choudhary,Lalit,714,5
107482561627758,BJP Fatehabad,Bindu Joshi,714,1
951379435055419,Shree Garima Vidya Mandir H.S. School,These ads ran without a disclaimer,714,1
446881655653204,BJP Karnal,Bindu Joshi,714,1
100699685782108,Charanjeev Malhotra,These ads ran without a disclaimer,714,5
100657388642297,Rajinder Sharma BJP,Rajinder Kumar Sharma,714,4
103532752455972,தரணி முருகேசன்,These ads ran without a disclaimer,713,2
100728686018600,Sunahara Bharat Party,FS FINDSCOPE CONSULTANCY LLP,712,2
102407027768613,BJP Nuh,Vineet Joshi,711,1
109633438436905,टीम श्रीराम मद्धेशिया हाटा नगर पालिका,These ads ran without a disclaimer,709,2
111128728516619,Ravindra Mane - रविंद्र माने,Brando Media,709,9
991588634260961,Madhusudan Agrahari BJP,Naveen Singhal,708,11
103416108843131,Dig-Vijay Management App,Digvijay Hanmant Gaikwad,708,1
109484315369782,अनामिका बिहारी,Akash Singh,708,4
163409850806861,BJP Sonipat,Bindu Joshi,707,1
213194026080667,Vishnu Khatri,ANUBHAV JAIN1,707,1
1065727510129084,Datta kulkarni - दत्ता कुलकर्णी,Datta Kashinath Kulkarni,707,1
621339461716781,BJP YamunaNagar,Bindu Joshi,705,1
112142894659387,Ravinder Singh Balyan,Ravinder Singh Balyan,705,1
103542485852046,Swami Vivekanand Gujarat Rajya Yuva Board,Purveshkumar Trivedi,705,5
284582511671909,Rajiv Gandhi Foundation,These ads ran without a disclaimer,705,1
546163992540983,Rajneesh Pateriya,Rajneesh Pateriya,705,2
110718694015884,Red Spot Films Chhattisgarh,Red Spot Films,704,1
102044919376111,Er. Yogesh Luhariya,Yogesh Kumar Luhariya,703,9
497856697060850,We Support Parkash Singh Badal,We Support Parkash Singh Badal,702,2
108271115443450,അന്തീനാട് ശ്രീ മഹാദേവ ക്ഷേത്രം  Sree Mahadeva Temple Anthinad,അന്തീനാട് ശ്രീ മഹാദേവ ക്ഷേത്രം  Sree Mahadeva Temple Anthinad,702,1
613422028675304,Panacea Hospital & Diabetes Care Organization,These ads ran without a disclaimer,701,2
736703353099143,Devidas Anandrao Pingale,Aher Bhushan Ambadas,701,2
262893168909518,blissful_temple,These ads ran without a disclaimer,700,1
449166198915836,Bijender Antil Rai,Pawan Kumar,700,2
105683742327801,The Navjivan,Kuldeep,700,1
102803504457031,Aasmo Digital PVT LTD,Prashant Patel,700,1
117601381315290,ChandraBhan Dhangar,Sakshi Goyal,700,1
109134966355891,"Prachin Healthcare Multispeciality Hospital, Panvel",These ads ran without a disclaimer,700,1
287081048404311,Shailesh Agrawal एकच मिशन शेतकरी आरक्षण,Shaileshkumar Premkishorji Agrawal,700,1
1904257119590627,Ajay Kumar Singh,Himansu Singh,700,1
514806785196534,Gopal krishna Agarwal,Gopal krishna Agarwal,700,2
376020273141421,Sanjay Sharma,Sanjay Kumar Sharma,700,2
1428546280755523,Sulbha Sanjay Khodke,Yash Sanjay Khodke,700,1
109462960842676,Tarik Pardhan,Mohd Tarik,700,1
107479748881098,Arpit SK Yadav : Suhag Nagar Firozabad,Sanjay Kumar,699,3
104661465956117,Sandeep Jaiswal,Ghayas Ahmad,699,9
105763012402010,Laxmi Sanjeev Kumar,Ayush Kumar Gupta,697,7
101593608915868,मानवाधिकार जन जागरूकता प्रशिक्षण कार्यक्रम,These ads ran without a disclaimer,696,2
110900351398119,ssmnidhi,These ads ran without a disclaimer,694,1
117140364687038,उर्मिला पाण्डेय,Brajesh Kumar Singh,694,1
111652400511454,Mukesh Jaiswal Bhartiya,These ads ran without a disclaimer,694,2
1466957313555107,AJAY SAHU,Suraj Sharma,694,1
892715324214105,Nitendra Singh Rathore,Kumar Ratnam Sharma,693,7
100731923011823,Bharatiya Sanyojan,Bharatiya Sanyojan,692,6
106586605140354,बिहार सामाजिक अंकेक्षण / Bihar Social Audit,Sanjeev Kumar Srivastwa,691,1
568675259997108,City Headlines News,Aftab Kamar Khan,691,11
2025252410936193,Shivaendra Pratap Singh,Shivendra Singh,691,8
1877498618981855,Rajesh Bhaida,Rajesh Kumar Meena,690,13
1443694495872539,Alok Ranjan,Rupesh Kumar,690,4
115175213261020,Partner With Indigenous Producers,Partner With Indigenous Producers,689,2
195167817324812,Pawan Khera,Pawan Khera,689,2
1743820172518316,Renu gupta Dinesh,These ads ran without a disclaimer,686,6
113620508007766,Sankha,Sankha,686,5
267503166773,DelhiEvents,Rohit Malik,686,3
100100788842277,Pingmedia,Sparsh Jain,686,1
103685471630781,Digital Smart Research,Digital Smart Research,686,3
109926970408543,Green Digital,Harish Kumar Dube,686,5
105246915893841,Sarvesh Girish Tiwari,Madan Mohan Tiwari,685,1
101473421271430,Girish Krushnrao Pandav,Girish Krushnrao Pandav,685,6
1591165924493137,Kuldeep Chaudhary,Kuldeep Chaudhary,684,4
1479307599032490,InterContinental Chennai Mahabalipuram Resort,These ads ran without a disclaimer,683,1
1556566064607337,Prabhakar Deshmukh - प्रभाकर देशमुख,Prabhakar Deshmukh - प्रभाकर देशमुख,683,1
1062126860561994,B20,These ads ran without a disclaimer,682,2
102578861852952,Naresh Chavda,Akash Chavda,682,4
732239136858078,Kiran Jadhav,Kiran Jadhav,681,5
2233609073566915,Mysore Digest,Mysore Digest,681,3
111332498451992,shankarpurwa Pratham afreen khan,Pranesh Kumar Mishra,680,1
105083428068290,Mohit Monu Mahajan,Kuldeep,680,8
1030516517105920,Bannaram Meena - बन्नाराम मीणा,Ramkesh Meena,680,7
427428084040490,Rajkumar Saini Bishangarh,fs findscope consultancy,680,1
101665552902080,नेतृत्व है तो समाधान है,TSM,679,2
247140269094021,Prashant Thakur,Kishor Kisanrao Hinge,679,2
107852001489625,BJP SIRSA,Bindu Joshi,679,1
103670574784748,I Support Modi JI,Kuldeep Sharma,678,2
111783240193094,Namma Bharat,Namma Bharat,678,1
103874652235936,Dhan Singh Negi,Dhan Singh Negi,678,3
102454349319158,Vijay Chaudhary,These ads ran without a disclaimer,678,1
101775955847197,MIT Dhalwala Rishikesh,Kuldeep Chaudhary,678,2
139543086649744,Meena Chauhan Raison,Bipin Singh Papola,677,2
281000538755179,MLA Nirmal Chaudhary Ganaur,These ads ran without a disclaimer,676,2
107741828978621,Bharatbhushan Verma,These ads ran without a disclaimer,675,6
100551816659237,Apeejay Stya University,These ads ran without a disclaimer,675,2
111898977240917,Akarsh Sriramoju,Akarsh Sriramoju,675,11
102216948174334,Sikander Kumar,These ads ran without a disclaimer,675,3
589628137780500,Mirchi News,Mirchi News,674,2
103818271891985,Taj khan Social Activist,Taj Khan,673,6
562425824148518,Dr Padmalatha Anusuri,Thulasiram Banduchode,673,5
225521634158241,North Point Children's Academy,Kuldeep Chaudhary,673,3
110495861367475,Ankit Das,Somil Agarwal,673,1
107801838537744,Rajesh Katara,Rajesh Katara,672,4
351865451936004,Fedbank Financial Services Ltd - Fedfina,These ads ran without a disclaimer,672,1
1412877062133423,Nayan Pal Rawat,Nayan Pal Rawat,671,2
108212945512212,Hitendra Naik,These ads ran without a disclaimer,671,2
101060388291952,BJP Chikodi District,Prasad Pachandi,670,3
121684857569811,Team Dr. Rajneesh Pandey,Softweblink Solutions,670,1
102534345657355,News12,Goldy Tyagi,669,2
110630421099757,News Malnad,News Malnad,669,1
1729455344035613,Bhavna Jain,These ads ran without a disclaimer,669,1
111287544024170,BJP Jhajjar,Vineet Joshi,668,1
114604569954881,D C Gowrishankar,D C Gowrishankar,668,1
102591311356233,Pro UP News,Deepak Chauhan,667,1
1427678110829525,Ranjeet Singh,Neeraj Mehta,666,6
113990793775745,BJP Rewari,Vineet Joshi,666,1
2562278837178609,Brijendra Pratap Singh,Brijendra Pratap Singh,666,3
107925112296185,Shamim Ahmad,Santosh Kumar,666,2
107481391588834,BJP Mahendragarh,Vineet Joshi,666,1
109734834955664,Bjp Rohtak,Vineet Joshi,665,1
558327294318509,BJP Palwal,Vineet Joshi,664,1
1623225687796057,Pradeep Vatade,Pradeep Vatade,664,1
110637648671482,समीर कुमार विश्वकर्मा,Pranesh Kumar Mishra,664,3
386450455237786,BJP Bhiwani,Vineet Joshi,664,1
100745779185406,BJP Charkhi Dadri,Vineet Joshi,663,1
437822899974138,Dr. Yogesh Yadav,Ujjval Jain,663,6
1743820172518316,Renu gupta Dinesh,Prakhar Kashyap Singh,663,3
114765701597096,Raj company Pan pencil homework job advance 15000 salary 30000,These ads ran without a disclaimer,663,2
102368932850857,सबसे उचित और लोकप्रिय सभासद प्रत्याशी.,Pankaj Kumar Gautam,663,2
109656810435165,Aapla Awaj News Network,Prathamesh Somnath Kadam,662,1
103377136023452,Dhiraj Yadav AAP,Kavita Kumari,662,2
102295288495831,Rohit Jain,Rohit Jain,661,6
127874421264246,Ar. Vipul Mandoli BJP,Vatsal Kumar,661,2
854256021383031,Vinod Sevan Lal Chandrakar,These ads ran without a disclaimer,661,10
102166479516631,प्रदीप बंसल चेयरमैन प्रत्याशी,These ads ran without a disclaimer,660,4
176089986348646,B G Govindappa,K Manjunatha,660,1
1001966503224008,Happy Faces Vadodara,Happy Faces Vadodara,658,2
2349566095263336,Bjp Panipat,Vineet Joshi,658,1
118907931469267,ChildFund India,These ads ran without a disclaimer,658,2
115116164969,The Blue Yonder,These ads ran without a disclaimer,657,1
111983808529642,bhnnews,These ads ran without a disclaimer,657,2
918414611597115,Amar Prasad Reddy,Amar Prasad,657,2
647578265426509,Gurdev Sharma Debi,Gurdev Sharma,657,2
105854819170835,प्रिय कीर्ति,Rishi Tripathi,656,1
