Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
1511782779066279,Indian National Congress - Karnataka,Indian National Congress - Karnataka,14711778,141
486980998032652,BJP Karnataka,Bharatiya Janata Party (BJP),9305430,232
109470364774303,Ellorum Nammudan,Ellorum Nammudan,1301618,868
104211439033799,Jagane Kavali,Jagane Kavali,983573,195
104516512296314,Kartikeya Sharma,Kartikeya Sharma,873231,203
107395897271506,Kutumb,Swatantra Verma,752524,38
123405501008524,Mercedes-Benz India,Mercedes-Benz India,716989,12
82770185952,Bisleri,These ads ran without a disclaimer,672357,1
30290552843,Greenpeace India,Greenpeace Environment Trust,661913,374
206810882806875,Samvada ಸಂವಾದ,Samvada ಸಂವಾದ,653685,94
349222085840969,Youth in Politics,Indian Political Action Committee,640469,169
791496597580042,Miracles Academy Of Arts & Media Pvt.Ltd.,Miracles Academy Of Arts & Media Pvt.Ltd.,560932,7
21169267101,Give,Give,541214,165
102811167950527,Janata Dal Secular,Pancharatna Yojane,536965,19
100626912687369,Congress Baralide Pragathi Taralide,Congress Baralide Pragathi Taralide,506981,65
411129449009589,K.C. Venugopal,K.C. Venugopal,502169,177
200480966638039,Supremacy 1914,These ads ran without a disclaimer,488114,2
404746486258732,Project Nanhi Kali,Project Nanhi Kali,469128,56
1762674497304794,R V Deshpande,R V Deshpande,403820,357
106461617679070,Meta,Facebook Inc.,401888,3
100549119644561,Jo Ram Ko Laye Hain Hum Unko Layenge 2024,Jo Ram Ko Laye Hain Hum Unko Layenge 2024,391548,10
327120054405346,Jagananna ki Thoduga,Jagan Anna ki Thoduga,385559,90
102099855874205,40% Sarkara - 40% ಸರ್ಕಾರ,40percentsarkara,381131,70
23802140373,Accenture,These ads ran without a disclaimer,366216,2
111525635603133,C T Ravi,Vijay S,337413,14
375554899138007,Maharashtra DGIPR,Maharashtra DGIPR,319853,32
374053839347947,Aam Aadmi Party - Punjab,Aam Aadmi Party - Punjab,310347,15
174283119250672,Bal Raksha Bharat,Bal Raksha Bharat,291363,41
111527528465749,Rao Prem Singh,Rao Prem Singh,291045,7
479998865355592,Aditya Birla Group,Aditya Birla Group,286982,61
278423842321236,BJP Rajasthan,Bharatiya Janata Party (BJP),273491,439
103782051383159,School of Politics,School of Politics,270657,181
270666596375251,Jhatkaa.org,Jhatkaa.org,257107,29
220333908099821,Aam Aadmi Party Karnataka,Aam Aadmi Party Karnataka,252356,60
100907784722781,QR 678,QR 678,247836,10
113364544766243,Congress Kallekai - ಕಾಂಗ್ರೆಸ್ ಕಳ್ಳೇಕಾಯ್,CongressKallekai.com,246819,59
108080828884036,Gehlot Phir Se,DesignBoxed,232563,79
116650004667508,Karamjit Kaur Chaudhary,Karamjit Kaur Chaudhary,224895,211
1401117106783618,Bjp Chhattisgarh,Bharatiya Janata Party,220151,557
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,205550,237
630955390420927,Amitabh Bajpai,Hari Om Tripathi,204183,135
191399134327652,aramco,These ads ran without a disclaimer,198584,3
847468055440721,Abhay Singh,These ads ran without a disclaimer,195990,1
101284456085904,Team Jagananna,Team Jagananna,195920,28
124366547225308,ಜಯಶ್ರೀ ಕೆ.ಎನ್. ರಾಜು - ಗುಂಡ್ಲುಪೇಟೆ,Kalavathi M,185696,126
108777655527686,Trinamoole Nabo Jowar,Trinamoole Nabo Jowar,183791,56
1041070232620031,Sesame Workshop - India,Sesame Workshop India,174265,37
114423274957250,"Nivedith Alva - ""ಪ್ರಗತಿಪರ ಯುವಸೇವಕ""",Coceptual Media,172373,190
808339755882267,Suresh Shetty Gurme,Suresh Shetty Gurme,169319,136
132689140088396,smilefoundation,smilefoundation,167990,26
284805671674675,Krishna Byre Gowda For Bengaluru North,Krishna Byre Gowda For Bengaluru North,166496,43
193488666400,McMaster University,These ads ran without a disclaimer,163989,1
102835346135703,Fans of Gurme Suresh Anna,Gurme Suresh Anna,162986,77
1101097403326599,Chief Electoral Officer Karnataka,Chief Electoral Officer Karnataka,162824,108
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,157123,75
797927846899300,Flag Foundation of India,Flag Foundation of India,155747,21
330760810293224,HelpAge India,HelpAge India,151176,33
113125761613615,Namma CM Bommai,Kiran A,144206,60
112952941626423,ನಿಮ್ಮ ಸಿದ್ದಾರ್ಥ ಸಿಂಗ್,ನಿಮ್ಮ ಸಿದ್ದಾರ್ಥ ಸಿಂಗ್,137281,99
102098615927130,Nam Namo - ನಮ್ ನಮೋ,karunadueesanje.com,132978,48
107334185444129,Charitism Global,Charitism Global,132160,10
107594063255738,Ankur Warikoo,These ads ran without a disclaimer,127284,17
100232173035863,Congress Kallekai - ಕಾಂಗ್ರೆಸ್ ಕಳ್ಳೇಕಾಯ್ Videos,Congress Kallekai - ಕಾಂಗ್ರೆಸ್ ಕಳ್ಳೇಕಾಯ್ Videos,127256,31
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,126313,173
1235786446534273,Ajeet Patil Kavhekar,Rahul Rajendra Birajdar,126311,24
107567748879463,Surendra Kumar Saraf,Surendra Saraf,125324,9
104052753400618,Union Bank of India,Goldmine Advertising Limited,120298,34
100855212912542,Hunsur ulisi manjanna gellisi / ಹುಣಸೂರು ಉಳಿಸಿ ಮಂಜಣ್ಣ ಗೆಲ್ಲಿಸಿ,Hunsur ulisi manjanna gellisi / ಹುಣಸೂರು ಉಳಿಸಿ ಮಂಜಣ್ಣ ಗೆಲ್ಲಿಸಿ,120032,51
204689143344832,MX Player,These ads ran without a disclaimer,117218,6
106280695607208,Dr Ajay Kumar Singh,Rakesh Kumar,115338,36
150106531736299,BJP West Bengal,Bharatiya Janata Party (BJP),114892,194
163382127013868,Shiromani Akali Dal,Shiromani Akali Dal,112482,82
105469904495866,AP Digital Corporation,PromoDome Digital LLP,112425,2
165714096933078,Piyush Goyal,Piyush Goyal,108467,2
138187802907388,Life at Mars,These ads ran without a disclaimer,108239,2
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,106806,19
109354741887336,Youth For Udhay Anna,Youth For Udhay Anna,106245,113
1947296068903392,Vinay Saxena,Manish Soni,105099,10
562212137468656,S D DILIP KUMAR,S D DILIP KUMAR,103985,73
102112998968049,भाषण कला स्पेशल,Pavankumar Dadasaheb Jadhav,103539,20
317187395100509,Vikramjit Singh Chaudhary,Vikramjit Singh Chaudhary,103394,117
605390272841833,Shrirang Appa Barne,Abhay Balu Ahire,103355,30
105671775473178,Jan Suraaj,Jan Suraaj,102410,28
221256415973730,Ankuram IVF,Ankuram IVF,101326,31
114233898263244,Indian Compass Videos,theindiancompass.com,101043,270
449378495112356,Swades Foundation,Swades Foundation,98619,22
103357492023752,Muralidhar Patil मुरली दादा पाटील,Muralidhar Patil,96950,56
109545244848137,Crafto,Kutumb App,96640,15
107878575961821,Sukhbir Singh Badal,Shiromani Akali Dal,96129,17
242854309081857,Hanuman Beniwal,Hanuman Beniwal,95639,3
113125761613615,Namma CM Bommai,Manjunath N,94721,48
103567102688791,Aam Karobari,Kabir Singh Virk,94303,4
253882521658554,Dr Somya Gurjar,Rajesh Goutam,91563,6
1598548487048992,Basavaraj Bommai,Basavaraj Bommai,91099,56
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,89835,17
148010855792512,HK Suresh,Sai Kiran,89379,118
296002831234834,Swapnil Kothari,Swapnil Kothari,87555,9
106090269114819,The Hope - Shobha Karandlaje,Basavachetan,87516,12
640369399392914,Baijayant 'Jay' Panda,Baijayant Panda,86980,14
129687976696624,Proud BJP Karyakarta -Shobha Karanlaje,Basavachetan,86944,12
953600271404690,BJP Meghalaya,Bharatiya Janata Party,86926,72
103370585969591,Baghel ka Bharosa,Baghel Ka Bharosa,86357,36
109605585437681,Collector Thoothukudi,Dharanivel Kandhasamy,86227,6
114552704834271,Hullalli Suresh Balaga - ಹುಲ್ಲಳ್ಳಿ ಸುರೇಶ್ ಬಳಗ,Sai Kiran,85772,52
925007000949719,ExxonMobil,These ads ran without a disclaimer,85363,4
118227367824577,Garuda Aerospace Pvt Ltd,Garuda Aerospace Pvt Ltd,82994,12
811330598995413,Jagadeesh Gudagunti,Kice Media,82895,28
805526169610318,Shubhashray Housing India,shubhashray housing india,82224,11
1571167366231304,Ramakant Bhargava,Saket Bhargava,81416,42
115452171516554,V. Somanna 4 Varuna,Sai Kiran,80659,22
355739144465220,BJP Madhya Pradesh,Bharatiya Janata Party (BJP),79949,47
703726259672921,BJP Telangana,Bharatiya Janata Party (BJP),79338,169
653585468018416,Ramesh Bhusanur,KICE MEDIA,78528,52
103366971822681,Sab Fade Jange -ਸਭ ਫੜੇ ਜਾਣਗੇ,Digital Maniaz,78522,4
117426084569698,Unfiltered Jammu Kashmir,Unfiltered Jammu Kashmir,78327,144
271925582604,Citizens For Justice and Peace,Citizens for Justice and Peace,78188,9
531434090219534,Aam Aadmi Party Bangalore,Aam Aadmi Party Karnataka,77351,26
111625317182506,Inayat Ali,DesignBoxed,77100,158
101097592338106,माँ अम्बिका विहार धामनोद,Aashish Patel,75892,22
285029500623,CARE India,CARE India,74537,47
132309676835568,Lokmat,Pranoti Vasant Dalvi,73924,25
110861872278207,Asianet Suvarna News,Asianet Suvarna News,73742,15
110329305336126,Saurashtra Tamil Sangamam,Saurashtra Tamil Sangamam,70464,12
1987488401557504,Mahathugbandhan - महाठगबंधन,Mahathugbandhan - महाठगबंधन,70120,105
189271178483352,Five Lotus Indo German,Five Lotus Indo German,69877,64
112399491818085,अविरल चल अनुराग,GST Marketing,68808,16
104211439033799,Jagane Kavali,These ads ran without a disclaimer,68062,7
110555385263382,Jaagta Jammu,jaagtajammu.com,67977,183
108672068366317,बृजेश गुप्ता,Mukesh Singh,67657,94
201141296623500,Prakash Koliwad,Prakash Koliwad,67290,36
129937706674391,We are with Shobha Karandlaje,Basavachetan,66237,12
115222701524003,We Support Shobha Karandlaje,Basavachetan,66231,12
354466314735782,Neeraj Bali,Navdeep Singh,66182,21
103802375129251,Khabarsar Punjab,Digital Maniaz Private Limited,66009,7
133214133452242,IndiGo,These ads ran without a disclaimer,65591,1
147694659289470,Ashok Managuli,Ashok Managuli,64694,44
1327351450720146,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Pharmaceuticals & Medical Devices Bureau of India,64622,4
912096938897209,Vijay Singh,Vijay Singh,63670,278
102123079337554,International Society for Krishna Consciousness,ISKCON Delhi,63447,7
102819959381651,COP28 UAE,These ads ran without a disclaimer,62111,2
492852630727055,Rajkumar M Topannavar,Rajkumar Mahadev Topannavar,61353,58
1735584716762864,Dr. Sukhwinder Kumar Sukhi,Dr. Sukhwinder Kumar Sukhi,60931,38
584025382087845,தமிழ் NEWJ,Anant Bhardwaj,60801,9
106844625621727,Karnataka Rashtra Samithi Ballari,K Srinivasa Reddy,59407,75
101571686227986,Fans of ਦੀਪ ਸਿੱਧੂ - Deep Sidhu,Real Social,59226,222
301902473766068,முதல்வன் OPS,முதல்வன் OPS,58201,160
226716647471508,Vinay Kumar Sorake,Vinay Kumar Sorake,58130,61
101993642891067,Sada Jalandhar,Abhishek Shukla,57383,61
100735178208398,Udyami India,Samadhan Samiti,57163,2
102379519139483,जल जीवन मिशन महाराष्ट्र,जल जीवन मिशन महाराष्ट्र,56818,22
147699975283367,Ranajagjitsinha Patil,Trimurti Techserv Pvt. Ltd.,55897,30
140861612672485,Umesh Gautam,Ayushi Agarwal,55855,56
523910214803313,आमचं ठरलंय,Sachin Sarjerao Jadhav,54661,6
685881558130468,Kamal Nath,Kamal Nath,54503,11
1785302198354679,Dr. Somendra Tomar,Somendra Singh,54321,125
104736419210593,PACE INDIA,PACE INDIA,53984,12
424429107582290,BJP Gujarat,BJP Gujarat,53799,209
105861005829107,Kaup Central,Kaup Central,53752,32
102829655999310,Abdul Hameed Mushrif - ಅಬ್ದುಲ್ ಹಮೀದ ಮುಶ್ರೀಫ್,Nitesh Mahesh Pogul,53675,186
696067314066568,Mahesh Tenginkai,BrandRaga,53537,22
1927351340858687,ಬಿ ಪಿ ಹರೀಶ್,Gowda Basavana,53284,13
444000972398140,Dr. Ajay Dharam Singh,Ramkishan Singh Maninder Singh,53229,90
343731449001203,Dainik Savera,Mohit Johari,52672,35
102396665854888,Neythal,Neythal,52466,4
109513638786773,Voice of Kumta-Honnavara,allaboutadwords,51942,88
120933600163137,Prachar King,Sachin Srivastava,51537,13
104878157547649,H Nagesh,Hk Ramesh,51176,12
126472130743436,GE HealthCare,These ads ran without a disclaimer,51146,2
1667882310017329,Navbharat Gold,These ads ran without a disclaimer,50818,11
101725179390221,Jay Prakash Sharma,Jay Prakash Sharma,50487,28
112982334954590,Inferno Analytics,Inferno Analytics,50270,111
204599692918446,Rajesh Ranjan,Rajesh Ranjan,50208,145
117862321216853,ਸੂਝਵਾਨ ਪੰਜਾਬ - Soojhwan Punjab,Rise Solution,50198,185
114907348250593,Team Dinesh Hegde,Dinesh Hegde Molahalli,50127,29
1850064485271092,Vijay Kaushik,Kanav Kathuria,50080,361
270111243000982,Harsimrat Kaur Badal,Harsimrat Kaur Badal,50000,1
1826435860922199,Rajkumar Rawat,Martand Dev,49160,6
168108886585073,Sustainable Energy for All,These ads ran without a disclaimer,49147,3
105480588701638,The Summer News Delhi,Gagandeep Singh,48498,7
556794794409307,Sapthagiri Gowda,Sapthagiri Gowda,48491,31
505327936635830,Ashok Chandak,Coceptual Media,47826,145
108505858773239,Madhya Pradesh Police,Madhya Pradesh Police,47617,23
100579492974806,Garibo Ke Modi,गरीबों का मोदी,47487,3
122131984855152,Dr. Debraj Shome,Dr. Debraj Shome,46945,2
1826491730900559,Keshava Rajanna B,Abishek Nb,46787,118
100974976268078,Thp Gift,Lata Vani,46090,10
111174918614498,ಕವೀಶ್ ಗೌಡ ಅಭಿಮಾನಿಗಳ ಬಳಗ,Codeflurry Technologies,45682,36
30290552843,Greenpeace India,Greenpeace India Society,45353,6
1468615483155325,Tankadhar Tripathy,Tankadhar Tripathy,45288,79
26781952138,The Times of India,The Times of India,44622,1
114905439949088,Karuna Ashok Chandak,Coceptual Media,44205,114
148643788877368,BJP Manipur,Bharatiya Janata Party,44134,87
105478632537093,Priya krishna Youth Leader,Naveen Kumarc,44068,7
102218576103904,Badlaav ki Aandhi Priyanka Gandhi,Badlaav Ki Aandhi Priyanka Gandhi,43424,44
111849175115505,ದಾಸರಹಳ್ಳಿ ಜನಾಭಿಮತ - Dasarahalli Janabimatha,S Sendil Kumar,43364,23
438732172878624,Aravind Limbavali,Aravind Limbavali,43055,26
685881558130468,Kamal Nath,Abhay Tiwari,42871,8
286385214770352,Hindu Sena,Hindu Sena,42751,2
100593272504732,Brand Flex : Business Post & Festival Images,These ads ran without a disclaimer,42715,21
105978524767243,ರಾಷ್ಟ್ರೀಯ ಪಕ್ಷಗಳ ಮುಕ್ತ ಕರ್ನಾಟಕ,ರಾಷ್ಟ್ರೀಯ ಪಕ್ಷಗಳ ಮುಕ್ತ ಕರ್ನಾಟಕ,42500,7
190806964401872,Srinivas Mane,Sameerkhan S Havaldar,42373,14
228661333934484,Bikram Singh Majithia,Shiromani Akali Dal,42000,8
2078242259060363,Kukufm,Mohana Saha,41992,13
109805501780466,Summer News Punjab,Summer News Punjab,41828,15
220915357934024,Arvind Sangal,Bharat Sangal,41634,33
100453486197309,Abdulla Gulzar,Abdulla Gulzar,41258,38
107153958711155,South First,South First,40962,77
1925563641096276,S T Somashekar,S T Somashekar,40237,74
1455588374684644,V Muraleedharan Fans,V Muraleedharan Fans,40178,6
516576275094648,BJP Assam Pradesh,Bharatiya Janata Party (BJP),40011,140
220803731286272,Panasonic India,Amit Chauhan,39804,3
110458847449388,Dr. Narayana Gowda / ಡಾ. ನಾರಾಯಣ ಗೌಡ,Vijay S,39771,5
108399775568806,Shafeek Ahamad Ansari,MakeYouBig Media Pvt. Ltd.,39404,28
1012334315631172,Anil Firojiya,Kapil Jain,39241,7
113484060843656,The Unmute,The Unmute,39154,30
347337386104390,Rama Chandra Yadav,B Ramachandra,39074,20
110690189264557,We Support Shiromani Akali Dal,We Support Shiromani Akali Dal,39000,7
1436053929837684,Dr. Mahendra Singh Shekhawat,Dr. Mahendra Singh Shekhawat,38991,33
33497111948,Child Rights and You,Child Rights and You,38819,4
524165647975801,Arvind Chaudhary Chintu,Arvind Choudhary,38424,31
108531050841926,Shanu Yadav,Shanu Yadav,38259,28
105209472211637,Voice of Andhra,Voice of Andhra,38255,11
287842647957979,EU International Partnerships,These ads ran without a disclaimer,38213,5
100380944916786,Sangeeta Jaiswal,Sangeeta Jaiswal,38150,84
106096349113475,AP NextGen Politics,Digital Wala Company,38011,9
200156893402558,Sushil Rinku,Sushil Rinku,37889,13
466835200043903,उमेद अभियान - Maharashtra State Rural Livelihoods Mission,MASRLM,37838,22
21169267101,Give,These ads ran without a disclaimer,37538,11
994578073995343,B. L. Verma,Sourabh Arvind Dubey,37302,125
104071715577392,SK International Sainik School Retharedharan - Sangli,Sanket Vinodkumar Surana,37072,12
106822042373219,BC Raavaali - AP Maaraali,Digital Wala Company,36573,7
140930379388330,Kishan Reddy Gangapuram,Kishan Reddy Gangapuram,36472,3
999917373375145,VD Sharma,VD Sharma,36471,26
100725272901469,"Abdul Hameed Mushriff Fan's Club""","Abdul Hameed Mushriff Fan's Club""",36288,201
107039538786110,Shivakanth Mahajan,Shivakanth Mahajan,36227,3
113426798390891,Shatrohan Sonkar,Aksh Bhargava,36027,35
1927264154193069,Dr I S Tomar,Santosh Kumar,35981,23
108927025203555,BJP Jalandhar Lok Sabha,BJP Jalandhar Lok Sabha,35878,26
334992293683612,Dr. Pramod Sawant,Dr. Pramod Sawant,35527,2
116383754696955,Antardhwani - The Inner Voice,Antardhwani,35497,20
106154555410671,Santhosh Kamath AAP,Sushanth Bv,35457,11
111132015103321,K R Sridhara Reddy,K R Sridhara Reddy,35078,24
2238940452991193,Santosh Pandey,Kunal Jitendra Ajmera,34899,6
100881489585554,Gururaj Gantihole / ಗುರುರಾಜ್ ಗಂಟಿಹೊಳೆ,Gururaj Gantihole / ಗುರುರಾಜ್ ಗಂಟಿಹೊಳೆ,34898,43
652657388214939,BJP Nagaland,Bharatiya Janata Party (BJP),34809,30
104719664464698,Prashasnik Gurukul,Shraddha Singh,34575,7
126680654670226,विमल द्विवेदी,Anchit Shri,34440,74
129093997253405,C.R.I. Group,C.R.I. Group,33917,7
104737206546251,Rakesh k Shukla,Entertainment Chacha,33898,17
107011868950890,মোদীৰ সৈতে অসম,মোদীৰ সৈতে অসম,33607,177
101939526213473,Asha Thimmappa Puttur ಆಶಾ ತಿಮ್ಮಪ್ಪ ಪುತ್ತೂರು,webrainy,33596,6
121709057531656,Allamprabhu Patil,Allamprabhu Patil,33455,20
104830828593863,ಮುರುಗೇಶ್ ನಿರಾಣಿ ಅಭಿಮಾನಿ ಬಳಗ,Nishchal Jain,33445,79
112270261337977,Asif Raju Sait,Asif Raju Sait,33008,4
113102191724630,H.S. Shivakumar,Digi-Ants Digital World,32980,38
282198256011533,PM Narendra Swamy,PM Narendra Swamy,32937,11
171812199887301,SR Srinivas Gubbi MLA FC,Asthra Digi Tech ADT,32708,28
151894932136869,ನಾಡೋಜ ಜಗದೀಶ ಗುಡಗುಂಟಿ ಅಭಿಮಾನಿ ಬಳಗ,Kice Media,32705,19
173132270075189,Dr. S Shivaraj Patil,Dr. S Shivaraj Patil,32599,4
113007061680460,Sneha Jeevi Mane maga manjanna / ಸ್ನೇಹ ಜೀವಿ ಮನೆ ಮಗ ಮಂಜಣ್ಣ,Sneha Jeevi Mane maga manjanna / ಸ್ನೇಹ ಜೀವಿ ಮನೆ ಮಗ ಮಂಜಣ್ಣ,32516,25
111952081817086,Dr. Mahaveer S. Danigond,Prabhakar Basavaraj Aparaj,32481,5
110809634572462,Mathurbhai Savani,Mathurbhai Savani,32383,7
1387097964895506,GlobalLogic India,These ads ran without a disclaimer,32284,10
1559211387686845,Log 9 Materials,These ads ran without a disclaimer,32258,1
365136584238569,Shiv Deswal,Shiv Deswal,31986,48
109141098395573,Inclusive Minds,Inclusive Minds,31417,6
100998455540553,Satnam Singh Sandhu,Parveen Kumar,31315,63
528307847248802,Indian National Congress -  Madhya Pradesh,Abhay Tiwari,31291,15
105367865882955,CV Raman Nagar Constituency INC,Shankaravel Jayadevan,31129,11
364476590604680,Surya Samachar,Ajit Kumar,31099,54
2025274010873024,Thokala Srinivas Reddy,Sanvi Kreations,31076,12
217357858697964,Engineer Muazzam,Faraz Abid,31026,18
213947398791863,Dhananjai Singh Khimsar,Dhananjai Singh,30823,62
165520803610331,TimesPro,These ads ran without a disclaimer,30760,7
1012740472118925,Thammesh Gowda HC,Thammesh Gowda HC,30669,22
102711995950909,Pushpa Singh,Anurag Tiwari,30508,32
217357858697964,Engineer Muazzam,Sahal Khan,30508,21
333426070147135,Benny Kuriakose Associates,Benny Kuriakose Associates,30287,7
138323482894268,Taruni,Taruni,30282,14
110982171838366,Shashikala Jolle - Nipani Fans,Raghaveendra Gidd,30212,10
104888181587151,CV Chandrashekar,CV Chandrashekar,30173,3
103812439247204,Keshava Rajanna B Fanpage,Keshava Rajanna B Fanpage,30088,43
530490267348228,Byatarayanapura Speaks - 2018,Byatarayanapura Speaks - 2018,30083,16
115452171516554,V. Somanna 4 Varuna,Basavachetan,30046,24
184037471806795,Om Rajenimbalkar - ओम राजेनिंबाळकर,Sagar Sarangdhar Randive,30039,1
106917495262631,Arvind Kejriwal ಬೆಂಗಳೂರು,Kamran  Shahid,30014,18
100328978216424,"Fight Pollution, Not Plastics",Nitesh Singh,30000,12
304563947108797,Kinder World - हिंदी,These ads ran without a disclaimer,29841,2
169431409884839,Srinivas Gowda Hanumaiah,Digiants,29736,46
521639147910659,Bhagirath Choudhary,Ujjval Jain,29728,6
137234473729985,Subhash  Rathod,Subhash V Rathod,29661,34
214875725850773,Wehindustan News,Wehindustan News,29589,38
2205544183064603,Surender Panwar,Ashish Sakhuja,29522,174
100847676325098,V. Somanna 4 Chamarajanagara,Basavachetan,29364,24
108734862138528,Thug of MP,Thug of MP,29272,74
1826687970879874,Haji Zameer Ullah Khan,Haji Zameer Ullah Khan,29212,23
168545223213479,Omprakash Hudla,Pankaj Sharma,29123,2
105791528533183,ವಿಕಾಸ ಕಾರ್ಕಳ Vikasa Karkala,Basavachetan,28951,3
1399553863632546,Kolan Hanmanth Reddy,Kolan Hanmanth Reddy,28668,24
115883701481069,Hubballi Central Speaks,Giridhar Hiremath,28659,43
100226310084172,University of Reading,These ads ran without a disclaimer,28515,4
102112294844241,Hemlata Diwakar Kushwaha,Puneet Kumar Singh,28441,25
100593012792684,Keerthan Kumar,Praveen L,28401,17
1537738593135653,MP Renukacharya,MP Renukacharya,28170,19
100921714878083,Fan Of Sambit Patra,BOL7 Technologies Private Limited,28139,99
103978051023455,Hunsur Manjanna fans,Hunsur Manjanna fans,27902,27
1644165492504830,Anekal Ramoji Gowda,Ramoji Gowda,27895,43
105352585115651,H P Manjunath MLA,H P Manjunath MLA,27871,5
216506801885954,Pankaj Chaudhary,Yash Bagh,27863,56
1992965680961300,Dr. Uday B. Garudachar ಅಭಿಮಾನಿ ಬಳಗ,Dr. Uday B. Garudachar ಅಭಿಮಾನಿ ಬಳಗ,27815,37
306387566086726,T B Jayachandra,T B Jayachandra,27746,10
922534064468145,Capt. Meenu Beniwal,Jasvinder,27617,16
167342450557100,Sultan Singh Shekhawat,Sultan Singh Shekhawat,27494,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,27461,1
806181806121459,Harshvardhan NandKumar Singh Chouhan,Ishan Mishra,27458,21
537021156329658,Sukhbir Singh Jaunapuria,Pankaj Sharma,27412,3
115020639874323,Yasirkhan Pathan,Hind Technologies,27056,6
104247095949918,K B Ashoka Naik,Digi-Ants Digital World,26784,37
103059428486872,संगीता आलोक गुप्ता,Bhavesh Chandel,26745,40
394168494317389,MIT World Peace University,MIT World Peace University,26626,8
1932900346831325,Rajesh D Sanghvi,Rajesh Dineshchandra Sanghvi,26595,18
175171476249639,Dr. Umesh Mahabalshetti,KICE MEDIA,26479,10
947576045413714,Appachu Ranjan Mla,Vinay Simha Krishna,26297,13
128035066864788,Yuva Matha,M Ramyalakshmi,26230,58
1946677692220383,राजेन्द्र प्रसाद गुप्ता ' रज्जू ',Anuman,26102,84
1108242266050014,Mohan Lal,Kanav Kathuria,26101,65
592025620827002,Choudhary Lal Singh,Divya Suraj Partap Singh,26082,11
318205675275285,APL Apollo Tubes Limited,APL Apollo Tubes,26000,13
1622717307846846,Pracharak Advertising and Promotion,Pracharak Advertising and Promotion,25997,4
117661964547522,ಕುರಗೋಡು,Valmikimithra,25966,7
1421188744673725,Dharmveer Patrakar,Dharmveer Patrakar,25886,24
112783995126450,Dr. Saket Bhargava,Saket Bhargava,25872,10
675268652538693,Dr Dhan Singh Rawat,Dr Dhan Singh Rawat,25802,10
147604521417894,Bestbabycontest_TBTA,These ads ran without a disclaimer,25749,1
104715015355419,Sudhakar Shetty Brigade,Sudhakar Shetty Brigade,25620,16
100126289743823,Manjula Karadi,Shivkumar Reavansiddappa Mamadapur,25519,17
100739659684071,T S Srivatsa,BJP Mysore,25440,14
101437656247049,Modi Quotes,Modi Quotes,25433,27
112977871776752,Varuna Constituency Trending,Sai Kiran,25421,3
171538063001636,Global Punjab TV,Navdeep Singh,25275,13
112709838355954,Prachar99,Prachar99,25226,9
332868817459641,Arvind Limbavali fans,Arvind Limbavali fans,25113,15
578430339598121,Lalit Panwar,Kanav Kathuria,25064,150
313837766031848,Kuldeep Dhankar,Rahul Singh,25041,10
105863649164971,TheSwitchads_,Indu  Rayadurgam,24953,8
242426286149904,Dr K B Tripathi,Utkarsh Batham,24889,58
100399135166564,Office of narayan patel,Rajnarayan Gurjar,24845,7
110012960710286,Dheeraj Muniraj,Sivaramakrishna Kolusu,24816,12
113819783860759,Dinesh Khatik,Harish Sahrawat,24797,52
1438724319681116,DK Shivakumar,DesignBoxed,24784,55
102976016109737,AP With Lokesh,Politics for Impact,24773,13
108923581963430,Nirmamata,Nirmamata,24748,171
112366545163050,"प्रवीन भारद्वाज - प्रत्याशी महापौर, मथुरा वृंदावन",Udit Upadhyay,24610,15
103812439247204,Keshava Rajanna B Fanpage,Abishek Nb,24525,65
107414168269023,Telangana Atma Gouravam,telanganaatmagouravam.com,24510,66
107388915676520,Sudha Devi - सुधा देवी,Avyakta Singh,24321,12
101781849557465,Mahaveer Katariya,Rajesh Kumar,24286,19
337091703042531,Colour Media,Hemant Kumar,24262,12
1471581409720618,BJP Uttar Pradesh,Bharatiya Janata Party (BJP),24082,337
291419550990676,Krishna Byre Gowda,These ads ran without a disclaimer,24000,2
619380398128358,Pradipsinh Vaghela,Pradipsinh Narendrasinh Vaghela,23961,21
105494724815217,Mahesh Sharma,Mahesh Sharma,23942,14
111921525190110,Jayaho BC,Digital Wala Company,23715,4
935393763168389,Vinod Agrawal,Somil Agarwal,23579,83
102625849396266,Jcoder,Sattar Ali,23531,1
108271655348199,Since Independence न्यूज़,Bhanu Pratap Singh,23491,10
188649165145127,S R Srinivas,asthra digi tech - ADT,23375,27
1331545046906640,Gottumukkala Venkateshwara Rao,Venkateswar Rao Gottumukkala,23343,6
148475051852754,Rockefeller Foundation,These ads ran without a disclaimer,23206,4
103040206040226,Dr. B S Ajaikumar's Thought Leadership,Dr. B S Ajaikumar's Thought Leadership,23186,24
