Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
110744388005630,Arbaz Raza Bhutta,Arbaz Raza Bhutta,6603,23
105396082410434,White News English,White News English,6551,9
111433061670373,Ali Hamza,Ali Hamza,6539,3
925019934219066,Mardan Ali Zaidi,Mardan Ali Zaidi,6164,6
100246225791361,MLT Web Solutions,These ads ran without a disclaimer,6058,2
106429308893380,One Nation,One Nation,5882,2
115756630242189,Gulmohar City Karachi,Zulfiqar Ahmed Khan,5879,6
102984572749654,Jamaat e Islami - Fans Page,Imtiaz Ahmad,5834,2
1057231097783621,Karachi Airport Lions Eye Bank,Anas Shakeel,5715,1
631160133997370,ABLE - School of Culinary Arts & Hospitality Management,These ads ran without a disclaimer,5600,1
459618574573273,Twin City News,Twin City News,5546,1
101007071249939,Ansir Mehmood Sandhu,Ansir Mehmood Sandhu,5535,3
105983815458842,Sardar Malik Jahanzaib Waran,Sardar Malik Jahanzaib Waran,5450,13
233022620980830,Ebrahim Sheik,These ads ran without a disclaimer,5251,1
115041729871986,Faraz Abid Lakhani,These ads ran without a disclaimer,5210,1
103411069097183,4G Marketing,These ads ran without a disclaimer,5027,3
224284372205279,Sajid Ur Rehman Turabi,Sajid Ur Rehman Turabi,4870,3
457514774319202,White News پښتو,White News پښتو,4851,4
104525481359319,PMLN,These ads ran without a disclaimer,4649,2
105671218718437,Chaudhary Jehangir Ahmed,Chaudhary Jehangir Ahmed,4632,2
901100856639127,Sabir Khan Dummar,These ads ran without a disclaimer,4539,1
106873741907128,Raja Muhammad Saleem,Raja Muhammad Saleem,4522,5
633359096763689,Engr Kaleem Saifullah Buzdar,These ads ran without a disclaimer,4255,1
108876282120706,Qazi Shafiq,Qazi Shafiq,4249,2
111670551510964,Pak Dairy,These ads ran without a disclaimer,4090,1
106054388545697,Ch Khushi Muhammad Jutt,Ch Khushi Muhammad Jutt,4024,3
117190381337524,S&K Herbals,Khuram Shahzad,4002,5
114939194018672,College of International Skills Development,These ads ran without a disclaimer,4000,1
1746123549046896,CH Ali Asghar Bhullah-PP137,These ads ran without a disclaimer,3971,1
104439309237569,عوامی خدمت مرکز این اے 80 کھنمب کلاں,Imtiaz Ahmad,3890,2
1984101831869501,Shah Nawaz PTI,Shah Nawaz PTI,3804,3
240568789395863,Waqas Iftikhar Butt - PTI(official),Waqas Iftikhar Butt - PTI(official),3611,2
111320974880220,The Solution,Taha Bin Muhammad,3602,2
473562442843526,Mohammad Ali Jinnah University,These ads ran without a disclaimer,3503,1
104587432254492,Asad Mehmood Khan,Asad Mehmood Khan,3500,2
100969976266010,Max & Mallhi Associates,These ads ran without a disclaimer,3384,1
103045497894213,Ahmadudin Dawar,Ahmadudin Dawar,3280,1
104653912628214,Mian Abdul Sattar Bega,Mian Abdul Sattar Baiga,3233,1
115040744805581,Mohammed Hasan,These ads ran without a disclaimer,3212,1
389438921109161,Touseef Abbasi,Touseef Abbasi,3058,23
315543515306,Jing Daily,These ads ran without a disclaimer,3032,1
1892396577652908,Zahir Shah Toru,These ads ran without a disclaimer,3028,1
116415668021947,عمران خان کا سپاہی,These ads ran without a disclaimer,3025,1
220961002575155,American Lycetuff DNK FMC-Multigarden school,These ads ran without a disclaimer,3000,1
103930308054157,American Lycetuff DNK Bharakahu Campus,These ads ran without a disclaimer,3000,1
1511126005865615,Ayaz Memon Motiwala,These ads ran without a disclaimer,3000,1
120062273237634,Jaanlo,Jaanlo,2848,9
100427168538381,Sardar Mehboob Khan Khetran,Sardar Mehboob Khan Khetran,2839,4
106625447725186,EPTeck,These ads ran without a disclaimer,2830,1
101201205983426,Mian Athar Mahmood,Syed Raza Haider Zaidi,2766,3
230994728906457,Awam Dost Party,These ads ran without a disclaimer,2680,1
729157687247002,Madni Herbal & Sugar center,These ads ran without a disclaimer,2674,2
2265349766885648,Fahd Habib Tanoli Page,Fahad Habib Tanoli,2648,5
106376739103815,Talaash,Neo News,2635,2
127593717315049,Jamaat-e-Islami Islamabad,These ads ran without a disclaimer,2601,1
152389405506628,Muhammad Fiaz Bhatti,These ads ran without a disclaimer,2564,1
103605848295012,Royal king Usa pakistan Imran Ch Mpa pp120 tobateksingh,These ads ran without a disclaimer,2553,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,2521,1
110623241311593,Team Ansir Sandhu,Haider Munir,2511,2
486793564786023,Rashid Ahmed Gabaro,Rashid Ahmed Gabaro,2500,1
1507497616198380,Senator Dr. Afnan Ullah Khan,Senator Dr. Afnan Ullah Khan,2500,1
105353131269398,BlueSky Education,These ads ran without a disclaimer,2498,1
175846072821088,十方視角,These ads ran without a disclaimer,2493,2
111842871658651,Mian Abdul Rauf Advocate,Mian Abdul Rauf Advocate,2374,9
156279764411149,Times Higher Education,These ads ran without a disclaimer,2308,3
104699294839888,Pakistan Tribune,Pakistan Tribune,2304,11
100730774943684,ZARRAR.pk,These ads ran without a disclaimer,2269,1
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,2258,4
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,2211,3
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,2192,3
102415047928145,Shanghai Electric,These ads ran without a disclaimer,2165,4
1518216038506999,CRI - Rádio Internacional da China,These ads ran without a disclaimer,2108,1
109891242098953,Social Circle,Muhammad Imran,2045,2
187258925420723,Leading Lawyers,Leading Lawyers,2027,2
104353232414129,حقیقت جانو,These ads ran without a disclaimer,2027,1
108692958881661,Abdul Rehman Bhatti,حسن مرزا,2000,2
145113979161887,The Centrum Media,The Centrum Media,2000,4
109546122134359,Kifayat Speaks,Ihtisham Ali,2000,1
810798735670755,Neo News,Neo News,2000,1
170510573143983,South Asian Voices,These ads ran without a disclaimer,1986,2
106685458717116,Muhammad Hussain,Muhammad Hussain,1904,2
1221551921269506,Mahar Sajjad Cheena,Mahar Sajjad Cheena,1900,6
1980705495481286,Ch Sajjad mahais چوھدری سجاد مہیس,These ads ran without a disclaimer,1830,1
102296885804280,Syed Zeeshan Akhter,Syed Zeeshan Akhter,1825,2
104242578927408,Captain-Retd-Salman Hafeez,Rana Salman Hafeez,1805,1
451802268196520,Aniq Randhawa,Aniq Randhawa,1800,2
116318844397677,Jehangir Azam Wazir,Naveed Khan,1800,4
343786409509707,The East Gate,These ads ran without a disclaimer,1784,4
19740928752,World Animal Protection,These ads ran without a disclaimer,1784,5
105377585864998,Glaria store,These ads ran without a disclaimer,1752,2
118901144847569,Chaudhry Muhammad Afzal Sahi,These ads ran without a disclaimer,1745,2
771462172882741,OnePath Network,These ads ran without a disclaimer,1737,1
115435898200456,Khan Muhammad Khan Khichi,Muhammad Irfan Khan,1729,1
103720225643302,Chaudhry ijaz Ahmad Ranian,Chaudhry ijaz Ahmad Ranian,1715,4
106667936045610,VOA Urdu,These ads ran without a disclaimer,1702,1
423575781186560,ZahidGhauri,These ads ran without a disclaimer,1659,1
107041538690637,Milestone Institute of Arts and Sciences,These ads ran without a disclaimer,1650,1
104127275664984,Mian Muhammad Yar Dumra - PTI,These ads ran without a disclaimer,1622,2
110880823750051,Mohsin House Nawabshah,These ads ran without a disclaimer,1561,2
110354040509577,Pakistan Inqalabi Party,These ads ran without a disclaimer,1543,3
103717002442138,Rohtas Books,Shanza Zahoor,1539,3
107037018803275,Malik Asad Abbas Awan,Malik Asad Abbas Awan,1513,1
101449481308802,Sat Rung Productions,These ads ran without a disclaimer,1507,1
229938097023612,Dr.Farid Ahmad Piracha [Official],These ads ran without a disclaimer,1477,1
102809074733919,Ghulam Hussain PTI,These ads ran without a disclaimer,1471,1
447263991993811,UNICEF South Asia,These ads ran without a disclaimer,1461,2
102718215543023,Pakistan Republic,Pakistan Republic,1431,5
102748609484012,North Town phase 2,These ads ran without a disclaimer,1425,1
105639025839199,Aiko Energy,These ads ran without a disclaimer,1418,1
191595745007902,Sikh Heritage Symphony,These ads ran without a disclaimer,1418,1
1469752156670918,Youth China,These ads ran without a disclaimer,1418,1
100162738241949,Xu Zeyu,These ads ran without a disclaimer,1418,1
111932408495120,Online job,These ads ran without a disclaimer,1400,1
101924462788498,Marriage bureau,These ads ran without a disclaimer,1381,1
246896888804250,Qazi Javed Aslam,These ads ran without a disclaimer,1379,1
165149914195728,Sh Usman Farooq - Official,These ads ran without a disclaimer,1276,1
101737024836683,Anjuman-E-Tajran انجمن تاجران,Mujahid Maqsood Butt,1274,4
102974061428721,Apni Party Pakistan,These ads ran without a disclaimer,1252,1
114099731551711,Syed Usman,These ads ran without a disclaimer,1252,1
101456576273441,PP112 Supports,These ads ran without a disclaimer,1212,1
102260145401481,Muhammad Faiq Shah,Amun Taraqqi Party,1204,1
