Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
1854187061497992,Jogja Dukung Ganjar,Ganjar Nusantara Indonesia,1620094,13
314205292747611,Sahabat Abraham Liyanto,Yesenia Irene Liyanto,1610776,4
110195418669687,Sahabat Yatim,Yayasan Sahabat Yatim Indonesia,1594707,16
110547131467051,Ikfina Fahmawati,Diovanka Darmawan,1586826,21
101383579268587,Sumut Dukung Ganjar,Ganjar Nusantara Indonesia,1526432,12
106499898747570,Lampung Dukung Ganjar,Ganjar Nusantara Indonesia,1520168,12
102273039070802,Info Terkini,Muhammad Miftakhunnaim,1511375,81
103411659195911,JIMAT,Arik Luviani Putri Yasa,1505946,46
110314634068233,Fadilah Bisnis,Fadilah Bisnis,1482355,5
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,1459254,6
100676262667808,Story Nusantara,Ganjar Nusantara Indonesia,1437144,13
100382756075812,GP Kalimantan Timur,Ganjar Nusantara Indonesia,1433606,17
102708602466860,Riau Dukung Ganjar,Ganjar Nusantara Indonesia,1419842,12
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,1354590,15
1547369918837496,Zulkifli Hasan,Media Center PAN,1350060,5
212811572075740,Pemerintah Kota Malang,Ayu Fitria Mandarasari,1344966,11
122356514139843,aa_yayansopyani,These ads ran without a disclaimer,1343288,3
544107539358354,"Dr. H. Rusman Ya'qub, SPd, MSi",Rusman Yaqub,1326344,41
111852080939563,Baruna Airlangga,These ads ran without a disclaimer,1319582,4
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,1319337,4
104830667806476,Melihat Indonesia,Septian Raharjo,1318255,44
273454719936085,"Yohanis Fransiskus Lema, S.IP, M.Si","Yohanis Fransiskus Lema, S.IP, M.Si",1284310,8
2222018624739038,Jakarta Dukung Ganjar,Ganjar Nusantara Indonesia,1250294,9
116705041036588,Francine Widjojo,Francine Widjojo,1250000,1
113573424921049,Kokok Dirgantoro,Partai Solidaritas Indonesia,1250000,1
518967181468305,PKS Sumut,PKS Sumut,1247214,3
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,1217937,4
148475051852754,Rockefeller Foundation,These ads ran without a disclaimer,1148236,4
114501618289319,Cuan dari Jualan Template,These ads ran without a disclaimer,1110902,53
104513285970973,Jateng Berwarna,Dwi Wantoro,1098079,2
116937558047898,Jateng Bersahabat,Dwi Wantoro,1085529,2
401192283915,Partai Amanat Nasional - PAN,Partai Amanat Nasional,1048888,3
106767125434048,Rumah GP Sumatra Barat,Ganjar Nusantara Indonesia,1036410,10
101367882644316,GP Gorontalo,Ganjar Nusantara Indonesia,1033870,10
257639404316186,Habib Aqiqah,These ads ran without a disclaimer,1024941,1
101629779030791,Ahmad Abdy Baramuli,Efendi Syafruddin,1000100,1
213134478724731,DANIEL JOHAN,Daniel Johan,1000000,1
106369021821580,Partai Buruh,Partai Buruh,999876,30
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,992193,54
101801699177654,Muhamad Sodikin,Saepujaman,988599,8
108511588277325,Galeria Konveksi,Solehudin,955527,3
107304628675009,Bimbel PPPK dan CPNS,These ads ran without a disclaimer,943548,1
106524371346347,NTBSATU.com,NTBSATU.com,930639,11
107161484460730,Sobat Erick 2024,Mohammad Izur Islami,916694,41
813887722072071,Yayasan Pundi Amal Bakti Ummat,Yayasan Pundi Amal Bakti Ummat,914382,11
142706613022524,Soebagdja Salim - Bagdja,Soebagdja Salim - Bagdja,907393,5
379553355510209,"Juprizal,S.Th.I,MH Calon DPD","Juprizal,S.Th.I,MH Calon DPD",889822,5
102388828126102,Satochi - Solusi Terbaik Untuk Diabetes Tipe 1-2,These ads ran without a disclaimer,876098,1
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,875408,2
378454888947214,Roxtec Group,These ads ran without a disclaimer,871937,1
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,870182,6
100219608332683,아모레퍼시픽 Amorepacific,These ads ran without a disclaimer,866960,1
103581752405141,Sobar Harahap,Ganjar Nusantara Indonesia,856014,2
104833558441041,LAZ Baitul Maal Hidayatullah - Sulsel,LAZ Baitul Maal Hidayatullah - Sulsel,853108,38
794560554235142,NasDem Gorontalo Utara,DPD NasDem Gorontalo Utara,842313,15
108156498584853,Tetap Puan,Marabunta Family Cyber,840255,8
101218402657205,GP Aceh,Ganjar Nusantara Indonesia,837617,9
107019302070970,GP Kepulauan Riau,Ganjar Nusantara Indonesia,835900,9
112121504882485,GP Bali,Ganjar Nusantara Indonesia,835750,9
110195338413992,GP Kalimantan Tengah,Ganjar Nusantara Indonesia,829606,9
101220845990276,GP Bengkulu,Ganjar Nusantara Indonesia,829577,9
108033718631640,GP Kalimantan Barat,Ganjar Nusantara Indonesia,829301,9
111090608323091,GP Kalimantan Selatan,Ganjar Nusantara Indonesia,826277,9
112121101796090,Opini 2024,Opini 2024,824692,24
100776135899424,Dr. H. Syamsurizal SE MM,Dr. H. Syamsurizal SE MM,799959,7
1608977916030049,Berebut RI1,These ads ran without a disclaimer,797962,2
318316705029207,Jefirstson R Riwu Kore,Jefirstson R Riwu Kore,787408,5
108021237423372,Riza Zuhelmy,Riza Zuhelmy,780000,1
154529169995,TB Alliance,These ads ran without a disclaimer,779556,1
102262302515901,Henry Indraguna,Ananda Puja Wandra,772488,4
312490859193724,mensbatik,Bayu Setayudha,738575,28
101171689515424,Pasha Ismaya Sukardi - fanpage,Pasha Ismaya Sukardi,738471,1
114105438017003,GP Nusa Tenggara Barat,Ganjar Nusantara Indonesia,735232,8
1160674184085116,"I G N Kesuma Kelakan,ST.,M.Si",Ign Kesuma Kelakan,733989,8
103080772754332,Jasa Video Ucapan Lebaran,These ads ran without a disclaimer,728368,1
756567881057213,Airlangga Hartarto,Airlangga Hartarto,709911,18
105940845096956,Borneo Digital Plus,Borneo Digital Plus,696123,15
147555216186069,Christina Aryani,Christina Aryani Foundation,694529,6
101236075978217,Alex Murgueitio,These ads ran without a disclaimer,689675,11
106883058905796,Tanda Seru,Tanda Seru,670379,9
101338198587608,Indonesia Luar Biasa,Bayu Wicaksono,660174,17
105078775340816,Satuan Tugas UU Cipta Kerja,Satuan Tugas UU Cipta Kerja,657024,14
106647992173984,Andi Dian Putra,Horas Kasih Sirait,633075,1
104217932476562,Ali Badrudin,Aditya Rachmat Pamungkas,603270,11
110980888642151,Twibbon April,These ads ran without a disclaimer,598226,41
731046070564929,Informasi dan Komunikasi PMK,Satwiko Vito Waris,584389,3
2275806345802505,Muhammad Bima Januri,Partai Solidaritas Indoneisa,583941,1
1766105710290235,Dr. Andreas Hugo Pareira,Dr. Andreas Hugo Pareira,582349,4
198636863575407,"Uki Kifli, M.A.",Uki Kifli,577229,19
545307895803249,Handaledukasi,These ads ran without a disclaimer,565943,2
635425077088293,Sahabat Pak Tengku,Ero Sukarna,561006,19
106287625764574,Teman Dito,Barry Eko Lesmana,559738,6
104622532469179,Populis,Populis,553609,9
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,543702,3
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,538096,29
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,535032,30
129857820367957,Global Finance Magazine,These ads ran without a disclaimer,528262,1
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,521942,29
101866128977837,Belajar Pemilu,Muhammad Basir,518572,4
1476996532583231,Syaiful Ramadhan,Syaiful Ramadhan,517733,3
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,506563,27
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,503838,27
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,501137,27
110952238516382,Kiki Daliyo,Kiki Daliyo,501027,13
1472958582929040,Ir Abraham Liyanto,Ir Abraham Liyanto,500000,2
139577716095155,Newcastle University,These ads ran without a disclaimer,498395,1
118734481202493,Prihati Utami,Dwi Wantoro,496882,13
101428652793656,Readktif,Readktif,492642,6
102498379057030,Muhammad Lokot Nasution,T Irfan Muttaqien,491108,2
