Page ID,Page name,Disclaimer,Amount spent (NZD),Number of ads in Library
305655596286980,Paul Goldsmith,NZ Parliamentary Service on behalf of Paul Goldsmith MP,216,6
203463489667720,Western Bay of Plenty District Council,Western Bay of Plenty District Council,209,2
165702023478421,Family First New Zealand,Family First New Zealand,206,1
564453323744421,TOP - The Opportunities Party,TOP - The Opportunities Party,203,4
403868133556427,Palestine Solidarity Network Aotearoa - PSNA,Palestine Solidarity Network Aotearoa,200,2
123375421154267,Duncan Webb Labour MP for Christchurch Central,NZ Parliamentary Service on behalf of Duncan Webb MP,200,1
182564675177680,Wellington City Council,Wellington City Council,196,1
109190088664909,Hamish Campbell for Ilam,Hamish Campbell for Ilam,192,2
105681068874945,Ag Matters,New Zealand Agricultural Greenhouse Gas Research Centre,188,3
454557294670525,BayBuzz,BayBuzz,179,8
775691805839970,The North Face - Australia & New Zealand,These ads ran without a disclaimer,174,1
111518076963780,Nicola Grigg MP,Parliamentary Services NZ on behalf of Nicola Grigg MP,168,3
201340000036663,Ashburton District Council,Ashburton District Council,162,3
148662045166231,Bay of Plenty Regional Council,Bay of Plenty Regional Council,151,1
108016085429117,The Climate Action Conference,Dylan Yash Chand,142,1
1088303101302720,Rhian Brewster,These ads ran without a disclaimer,140,4
171901233444420,Mel Courtney - Nelson City Councillor,Mel Courtney,131,7
109882599038063,Queenstown Lakes District Council,Queenstown Lakes District Council,130,5
131794723563889,Radio Tarana,These ads ran without a disclaimer,122,3
149519831907669,Raf Manji,The Opportunities Party,117,7
127589037428134,Aviva - live free from violence,These ads ran without a disclaimer,116,2
122859715050319,Fleur Fitzsimons for Rongotai,Fleur Fitzsimons for Rongotai,114,5
798130953571853,ArchiPro,These ads ran without a disclaimer,114,1
279272708771892,Schneider Electric,Schneider Electric,113,5
113846130364869,Rima Nakhle for Takanini,New Zealand National Party (Takanini Electorate),104,2
269047933236930,Horowhenua District Council,Horowhenua District Council,≤100,1
197006887611387,Citizens Advice Bureau NZ,CABNZ,≤100,2
103881760966661,Gen Less,These ads ran without a disclaimer,≤100,3
408747529491004,Department of Conservation,Department of Conservation,≤100,2
109325357303193,Sarah Pallett - MP for Ilam,NZ Parliamentary Service on behalf of Sarah Pallett MP,≤100,3
107151618638336,Saving Rotorua,Saving Rotorua,≤100,2
329763127355356,Councillor Sam MacDonald,Sam Thomas Macdonald,≤100,1
206932501046,Habitat for Humanity New Zealand,Habitat for Humanity New Zealand,≤100,4
113576112699579,Mandy Kupenga,Mandy Kupenga,≤100,1
252001784959757,Te Whatu Ora ‐Taranaki,These ads ran without a disclaimer,≤100,1
496655723873862,NZI,These ads ran without a disclaimer,≤100,1
100278988277160,Simon Watts MP for North Shore,Parliamentary Service on behalf of Simon Watts MP,≤100,11
