Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
109093158038193,Mohamed El Manzalawi - محمد المنزلاوي,Mohamed El Manzalawi - محمد المنزلاوي,1655,7
102117062841057,الصفحه الرسميه للنائبه الدكتوره حنان عمار,Omar Abdelaziz,1569,5
117690156743688,النائب حافظ عمران,Shôükrý Ömrãñ,1530,2
111393504057042,د/ مها عبد الناصر,د/ مها عبد الناصر,1514,21
2035593490055091,النائب عمرو القطامي,سيد أحمد,1469,3
104570177893410,أحمد علي الألفي,أحمد علي الألفي,1383,9
103204975886755,البديوي السيد - الصفحة الرسمية,Mohamed Elbedewy,1336,1
103342432124287,Abdullah Mahmoud Elrefaey,Abdullah Elrefaey,1318,8
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,1307,3
1994786354105727,النائب أحمد فرغلى,احمد فرغلى,1259,5
113420157041091,Elite National Schools,These ads ran without a disclaimer,1215,1
801866783213943,محمد طلبة - Mohamed Tolba,Mohamed Elsayed Tolba,1200,5
103644489202917,AlMohandes Constructions,These ads ran without a disclaimer,1189,2
109366127595756,Ahmed dandash    الصفحه الرسميه للدكتور احمد دندش عضو مجلس النواب,Ahmed dandash    الصفحه الرسميه للدكتور احمد دندش عضو مجلس النواب,1186,6
142329112477770,البنك الدولي,These ads ran without a disclaimer,1175,8
103591834853142,Hamoda Mohamed Hamoda - حموده محمد حموده,Mahmoud Raafat Idris,1149,2
292473967602416,مصر ٢٠٣٠,أسواق للمعلومات,1104,12
380937009024559,Kashqol كشكول التعليمى,Kareem Ahmed Abdul Ghani,1063,5
340577086006224,CRI German,These ads ran without a disclaimer,989,2
108367322044716,RED-Winners Investments,These ads ran without a disclaimer,985,2
112161944845807,Nevein Basiouny,Muhammad Nash'at,981,2
108927510969680,الصفحة الرسمية للنائبة د. صبورة السيد,الصفحة الرسمية للنائبة د. صبورة السيد,840,21
947815288745254,AlFairouz Bookstore,These ads ran without a disclaimer,819,6
114656270386906,النائب الصافي عبد العال الصغير,النائب الصافي عبد العال الصغير,797,4
112884131660592,أسامة جاويش-Osama Gaweesh,These ads ran without a disclaimer,773,4
158643697625854,محمد تيسير مطر - Mohamed Tayser Mattar,Aplus,773,5
211767829359945,مصر النهاردة,These ads ran without a disclaimer,770,8
2102862883129084,حجازى للاستشارات القانونية,حجازى للاستشارات القانونية,759,5
103774671417468,أمين جابر الصيرفى - عضو مجلس الشيوخ,أمين جابر محمود الصيرفى,734,7
107096734501088,النائبة منى عمر عضو مجلس النواب,Shymaa Adel,725,4
1469752156670918,Youth China,These ads ran without a disclaimer,680,1
298138254162621,النادي الليبرالي بالقاهرة,النادي الليبرالي بالقاهرة,653,3
366309956781525,Ahmed Helmy أحمد حلمى,These ads ran without a disclaimer,649,1
597559790371644,نادى الزهور الرياضى,نادى الزهور الرياضى,632,10
107767437680846,أحمد صلاح الطاروطي,Suzie Raafat,624,1
185343588755360,متصدقش,These ads ran without a disclaimer,618,1
459384307440544,Andersen in Egypt,Andersen in Egypt,606,1
106957548285022,مكتب المستشار/چورچ كرم المحامى بالاستئناف العالي ومجلس الدولة٠١٢٢٨٩٤٩٧٣٨,These ads ran without a disclaimer,600,1
100330775177251,النائب سامي سليم - الصفحة الرسمية,Mahmoud M. Rashwan,594,2
900337800058784,برنامج الو مكملين,These ads ran without a disclaimer,585,7
2298420967037841,النائب محمد عزت عرفات,فاضل ابراهيم,580,2
103429981452280,Hesham ElhagAly - هشام الحاج علي,Hesham Elhagaly,557,7
116198810247890,المحاسب مجدي الأمير - عضو مجلس النواب المصري,Rasha Elsery,550,3
100561169109024,afraaalnoaimi,These ads ran without a disclaimer,545,1
102698288269357,د.نانسي نعيم  عضو مجلس النواب,د.نانسي نعيم  عضو مجلس النواب,533,7
437937192951936,وسط الزحمة مع محمد الكومي,Mohamed Ahmed Elkomey,532,2
100989841697034,محمد على ابوحجازى ـ عضو مجلس الشيوخ المصري,محمد على ابوحجازى ـ عضو مجلس الشيوخ المصري,529,8
102703968944759,مصر الآن,مصر الآن,506,2
565225540184937,CGTN,These ads ran without a disclaimer,501,6
102090281656267,النائب حشمت ابوحجر,النائب حشمت ابوحجر,500,1
327466307448314,محمد اسماعيل الشريف,محمد  الشريف,500,1
764353836981278,الصفحه  الرسمية للعميد نور ابوستيت,محمد محمد,500,1
103004372363887,عماد الصباغ,عماد الصباغ,500,1
101057888427226,النائب المهندس/ محمد لبيب - عضو مجلس النواب,محمد دياب,481,3
545649329688699,Hussein Mustafa Production,These ads ran without a disclaimer,468,1
