Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
113185708370601,Robert Weissohn Consejero Constitucional,Robert Kurt Weissohn Heck,900521,26
110185035352619,Gonzalo Pinochet,Gonzalo Antonio Pinochet Abarca,879431,10
307330256067716,Red Atacama,Diarios en Red,856837,35
285417644878678,Red Antofagasta,Diarios en Red,851639,35
351583768232100,Red Tarapaca,Diarios en Red,851285,35
371453409556353,Red Coquimbo,Diarios en Red,850988,35
106921338410697,Patricia Besa Tagle Republicana,Patricia Besa Tagle,834356,13
335068640271176,Nataly Neira Candidata Consejera Constitucional BioBio,Nataly Neira,830395,38
184559421980613,Vlado Mirosevic,Vlado Mirosevic Verdugo,824066,20
173983195992422,Partido Por la Democracia - PPD,Partido Por la Democracia,800306,49
1790498094378746,Juan Manuel Carrasco E20,Juan Manuel Carrasco E20,773825,23
116710021362220,Mario Rios Santander,Mario Enrique Rios Santander,768515,7
109325032145664,Carlos González,Carlos Gonzalez Herrera,722894,25
101200421606621,Valentín Matus Martínez,Valentin Ignacio Matus Martinez,722154,27
164433517709728,María Ignacia Castro Rojas,Jorge Luis Andres Hermosilla Torres,720721,3
107194435644655,Alejandra Vivanco,Alejandra Vivanco,704222,18
101761912282082,Eduardo Álvarez Vidal,Eduardo Álvarez Vidal,700129,56
276529899590560,Federación Regionalista Verde Social,Federación Regionalista Verde Social,694958,9
104091048494909,"Carola Cabeza, Consejera Constitucional",Carola Andrea Cabeza Fuentes,694320,13
103879121710797,Patricia Sanzana - Consejera Constitucional,Patricia Alejandra Sanzana Cardenas,669400,11
305958239880216,Cidere Región de Coquimbo,CIDERE Coquimbo,666694,21
105404275848784,Miriam Arenas Sandoval,Miriam De Las Mercedes Arenas Sandoval,664560,26
115338381476898,Evelyn Zottele candidata a Consejera Constitucional X Región,Alicia Marta Lobos Ojeda,660462,27
112115941830810,Robert Contreras Reyes,Robert Contreras Reyes,631676,15
105101844897719,María Claudia Jorquera - Consejera Constitucional Maule,Nicolás Alejandro Pereira Bustamante,630770,20
100965608750758,Dr. Julio Contreras,Julio Gastón Contreras Muñoz,630095,10
110185035352619,Gonzalo Pinochet,Jorge Luis Andres Hermosilla Torres,629983,9
