Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
1428873024044736,المدن - almodon,المدن - almodon‎,27805970,149
1438703606372190,Elham Said Freiha,Elham Freiha,21192706,23
106197498149118,لبنان الكبير,Grand Lebanon,11798667,170
394633411339696,fiftyfiftylb,FiftyFiftylb,8671642,15
110436471982277,Assaha.square,Assaha.square,8223881,38
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,8162694,50
116157328113022,Hide Park,Friedrich-Ebert-Stiftung Lebanon Office,7716425,6
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,7104484,77
323356544336,KAFA (enough) Violence & Exploitation,KAFA (enough) Violence & Exploitation,6865672,10
137195823051820,Maharat Foundation,Maharat Foundation,5924483,16
112056958469490,SPI Lebanon,SPI Lebanon,5731647,30
110470091436602,Ici Beyrouth,Ici beyrouth,5412393,80
106425851213086,L'Orient Today,L'Orient Today,5373134,4
104918301844248,Project Watan LB,Project Watan,4626866,12
1744356319118477,هنا لبنان,هنا لبنان,4154034,63
1904241623145929,Democracy Reporting International Lebanon,Sharks Creators,4052392,16
466221740108607,May Chidiac Foundation - Media Institute,May Chidiac,4025377,8
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,3984630,28
107800617419717,MYKA Foundation,Elie M. ElHelou,2975376,10
116141051407408,Amin Salam,Rami Salam,2921644,11
129660230432028,Dr. Toufic Hindi,Toufic Hindi,2895522,9
107698404702208,Alkalima,Alkalima Onlime,2805970,40
230720990840290,Safaa Darwich - صفاء درويش,Safaa Darwich,2119403,4
110061328654858,Judge Mohamad Saab,Judge Mohamad Saab,2018211,1
128417954019381,Al-Moltaka,Melhem Boustany,1835226,5
2509759842418472,LebTalks,Lebtalks,1776121,8
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1558598,2
105319651353770,Jusur,Jusur,1343284,26
101985661610385,Annahar Al Arabi,Annahar Al Arabi,1194031,2
102672531482527,Ihab Matar - إيهاب مطر,AW,1181344,11
149013021820628,Adyan Foundation - مؤسّسة أديان,Adyan Foundation - مؤسّسة أديان,1168359,6
108728968627122,Beirut24.org,Beirut24.org,1160001,8
109112633772887,180post,180Post,942090,12
102162706125011,abu_samra_jnoubi,These ads ran without a disclaimer,906146,1
2319249898311729,National Bloc - الكتلة الوطنيّة,National Bloc - الكتلة الوطنيّة,823583,6
775764945964442,Nabil Badr-نبيل بدر,Nabil Badr-نبيل بدر,820896,2
101845832471383,Jbeil District - قضاء جبيل,Jbeil District,746269,6
