Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
110472998604642,aquivaleoficial,aquivaleoficial,202,4
102707301284502,Ronaldo Ramos,Ronaldo Ramos,202,5
111719464334021,astrolouquia,These ads ran without a disclaimer,202,1
109652560459872,Miguel Calmon Guarujá,These ads ran without a disclaimer,202,1
610036125809616,Portal Lunetas,These ads ran without a disclaimer,201,1
106355779116733,Gisela Martins,These ads ran without a disclaimer,201,1
688338151255547,Milton Muniz,Milton Muniz,201,4
375603452518217,Prefeitura de Pereira Barreto,Prefeitura de Pereira Barreto,201,3
314201762284041,Fundação Friedrich Ebert - Brasil,Fundação Friedrich Ebert - Brasil,201,8
112168501469260,Simão Durando,Simao Amorim Durando Filho,201,2
164167533725622,Óleo Sustentável,Óleo Sustentável,200,3
101517015276848,Vereador Airton Cândido,Airton Candido Da Silva,200,2
158531940826444,Avanade Brasil,These ads ran without a disclaimer,200,1
150490371781435,Juninho Los Hermanos,Juninho Los Hermanos,200,1
357829491737911,Benfeitoria Jardim América e Vigário Geral,Ulisses De Almeida Marins,200,1
321727954527324,Prefeitura de Santana de Parnaíba,These ads ran without a disclaimer,200,1
729983970378252,Ataque aos Cofres Públicos,Sindicato dos Servidores Públicos Municipais de Santos,200,2
104338447746942,Ricardo Melchiades,Ricardo Melchiades,200,1
106113687885038,Papy,These ads ran without a disclaimer,200,1
542154442488819,Tiago Cervantes,Tiago Rodrigues Cervantes,200,1
126044254697064,Kleber Rodrigues,Kleber Geverson de Oliveira Rodrigues,200,1
125322814259876,Insect Bye,These ads ran without a disclaimer,200,1
597176473636164,Mario Esteves,These ads ran without a disclaimer,200,1
330305027010818,Goulart,Goulart,200,2
1660782167491849,Marlon Vivas,Marlon Vivas Cabral,200,1
103918782045588,Federação Varejista do Estado do Rio Grande do Sul,Federação Varejista do Estado do Rio Grande do Sul,200,3
418655424964828,Johnny Maycon,Johnny Maycon Cordeiro Ribeiro,200,2
1635257313414728,Movimento pela Base,These ads ran without a disclaimer,200,1
1023450317747432,Fátima Daudt,Fatima Daudt,200,4
291482090931929,Professora Dorinha,Professora Dorinha,200,1
291424560978719,Sinfazfisco-MG,Sinfazfisco-MG,200,2
861928933853138,Ricardo Ayres,Ricardo Ayres,200,2
429878210372011,Heliton do Valle,Heliton Scheidt Do Valle,200,4
453879168052302,Daniel Alonso,Daniel Alonso,200,1
1673812422880277,Vereador Patrick Machado,Patrick Hernandes Machado,200,2
163893463708223,Marcelo Vitorino,These ads ran without a disclaimer,200,1
1703820879881222,Vereador Thiago Rodrigues,Thiago Rodrigues Alves,200,2
107398188969297,AmoTHE,AmoTHE,200,4
1776911452335164,Vereadora Fernanda Garcia,Fernanda Garcia,200,5
107064491018671,Tiago Peretto,Tiago Peretto,200,2
106437281280060,Empresa NOTA 10,Adolfo Pedroso,200,3
300385920154650,Marcio Rosa,Marcio Rosa Da Silva,200,4
622517197781424,Lucas do Liceu,These ads ran without a disclaimer,200,2
1503451949672029,Douglas Gomes,Douglas Gomes,200,1
392933407432673,Daniel Marques,Daniel Marques Frederico,199,5
1124947664218038,Zé Luís,José Luís Nunes do Couto,199,5
259066967468437,Prefeitura Municipal de Campinas,These ads ran without a disclaimer,199,1
107112075309505,ALÔ TONI RUSSO,Antonino Russo,199,3
105541554921172,Ago Social,These ads ran without a disclaimer,199,1
102197194725525,Sinpeem,SINPEEM,199,2
103290145195111,Empresta Governador Valadares,These ads ran without a disclaimer,199,3
2051067445198623,APLANET,These ads ran without a disclaimer,199,1
174204399295176,Dolly Refrigerantes,Dolly Refrigerantes,198,2
102848685661923,loeser_e_hadad_advogados,These ads ran without a disclaimer,198,1
102763659309831,Comunidade Infinita,These ads ran without a disclaimer,198,3
689112307868644,Aleks Palitot,Aleksander Allen Nina Palitot,198,12
210383352904859,Dedicação Delta,These ads ran without a disclaimer,197,30
222639301175182,Luiz Carlos Busato,Luiz Carlos Busato,197,3
254311638386199,Mentoria Eleitoral,Bunker Brain Audiovisual Eireli,196,2
501752670007812,Cavalli Treinamentos,Ronaldo Antonio Cavalli,196,10
102193165478874,Partners & Bussiness,These ads ran without a disclaimer,195,2
1079073898825478,Pastor Itamar Vereador,Pastor Itamar Vereador,195,4
104952721609142,Bruno Gomides,Bruno Gomides,195,6
437580643117589,Ivan Silva Vereador,Ivan Silva Vereador,195,2
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,195,8
103179011534802,Vanja,Vanja Honorina Aguiar Albino,194,17
103417008044423,ICGP - Instituto Conceito em Gestão Pública,Mario Jose Galavoti,194,4
130752594135445,Vereador José Freitas,JOSÉ AMARO AZEVEDO DE FREITAS,194,5
443284123186845,Professor Bruno,Bruno Santos De Medeiros Medeiros,194,4
286590071732163,Francis Luís Vereador,Francis Silva,194,6
140763506086925,Prefeitura de Itaúna,These ads ran without a disclaimer,194,1
669566580098644,Nova Forma Pilates e Estetica,Nova Forma Pilates e Estetica,193,6
199629846863073,Telma de Souza,Telma Sandra Augusto de Souza,193,8
100743791930186,labbate.personal,These ads ran without a disclaimer,193,2
103973609261516,Bulbe Energia,These ads ran without a disclaimer,192,2
676363812489700,Ana Penzin,Ana Penzin,192,12
111498314691810,Lucas Bove,Lucas Bove,191,2
101016008536041,Agenda 2030 Lago Norte,Fernanda Rodrigues Machado Farias,191,2
183852188884605,Fábio Moura,Fabio Moura Da Silva,191,10
209716942411045,Governo do Distrito Federal - GDF,These ads ran without a disclaimer,191,5
402672379792091,Jeferson Fernandes,Jeferson Oliveira Fernandes,191,7
109845747288301,JNP,Ivan Shirlen Teixeira dos Santos,191,4
332471770181123,Delegada Graciela David,Delegada Graciela David,191,3
103315072767681,Hasd Sasn,These ads ran without a disclaimer,190,2
397806203568613,Inesc,INESC - Instituto de Estudos Socioeconômicos,190,8
708474889340611,Amorim Ernandes,Amorim Ernandes,190,2
1237983752918814,Alexandre Xepa,Carlos Alexandre De Souza Ribeiro,190,7
120047784354402,Cristian Souza Vereador,Cristian Oliveira De Souza,190,10
105028097795943,Iza Vicente,Iza Vicente,190,3
453342978750685,Novus,These ads ran without a disclaimer,189,2
225122704193171,Efraim Filho,These ads ran without a disclaimer,189,2
106836261440976,Samuel Monte,Samuel Monte,189,9
994051527425053,Verbo Carreiras Jurídicas,These ads ran without a disclaimer,189,12
495337497276572,Cabo Bebeto,Deputado Estadual Cabo Bebeto,188,3
231713017295704,Vereador Luciano Nascimento,Luciano Nacimento,188,1
468623019835430,Luis Carlos Duarte Sobreira Saraiva,Luis Carlos Duarte Sobreira Saraiva,188,8
146666362391479,Wagner Ferreira,Wagner Ferreira,188,4
320910192098867,Ufficio in Sensa Comunicação,Sensa Comunicação,188,16
111091231929330,Isadora Pascoal,These ads ran without a disclaimer,188,10
101854502662985,Marcel Amorim,Eleição 2022 Marcel Amorim Deputado Federal,187,2
139640876082234,Pés Sem Dor,These ads ran without a disclaimer,187,6
106880955545803,Amanda Laíse Pinaffo - Advogada,Amanda Laíse Pinaffo,187,3
105910686161246,Sesi São Paulo,These ads ran without a disclaimer,187,6
1378617549025463,Capitão Augusto,José Augusto Rosa,187,1
2259967774286655,Vanderson Bento,Vanderson Rodrigues,187,3
243431705783506,Jô Dias,Jô Dias,186,6
1399005523759933,João Marcelo Dieguez,João Marcelo Dieguez,186,2
117731017021903,thamynagell,These ads ran without a disclaimer,186,3
2093019170718787,Vereador Cordeiro,Antonio Cordeiro Dos Santos,186,4
104639868022439,Henrique Alves,Henrique Manoel Alves,185,22
413307318719072,The Andy Warhol Foundation for the Visual Arts,These ads ran without a disclaimer,185,1
1993933524164376,Vereador Markim do Sindicato,Vereador Markim do Sindicato,185,9
1674978589450952,Ronaldo Lopes,Ronaldo Pereira Lopes,185,1
282154091931525,Bispo João Mendes,Bispo João Mendes,184,2
106781709016438,Julio Brizzi,Julio Brizzi Neto,183,11
265068300261803,Portal Nosso Dia,Portal Nosso Dia,183,4
101330894956140,Rovam Castro I,Rovam Simoes Goncalves De Castro,183,6
1638752696387328,Cláudio Cajado,Cláudio Cajado,182,3
100940642948478,Ronnynho Queiroz Juazeiro,Anaximandro Rannieri Benevides De Queiroz,182,8
423120497767423,Vereador Robertinho da Padaria,Robertinho da Padaria,182,4
1617933941767076,Dimas Costa,Dimas Costa,182,2
351081379261329,Itausa,These ads ran without a disclaimer,181,2
101981858106174,Rezende & Achcar Advogados Associados,These ads ran without a disclaimer,181,2
115663151459737,Viverse Psicologia,Gabriela Vergilio De Paiva,181,5
1918975364834957,Política Itapira e Região,Ionice Bezerra Silva Da Cruz,181,4
1379259185640943,Dirceu Dalben - Deputado Estadual,Dirceu Dalben,181,6
413932155375443,Semente do Futuro,These ads ran without a disclaimer,181,3
1803149286411093,Fernando Luz,Fernando Luz,181,9
174632132591050,FESPSP,These ads ran without a disclaimer,181,1
342490536271810,Jorginho Fuede,Eleicao 2022 Jorge Alberto Felipe Cury Deputado federal,180,4
734863413285289,Dr. Evilásio,Evilasio De Farias,180,2
197940137267828,Luiz Zacarias,Luiz Zacarias,180,1
491007197579019,Carlos Brandão,Carlos Brandão,180,5
107284055290696,Júlio Rufino,Júlio Rufino,180,1
101928459402878,Show Money,NATURALE HEALTH PRODUTOS NATURAIS,180,1
105369571546861,G5 Podcast,G5 Podcast,180,5
114294004946179,solangefreitas.oficial,These ads ran without a disclaimer,180,1
134001860095751,Vereadora Juliana Fraga,Juliana Fraga E Silva De Souza,180,4
100908921449454,Gustavo Aires,Gustavo Aires,179,2
159489454773418,Eduardo Magalhães,EDUARDO VICTOR MAGALHÃES,179,2
1413839385581425,Emerson Bacil,Emerson Gielinski Bacil,179,2
102871027744138,Cardoso de Oliveira Advogados,Cardoso de Oliveira Advogados,178,23
110779405121761,instituto_lopes,These ads ran without a disclaimer,178,1
298710536901135,Portal Água Clara,Portal Água Clara,178,58
103377889224455,abcarbonoficial,ASSOCIACAO BRASILEIRA DE CREDITO DE CARBONO E METANO - ABCARBON,177,18
162862887064419,CNI - Confederação Nacional da Indústria,These ads ran without a disclaimer,177,4
107332642277334,Ygor Lima BroTech,MFX Serviços e Desenvolvimento de Software LTDA,177,10
1439786786249495,Loja do Concurseiro,These ads ran without a disclaimer,177,2
134630460228403,Repórter Maceió,These ads ran without a disclaimer,177,4
720134131448273,Dr. André da Sorriso,Dr. André da Sorriso,177,2
599425484255026,Prefeitura Municipal de Castilho,Prefeitura Municipal de Castilho,177,3
2209636419286152,Elismar Prado,Elismar Prado,176,2
196613427043958,Fiesp,These ads ran without a disclaimer,176,32
1745314689088377,Delegado Rodrigo Camargo,Delegado Rodrigo Camargo,175,4
111388917955713,Paulo Melo,Paulo Melo,175,4
1751009021822715,Kleber Wan-Dall,Kleber Wan-Dall,175,6
397381980331585,Feira FuturePrint,These ads ran without a disclaimer,175,13
1517913121856526,Dani Alonso,Daniele Mazuqueli Alonso,175,5
119918264376056,Rubens Uchôa,Rubens De Jesus Uchoa,175,6
529329863774866,Africas,Carteira Nacional De Habilitacao Driver Permiso De Conduccion,174,11
1695544247372940,Dr. Francisco,Dr Francisco Costa,174,9
107218650961556,Identidade Institucional da PUCPR,These ads ran without a disclaimer,174,4
112064243847177,Dasa Educa,These ads ran without a disclaimer,174,1
103936332177769,cotidiano.trabalhista,These ads ran without a disclaimer,174,2
116851164685678,Rodrigo,These ads ran without a disclaimer,174,2
107733877624846,Diego Nasato,Diego Nasato,173,5
108939138320327,drachrisdovalle,These ads ran without a disclaimer,173,1
122770504133227,Gustavo Carmo,Gustavo Augusto De Souza Carmo,172,2
1614696055450562,House of Models,These ads ran without a disclaimer,172,1
104368311440632,Junior Leite,Junior Leite,171,5
702773427244456,Emporium da Beleza - Passo Fundo,These ads ran without a disclaimer,171,1
100314648128021,Carlos Vinicios,CARLOS VINICIOS DE MELO VIEIRA,171,2
1415866081788645,Rose Stecca,These ads ran without a disclaimer,171,1
102529859430804,Método Fast IA,Método Fast IA,171,2
102472928953513,Direto Notícias,Direto Notícias,170,1
163880034242883,É O MUNDO,É O MUNDO,170,2
878731995587155,PDT Valinhos,PDT Valinhos,170,2
100344766120531,Construnível Energias,These ads ran without a disclaimer,169,3
111944195145189,Vereador Niquinho,Carlos Alberto Do Amaral Felipe,169,2
106040261559088,Alex Sandro Perez Santos - Teologo,Alex Sandro Perez Santos,169,5
100263639323924,Norte em Foco,Norte Em Foco,169,13
104878158969768,renatoscochi,These ads ran without a disclaimer,169,1
104620731526246,Ler Juntos,These ads ran without a disclaimer,168,1
100654432879433,Extra Score.,These ads ran without a disclaimer,168,1
103659837897054,Marcos Rangel,Marcos Rangel Schwenck De Moura,168,6
216626951854461,Prefeitura de Guarapuava,These ads ran without a disclaimer,168,2
508569109204694,Daniel Trzeciak,Daniel Trzeciak,167,27
164958923557819,CAASP - Caixa de Assistência dos Advogados de São Paulo,These ads ran without a disclaimer,167,9
100145486304541,DEJA Estratégia,DEJA Estratégia,167,29
100202281354678,Saulinho da Academia,Saulo Mariano Rodrigues Neves Junior,167,2
103802888145410,Professor PH,Professor PH,167,6
222942711127401,Vereador Betinho,Vereador Betinho,166,2
214665511883192,Aldeias Infantis SOS Brasil,Aldeias Infantis SOS Brasil,166,5
292709121434841,Rossane Patriota,Dioclecio Neto,166,9
114566450384026,Tiago Careca,Tiago Careca,166,2
183615648955498,Jacque Parmigiani,Jacqueline Parmigiani,165,3
100833344855408,Rogério Amorim,Rogerio Martins Pires De Amorim,165,1
110663281973041,prof.ronnynunesadv,These ads ran without a disclaimer,165,2
1041510199294865,Repórter Sérgio Guimarães,These ads ran without a disclaimer,165,2
117912977940606,maradalila2021,Mara Dalila Antunes Da Costa,165,4
113334804730300,pedroarthurmbl,These ads ran without a disclaimer,165,1
102282239512107,Secretarias de Desenvolvimento Urbano e Rural,Prefeitura Municipal de Palmeira,165,3
495146473867559,Sindicato dos Policiais Rodoviários Federais no Estado de Minas Gerais,Sindicato dos Policiais Rodoviários Federais no Estado de Minas Gerais,164,2
758802307472464,Fabio Palacio,These ads ran without a disclaimer,164,1
207047319480112,Raízes do Purus,These ads ran without a disclaimer,164,1
172724889456920,Vinicius Simões,These ads ran without a disclaimer,164,3
700425656673561,João Cardoso,Joao Cardoso,163,2
1040247002769374,Incentiv.me,INCENTIV-IMPACTO SOCIAL & INCENTIVOS FISCAIS LTDA.,163,2
1260393754014290,Michell Sombrio,Michell Sombrio,163,16
1642863069292111,Cida Pedrosa,Maria Aparecida Pedrosa Bezerra,163,1
875408165949230,Renato - Homem Banda,Renato Da Costa Casacio,162,1
133627480394639,Kátia & Gilvan Sales,Antonio Gilvan Inacio De Sales,162,2
1002561949830007,Toninho Colucci,Toninho Colucci,162,5
1032715603539066,SOS  Brasil Soberano,Sindicato dos Engenheiros no Estado do Rio de Janeiro,162,8
102804299269494,Professor Gilson de Souza,Professor Gilson de Souza,162,3
266360393867344,Dr. Zacharias Calil,Zacarias Calil Hamu,162,2
2033819370233023,Dani Portela,Danielle Gondim Portela,162,4
104134645988105,Danilo TRE  concursos públicos,These ads ran without a disclaimer,161,1
105419250835942,Mulheres no Comando,Mulheres no Comando,161,2
101934359567173,Jobson da Internet,Jobson Luis Melo De Negreiros,161,6
964706786877937,Lásaro Borges de Oliveira,Lásaro Borges de Oliveira,161,2
529084387274599,Guilherme Bencardino,Guilherme Bencardino,161,3
127279944041291,Cidadão Alerta,Ivo Araujo,161,3
498363013863447,Paulo da ADM,These ads ran without a disclaimer,160,1
111338548481768,Paulo César,These ads ran without a disclaimer,160,2
110183610803171,Conselheiro Marcelo Bernardi,Conselheiro Marcelo Bernardi,160,1
236409273092810,Volare,These ads ran without a disclaimer,160,3
1689349741360584,Câmara Municipal De João Monlevade,Câmara Municipal De João Monlevade,160,2
103124839430410,João Francisco de Souza Araújo,JOAO FRANCISCO DE SOUZA ARAÚJO,160,6
102691219170147,Breno Garibalde,Breno Garibalde,160,1
257697420929027,Marcius Machado,Marcius Machado,159,3
622780267781036,Janeiro Branco,LEONARDO ABRAHÃO PIRES REZENDE,159,3
102153994985703,William Meira,William Mendes da Rocha Meira,159,2
1569111976699198,Dent+ Clínicas Odontológicas,These ads ran without a disclaimer,158,1
120172041029769,Maria Ângela,FUTUREPIC SERVICOS DIGITAIS LTDA,157,34
1907535316222227,Andreoni Camargo,Andreoni Camargo,157,1
104840987615616,Lucas Fumacinha,Lucas Schiavi,157,5
254046527951174,UNFPA Brasil,These ads ran without a disclaimer,157,1
222565664437771,Ana Flavia (page officielle),Ana Flavia De Farias Zenaide,157,1
2364462587143227,MK Despachante e Isenções,These ads ran without a disclaimer,156,2
1648092025443166,Carlin Moura,Carlos Magno De Moura Soares,156,2
395290064311841,Cia Duo Due,These ads ran without a disclaimer,156,1
102348402472722,Flexcred Assessoria financeira,These ads ran without a disclaimer,156,1
281294009445473,Bericó,Bericó,156,3
1681917778725285,Hálison Vitorino,Halison Vitorino,155,6
531155646933369,Doc.com,Doc.com,155,8
105443014202622,José Eduardo Rosa Chavans,These ads ran without a disclaimer,155,1
367864086558215,LacConcursos.com.br,These ads ran without a disclaimer,155,1
101954411561037,Teca Nelma,Teca Nelma,154,1
1449348848649551,Geovane Meneguelle,Geovane Meneguelle,154,5
563973340304241,Bruno Miranda,Bruno Sales,154,2
1572839412965562,Vereador Rafael Aloisio Freitas,Vereador Rafael Aloisio Freitas,154,5
101477332832615,Marco Carvalho - Marquinho do SUS,Marco Antonio Gomes De Carvalho,154,2
1632211580342871,Arayara,Instituto Internacional Arayara de Educação e Cultura,154,1
204203256370747,Felipe Alves,Felipe Alves,153,4
114041414915070,Clínica Bela Brasiliense Estética Avançada e Bem Estar,Clínica Bela Brasiliense Estética Avançada e Bem Estar,153,1
119919573133150,Cristiano Silva,Cristiano Silva,153,6
280712852409481,Geverson Vicentim,Geverson Vicentim,153,2
106465279090983,Bruno da Madeireira,Bruno Barreto De Holanda Oliveira,153,2
181428595805587,Jhonatan Anfilofev,Jhonatan Anfilofev Faria,153,2
843899852423935,Índio,Edson Carneiro da Silva,153,2
103457921235294,Ronan Santos,These ads ran without a disclaimer,152,2
121529520920946,Startbetting_,These ads ran without a disclaimer,152,1
253645291380394,Colégio Farias Brito,ORGANIZACAO EDUCACIONAL FARIAS BRITO LTDA,151,3
476088612723410,Raíssa Naves,These ads ran without a disclaimer,151,2
286484764739596,Conselho de Arquitetura e Urbanismo do Brasil - CAU/BR,These ads ran without a disclaimer,151,1
766202443556654,Laurez Moreira,These ads ran without a disclaimer,151,2
299647070075742,Professor Matheus Carvalho,These ads ran without a disclaimer,151,27
514558765355005,Gervásio Maia,Gervasio Maia,151,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,150,3
100998125359876,ivonetevereadora,Ivonete Barros,150,3
100879194924133,Carvalho & Caceres Advogados,These ads ran without a disclaimer,150,1
762647990424656,Sango Films,These ads ran without a disclaimer,150,1
100410962988113,EmCicla,EmCiclaa,150,1
107852285636210,Ajuda econômica,These ads ran without a disclaimer,150,2
536188176548383,Prof. Igor Bernardes,Igor Bernardes De Oliveira,150,5
104073105518900,Idiota Útil 2.0,Fredson Nascimento Dos Santos,150,7
108471434102975,Karina Soltur,Karina Celeste Moura,150,3
121263239277690,Caique Marcatt,Caique Marcatti Calimerio,150,3
109039100784811,Instituto BRF,These ads ran without a disclaimer,150,1
666150903842886,Uilson Droppa,Uilson Droppa,150,4
214148498625473,João Vítor Xavier,João Vítor Xavier,150,1
1557799944466685,Delegado Christiano Xavier,Christiano Ferreira,150,1
118032664588800,Marlus do Independência,MARLUS MENDES SOARES,150,2
551497715338641,Ramon Ortiz - Ramonster,These ads ran without a disclaimer,150,1
111312305242388,moreira.adv,These ads ran without a disclaimer,150,1
639370953126346,Léo da Academia,Leandro Viana Da Silva,150,2
101502786003359,Giva Felipe,These ads ran without a disclaimer,150,1
110974257409222,Prefeito Glairton Cunha,Prefeito Glairton Cunha,150,2
1441794469233984,José Dias de Castro Neto,Jose Neto,150,1
1629646363984557,Martha El Debs,These ads ran without a disclaimer,150,1
102492926090239,Sintraturh Pelotas,Sintraturh Pelotas,150,1
438536822883034,Sérgio Camilo,Jesiel Da Silva De Jesus,150,2
782846321738864,Marfrig,These ads ran without a disclaimer,150,1
404971013378522,Rato Teixeira,Archeson Teixeira,150,5
1437374416496807,MSTL - Movimento Sem Terra de Luta,MSTL - Movimento Sem Terra de Luta,150,6
1908747839391760,Apae Tubarao,Apae Tubarao,149,7
188175954536560,Portal SINTESE,SINTESE,149,1
373365589452758,Prefeitura de Pinhais,Prefeitura Municipal de Pinhais,149,1
1488824461358960,Olabi,These ads ran without a disclaimer,149,1
360712964032917,ABEEólica - Associação Brasileira de Energia Eólica e Novas Tecnologias,These ads ran without a disclaimer,149,3
1081605045274660,Vinicius Bortoli Cruz - Advocacia,These ads ran without a disclaimer,149,1
115957258099159,Bruno Pedralva,Bruno Abreu Gomes,149,3
146003468834776,Sintrajufe/RS,Sindicato dos Trabalhadores do Judiciário Federal e do Ministério Público da União no RS - Sintrajufe/RS,149,1
527605540654653,CAUSE,These ads ran without a disclaimer,148,1
116762524367308,Geopolítica com JR.,Jones Ferreira,148,8
288155574541636,SINDISAN,SINDISAN,148,8
212043725820352,Professor Lennon Corezomaé,Lennon Corezomae,148,7
570893229633669,Sicredi Planalto das Águas PR/SP,These ads ran without a disclaimer,148,1
110607395301972,Fabinho Alerta Verbal Vereador,Fabio Alex Nunes,148,2
119151624476954,The Right Report,The Right Report,148,1
1539185982795782,Danuzio Neto,These ads ran without a disclaimer,147,16
173893106110090,Danilo Morgado,Danilo Morgado,147,2
113401851693860,Política Sincera,Política Sincera,147,1
227443687329589,Marcos Papa,Marcos Papa,147,5
101363869255977,otavioaugustosoueu,These ads ran without a disclaimer,147,1
234511358824,Planeta de Livros Brasil,These ads ran without a disclaimer,147,4
290773311288946,Chicão Vianna,Chicão Vianna,147,2
244171728957895,Lojas Pisolar,These ads ran without a disclaimer,147,1
364735467020274,Fundação Antonio Dino,Fundacao Antonio Joge DIno,147,13
244955705554465,Oxarope.com,These ads ran without a disclaimer,147,3
420590341316611,Professor Fabiano Pereira,These ads ran without a disclaimer,146,6
161287003923339,Sinjus,SINJUS-MG Sindicato dos Servidores da Justiça de Segunda Instância de Minas Gerais,145,5
106738281064444,Vereador Bruno Pacheco,Bruno Pacheco Da Costa,145,4
1389592177967243,Dr. Cassiano Ucker,Cassiano Ucker - Médico e Vereador,145,2
100399241597853,Paulo Rossi,Paulo Jose Rossi,144,3
126411104226956,APPH - Associação de Pesquisas e Práticas em Humanidades,Associação de Pesquisas e Práticas em Humanidades,143,1
109160261483921,Allan do Alaor,Allan Jose Quintao,143,10
304936020107271,Abidan Henrique,Abidan Henrique,143,4
454349671777084,Dra. Michelle Melo,Michelle De Oliveira Melo Wiciuk,143,7
1650669521834952,Vereadora Miriam Brandao,MIRIAM BRANDÃO RIBEIRO,143,9
103802754692070,Wemerson Lima,Wemerson Lima,143,3
1397092957229155,Rafael Amaral,Rafael Amaral,142,5
272187756285586,Chico Brasileiro,Francisco Lacerda Brasileiro,142,5
237237233405180,Instituto Arvoredo,These ads ran without a disclaimer,142,4
433889123483814,Prefeitura do Prata,Prefeitura Municipal do Prata,142,2
1531312407085067,Rafaela Camaraense,Rafaela Camaraense,142,7
108541948832135,Wagner Jean Da Rosa,Wagner Jean Da Rosa,142,248
108322314080706,Marcio Jose Rodrigues Dos Santos,These ads ran without a disclaimer,142,2
100440424845197,Advocacia Previdenciária do zero - Prof. Thony Rennan,These ads ran without a disclaimer,142,1
105300658209635,Candidato Viral,Candidato Viral,142,12
408562339563995,Elton Bittencourt,Blton Bordine Bittencourt,142,2
101146936153226,Jorge Abrão Advogados,Jorge Fernando Abrao De Almeida,141,1
105576402316611,Raquel Fernandes Silva,These ads ran without a disclaimer,141,3
120031949801561,prevenirtruck,These ads ran without a disclaimer,141,1
527213517422163,Comites SP,Renato Sartori,141,2
104153032535413,Visto Jamais Visto,Visto Jamais Visto,141,2
277358582707925,Celesc,Celesc,141,4
453279194727563,Sandvik Coromant Brasil,These ads ran without a disclaimer,141,2
103633662434977,A Turma do Luccas Neto no Circo,These ads ran without a disclaimer,140,4
233345087011534,Advogado - Paulo De Tarso,These ads ran without a disclaimer,140,1
112165460646140,Gold do Pneu,Goldemberg De Oliveira Moura,140,1
100784278297723,Marcos Roberto,Marcos Roberto Dos Santos,140,2
154650907977540,Paulo Mantovani,Paulo Cesar De Souza Mantovani,140,2
341771466283129,Faz Capital,These ads ran without a disclaimer,140,7
1385571981662190,Alencar da Silveira Jr,Alencar da Silveira Jr,140,1
107587772257171,Márcio Penha Advogados Associados,Carteira Sobrenome Nacional Driver,139,2
104723845629608,Portal Impulso Notícias,Portal Impulso Notícias,139,3
103379355171453,Folha de Seropédica,Folha de Seropédica,139,1
104919554587728,Felipe Saliba,These ads ran without a disclaimer,139,1
630686390722675,Ramon Jorge de Souza,These ads ran without a disclaimer,139,1
404034516327830,Edson Marcusso,Edson José Marcusso,138,5
107161272294481,odoutordasarmas,These ads ran without a disclaimer,138,2
116950051393407,Super Mito,These ads ran without a disclaimer,138,3
237799247129859,Valdiram Cassimiro,These ads ran without a disclaimer,138,8
107392878510451,dralvaromadeiranetom,These ads ran without a disclaimer,138,1
191268934977464,CAMP Brasil,CAMP Brasil,138,2
334246759999036,Tatiane Frizzo,Tatiane Frizzo,138,5
2179770335366635,Ferreira Parisi e Martins Advogados,These ads ran without a disclaimer,138,1
446633805423159,Instituto Vera Cruz,Instituto Vera Cruz,138,2
176861049584508,Luiz Henrique Dias,Luiz Henrique Dias Da Silva,137,7
296104330788244,Manoela Peres,Manoela Peres,137,1
1284175081639357,Prefeitura Municipal de Perdigão,PREFEITURA DE PERDIGÃO,137,2
104414078036020,Claudiney Dulim,Claudiney Dulim,137,1
110423248631987,Anhembi Morumbi - Penápolis SP.,These ads ran without a disclaimer,137,5
460523690654396,Rinaldo Junior,Rinaldo Junior,137,5
204808582907967,SeuJornal,SeuJornal,136,13
240692902959743,Luciano Almeida,Luciano Marcio Santos Almeida,136,3
104415058902950,Juntos pelos Raros,These ads ran without a disclaimer,136,1
119122334511270,Democracia Beta,These ads ran without a disclaimer,136,1
105830512489078,Cabelos Lisos,Marcos Ferreira De Oliveira,136,3
112659180432045,Girl Up Brasil,These ads ran without a disclaimer,136,2
774200849333345,Editora Appris,Editora Appris,136,1
447892351970216,Juliana Sales,JULIANA ELLEN DE SALES DEPUTADO FEDERAL,136,2
106537248314817,Programa 4 por 4,Brasil Media House,135,4
110821594713582,Vox2you - Patos de Minas,These ads ran without a disclaimer,135,4
101111732588840,Alpha Mídia Cast,These ads ran without a disclaimer,135,1
102545455141155,Prefeitura de Russas,Prefeitura de Russas,134,2
1172180956146969,Lu Bichara,Luciana Bichara,134,5
101041069299708,congressoibgr,These ads ran without a disclaimer,134,2
1545014512387873,Professor Lages,José Antonio Correa Lages,134,4
344484892246127,CCE - PUC- Rio,FACULDADES CATOLICAS,134,4
1724320034474762,Pablo Marçal,These ads ran without a disclaimer,134,34
114118460320671,Renan P. Gonçalves,Renan Goncalves,133,6
105536969200995,jairojuniorprefeito,These ads ran without a disclaimer,133,1
423905751684638,Ton Proêncio,Erivelton Proencio,133,6
112931490258057,Rafael Galvão,Rafael Evangelista Galvão,133,2
122144860798759,Feirão Limpa Nome,These ads ran without a disclaimer,133,13
1571278926443937,Norte Leilões,These ads ran without a disclaimer,133,1
102089052350100,magnoborges.oficial,magnoborges.oficial,133,1
107110045705297,Zezé de Venute,Jose Carlos Afonso,133,1
102499684669319,Márcio Lemos,Márcio Lemos,133,2
159361717460549,Academia Shaolin de Kung Fu Botucatu,These ads ran without a disclaimer,132,1
1168808356551035,Vereador Dr. Rodrigo Furtado,Rodrigo Cezar Furtado De Almeida,132,3
