Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
1375923992628363,Rodrigo Manga,Rodrigo Manga,8000,37
109272165397476,Gerson Aragao,These ads ran without a disclaimer,7898,17
110225312350543,Nova Escola,Associação Nova Escola,7795,34
123884341029248,João Jorge,JOÃO JORGE DE SOUZA,7755,28
658891374205847,Prefeitura de Maringá,Prefeitura de Maringá,7633,17
367468876929300,Instituto Avon,AVON COSMETICOS LTDA,7550,21
142073912632259,Carlos Giannazi,Deputado Carlos Giannazi,7365,32
100121115835527,Daniel Silva,These ads ran without a disclaimer,7332,12
1544493995819099,Roberto Cláudio,Roberto Claudio Bezerra,7321,8
835946223123849,Grupo CCR,These ads ran without a disclaimer,7132,1
263563620333111,Eduardo Braga,Carlos Braga,7120,21
196791070788913,Robson Zanetti Advogado,Robson Zanetti,7041,55
348704312899125,foconofato,FOCO NO FATO,7018,58
393466617381710,Vetor Brasil,Vetor Brasil,6996,54
343655492351770,Associação Brasileira de Apoiadores Beneméritos do Teatro Guaíra,Associação Brasileira de Apoiadores Beneméritos do Teatro Guaíra,6828,14
541089776080092,Sanofi Brasil,Thaina Souza De Campos,6812,40
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,6788,122
213048568820524,Vereador Paulo Frange,Rodrigo Carvalho,6765,95
1498647100170828,Prefeitos do Futuro,Prefeitos do Futuro Cursos e Treinamentos LTDA,6759,43
128685634399160,Paulo Victor,Paulo Victor,6706,23
180409628639048,Oi Futuro,Oi Futuro,6490,52
123323271155574,Virginia Mendes,Virginia Raquel Taveira E Silva Mendes Ferreira,6385,54
163852833738546,Vinicius Camarinha,Vinicius Camarinha,6331,61
134450246716954,Governo do Estado de Santa Catarina,SECRETARIA DE ESTADO DA SAÚDE DE SANTA CATARINA,6298,2
131844590198876,Prefeitura de Porto Alegre,Prefeitura Municipal de Porto Alegre,6292,3
2209636419286152,Elismar Prado,Elismar Fernandes Prado,6108,56
746791565355599,SejaVero,Karem De Vargas Ferreira,6094,8
1671656236440009,Mauro Tramonte,Mauro Henrique Tramonte,6008,13
567247806959527,CHAPA 1 - Andes pela base,CHAPA 1 - Andes pela base,5997,43
193719533998484,Fundação Fernando Henrique Cardoso,Fundação FHC,5992,63
347460535353050,PNB Online,PNB Online,5922,24
201878973201295,Republicanos10,Republicanos10,5917,55
104457515108469,Seu Crédito De Volta,These ads ran without a disclaimer,5901,4
115429128138893,João Rocha,These ads ran without a disclaimer,5894,6
150897651635768,Governo do Estado do Ceará,Governo do Estado do Ceará,5835,7
1573742939554561,Deputado Botelho,Deputado Botelho,5802,25
1016014891780524,Estratégia Carreira Jurídica,ESTRATEGIA CONCURSOS SA,5757,22
102454544792377,Jeferson Gomes,These ads ran without a disclaimer,5686,27
520803328039440,Recicla Sampa,Eco Urbis e Loga,5625,55
481166311940473,Prefeitura de Eunápolis,Prefeitura Municipal de Eunápolis,5597,19
1619570641615465,Fernando Marangoni,Fernando Marangoni,5500,7
145608108896911,Frente Parlamentar da Agropecuária - FPA,Instituto Pensar Agropecuária,5475,21
321102601376588,Abdala Fraxe,Abdala Habib Fraxe Junior,5431,4
1549054225424161,Eduardo Moreira,Instituto Conhecimento Liberta,5421,52
288660317927031,Prefeitura Municipal de Araçatuba,PREFEITURA MUNICIPAL DE ARAÇATUBA,5412,13
2323904661180742,All Out Brasil,All Out,5411,12
153983763450134,Clarice Ganem,Clarice Ganem,5318,15
187970114581051,Anistia Internacional Brasil,Anistia Internacional Brasil,5267,86
1796853600564637,Jair Da Mendes Gomes,ADEJAIR SANCHES DE AGUIAR,5235,52
2308676322748492,Marcio Carvalho de Sá,These ads ran without a disclaimer,5232,17
245784392128312,Senador Petecão,Sergio De Oliveira Cunha,5203,17
363464780341639,Prefeitura de Blumenau,Prefeitura de Blumenau,5141,9
1124473760957316,FS Fueling Sustainability,FS Fueling Sustainability,5053,24
170166996524709,Orlando Morando,Orlando Morando Junior,5039,99
104127645777846,Índia Armelau,Índia Armelau,5000,7
186029714861523,Dr. Valdomiro Lopes,Valdomiro Lopes,4949,27
611089352393703,Rosangela Donadon - Deputada Estadual,Rosangela Henrique Pereira Donadon,4945,16
669979576373645,Delegado Eduardo Boigues,Delegado Eduardo Boigues,4932,211
129296464237962,Prefeitura de Ourinhos,Prefeitura de Ourinhos,4880,34
114545680471703,Pedro Quintanilha - Mentalidade Empreendedora,Eduardo Lima Ferreira,4880,66
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,4846,26
448928461819807,Matheus Mafepi,Matheus Mafepi,4838,35
110106808143124,Siricutico,Siricutico Oficial,4787,8
100359566010068,Prefeitura de Tucuruí,Prefeitura de Tucuruí,4777,38
100380548458405,Prefeitura de Jaboticabal,Prefeitura de Jaboticabal,4764,61
107809564197704,Cetur - Conselho Empresarial de Turismo da CNC,"CONFEDERACAO NACIONAL DO COMERCIO DE BENS, SERVICOS E TURISMO - CNC",4715,94
106544121525446,Diogo Machado MPP,These ads ran without a disclaimer,4701,14
111186368956008,Academia Brasileira de Direito Constitucional,ABDConst,4689,113
1405025743082214,Coronel Alberto Feitosa,Alberto Jorge Feitosa,4677,76
118860441178600,Marcela Ferraz,These ads ran without a disclaimer,4672,42
554540954593203,Raízen,These ads ran without a disclaimer,4659,4
378584562192977,Filippi,José de Filippi Junior,4634,24
104431355234690,Minuto Escola,Um Minuto Produções Culturais LTDA,4598,4
109226467222782,Brasil Sem Medo,Brasil Sem Medo,4563,281
1578235319127195,Seiko Brasil,ORIENT RELOGIOS DA AMAZONIA LTDA,4563,64
196452727048562,Governo do Rio Grande do Sul,SECRETARIA DE COMUNICAÇÃO,4488,11
263199020531986,JOTA,JOTA,4451,18
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,4448,7
267089136770605,Bradesco Prime,Banco Bradesco SA,4444,1
109109610803813,MeuPreparatório,These ads ran without a disclaimer,4412,61
604486089747468,Prefeitura de Monte Carmelo,Prefeitura de Monte Carmelo,4408,15
261092760666998,Luiza Ribeiro,Luiza Ribeiro Gonçalves,4406,28
344802689398688,Oficina da Aprovação,These ads ran without a disclaimer,4405,41
404466369619965,Márcio CaneLLa,Márcio CaneLLa,4370,7
168865359819628,NOVO 30,Partido Novo,4348,48
172444996112900,Fundo Brasil,Fundo Brasil,4327,224
1087471917938156,Sistema Fecomércio RJ,Fecomércio RJ,4319,37
103485942710607,Carlos Santiago 22.,Carlos Alberto Santiago Gomes Barbosa,4301,20
102105385178631,Prefeitura de Quirinópolis,Prefeitura de Quirinópolis,4279,14
2016641191899819,Bruno Ganem - Indaiatuba,Bruno Ganem,4265,6
112021296931600,Mônica Lopes,IBPOM,4259,40
1460558354166610,Dr. Hiran Gonçalves,Hiran Manuel Gonçalves da Silva,4204,31
100338052176648,"Apufpr Chapa 1 - Unidade, Democracia e Luta",APUFPR Chapa 1,4122,68
115230991849922,O Globo,Editora Globo,4100,5
1414776178738297,Marcelo Lima,Marcelo Lima,4070,12
250305668489402,Professor Kenny,These ads ran without a disclaimer,4050,17
1500606083580137,João Azevêdo,João Azevedo,4028,37
465508674236677,Edmar Ptak,Edmar Ptak Guimaraes,4027,32
631711806855209,Prefeitura de Colombo,Prefeitura de Colombo,4024,15
376071779158486,Câmara de Maringá,Câmara de Maringá,4000,10
200480966638039,Supremacy 1914,These ads ran without a disclaimer,3996,2
538984582880293,Wilker Barreto,Wilker Barreto,3933,20
382381445421,Natura,These ads ran without a disclaimer,3887,2
677355412700059,Eduardo Freccia,Eduardo Freccia,3872,17
367279553431714,Joel da Harpa,Joel da Harpa,3842,11
102773638649611,Bruno Pereira,These ads ran without a disclaimer,3841,12
486914985073732,Eduardo Girão,Eduardo Girão,3764,47
107751251520969,Clarice Ganem SP,Clarice Ganem,3758,4
478752158813845,Maurício Eskudlark Deputado,Assinatura Do Titular,3728,39
108143861587898,Mauricio Neves,Mauricio Neves,3721,40
1437843656540112,Lucas Sanches,Lucas Promessia,3707,37
387072514970604,Vereador Dr. Kachan Jr - Coisa Linda,Jose Antonio Kachan Junior,3707,27
1703010579956133,Eleições 2024 - Cursos Online,Curso Eleitoral,3682,19
580813708692882,Davi Alcolumbre,David Samuel Alcolumbre Tobelem,3676,13
1389429587984302,Renato Antunes,Renato Antunes,3628,18
112697955134931,Julio Maximo,These ads ran without a disclaimer,3613,12
172724889456920,Vinicius Simões,VINICIUS JOSÉ SIMÕES,3566,69
392062714173023,Assembleia Legislativa do Estado de Goiás,VERSATILY AMBIENTAL E MARKETING,3546,4
228301373863551,Agência Pública,Agência Pública,3472,22
323052724744011,Samer Agi,These ads ran without a disclaimer,3449,5
