Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
122362084136699,evrimbalbaloglu,Evrim Balbaloglu,21677,28
625595944453722,Ali Abbas Ertürk,Ali Abbas Erturk,21325,44
119873261054063,Hayriye Aydın,Hayriye Aydın,21193,85
2037050303009041,Abdullah Karapıçak,Abdullah Karapıçak,21034,12
426339260809702,Oğul Aktuna,Oğul Aktuna,21034,7
146234755411446,Mirasımız Derneği,(MİRASIMIZ) Kudüs ve Civarındaki Osmanlı Mirasını Koruma ve Yaşatma Derneği,20744,16
191902777500324,OTAG TV,Levent Açıkgöz,20682,11
217712041637127,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,AK PARTi Genel Merkez Gençlik Kolları Başkanlığı,20429,1
1444447882504938,Ak Parti Kayseri İl Başkanlığı,Ak Parti Kayseri İl Başkanlığı,20315,26
106187277979172,Dijital Gaste,Veysel Karahan,20250,7
107487660764415,Hasan Ekici,Bekir Karakuş,20023,7
215158578510066,Ümit Özdağ,Mehmet Emin Özbey,19960,14
153092148868180,Ayşe Sibel Yanıkömeroğlu,Ayşe Sibel Yanıkömeroğlu,19567,28
105347052558895,,These ads ran without a disclaimer,19295,2
466041427161963,ERSİN BEYAZ,Ersin Beyaz,19204,33
459314071262613,Zeynettin Aydın,Zeynettin Aydın,19189,126
533617450479963,İdris Naim ŞAHİN,İdris Naim ŞAHİN,19072,9
319026564921676,Vatan Partisi,Vatan Partisi,19037,3
2038469613118937,Mustafa Zavlak,Mustafa Zavlak,19007,43
100431406701471,Internethaber,Internethaber,19000,4
350156169488363,KADEM METE,KADEM METE,18868,42
1507047782923237,MHP Ankara İl Başkanlığı,MHP Ankara İl Başkanlığı,18673,26
105724511499805,Yeniden Refah Partisi,Yeniden Refah Partisi,18472,67
921794431315874,Berna SUKAS,Berna Sukas,18220,20
1407759386141852,Ahmet Akın,Ahmet Akın,18204,17
103965639335616,Var mısın Antalya?,Faruk Islek,18099,4
2300970773481796,Alaattin ÇAKIR,Alaattin Çakır,18062,12
1481865401841739,Müge Yıldız Topak,Muge Yildiz Toprak,17998,25
108489785274410,Mot hai ba bon 1234,These ads ran without a disclaimer,17993,1
118016654594649,Seda KÂYA ÖSEN,Seda Kaya Ösen,17791,19
106721105738428,Emin Selim Akgül,Elif Beyza Tekin,17521,5
268544196532365,Saadet Partisi İstanbul İl Başkanlığı,Saadet Partisi İstanbul İl Başkanlığı,17474,4
393451251137056,Pelin Yılık,Tasarım Medya Reklam,17421,30
106534895734837,Mehmet Emin Önal,Mehmet Emin Önal,17144,18
842962915908391,Seçim Oyunu,Mustafa Mete Fisunoglu,17036,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,16871,2
117508271301281,Av. Cemil Yavuz Aksu,Tasarım Medya Reklam,16821,40
1532389387082678,Sarıçam Belediyesi,BİLAL ULUDAĞ,16488,2
219895681531374,İbrahim Ethem Sedef,Kenan Filik,16385,75
246776586058174,Eyyup Yıldız,Eyyup Yıldız,16131,11
504901456292964,Tahsin Ocaklı,Tahsin Ocaklı,15969,16
117756791242075,Arif Ataman - Artvin Bağımsız Milletvekili Adayı,Arif Ataman,15925,25
532775093532626,Yücel Bulut,Yucel Bulut,15924,80
100910024639566,Ali Babacan,Deva Partisi,15758,3
719183108201915,Abdullah AKIN,Oktay Aydın,15192,8
116356958083849,Prof. Dr. Abdurrahman BAKIR,Mehmet Gazi Arslan,15097,10
105930572489375,Mehmet Ali Karamemiş Çankırı Milletvekili Adayı,Mehmet Ali Karamemiş,14985,27
813910878738510,CHP Gaziantep İl Başkanlığı,Servet Törer,14766,24
119377904457065,Kayseri Bağımsız Milletvekili Adayı Emre Çakmakçi,Emre Çakmakçi,14703,21
154237964677450,İntegral Yatırım Menkul Değerler A.Ş.,These ads ran without a disclaimer,14174,4
1474211066185659,Mustafa Hamarat,Mustafa Hamarat,14037,22
103285814499773,Hikmet Yalım Halıcı,Hikmet Yalım Halıcı,13973,21
105797409159485,Sururi Çorabatır,Idecon Etkinlik Yönetimi Reklam Medya İletişimi ve Danışmanlık Tic. Ltd. Şti,13759,52
1622164058014589,Mestan Özcan,OPTİMUM MEDYA VE REKLAM TANITIM HİZMETLERİ A.Ş,13492,23
112522241798358,Muhammed Fatih Dağlıoğlugil,Muhammed Fatih Dağlıoğlugil,13458,18
106977872374373,İsmail Aybars AKSOY,Aybars Aksoy,13433,7
432246233457476,اخبار الوادي الجديد,These ads ran without a disclaimer,13356,8
575755372513811,Muhittin Böcek,Antalya Büyükşehir Belediyesi,13251,28
113488565046764,Av. Arslan Bolat,Av Arslan Bolat,13029,21
254110651270938,Mustafa DESTİCİ,Mustafa DESTİCİ,12979,6
1631624877069673,Selim Çakır,Selim Çakır,12836,17
1028368393892777,Mehmet Ali Özkan,Mehmet Ali ÖZKAN,12826,128
839363442860590,Dr. Mustafa Canbey,Mustafa Canbey,12821,25
111887268543713,Fatih Meşe,Abdürrahim Kır,12749,9
439268549551900,Ulaş Karasu,Ulaş Karasu,12674,63
100345912204104,Nuri Cengiz,Cumhuriyet Halk Partisi,12598,59
106826915720130,Özgür Erdem İncesu,Gökay Şahindokuyucu,12536,19
101579449561816,Harun ALGÜL,Harun Algül,12339,73
111917151872313,Ergün Tekin,Ergün Tekin,12318,35
704507633271313,Bülent Şükrü Altınışık,Batuhan Efe Öner,12150,61
1256361374466644,Osman Zabun,Osman Zabun,11948,110
118536807883838,Helil İnay Kınay,Helil Kınay,11898,2
340208306016360,Kilithaber,Recep Özcan,11834,6
144369108949589,Prof. Dr. Yasemin AÇIK,Prof. Dr. Yasemin AÇIK,11726,6
113851270433840,Türkiye İşçi Partisi-Antalya,Eylem Karaman,11693,8
855810358143919,Tahir Büyükakın,Tahir Büyükakın,11491,5
289270345073936,İsmail Hakkı Bakır,İsmail Hakkı Bakır,11460,24
213380598742595,Selahattin Demirtaş,Ragıp Incesağır,11272,20
2641298465896629,Muhammet Gür,Muhammet Gür,11109,17
103087702499272,Prof. Dr. Mustafa Araz,Prof. Dr. Mustafa Araz,11096,36
210993622366044,TVNET,TVNET,10876,21
106433519384639,Haber7,Haber7,10808,34
102759276133977,Sema Silkin Ün,Sema Silkin Ün,10721,33
100781266312487,Gülcan Kış,Gülcan Kış,10489,72
107233182319799,Hatice Yıldız,Ramazan Savaş,10129,39
467398480038872,Dursun ATAŞ İYİ PARTİ Kayseri Milletvekili,Dursun ATAŞ İYİ PARTİ Kayseri Milletvekili,10062,36
1540559519551922,Saruhan Oluç,Saruhan Oluç,10057,6
503207923065874,45 HABER,Deniz Guner,10023,37
114109568315674,Ozan Bingöl,Ozan Bingöl,9934,5
110174325379019,Tarkan Kulak,Halil Şafak,9792,26
101742219570110,Reis Reisoğlu,Servet Törer,9681,14
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,9680,12
111753155224790,Av Mehmet Kırmacı,Mehmet Kırmacı,9584,10
127443153589651,Hasan Demir,Hasan Demir,9555,7
111452065252314,m.tamer.cantekin,M Tamer Cantekin,9553,56
103536752705365,Av.Gülümser Ceylan Köle,Gulsah Çıplak Dingil,9457,42
114597108291949,Haydi..ama nereye?,Abdelrahman Farouk,9417,20
1424394931135090,AK Parti Samsun İl Başkanlığı,AK Parti Samsun İl Başkanlığı,9381,18
103015499438790,Ahmet karkucak,Ahmet Karkucak,9285,47
108167978922367,Arif Yılmaz,Arif Yılmaz,9271,21
1439683329600228,Ümit Uysal,Ümit Uysal,9238,22
619126554886307,Ali Hikmet Akıllı,Ali Hikmet Akilli,9222,22
1600287556851102,İsmet AKIN,İsmet AKIN,9180,14
979738848890749,Faruk Kılıç,Faruk Kilic,9139,262
104543862591659,Oğuz Kemal Yakar,Oguz Kemal Yakar,8979,46
950162258347563,Denizli Medya,Denizli Medya,8821,8
107955874293258,Hakan Adanır,Hakan Adanır,8815,19
442270952898050,Ahmet Sel,Ahmet Sel,8798,2
525541627547156,Süper Haber,Süper Haber,8762,16
364129684334540,Yılmaz İLHAN,Yılmaz İLHAN,8700,15
352176072180752,Ahmet Cin,Ahmet Cin,8570,17
100568266218274,Gençliğin Yüzleri,Gençliğin Yüzleri,8492,14
101412155815146,Seracettin Bedirhanoğlu,Seracettin Bedirhanoğlu,8413,17
117369164656197,Mehmet Par,Mehmet Par,8410,5
188735457815836,Emekçi Hareket Partisi (EHP),Emekçi Hareket Partisi,8367,22
112704295135841,Hasan Yalçın,Advert Digital,8295,13
636254673172634,Serkan Kalmaz,Serkan Kalmaz,8133,7
100317762144884,Zekeriya Siverekli,Zekeriya Siverekli,8129,9
107821532289110,Aziz kalaycı,Ömer Yatkın,8073,11
105653029090851,Şenol Aslanoğlu,Şenol Aslanoğlu,8026,4
115689658163861,Hakan Öztürk,Özge Akman,7992,34
115790992165498,Rıdvan UZ - İYİ PARTİ,Ridvan Uz,7704,18
114663754929212,Av. Seyit Özcan,av seyit özcan,7701,29
101490908746353,Zafer Partisi,Zafer Partisi,7699,6
100566981431204,Mersin Haber Özel,Mersin Haber Özel,7685,11
125443057854939,Tolga Erener AK PARTİ Giresun Milletvekili Adayı,Tolga Erener AK PARTİ Giresun Milletvekili Adayı,7478,25
459374448202949,Doruk BULUT,Doruk Bulut,7425,14
1715620835189083,Terre d'Evasion,These ads ran without a disclaimer,7404,7
118280211237745,BBP Cengiz Bayar,Cengiz Bayar,7390,5
100901992994052,İyi Parti Samsun,Suat Ortahisar,7369,19
1598524763796358,CHP Bayraklı İlçe Örgütü,CHP Bayraklı İlçe Örgütü,7341,28
116867964704909,Av.Ufuk Kanışkan,Ahmet Özer Esgin,7284,18
654681201281174,Mehmet Bülent Karataş,Mehmet Bülent Karataş,7257,3
117158094660203,Fahri Özkan,Fahri Özkan,7248,26
101323482281931,Uzm.Dr. Hüseyin Cengiz Gürbüz,Huseyin Cengiz Gurbuz,7226,12
112660945115406,Vecdi Mert Uzer,Murat Can Ünverdi,7209,1
2281400925408962,Türkiye'ye Sahip Çık,Arda Akın,7139,20
368870663488637,Mahmut Arıkan,Saadet Partisi,7024,36
108784345527387,Hamza Buldu,Hamza Buldu,6899,4
374547199341007,Emin ÇINAR,Emin Çınar,6838,19
111079321959977,Alperen Özmen,Alperen Özmen,6792,26
109797878715416,Av. Mustafa ABAK,Ali Çakmakcı,6739,15
115647918164842,İbrahim Arslan,İbrahim Arslan,6710,4
110583012013543,smatip1_aryayahayatol,These ads ran without a disclaimer,6610,6
181563442497046,Ahmet Dönmez,Ahmet Dönmez,6522,50
101605686227473,Hakan Kuşçuoğlu,Hakan Kuşçuoğlu,6521,20
106561381741274,Promosyon Kahve,GANİTTO GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ,6452,4
105964842465200,Veteriner Hekim Ziya Yılmaz,Ziya Yılmaz,6426,56
112192125157541,Ercan Öztürk,Ercan Öztürk,6426,17
111579745240906,Turan Yıldırım,Turan Yıldırım,6423,17
162775624561503,Özlem URAL Milletvekilli 2. Sıra Adayı,ÖZLEM URAL,6355,27
198605366823875,CHP İzmir İl Başkanlığı,CHP İzmir İl Başkanlığı,6332,2
833329183349879,Ahmet YELİS,Ahmet Yelis,6195,13
100961656309902,Bağımsız Milletvekili Fatih Gür,FATİH GÜR İNŞAAT VE TİC.LTD.ŞTİ,6191,7
118257014567473,Dr. Fatih Öztek,Mehmet Fatih Öztek,6139,4
114651884945940,Zafer Partisi Aydın 1. Sıra Milletvekili Adayı Seray Ünbay,Sensin Kumcuoğlu,6133,6
392491680944925,Mevlüt Çavuşoğlu,Mevlüt Çavuşoğlu,6047,10
418278521564377,CHP Muğla İl Başkanlığı,CHP Muğla İl Başkanlığı,6017,2
144096473392,Yeşil Gazete,Yeşil Gazete,6013,17
608372546191157,Şahin Gürz,Şahin Gürz,6000,24
655349114629011,Av. Ece Güner,Av. Ece Güner,5988,3
105376981385020,Referandom,Referandom,5937,14
115455134844517,Seçkin Odabaşı,MHP,5808,17
842962915908391,Seçim Oyunu,These ads ran without a disclaimer,5807,25
102623978883692,SMA değil Aybars Kazansın,These ads ran without a disclaimer,5727,1
116851311391526,Erkan Sarmaşık,Erkan Sarmaşık,5700,24
111091788630220,Aykut Kaya,Aykut Kaya,5623,27
624904481498449,Naci Şanlıtürk,Naci Şanlıtürk,5562,2
146384098769634,Öncü Gençlik,Baris Demiralay,5510,11
111026490765263,Dünyanın Sesi,Dünyanın Sesi,5478,5
209551323166401,SELİM ÇAKIR,SELİM ÇAKIR,5462,16
231970217587294,Hasan Basri Sönmez,Hasan Basri Sönmez,5449,3
100747092360982,ferhatiscimen,Ferhat Işçimen,5446,7
1986133791650620,Lütfi Kaşıkçı,Gülşah Erbey Dağ,5391,36
564235557361448,Gönül Adamı,Adem Demirkol,5371,13
161063617352762,AK Parti Zonguldak İl Başkanlığı,AK Parti Zonguldak İl Başkanlığı,5360,10
114766951535202,Konur Alp Koçak,Konur Alp Koçak,5358,11
2074348739507719,Celil Çalış,Celil Çalış,5348,11
111751313846537,Hülya Erdem,Hülya Erdem,5313,14
103700291606228,Doğa Şanlıoğlu,Doğa Şanlıoğlu,5297,22
120609391003134,Ajans media,Yalçın Bayrak,5263,31
100625766126116,Cominify,Cominify,5210,8
109839182079683,Yeşil Sol Batman,Yeşil Sol Parti Batman,5199,8
902366576453802,Servet Mullaoğlu,Servet Mullaoğlu,5176,69
1437665699815071,Doğruluk Payı,Dogruluk Payı,5146,5
106484769092779,Mustafa Su,Mustafa Su,5131,19
158077404753235,Çanakkale Zafer TV,Zafer Durmaz,5115,82
113488565046764,Av. Arslan Bolat,Caner Sagir,5084,7
129885233341922,İmren Nilay Tüfekci,Furkan Bektaş,5006,17
546697155416305,AK Parti Denizli İl Başkanlığı,AK Parti Denizli İl Başkanlığı,5001,22
105048025902614,Ahmet Fethan Baykoç,Woo Medya ve Organizasyon Ltd Şti.,5000,3
109018715503344,Turgut Özkan,Turgut Özkan,4989,7
104205562634100,Hakan Satılmış,Hakan Satılmış,4972,6
377634282278139,Büyük Birlik Partisi,Büyük Birlik Partisi Genel Merkezi,4804,15
112065760445212,Muhammed Aydoğar,Muhammed Aydoğar,4788,4
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,4773,305
116499914746115,Av. Müslüm C. Akalın,Av. Müslüm C. Akalın,4772,14
370465530355174,Mustafa Demir,Mustafa Demir,4731,16
2149672781950908,İsmet Yıldırım,İbrahim Özcan,4700,1
103751802710612,Sedat Kabay,Emre Yenmiş,4686,30
111328568600829,Ahmet Örnekbaş,Ahmet Örnekbaş,4679,17
598725973543356,CHP Antalya Gençlik Kolları,CHP Antalya Gençlik Kolları,4676,20
203313693133528,samsunanaliz.com,samsunanaliz.com,4649,5
1538797929729690,Erkan Dönmez,Erkan Dönmez,4641,12
900888546749086,Hüseyin Avni AKSOY,Hüseyin Avni Aksoy,4636,3
102998555482022,Mv. Mehmet AY,Servet Törer,4623,3
1493744950841097,Kınık Belediyesi,Sadik Dogruer,4604,11
714161348691623,Türker Yörükçüoğlu,Türker Yörükçüoğlu,4591,36
103258565072396,Turhan Kalaycı,Turhan Kalaycı,4582,3
107056595666112,Hasan Ercüment Taşdemir CHP Antalya Milletvekili Adayı,Hasan Ercüment Taşdemir CHP Antalya Milletvekili Adayı,4556,32
111277054935744,smatip1_aryayahayatol,These ads ran without a disclaimer,4520,1
103141042761034,Ferda Ertürk,Oktay Yuksel,4506,27
483256081848072,Ayşe Keşir,Ayşe Keşir,4490,5
102588741231494,Harun Özgür Yıldızlı,Harun Özgür Yıldızlı,4477,6
984877918214362,Samsun Haber,Samsun Haber,4472,32
100665102848993,Gün Gün Kurtuluş,İlker  Tanrıverdi,4467,8
439673326110919,İlteriş Kağan Sıkıcıkoğlu,İlteriş Kağan Sıkıcıkoğlu,4448,23
890935934274178,Serdar Sandal,Burak Özer,4427,1
104583269180967,Nusret Acur,Semih Çalışkan,4423,45
64625878491,Eyüpsultan Belediyesi,Eyüpsultan Belediyesi,4411,6
320343148103104,AK Parti Afyonkarahisar İl Başkanlığı,Oktay Yuksel,4392,14
112448488489411,Bien Undo,These ads ran without a disclaimer,4340,1
108217958917623,Muhammet Emin Avundukluoğlu,Fatih Canbolat,4309,2
928921137187670,ALİ UÇAK,Volkan Erel,4253,2
284719123320412,Yeniden Refah Sakarya,Yeniden Refah Sakarya,4247,8
107672922316658,Mehmet Bağlar,Mesut Tugrul,4232,7
102081045702842,Ozan Balık,Ozan Balik,4204,18
117364971317866,İbrahim BAĞ - MHP Bilecik Milletvekili Adayı,İbrahim Bağ,4200,3
586665815118992,First Goal,These ads ran without a disclaimer,4198,1
674523449330207,Yavuz Aydın,These ads ran without a disclaimer,4182,5
245550665538030,Kocaeli Büyükşehir,Kocaeli Büyükşehir,4175,2
105797409159485,Sururi Çorabatır,Sururi Çorabatır,4171,29
102441516113904,CHP Kilis İl Başkanlığı,Servet Törer,4148,4
134711239995747,Veni Vidi Göz,These ads ran without a disclaimer,4136,1
1380594035550142,Aydınpost,AYDINPOST,4100,14
246451168813753,Yeniden Refah Partisi Çekmeköy İlçe Başkanlığı,Süfyan Ayyildiz,4096,11
1320256987987839,Kadın Birliği,Kadın Birliği,4061,32
119555984413348,Mustafa Enis Arabacı,Mehmet Dinler,4025,2
252568965442843,Talat Dinçer,Talat Dinçer,4014,16
283345415854103,Necip Topuz,Karataş Belediyesi,4006,34
625043047587195,Abdullah Sönmez,These ads ran without a disclaimer,4000,1
318614071672921,Mehmet Alagöz,Mehmet Alagöz,4000,2
526021844442630,İYİ Parti Denizli İl Başkanlığı,İYİ Parti Denizli İl Başkanlığı,3998,9
461639080653445,Ayhan Gider,Levent Yener,3970,6
108715680947334,Terazi Gözü,These ads ran without a disclaimer,3968,3
176072639822302,İYİ Parti Kocaeli İl Başkanlığı,Semih Çalışkan,3952,33
1407759386141852,Ahmet Akın,Ahmet Akin,3950,46
120114614397446,Kübra Dursun,Sinan Ergül,3913,10
106156139007999,Ünal Bacık,Ünal Bacık,3900,4
370802392936678,Antalya Muratpaşa Belediyesi,Antalya Muratpaşa Belediyesi,3893,5
476701376080948,Tamer Osmanağaoğlu,Tamer Osmanağaoğlu,3834,2
104840189022177,nejdet.tiskaoglu,nejdet.tiskaoglu,3823,7
141311632555208,Bağımsız Türkiye Partisi,Mehmet Erkul,3767,2
108376020766134,Metin Bolat,Metin Bolat,3750,11
364210594061098,Ferhat Aksoy,FERHAT AKSOY,3740,3
111753808519893,Murat Kotra,Murat Kotra,3678,4
562524437154765,Yusuf Ziya Aldatmaz,Yusuf Ziya Aldatmaz,3677,3
1424712337856061,Nazilli Havadis,Nazilli Havadis,3677,16
117020081370987,Suleyman Pulat,Süleyman Pulat,3670,8
117332004664282,Ali Selman IŞIK Niğde Millet Vekili,Ali Selman Işik,3668,12
109777492466397,CHP Antalya İl Başkanlığı,CHP Antalya İl Başkanlığı,3660,20
1695618027330117,Ensar Aytekin,Ensar Aytekin,3651,3
114079334979839,Sibel Suiçmez,Sibel Suiçmez,3619,13
109927550576204,ozayrdvn,ozayrdvn,3583,30
116108505131797,İsmail Erdem,İsmail Erdem,3574,6
101154588917672,hatay_unutulanesya,These ads ran without a disclaimer,3570,1
118835537839543,Ruken Şahin Kilerci,Opinion Dijital Medya Ajansı,3567,5
210636876843,Türkiye Gençlik Birliği (TGB),Türkiye Gençlik Birliği-TGB,3542,9
113779998350948,Tarık Hatipler,Burak Doğan,3530,8
690339031063074,Rahmi Aşkın Türeli,Rahmi Aşkın Türeli,3514,12
102658277843483,İsa Yüksel,İsa Yüksel,3500,1
117761694596567,Elif Kasap Öztürk,Elif Öztürk,3419,8
110100730866049,Şehit Eren Öztürk Cami ve Kuran Kursu Derneği,These ads ran without a disclaimer,3418,1
121480754253214,M. Ali Okul,Muhammet Ali Okul,3414,2
265755167457983,Hüseyin Korkman,Hüseyin Korkman,3392,5
107504668924245,İYİ PARTİ Milas İlçe Başkanlığı,Gürsel İnce,3354,18
116360214748683,Gökhan İDİZ,Gökhan İdiz,3340,13
