Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
289149121873080,Samuel Álvarez,Samuel Álvarez,503342,10
264386463968386,Nubia Stella Martínez,Centro Democrático - Comunidad Oficial,500000,1
107269324429951,Víctor Ramos,Víctor Ramos,493360,127
478709465506020,Secretaría de Productividad y Competitividad,Secretaría de Productividad y Competitividad,489082,4
106673268896739,Martin Moreno,Martin Moreno,481322,1
103016598194444,Colombia Responde,Colombia Responde,476051,3
509529099396147,Héctor Rangel,Héctor Rangel,475036,15
100745279605352,nuevasideas.co,Nelson Alexis  Ballesteros,470459,7
102249245462577,Secretaría de Hacienda de Manizales,Eikon Digital S.A.S.,469371,10
112602178102955,Victor Angulo,Victor Angulo,464137,4
103340272626901,Institución educativa Cencac,These ads ran without a disclaimer,462004,4
691374267635241,Armando Córdoba,Armando Córdoba,461294,6
645168172181457,Gobernación de Caldas,Eikon Digital SAS,454575,29
109799108388155,El Cuarto Poder,El Cuarto Poder,450000,3
152939514772308,Elsa Noguera,Gobernación del Atlántico,449998,2
114636997892974,Camilo Manchola,Camilo Manchola,449823,10
2341225942579432,Edwin Marin,Edwin Fabian Marin Marin,448921,4
100455272110202,Rodo Esquivia,Rodolfo Rafael Esquivia Caballero,448667,8
906104439492802,Daniel Duque Velásquez.,Daniel Duque Velásquez.,445209,3
400106994113819,Cesuma,These ads ran without a disclaimer,441657,1
987563698019371,Duván Murillo Diputado,Duvan Murillo,439379,6
416201871913815,Adolfo Romero,Adolfo Romero,436684,36
406215856382748,Gonzalo Giraldo,Gonzalo Giraldo,427874,6
667625736676053,Wilmar Barbosa,Wilmar Barbosa,425000,5
104204428019174,Viajar es Mundial,These ads ran without a disclaimer,422047,7
115713854761529,Experienceidiomas,These ads ran without a disclaimer,420493,2
899944773402867,Germán García Maya,Germán García Maya,419082,4
122989028111811,Alexander Ruiz,Edgar Alexander Ruiz Garcia,418203,9
103461608916621,Claudia Carrasquilla,Claudia Carrasquilla,408012,13
101188681678160,Salomon Figueroa,Salomon Figueroa,402867,9
1581065862149234,Alcaldía de Tuluá John Jairo Gomez Aguirre,Alcaldía de Tuluá John Jairo Gomez Aguirre,401477,8
1856466104668553,Rigoberto Lasso Balanta,Lina Rubiano,400000,1
103138861936410,René Quintero,Rene Julian Quintero Gallego,400000,2
1090369011038138,Jaime Duque G,Jaime Duque G,398960,161
114510821145145,Previred Popayán / Tarjeta Médica,Previred Tarjeta Médica,398208,14
108077528892290,Andrés Zamora Rovira,Space Marketing,395951,4
105121071016378,Hugo Archila,Hugo Archila,393035,8
626538870727500,Felipe Urrea,Diego Felipe Urrea Vanegas,389059,18
121667137935541,Idartes,IDARTES,383846,2
749177381856407,Camilo Calle,Camilo Calle,379886,5
1267275856714996,Diputado Yamith Vanegas,Diputado Yamith Vanegas,377901,17
100319211712051,Walter Salas,Walter Manuel Salas Quinto,374097,40
200480966638039,Supremacy 1914,These ads ran without a disclaimer,373120,2
103848281985172,Mauricio Londoño,Mauricio Londoño,372289,4
113802478345347,Javier Garcés,Javier Garces Mosquera,370470,9
2013525382284983,Wilson Florez,Wilson Antonio Florez Vanegas,370000,1
1576524665931896,Carlos Amaya Primero Villanueva,Carlos Amaya Primero Villanueva,366102,12
111009515199981,Juan Fernando Alvarez Méndez,Juan Fernando Alvarez Méndez,365172,4
1588561874548381,Carlos Alfredo García - Abogado,Carlos Alfredo García - Abogado,362915,17
96595416468,Lilia Solano,Lilia Solano,360914,16
105068200842316,Edilberto Molina,Tuto Gonzalez,358486,9
103445938692040,Sebastián Morales,Sebastian Morales,356331,18
918276538262554,Quiero ser Uniandes,These ads ran without a disclaimer,352484,6
116058284714214,Ruso Alcalde,Profe Mikhail Krasnov,351941,6
254413518635171,Carlos Sotomonte,Carlos Sotomonte,346311,1
100650421883650,Lucila,Lucila Caicedo Bernal,345399,9
105788042199348,James Urrego,Tuto Gonzalez,344998,12
113198417804250,AvenHub Magdalena,AvenHub Magdalena,342193,3
381939331859708,CatastroBogotá,CatastroBogotá,340043,10
642780166056166,Daniel Galeano,Daniel Galeano,339544,2
1648414861893438,Carlos Diago Alzate,Carlos Diago Alzate,337961,24
1391674454185591,Concejal Kelly Ortiz,Kelly Ortiz,335954,4
100475532513857,Cristian Halaby,Cristian Halaby,331555,8
1857540077811459,Movilizatorio,Movilizatorio,331518,4
117735448311,"Cell Signaling Technology, Inc.",These ads ran without a disclaimer,328315,2
152357555295342,Wilker Bautista,Wilker Bautista,327347,5
2281439312079135,Edwin Quintero,Edwin Quintero,327246,6
835710939898329,Paulina Aguinaga,Paulina Aguinaga,326030,5
478903375611415,Jairo Barona,Fabian Medina,323408,10
507379196275144,Robert Sanchez,Andres Felipe Lopez Borja,322406,7
111248191341056,Linda Pinedo Puello,Carlos Andres Perez Lopez,319000,3
204727076205320,Ritter López,Ritter López,316918,4
106106338492581,Pacto Histórico Juvenil,Pacto Histórico Juvenil,310000,4
101681055638055,Cambio educativo,Cambio educativo,308384,22
779497978844485,Ing Benjamin Agrado Restrepo,Gabriel Benjamin Agrado Restrepo,308035,14
859053560892477,Ojo al Clima,These ads ran without a disclaimer,305348,2
335077837068367,Simón Pérez,Simón Pérez,300549,4
345288946007447,Juan Diego Patiño Ochoa,Deiman Esnider Hernandez Restrepo,300499,3
102106249390475,Andrés Alarcón - Firmeza,Andrés Alarcón - Firmeza,296119,3
190649367660431,Orlando Benítez,Orlando David Benitez Mora,295191,3
174235299412685,Cinep Programa Por la Paz,Fundación Centro de Investigación y Educación Popular CINEP,294555,7
102108685107684,Jose Baquero,Baquero Jose,290000,3
2409742292497578,Miguel Gomez,Miguel Angel Gomez Parra,288258,6
316056528999754,Periodistas x el planeta,These ads ran without a disclaimer,286982,5
201496040294264,Hernando Rodríguez,Jhon Darvin Rojas Montilla,286489,7
2280357942291111,Luis Carlos Velásquez,Luis Carlos Velásquez,282585,20
104237548662249,Centro de Emprendimiento Impúlsate,Sebastian Galeano,282177,3
643513979193133,Justicia para Beatriz,Neuma,278441,2
100813818397631,Fuerza Alternativa Sindical,Fuerza Alternativa Sindical,277647,2
101192158762604,DASTE,DASTE,275874,6
1668886976475466,David Gutierrez Mantilla,Jorge Luis,274122,11
319527888151975,Revista La Injusticia,Ronald Rangel,274112,8
191210184867688,Julián Serna Concejal,Julian Andres Serna Ruíz,273864,8
108443621704547,Willian Aljure - Reconciliémonos,Fabio Andrés Beltran Herrera,271203,7
268302663513603,Personeria Municipal de Palmira,Personeria Municipal de Palmira,270000,6
1130613886971903,Alejandro Abuchar,Byron Andres Velez Valdes,268297,5
464215057067990,Comunicaciones Alcaldía Timbío,Henry Leonardo Romero Moncayo,264102,18
148349507804,El Tiempo,Casa Editorial El Tiempo,260243,2
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,253668,10
2058053604439707,Stiebel Eltron América Latina,These ads ran without a disclaimer,253271,1
179003239458192,Jorge Humberto Rangel,Jorge Rangel,246904,3
121612715215617,Manuel Hernández,Manuel Hernández,246486,122
127326600613809,Henry J. Pérez Hernández,Henry Jhooney Perez Hernandez,245622,4
1115184931884092,Albert Corredor,These ads ran without a disclaimer,245507,1
102565081094412,Orlando Ariza Por Vélez,Orlando Ariza Por Vélez,243214,4
116761207989138,William Andrés Cruz Sánchez,Julian Alberto Vidarte Orozco,238714,2
704644029915968,Daniel Silva Orrego,Daniel Silva Orrego,237386,1
122988594435371,Instituto Forymat,These ads ran without a disclaimer,236668,5
100537461368132,Elkin Zapata Valencia Concejal,Jeferson Morales,236426,12
