Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
100275182034642,Karen Sanchez,Cristian David Flores Pereira,172,2
105555244834879,Janeth Blanco - Asambleista,Maria Barzola Loayza,171,8
323065168895,Windsor Smith,These ads ran without a disclaimer,170,5
101995041365737,Animal Social,Noe Chorolque Ocampo,170,2
104401217909899,RoboForex,These ads ran without a disclaimer,170,26
104157928314814,Mauricio Rocha Orgáz Vicegobernador,Bernardo Mauricio Rocha Orgáz,170,3
101954961168112,Eva Copa Alcaldesa de El Alto,Fabian Meneces Portugal,170,3
104033718330298,SaSá Alcalde de Vinto 2021-2026,Rodrigo Galarza Barrionuevo,170,5
824110414271095,Lain Garcia Calvo,These ads ran without a disclaimer,170,17
2531238923572681,𝐋𝐎𝐁𝐎𝐒 𝐔𝐍𝐈𝐕𝐄𝐑𝐒𝐈𝐓𝐀𝐑𝐈𝐎𝐒 𝐒𝐀𝐍𝐓𝐀 𝐂𝐑𝐔𝐙,These ads ran without a disclaimer,170,3
112882433783067,VPN Free,These ads ran without a disclaimer,170,7
111728490605765,Activos Bolivia,These ads ran without a disclaimer,170,1
215790655136,Sociedad Interamericana de Prensa,These ads ran without a disclaimer,169,3
103713261505133,Gabriela Aguilar Rivero Candidato Diputado C-55,Eduardo Arauz,169,5
101359732304206,Share_M113_x2,These ads ran without a disclaimer,169,4
102746145157937,Tatiana Pérez Asambleísta MNR,Tatiana Marianela Perez Robles,168,6
101040987937708,Amigos de Carlos Brú,Cristhian Arandia Gonzalez,168,4
100511085270069,Comunicadores por el Proceso de Cambio,Jhonny Condori Mamani,168,24
1514671142132174,Oscar Montes Gobernador,These ads ran without a disclaimer,167,2
109610750675935,Nora Flores Caceres,Gabino Escalera Rodriguez,166,1
110824947219008,Gabino Escalera Rodriguez,Gabino Escalera Rodriguez,165,1
107036401331541,Eusebio López Alcalde de Uyuni,Daniel Rodrigo Lopez Pillco,165,3
359086160828797,Banco Ganadero,These ads ran without a disclaimer,165,1
104655198265696,Sandro Giordano Alcalde,Ramon Ruiz Oshiro,165,5
822819114397302,Bolivia Prensa,These ads ran without a disclaimer,164,1
107523135413807,Vania Callejas - Al Consejo de Vigilancia Comteco,Juan Rodrigo Chavez Miranda,163,13
101558025154013,Chiquitín Gobernador 21 - 26,These ads ran without a disclaimer,163,1
182895504119,Opera Mundi,These ads ran without a disclaimer,163,2
106513298052029,Sergio Peña Alcalde de Caranavi 2021 - 2026,Ariane Maria Elena Vasquez Chahar,163,2
1692959830931987,Henry Waldo,These ads ran without a disclaimer,162,1
103530908241564,Eduardo Del Castillo Del Carpio,These ads ran without a disclaimer,162,1
112058798287017,Cristian Marín - Al Consejo de Vigilancia Comteco,Juan Rodrigo Chavez Miranda,162,14
115289866981949,Comunidad Creativa,Edson Omar Flores Huallpara,162,11
426792451485050,Corina Ferreira Dominguez,David Mallea,161,11
179833778739127,QS Quacquarelli Symonds,These ads ran without a disclaimer,161,4
427718531144606,Alejandro J. Reyes,Alejandro Jorge Reyes Careaga,161,7
109668073942735,Esperanza Morales Betancur,Victor Mariano Iporre Torrez,161,8
1699618916939648,Konzern Sieben,These ads ran without a disclaimer,161,10
111338130652783,Cristian Alcoreza,Cristian Eber Alcoreza Catacora,160,5
101362548513498,Súmate Cochabamba,Mario Reque,160,1
108367380738789,Et Arbitrans Business Corporation,Jhonny Huallpa Huanca,160,2
110525414003348,Rodrigo Peró G.,Rodrigo Sergio Peró Gonzales,160,4
107169997809800,Franklin Flores mi Gobernador,Kevin Marcelo Anibarro Guerrero,159,1
117534397436802,laclauoficial,These ads ran without a disclaimer,159,1
1612864202296619,Gobierno Autónomo Municipal de El Alto Gestión Renueva,These ads ran without a disclaimer,159,3
111482183756235,Edith Avalos Concejal,Rosely Lijeron Arteaga,158,2
1434130393310166,Eduardo Sarmiento Rojas,These ads ran without a disclaimer,158,2
109485083726707,Lola Terrazas - Concejal,IMD BOLIVIA,158,3
368958476640815,Urubo Village,These ads ran without a disclaimer,158,2
114738340657430,Bermejo está con Adrián,These ads ran without a disclaimer,158,1
109501780566319,Noticias Online Bolivia,These ads ran without a disclaimer,158,1
103627248323888,Luis Zambrana Catorceno,Jhoel Charles Apaza Ascuy,157,4
1934909940097555,Maria Angelica Suarez Ribera,These ads ran without a disclaimer,157,4
118726776648174,Caravana Comunidad Ciudadana CH,IMD BOLIVIA,157,1
111301334004850,Nuestro Prójimo,These ads ran without a disclaimer,156,2
106905656797560,Nia Tero,These ads ran without a disclaimer,156,4
213402702063106,MANODIVERSA,These ads ran without a disclaimer,156,2
111814565623,Aapresid,These ads ran without a disclaimer,156,5
114041810397116,Cultura Tarija - Dirección de Gestión Cultural y Patrimonio,Gobierno Autónomo Departamental de Tarija,156,4
254436641937798,AQUÍ Noticias,Sirley Isabel Sanchez Gareca,155,4
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,155,51
106951014496258,WARA  Diputada C-7,Wara Pamela Fernandez Chavez,155,4
102547148285733,Free fire nice,These ads ran without a disclaimer,155,3
1645330872459081,MEMES UAGRM,Roberto Vaca Raznatovich,155,3
101564681914973,Pepe Lucho Gobernador - Comunidad Ciudadana,Eduardo Lizandro Plata Villca,154,2
103873938332165,Carlos Rocamonje -Carloncho,Fernando Cuéllar Descarpontriez,154,12
1802248836771260,Weird Little Tales,These ads ran without a disclaimer,154,27
104567821344629,EZ LoL GG,These ads ran without a disclaimer,154,1
102394981627882,Porfirio Menacho,Augusto Torrez Rios,154,4
103813658328818,"Alejandro Roca ""Piña""",These ads ran without a disclaimer,153,1
336244277042229,DANI producciones,These ads ran without a disclaimer,152,8
107079537334485,La Claudia Bilbao Alteña de Corazón,Moises Franklin Calle Escobar,152,4
101782138535292,Dr. Carlos Isaac Apaza Chura,Carlos Isaac Apaza Chura,151,12
106721008050723,Dr. Cardona Alcalde - Juventud Presente,These ads ran without a disclaimer,151,3
102662431296998,Creemos Gran Chaco,Harold Miguel Alvarez Fernandez,151,4
100408072096598,Reynaldo Copa Alcalde de Uyuni 2021-2026,Sael Aron Vicente Vidaurre,150,4
565643756889694,Viceministerio de Deportes del Estado Plurinacional de Bolivia,Toño Cortez Irala,150,3
219465988117332,Alianza - Hechos y no palabras vota por Alianza.,Miguel Angel Ballon Velasquez,150,1
1128311907302895,Cámara Agropecuaria del Oriente CAO,These ads ran without a disclaimer,150,1
111193486247088,Primero Noticias Santa Cruz,These ads ran without a disclaimer,150,1
1308175799332152,Eduardo Maldonado Iporre,Roberto Alvaro Miranda Berrios,150,4
107857811711132,Hidroponia Cima,Ronald Wilson Morales Llerena,150,3
104104067875823,Ruth Hinojosa Aguilar,Maribel Yanilde Diaz Arce,150,1
354369149086240,JC Mamani Mena Alcalde Mecapaca,Jhonatan Guerrero,150,2
103093691265480,Bloque - Lealtad Ciudadana,Juan Carlos Uslar Burgos,150,3
100893404843235,Eslinder y Maraza C-58,Jhaved Sherzei Vargas,150,2
101485354679749,Miguel Angel Hurtado,Victor Alfonso Moron Salas,150,3
101046711662302,Mamonymous defensor El Alto Bolivia,Eddy Laura Flores,150,2
101657767887926,Movimiento VIDA Potosí,Roberto Alvaro Miranda Berrios,150,2
1588455494775999,Clasificados Bolivia,Ricky Harold Moppi Ugarte,150,2
100378839520356,Fortaleza E Integracion,Rafael Rolando Tapia Balcazar,150,7
349459016221033,Carla Añez - Asambleísta Provincia Itenez,Mauricio Ribera Becerra,150,17
370403160196635,Miguel Calla,These ads ran without a disclaimer,149,3
110487827154207,Enrrique Oblitas López,These ads ran without a disclaimer,149,1
101272471506866,Gobierno Autonomo Municipal de Santa Rosa del Abuna Pando Bolivia,Jose Maria Rodrigo Calderon Seeghers,149,6
106276244748560,Roxana Pérez Del Castillo,Kevin Marcelo Anibarro Guerrero,149,2
372730414520,IDB Lab,These ads ran without a disclaimer,149,3
106198111428157,Paola Aguirre,Jéssica Paola Aguirre Melgar,148,3
1705555859703070,Patricia Paputsakis Burgos,These ads ran without a disclaimer,148,3
108776093931225,Huanca Franoly,These ads ran without a disclaimer,147,2
106522128365423,Reprogenex - Reprodução E Melhoramento Genético Bovino,These ads ran without a disclaimer,147,1
1559690917611908,Red digital de Noticias,Alvaro Rivero Arce,146,2
102735608375818,Martín Fabbri,These ads ran without a disclaimer,146,1
110378240894707,Cristina Flores Concejal,These ads ran without a disclaimer,145,2
101066958656883,Ignacio Tapia - Concejal,Harol Cárdenas Velarde,145,2
720122944791570,Instituto Bíblico Eben-ezer,Kevin Sanchez,145,4
101145501962023,Ximena Guzmán Capia Concejal,Javier Pacheco Machado,145,2
101104448654731,Venta preventa anticrético alquiler terrenos-casas-departamento Bolivia,These ads ran without a disclaimer,145,2
103703307823878,Regys Medina,These ads ran without a disclaimer,145,3
1538195789786122,CRE R.L. Cooperativa Rural de Electrificación,These ads ran without a disclaimer,144,2
101014104885737,Juan Carlos Medrano,These ads ran without a disclaimer,144,1
155829347807997,Colegio Mayor Santo Tomás de Aquino,These ads ran without a disclaimer,144,2
109178161511479,Genoxidil Natural,Carlos Andrés Condori GUtierrez,144,1
357471661993795,Rufina Llanque F D M U T D T,Ariel Freddy Sandy Sanchez,144,3
107264711400868,ARQ. Davor Krellac Alcalde  de ORURO  2021-2026,Ivan Blanco Alvarez,144,18
101168161923079,Pole Salazar Alcalde,Habit Salas Roca,144,3
101201822726231,Litigium - Escuela Jurídica,These ads ran without a disclaimer,144,1
107467281170500,"Venceremos - ""Profesionales El Alto""",Eduard Michael Luna Vargas,144,2
336019463694115,Miguel Carrasco - UAGRM,These ads ran without a disclaimer,144,1
101606638202947,Rodolfo Meyer,Jeiber Yanaca Aiza,144,4
101343512709592,Lic. Antonio Torrico,Elvis Gomez Marca,143,4
104030825013795,Unidos Venceremos Oruro,These ads ran without a disclaimer,142,2
106048944568319,𝐂𝐈𝐙𝐙𝐔,These ads ran without a disclaimer,142,12
396800624010480,Politicologos,These ads ran without a disclaimer,142,6
104297498264914,Historias de Socialismo,These ads ran without a disclaimer,142,5
116827996833303,Comunidad Ciudadana,Fabian Meneces Portugal,141,3
389976681048925,ECMIA,These ads ran without a disclaimer,141,8
105966228136554,Alejandro Bejarano Ordoñez,Victor Mariano Iporre Torrez,141,6
104579891314456,SUCRE ya esta Cansada,Sergio Alarcon Gorena,141,5
103352884751594,Meri Medina,These ads ran without a disclaimer,140,5
100915078709228,El Chaco con Alvaro,Gianni Marcio Cortez Sanchez,140,1
1590731037857818,Fundación Acción Semilla,These ads ran without a disclaimer,140,4
