Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
104673902279375,Yankı Haber,Yankı Haber,545627,539
1930515630390459,Rıza Akpolat,Rıza Akpolat,539177,176
326403044634322,Abdurrahman Dursun,Abdurrahman Dursun,537008,147
111043587006333,GAİN,GAİN,535185,28
194104180444744,Cevat Öncü,Cevat Öncü,534897,163
416793998385157,Soner Çetin,Soner Çetin,534763,275
214996631692086,Mesut Özarslan,Mesut Özarslan,530976,177
273568980163535,Serdar Soydan,Serdar Soydan,528383,154
112962178445014,Balıkesir Yüzyılı,Balıkesir Yüzyılı,527730,194
105874404265014,Parla Çankaya,Hüseyin Can Güner,527061,100
115025860249395,Martı Türkiye,Martı İleri Teknoloji AŞ,521512,1
103155371314342,Eren Ali Bingöl,Eren Ali Bingöl,517172,84
100431406701471,Internethaber,Internethaber,517138,46
2266755190314607,BTP  istanbul,BTP  istanbul,506389,133
215311898333701,Unutma İstanbul,Unutma İstanbul,503035,754
101378009195442,Akif Kemal Akay,Akif Kemal Akay,496988,88
183754020921,Saadet Partisi,Saadet Partisi,494718,264
1564763167136752,Onursal Adıgüzel,Onursal Adıgüzel,494128,106
824977567573075,Süleyman Tarık Balyalı,Meta Bilgi Teknolojiler,492027,57
1769645199767916,Mehmet Tosun,Mehmet Tosun,488213,65
296869677655633,Manisa'nın Haberi,Manisa Doğru Haber,485846,118
114587423307960,Mehmet Dutar,Mehmet Dutar,483175,153
283943125096977,Erhan Güzel,Erhan Güzel,477154,253
1532389387082678,Sarıçam Belediyesi,BİLAL ULUDAĞ,475366,53
105867461538870,Antalya BTP,Antalya BTP,458764,216
101515985450213,Muhammet Kökten,Muhammet Kökten,448801,75
448355425273015,Anadolu Gazete,Anadolu Gazete,448420,42
298991003839565,Naim Yağcı,Naim Yağcı,447245,139
114597108291949,Haydi..ama nereye?,Excelligents,447091,145
105347052558895,Ülküm Türkiye,Taha Güven,438992,16
934608389916568,Kemal Çebi,Kemal Çebi,438717,55
794339204267974,Ramazan Şimşek,Ramazan Şimşek,437219,294
1978893555749866,Alim Karaca - Fethiye Belediye Başkanı,Alim Karaca - Fethiye Belediye Başkanı,436921,499
200632393128710,Çağatay GÜÇ,Çağatay Güç,427919,227
2262848377325731,Yücel Yılmaz Balıkesir,Yücel Yılmaz 10,427851,80
254604281877290,Ömer Arısoy,Ömer Arısoy,427768,26
815048841929079,M. Ergün Turan,M. Ergün Turan,427311,1231
