Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
112724472142155,Pomak Bihać,Pokret za Modernu i Aktivnu Krajinu POMAK,4999,85
1676047195961611,Impuls,"Udruženje građana ""Impuls""",4805,98
133076167240755,SDP BiH Sarajevo,SDP Sarajevo,4713,46
533403183725750,Goran Selak - Горан Селак,Grape,4504,21
140165172690107,SBB - Savez za bolju budućnost BiH,SBB BiH - Savez za bolju budućnost BiH,4069,86
603715953011065,HDZ 1990,HDZ 1990,3876,56
263396107142816,Transparency International Bosna i Hercegovina,Transparency International in BiH,3780,55
429813513718776,SDP BiH,SDP BiH,3765,44
259660607546285,HDZ Bosne i Hercegovine,HDZ BiH,3734,39
100934928171590,Социјалистичка партија Српске - Socijalistička partija Srpske,Grape,3441,62
104628729069402,Županijski odbor HDZ BiH Središnja Bosna,HDZ BiH Središnja Bosna,3398,116
1570886583203959,Poslovni portal Capital.ba,Capital Media,3286,145
103172565828284,Redžo Lemezan,Redzo,3210,35
1454304308161318,"Koalicija ""Pod lupom""","Koalicija ""Pod lupom""",3084,109
163080080447411,Републичка странка Српске,Filip Lučić,2995,210
105810721408660,Milan Radović - Милан Радовић,Milan Radović,2952,30
153120234720472,Edin Forto,Edin Forto,2896,15
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Filip Lučić,2874,118
417853371621843,Mirnes Ajanović,Mirnes Ajanović,2815,161
101388542353544,Vrbas Media,Pro News&Cont,2754,8
482129858589668,Elmedin Konakovic,Narod i pravda,2733,62
162926690478548,Oslobodjenje,Oslobodjenje,2640,54
109915571387224,Bojan Kresojević - Бојан Кресојевић,Бојан Кресојевић,2586,38
312287496561,Stranka za Bosnu i Hercegovinu,Stranka za Bosnu i Hercegovinu,2562,37
120481645203741,Dragan Bursać,Dragan Bursać,2530,185
306474736844372,Narod i Pravda Novi Grad Sarajevo,Narod i Pravda Novi Grad Sarajevo,2435,69
103598254643707,Socijalistička partija - Социјалистичка партија,Socijalistička Partija,2404,52
2401351939921390,Raport.ba,Raport Media Group,2358,57
789735661383506,Fondacija Tadž - Stipendiranje budućih hafiza,Fondacija Tadž - Stipendiranje budućih hafiza,2281,15
117063327645864,Za nove generacije - Politička inicijativa,Za nove generacije - Politička inicijativa,2257,39
356195037785030,Semir Efendić,Semir Efendic,2234,13
2106619399390828,Adnan Šteta,Adnan Steta,2190,19
105834445498716,Милорад Додик,Grape d.o.o.,2178,20
9659541299,Radio Sarajevo,Zid,2169,52
1683800158575120,TOK TV,Ivan Begić,2136,43
1889804467917446,Branislav Borenović,ПДП,2133,44
247994952064887,Inicijativa za monitoring evropskih integracija BiH,Inicijativa za monitoring evropskih integracija BiH,2126,44
223694288289453,Ismet Lulic,Ismet Lulić,2093,62
101871289330141,Sasa Magazinovic,Sasa Magazinovic,2018,18
106625227849078,Željko Babić,Zeljko Babic,2003,38
611463445708786,Dr. Denis Bećirović,SDP BiH,1969,12
153635844647375,Fahrudin Radončić,Savez za bolju budućnost BiH,1955,70
107670965348411,Dr. sc. Sedad Dedić,Sedad Dedic,1952,56
146536835386697,Glasometar,UG Zasto ne,1888,32
308906933309467,Mirsad Hadžikadić,Selma Turkić,1745,45
105953785587495,EDYN Bosnia and Herzegovina,EDYN,1558,13
176483769835204,Narod i Pravda Stari Grad,Narod i Pravda Stari Grad,1469,10
222968021092962,RTV Slon - Tuzla,RTV SLON,1461,40
103845731533932,Dženita Kurtćehajić,Meliha Hukic,1435,17
310325992381554,HDZ BiH Vitez,Galop Digital d.o.o.,1434,23
102786341927546,Naša stranka USK,Naša stranka USK,1421,22
753740401664958,Omer Berbić - vijećnik u GV Tuzla,Omer Berbic,1420,43
106026817907899,Дарко Бањац - Darko Banjac,Narodna partija Srpske,1414,8
102667249419191,GenChange,Arijana Trle,1413,48
85069283164,Admir Čavalić,Admir Čavalić,1372,83
682799525093643,Poslovna etika,Korekt d.o.o.,1370,5
1894157260888813,Dr Vlado Đajić - Др Владо Ђајић,Vlado Đajić,1347,45
740219622723229,Nermin Ogresevic,Nermin Ogrešević,1338,6
102480242611338,Milion ljudi za građansku državu,COVER.ba,1329,4
1941219296129475,Bogdan Jovanovic,Bogdan Jovanovic,1322,5
109476371475566,Др Љубиша Петровић / Dr Ljubiša Petrović,Др Љубиша Петровић / Dr Ljubiša Petrović,1310,29
106975131091493,SNSD Bratunac - СНСД Братунац,СНСД БРАТУНАЦ,1303,11
102151872818424,Покренимо Бијељину - Pokrenimo Bijeljinu,Pokrenimo Bijeljinu,1299,20
187986821271671,Zašto ne,UG Zašto ne,1273,42
129343340470361,Радован Ковачевић,Радован Ковачевић,1272,5
1175187435840080,SDP Bihać,SDP Bihać,1243,14
107198102053039,Неђо Ђурић - Neđo Đurić,Grape,1179,17
103490691454180,Марко Кубатлија - Marko Kubatlija,Марко Кубатлија,1166,20
472665816139317,Demokratska fronta Bosna i Hercegovina,COVER.ba,1149,24
428868887590711,Anja Ljubojević,Anja Ljubojević,1145,14
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,1137,100
437096580377174,Уједињена Српска Зворник - Ujedinjena Srpska Zvornik,Ujedinjena Srpska Zvornik,1110,11
133098676736404,Ramo Isak,DEVDOT S.D.,1106,17
104301504782750,Воља народа  / Volja naroda,Nenad Bubić,1061,15
107149252089105,Tower nekretnine,Edis Ramovic,1051,27
420840944625240,Amra Babić,Amra Babić,1038,14
110038557114533,Imagine5,These ads ran without a disclaimer,1038,12
102740965522764,НПС - Народна партија Српске / Narodna partija Srpske,Народна партија Српске,1016,7
1607622842896752,interview.ba,Fondacija Infohuse,994,84
104867199037547,Dalibor Drlje,Dalibor Drlje,973,6
251715201838739,СНСД Угљевик - SNSD Ugljevik,SNSD Ugljevik,971,6
569952236538164,Срђан Мијатовић - Srđan Mijatović,Srđan Mijatović,968,18
105066375012197,Kenan Magoda,SDP Sarajevo,951,3
104009837797804,Damir Masic,Damir Masic,943,15
106186815516223,Amer Huskanović,Digitalk,941,18
100733242113653,Porodice 3 plus,Porodice 3 plus,937,65
100286302835901,Irena Joldžić,Irena Joldžić,932,5
1484971964981432,Денис Шулић - Denis Šulić,Denis Šulić,932,4
104197490039539,N1 Bosna i Hercegovina,N1 BiH,921,9
803575396438897,ПДП - Партија демократског прогреса / PDP - Partija demokratskog progresa,ПДП,844,14
103713575827686,Jasmin Duvnjak,eXtreme NET,838,22
855136564557483,Igor Stojanović,Igor Stojanović,835,9
113187643682860,Korektiv RS - Коректив РС,These ads ran without a disclaimer,831,11
1732381856992850,Pokret Uspješna Srpska,Uspjesna Srpska,806,68
136088969880141,AirHelp,These ads ran without a disclaimer,798,156
102701375921419,Slaven Dujaković - Славен Дујаковић,DNS,797,8
1024062800976581,Damir Filipovic,Damir Filipović,794,10
28312410177,World Food Programme,These ads ran without a disclaimer,788,122
1547105272188915,Elvedin Sedić,Elvedin Sedić,787,22
339964926077639,SDA Zivinice,IT TECH doo,771,33
104974772024559,Demokratski centar,Demokratski centar,749,9
253932284796855,Željko Komšić,COVER.ba,735,10
698016493665070,War Childhood Museum,War Childhood Museum Foundation,729,5
144936795535001,SDA Zenica,SDA Zenica,727,7
103398605332895,Kreševski građanski pokret,These ads ran without a disclaimer,715,10
104675632372191,Dr. Nabil Naser,Nabil Naser,688,15
112217040650999,Elvedina Vugić,Elvedina Vugic,675,5
177005055749962,Boss  Krajina - USK,Nedim Bajric,674,12
104721047825312,Сњежана Новаковић Бурсаћ - Snježana Novaković Bursać,Snjezana Novakovic Bursac,655,3
111080140438023,Мирко Шаровић - Mirko Šarović,Wizard Media,654,5
103124741119635,Srebrenica Memorial Center,Srebrenica Memorial Center,636,24
104013592385740,Dr.sc. Omer Kovčić,Dr.sc. Omer Kovčić,635,4
326185650853734,Zukan Helez,OO SDP BiH Bugojno,634,88
274629142729439,OO SDP Bugojno,OO SDP BiH Bugojno,634,25
103218342035125,"Smajo Mandžić, zastupnik u Skupštini TK",Senad Šehomerović,632,35
107345425439377,Зоран Тегелтија - Zoran Tegeltija,Zoran Tegeltija,627,11
113960630154014,Medijska i informacijska pismenost u Bosni i Hercegovini,Vijeće Evrope,619,6
100535795956888,Grand Game,These ads ran without a disclaimer,617,3
103160989121444,Za pravdu i red Bijeljina lista Nebojše Vukanovića,Petar Simić,611,22
102678409202798,BH Zeleni,Outdoor Marketing doo Tuzla,602,6
177694669315988,Nedeljko Ćorić,Недељко Ћорић,601,17
968019463291751,Arnel Isak,DEV DOT,592,10
269008059900964,Šemsudin Mehmedović,Anes Hajlovac,588,43
1616708438645244,Dr Muhamed Lepuzanović,Muhamed M. Lepuzanovic,582,14
594926087836971,Željko Dubravac,DNS Čelinac,574,30
2094715284076646,Aleksandar Glavaš - Александар Главаш,DNS,561,11
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa (CCI),560,26
108016141875278,Duško Miletić - Душко Милетић,Duško Miletić,551,18
239161446676771,Mustafa Šakić - 3 - Zastupnički dom Parlamenta BiH,Midhat Šakić,551,8
142581585860912,ОО СДС Прњавор - OO SDS Prnjavor,Nemanja Zelic,547,7
101838202606396,За правду и ред - Листа Небојше Вукановића - Изборна јединица 2,Dejan Kojić,543,20
106209024607715,Ernad Deljkić,Ernad Deljkic,540,7
269552470543951,Husein Tokić,Husein Tokić,540,10
1458221327738426,Aleksandra Pandurević Александра Пандуревић,Aleksandra Pandurević,539,11
107160124575864,Luka Mandić,Luka Mandić,535,8
251750308950770,Haris Harki Selmanović,Haris Selmanović,532,6
103877085739351,Edin Hadžić,Edin Hadzic,526,61
174904735859874,SDP BiH - Velika Kladuša,Cybervision s.d.,526,11
662053183871626,BOSS - Bosanska stranka,Mirnes Ajanović,517,39
125796114107106,HDZ BiH Soli,Danijel Nikolic,514,22
1897226447002006,Haris Zahiragić,Haris Zahiragic,509,3
449858691750272,Kantonalni odbor Demokratske fronte Sarajevo,Senad Kapo,509,13
107273435408075,Mensur Pavica,Mensur Pavica,505,43
52356246212,Direktno.ba,Dev Dot,489,6
923939091292056,KO SDP BiH Tuzlanskog kantona,Kantonalna organizacija Socijaldemokratske partije Bosne i Hercegovine Tuzlanskog kantona,488,65
1753401688305036,Mahalla.ba,Harun Pasalic,484,12
102537783146375,28. Jun,These ads ran without a disclaimer,483,10
