Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
112721671334021,ITE  الدراسة في تركيا,These ads ran without a disclaimer,253,5
111439015547005,Masdar,These ads ran without a disclaimer,252,4
216311481960,Bill Gates,These ads ran without a disclaimer,252,34
117443068305863,INSS - The Institute for National Security Studies,These ads ran without a disclaimer,247,3
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,243,10
107219538605414,Rise Luxury Real Estate - Dubai,These ads ran without a disclaimer,242,4
106290602088921,Zen Diamond UAE,These ads ran without a disclaimer,241,2
422728301191027,Sam & Bros .Co,These ads ran without a disclaimer,240,1
311045425676624,صحيفة الرؤية,These ads ran without a disclaimer,233,2
101948191783541,Инна Зверькова,These ads ran without a disclaimer,231,1
1180118942166367,Dalia Mogahed,These ads ran without a disclaimer,226,32
1826983680878901,Hussain Sajwani,These ads ran without a disclaimer,218,2
311438902571043,HSBC,These ads ran without a disclaimer,215,2
852370551453606,GARP,These ads ran without a disclaimer,212,3
1013329112167266,Invest in Estonia,These ads ran without a disclaimer,207,3
592693557602875,Apartment Renovation in Dubai,These ads ran without a disclaimer,202,1
160729029892,Al Jazeera Channel - قناة الجزيرة,These ads ran without a disclaimer,201,1
108390057632395,حفلات دندنة-Dandana Parties,These ads ran without a disclaimer,200,1
550592228409362,Brand Hong Kong,These ads ran without a disclaimer,197,1
111703335009732,Molly doll,These ads ran without a disclaimer,196,1
100240002897784,sbzalnahyan_lovers,These ads ran without a disclaimer,186,9
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,186,4
106406555465890,تمور السلطان,These ads ran without a disclaimer,183,3
368757963825913,WasteFuel,These ads ran without a disclaimer,181,6
111696388491798,منال بنت محمد بن راشد آل مكتوم,These ads ran without a disclaimer,180,4
459216411097280,Al Nahda Al Misria النهضة المصرية,These ads ran without a disclaimer,172,2
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,171,61
1925245057715373,مبادرات محمد بن راشد العالمية - Mohammed bin Rashid Global Initiatives,These ads ran without a disclaimer,171,16
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,167,6
110145528531965,Rein Colombia,These ads ran without a disclaimer,166,8
108213850920726,Prolink UAE,These ads ran without a disclaimer,162,1
103133488962134,Live A Home SG,These ads ran without a disclaimer,160,1
110639431645083,Emirates Family,These ads ran without a disclaimer,157,3
107424155442271,m.22_boutique,These ads ran without a disclaimer,151,3
104913052364854,Emirates today,These ads ran without a disclaimer,151,1
101427168931142,als_ultandates,These ads ran without a disclaimer,150,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,147,4
101337858981901,mbz_lovers_,These ads ran without a disclaimer,147,4
194562360560959,Mada Center Qatar,These ads ran without a disclaimer,140,1
228097472888,International Open University - IOU,These ads ran without a disclaimer,136,5
138187802907388,Life at Mars,These ads ran without a disclaimer,132,2
108032181861181,Suno News HD,These ads ran without a disclaimer,132,1
107924668355221,Emirtes Family,These ads ran without a disclaimer,131,1
109280531740678,Arşimed Saç Ekimi,These ads ran without a disclaimer,129,3
100209516282257,Harvest Technology Group,These ads ran without a disclaimer,129,2
102099351793010,ملابس رجالية وملابس اطفال الخزام,These ads ran without a disclaimer,126,1
