Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,4562243,4099
209857686718,Healthy Canadians,Healthy Canadians,4341132,800
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,4278793,21597
2138477093045657,Department of Finance Canada,Department of Finance Canada/Ministère des Finances Canada,3380608,338
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,2981842,18617
820968708302131,UnSmoke Canada,UnSmoke Canada,2652676,5038
190502667652613,Canada’s NDP / Le NPD du Canada,Canada’s NDP / Le NPD du Canada,2485869,2154
633812813408377,Elections Canada,Elections Canada,2130931,1352
115835521825983,UNHCR Canada,UNHCR Canada,2043515,5191
107385241806,Plan International Canada,Plan International Canada,1908195,10323
142580569097102,Ontario Liberal Party / Parti Libéral de l'Ontario,Ontario Liberal Party / Parti Libéral de l'Ontario,1727272,7271
160504807323251,Canadiens en santé,Canadiens en santé,1594690,774
268452016650171,Wealthsimple,These ads ran without a disclaimer,1438548,101
167800183238142,YourAlberta (Government of Alberta),Government of Alberta,1240224,841
163261390365324,Elementary Educators,Elementary Educators,1128471,914
409786973169158,Tru Earth,Tru Earth,1081137,370
195227957225519,Dairy Farmers of Canada,Dairy Farmers of Canada,1058245,654
27234020592,UNICEF Canada,UNICEF Canada,1046672,5772
203652059653094,Government of British Columbia,Government of British Columbia,973095,445
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),915006,4858
7270241753,YouTube,YouTube,893517,62
168617319831578,Nature Canada,Nature Canada,872514,3333
47882954106,Ontario PC Party,Ontario PC Party,867440,1023
25553935482,BC Liberal Party,BC Liberal Party,863245,1161
109222605784972,TekSavvy Solutions Inc.,TekSavvy Solutions Inc.,786240,98
9333642607,TELUS,TELUS,782700,335
163336718421,PSAC - AFPC,PSAC - AFPC,781503,988
1097840090260804,National Police Federation,National Police Federation,773421,3524
186266941387011,BMO Financial Group,BMO Financial Group,755354,161
245013842275891,CUPE Alberta,CUPE Alberta,744200,495
664223543646135,Nespresso,Nespresso.CA,712567,290
220942375077886,Canada Proud,Canada Proud,703918,569
281999881613,World Vision Canada,World Vision Canada,652872,821
323955194307185,SodaStream Canada,SodaStream Canada,647292,165
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,637441,1584
1590219921201770,Élections Canada,Élections Canada,623286,1213
184906186150,The Toronto Star,The Toronto Star,621068,1647
