Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
106597800818620,Cobros Judiciales-Despacho en Línea,These ads ran without a disclaimer,9157,3
109647142474976,Alcalde Arnoldo Barahona,Alvaro Chaves Delgado,9050,1
100458145272113,TBrown Art,These ads ran without a disclaimer,8510,1
116835897753593,Isaac Ramírez Regidor Santo Domingo 2020-2024,Sigrid Jeannette Cruz Morales,8484,2
1400814576825550,Marterra Landa S.A,These ads ran without a disclaimer,8000,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,7956,167
158714780827513,UNFPA,These ads ran without a disclaimer,7859,68
107173698926440,Rindiendo en casa,These ads ran without a disclaimer,7790,13
104346807813111,Finanzas con Roberto Olivas,These ads ran without a disclaimer,7615,1
110332181581459,Grupo Santa Emilia,Roy Marcel Bonilla Boza,7541,14
103284565735111,El Venezolano CR,These ads ran without a disclaimer,7143,2
143845705697178,Equipo Fotográfico,These ads ran without a disclaimer,7099,2
167878593236712,UNICEF en español,These ads ran without a disclaimer,7002,2
107006692260333,jacksonphoenixcr,These ads ran without a disclaimer,7000,1
103274818679077,Reto Siglo 21,These ads ran without a disclaimer,7000,1
123167287348729,Orlando Umaña Umaña,Adri Barahona,6932,1
108332591644607,EHZ.4x4.,These ads ran without a disclaimer,6592,1
127187187348820,Kaspersky,These ads ran without a disclaimer,6577,5
1470496669881478,No seas plástico,These ads ran without a disclaimer,6503,3
104327401757750,CEC Centro de Evaluación y Capacitación Integral,These ads ran without a disclaimer,6498,1
111194094807821,Online Market,These ads ran without a disclaimer,6498,1
105655721900130,Diputada Johana Obando,Diputada Johana Obando,6400,1
103625574858231,Ultima HORA COSTA RICA,These ads ran without a disclaimer,6148,1
106468811119965,Republicans Abroad Costa Rica,David Ortiz,6000,1
306800529496451,La Voz de los Mártires,These ads ran without a disclaimer,5995,2
100490729492964,Sebastian Bello,These ads ran without a disclaimer,5990,40
103080905703748,Mi Vida Verde Oficial,These ads ran without a disclaimer,5925,1
420452908036597,Trivisión 36,These ads ran without a disclaimer,5916,2
529759470407402,Nelson Ugalde Rojas,These ads ran without a disclaimer,5831,6
1896684277254815,Sebastian Beja,These ads ran without a disclaimer,5773,1
107981603917264,Favio López - Intendente,These ads ran without a disclaimer,5496,3
64588666340,Haaretz.com,These ads ran without a disclaimer,5451,8
411063222376036,Legal Print,These ads ran without a disclaimer,5386,1
111783969059,Tony Robbins,These ads ran without a disclaimer,5386,2
82928774489,Panda Security,These ads ran without a disclaimer,5351,12
113884760324196,Jaguar Negro,These ads ran without a disclaimer,5112,1
100669044610973,La Casa de la Placa,These ads ran without a disclaimer,5097,2
1589014478015711,Federación Canina de Costa Rica ACAN,These ads ran without a disclaimer,4959,4
399929296730642,Consejo Nacional de Cooperativas,These ads ran without a disclaimer,4918,1
106933601044301,ATARA BAZAR,These ads ran without a disclaimer,4897,1
110251404180981,Flower Soul By Evaluna,These ads ran without a disclaimer,4848,1
333770073344061,Connexis Costa Rica,These ads ran without a disclaimer,4848,1
1854196034809154,El Oráculo de Costa Rica,These ads ran without a disclaimer,4751,10
104444729065513,Victoria Segovia,These ads ran without a disclaimer,4605,12
108941249155931,Science and Nonduality Conference,These ads ran without a disclaimer,4514,12
1891861014472755,A.S Protección,These ads ran without a disclaimer,4394,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,4394,2
226406520645,YSL Beauty,These ads ran without a disclaimer,4346,2
1581221442160476,Cámara Ítalo Costarricense,These ads ran without a disclaimer,4309,1
107771875454335,mar_huertas,These ads ran without a disclaimer,4306,1
85938944649,"Centro de Investigación Observatorio del Desarrollo, CIOdD",These ads ran without a disclaimer,4227,2
551702751562792,Manteles Alquileres Deluxe C.R,These ads ran without a disclaimer,4224,1
108432857249635,Diputada Kattia Cambronero,These ads ran without a disclaimer,4130,1
174482309904057,El Observador CR,These ads ran without a disclaimer,4121,1
233654837608,La Crónica de Hoy,These ads ran without a disclaimer,4038,4
111325786889745,Jose Campos Calderón,Jose Daniel Campos Calderon,3969,1
106468811119965,Republicans Abroad Costa Rica,These ads ran without a disclaimer,3932,1
