Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
1578713372208578,TaDa Delivery Paraguay,These ads ran without a disclaimer,15436137,21
132554373464255,La Nación,Nación Media,15382046,40
1856745507987901,Dr. Guillermo Rodriguez Duré,Douglas Mateus Hendges,15222078,125
286989224667281,Marito Abdo,Marca Py,15092944,12
103759862278474,Victor Miranda Py,Clicnovo,14788128,221
1593908204188878,Arq. Carlos López,Juan Roberto Villaverde Emategui,14760395,121
1575743279360941,Carlos Cáceres Sarubbi Senador 2023,Carlos Agustin Caceres Sarubbi,14641204,82
114448232558658,Jorge Querey,Jorge Osvaldo Querey Rojas,14618092,96
111912341409356,Centinela del Norte,Centinela del Norte,14600862,252
100778482648263,Cerini 2023,DGWorld Consultoría Digital,14277551,95
613341488786700,Miguel Del Puerto,Miguel Angel Del Puerto Silva,14146439,276
115681330562683,Pablo Callizo,Pablo Callizo,14139345,94
124476131441330,Partido Hagamos,Partido Hagamos,13926301,28
1736728339727350,Sylvia Villalba,Sylvia Villalba,13769690,331
441416009351818,Johanna Ortega,Johanna Ortega,13419583,45
105052422297773,Pedrito Gómez,Maria Jose Castillo Vega,13392323,33
100192941401740,Arturo Toñanez Benitez,Arturo Arnaldo Toñanez Benitez,13293798,97
498022813689642,Oscar González Drakeford,Oscar González,13213467,135
109830218400800,Lea Giménez,Lea Raquel Gimenez Duarte,13207820,32
105587720883344,Bettina Aguilera,Bettina Rosmary Aguilera Paniagua,13199625,71
1077235885775028,Elena Alfonsi Concejal,Elena Alfonsi Samaniego,13159777,37
1479241699007158,Luis Paciello,Alberto Claus Sternke Stern,13153417,16
104349688358332,Rosanna Rolón,Víctor Orlando Gómez Casco,13042242,154
105545157610039,Euclides Acevedo,Marco Antonio Martinez Almiron,12973540,60
106682318781403,Rafaela Guanes Senadora,Rafaela Guanes,12816803,64
1711765125817047,Aldo Florentin,IMAGEN DE GOBIERNO,12686677,109
1535807416651084,Olga Paredes,Olga Maria Paredes Britez,12639369,109
495567100804506,Tito 2023,Federico Rafael Vergara Aguero,12484638,112
392501567470357,Martín Arévalo,Mario Martin Arevalo Fernandez,12431068,25
110311005122985,Guillermo Sosa,Guillermo Sosa,12415209,142
114914053295532,Ernesto Guerin,Hector Ernesto Guerin Morinigo,12390664,89
161156667809582,Leo Rubin,Leo Rubín,12379945,25
105787598141250,Ever Rojas Borja,IMAGEN DE GOBIERNO,12320089,36
1695481804025162,Eduardo Nakayama,Eduardo Hirohito Nakayama Rojas,12315789,15
614795685343483,Belén Maldonado,Belén Maldonado,12273942,79
110282441138723,Nicolás CHASE,Nicolas Chase Rodríguez,12236977,51
106257452820864,Tito Saguier,PautaPY,12228811,29
196599783696918,Efrain Alegre,Efrain Alegre,12192072,113
740490032676248,Diego Candia Diputado,politico.com.py,12094480,26
943824938962084,Luis Fernando,Luis Carlos Arce,11967804,114
279495618730067,MANUEL RADICE,Manuel Radice,11966437,130
827201027312903,César LANDY Torres,PRANA SA,11956991,25
994424277244201,Buye Buongermini,Luis Rodrigo Buongermini Barreto,11837062,34
102109369350535,Christa Rivas,Christa Violeta Rivas Caballero,11708799,30
103966462488145,Ulises Martínez - Gobernador,Moises Ulises Martinez Benitez,11550004,80
1968848023197811,Beefeater Paraguay,These ads ran without a disclaimer,11432950,4
109626041763537,Natalicio Chase,Natalicio Esteban Chase Acosta,11409765,41
1094373423935985,German Solinger,Grissel Zárate Sotelo,11402610,87
105545157610039,Euclides Acevedo,Euclides Roberto Acevedo Candia,11294617,69
101579078684340,Lucas Corrales,Lucas Corrales,11272609,21
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,11262190,85
109969347205369,Nathalia Fretes Mercado,Atilio Augusto Alegre Schlamelcher,11226462,43
100490136261426,María Cristina Campuzano Senadora,María Cristina Campuzano Senadora,11205578,6
156936578499498,Ing. Roberto Jiménez,Roberto Fernando Jimenez Ayala,11135397,95
102649292598442,Senador Hugo Richer,Senador Hugo Richer,11114622,46
501786636589565,Rocio Vallejo,Hilda Maria Del Rocio Vallejo Avalos,11051824,29
113351910838827,Alma Cívica,Alma Cívica,11017561,103
113715322041008,Semillas para la Democracia,Publicitaria Nasta,10861697,4
175406365841914,Arnoldo Wiens,Vanessa Cabrera,10744330,41
105947518752311,Agustin Saguier,Agustin Saguier,10608353,25
532042360332419,Omar Jacobo,Omar Ruben Jacobo Gil,10579885,28
154517578241521,Marcos Benítez,Juan Roberto Villaverde Emategui,10549716,206
441529192988697,Rubén Penayo Senador 40/44,Rubén Penayo Senador 40/44,10539556,13
591005821010442,Raúl Latorre,Raul Luis Lacorre Martinez,10459199,15
100986925656252,Soy Jaime Peña,Jaime Manuel Peña Vargas,10336341,15
1943034405927276,Angel Barchini,Angel Ramón Barchini Cibils,10237899,54
106981968505171,Adi Vázquez,Aditardo Vázquez Rojas,10164025,79
108827401495408,Micky Riego Concejal,Miguel Angel Riego Fatecha,10000000,34
297881240653321,Diputado Edgar Acosta Alcaraz,Rosa Teresa Duarte Soto,9864299,41
104096115823278,Tomas Bittar Junta de Gobierno 2023-2028,Tomas Enrique Bittar Navarro,9808148,49
613444678793192,Josías Escobar Concejal 2023,Josía Eliezer Escobar Fernandez,9681906,72
189000407072,TECHO - Paraguay,TECHO Paraguay,9671773,43
113713881663916,Guillermo Ferreiro,Estratégias de Comunicación,9628265,13
103248988588127,Nestor Castellano Diputado,Liza Concepcion Acosta Avalon,9601738,43
185462906337997,Hector Lesme Delgado,Jannine Lesme Barrios,9564594,40
165971293736239,Natalia Ruiz Díaz Medina,Natalia Ruiz Díaz Medina,9378846,79
