Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
117049258360689,ダイヤモンド・オンライン,These ads ran without a disclaimer,1447553,44
564569053708278,一般社団法人シェアリングエコノミー協会,一般社団法人シェアリングエコノミー協会,1433645,327
109182734711450,厚生労働大臣表彰　輝くテレワーク賞,一般社団法人日本テレワーク協会  「テレワーク推進企業等厚生労働大臣表彰」事務局,1420449,42
377612782381275,人民網・日本,These ads ran without a disclaimer,1387798,126
103585901273070,20200618ページ,These ads ran without a disclaimer,1386925,1
107340494897071,株式会社INPEX,株式会社INPEX,1379848,5
103684235857356,加盟金890万円で1億円の新築物件補助付きのフランチャイズ！,These ads ran without a disclaimer,1367857,26
106263311617839,DX学校,These ads ran without a disclaimer,1365699,15
173291492700083,Ｚ会,These ads ran without a disclaimer,1358443,14
114972633525483,Tile fun,These ads ran without a disclaimer,1325626,3
481573388666008,Audible - オーディブル,These ads ran without a disclaimer,1305962,7
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,These ads ran without a disclaimer,1300665,2
819272734776033,兵庫県選挙管理委員会,樋口 真也,1300000,70
100720404883162,製造業の未来チャンネル,These ads ran without a disclaimer,1299093,14
604742389649107,Seekers Notes,These ads ran without a disclaimer,1293667,12
109269498669701,美ボディ研究所,These ads ran without a disclaimer,1283458,4
102878188319695,大富豪の投資術,These ads ran without a disclaimer,1260914,114
165831720130312,はいむるぶし,These ads ran without a disclaimer,1252187,12
126770551311659,政治知新,政治知新,1230000,8
785103978248653,ボクシル/Boxil,These ads ran without a disclaimer,1229127,74
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,1226293,2
208661552479830,日本財団,These ads ran without a disclaimer,1224990,3
103207314990979,横浜イノベーション ＩＲ,横浜イノベーションIR,1224353,14
110452271811588,美活インフォ,These ads ran without a disclaimer,1207104,1
100592518123088,Best Apps,These ads ran without a disclaimer,1192824,5
1108998585837540,香川県選挙管理委員会,香川県,1189127,16
1627415154165421,進研ゼミ,These ads ran without a disclaimer,1181825,2
161694537259051,珈琲きゃろっと,These ads ran without a disclaimer,1181222,51
103539489311087,シボヘールゴールド_pr,These ads ran without a disclaimer,1122792,4
103899925523249,星北斗,星北斗後援会,1112826,32
111204868237968,ジョブアンテナ福岡,These ads ran without a disclaimer,1093328,4
224310161276282,伊藤たかえ,国民民主党,1072050,77
676655469036670,松下政経塾,松下政経塾,1043142,108
623262271020277,TBC キャンペーン,These ads ran without a disclaimer,1042218,3
106695608492329,神秘の健康力,These ads ran without a disclaimer,1030111,5
354037025181149,西尾まさえい事務所（ 富山１区 #立憲民主党 ）,Masaei Nishio,1021366,286
107950548374485,We介護転職,These ads ran without a disclaimer,1021029,1
1216843061676322,日経FinTech,These ads ran without a disclaimer,1012008,12
102881162452773,中村ゆうき,中村ゆうき後援会 ROOTs,1010550,8
1990414947729965,谷川とむ　生き活き泉州！,谷川とむ,1001395,33
100789405705259,神奈川県選挙管理委員会,Shungo Takano,999834,70
543438182393562,おんせん県おおいたTIMES,大分県庁,997500,14
102153384714315,NO YOUTH NO JAPAN,NO YOUTH NO JAPAN,995166,40
1886360704784999,秋田県選挙管理委員会事務局,秋田県選挙管理委員会事務局,981755,26
112671058124190,長野県選挙管理委員会,長野県選挙管理委員会,973199,32
643259799027035,flowkey,These ads ran without a disclaimer,967508,8
371396839635758,トレジャーデータ,These ads ran without a disclaimer,945646,31
158459324647284,働き方改革ラボ,These ads ran without a disclaimer,938031,6
1669051303333733,衆議院議員　和田よしあき,和田よしあき事務所,925000,14
107785758111656,Cure_クレンジングバームブラック_05,These ads ran without a disclaimer,921606,1
661736447620514,久家邦彦,These ads ran without a disclaimer,917939,1
199021690124428,日経の本,These ads ran without a disclaimer,912635,10
196180683754458,SOグレイスクリニック,These ads ran without a disclaimer,912422,22
544702409046206,手相の見方大事典テソペディア,株式会社Qu Creation,908189,9
459101354119592,石巻金華鯖ずし”華ずし”,Tsubasa Itabashi,900531,9
151214938794853,ミエセン,ジャッグジャパン株式会社,893308,30
