Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
104544224264943,3F Transport,3F Transport,462916,104
19176473894,IMS (International Media Support),IMS (International Media Support),457692,614
529124290474705,Nikolaj Villumsen,Enhedslisten,454609,425
12458150929,Radikale Venstre,Radikale Venstre,453034,455
178793372195,LETZ SUSHI,LETZ SUSHI,446906,215
167887506877,AIDS-Fondet,AIDS-Fondet,440325,318
2109922459023773,Veganerpartiet,Veganerpartiet,436710,1157
136775899834790,Plantebevægelsen,Plantebevægelsen,430939,530
1643818125897989,Fonden Novavi,Fonden Novavi,425429,286
223690937691260,Falck Danmark,Falck Danmark,424000,42
398454550257699,Lars Boje Mathiesen,Nye Borgerlige,420415,215
676061179094769,Alternativet,Alternativet,414788,184
123653695693986,Motatos Danmark,Motatos,386055,30
1497190180404355,Kira Marie Peter-Hansen,Kira Marie Peter-Hansen,384635,424
494902077334290,Tuborgfondet,Tuborgfondet,382361,227
214112085661044,Oatly,Oatly,382238,71
17428770950,RÆSON,Clement Kjersgaard,372034,124
108041771950114,Danmarksdemokraterne,Danmarksdemokraterne,369905,409
132344416862423,FOA,FOA,365356,217
246097715413231,Alkohol & Samfund,Alkohol & Samfund,364323,194
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,363687,365
1531094703803625,fakta,Coop,358831,65
267297590272820,Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",357956,200
65929129383,Røde Kors,These ads ran without a disclaimer,354927,376
398454550257699,Lars Boje Mathiesen,Lars Boje Mathiesen,349531,80
852608988134698,Tikko,Tikko,345998,137
128700897207990,Europa-Parlamentet i Danmark,Europa-Parlamentet i Danmark,336437,1548
414066575314961,dinfagforening.dk,Fagbevægelsens Hovedorganisation,325489,42
126832583997194,VIA University College,VIA University College,323226,218
12212835049,Syddansk Universitet – University of Southern Denmark,Syddansk Universitet,319323,123
1877705062505422,Ren madglæde,Ren madglæde,309528,142
101248435485457,Frihedsbrevet,Mediehuset Friheden,306593,201
968210306678930,Børneavisen,Børneavisen,305528,57
113158773469624,Pernille Vermund,Nye Borgerlige,302962,283
646746285466931,Nye Borgerlige,Nye Borgerlige,298864,305
112046538662626,Morten Skov Christiansen,Fagbevægelsens Hovedorganisation,298132,372
622025317930902,Erhvervsstyrelsen,Erhvervsstyrelsen,297568,194
100493784938009,Danske Æg,Danske Æg,297071,29
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,295773,400
253132104886911,Kvisten,Kvisten,295672,237
1498813583685622,Anders Vistisen,Dansk Folkeparti,289321,139
102071101766821,Sex? Kun med samtykke,Sex kun med samtykke,287864,105
207401585966233,Inger Støjberg,Inger Støjberg,282180,212
182121298931589,Odense Kommune,Odense Kommune,280010,237
