Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
749945128395059,AHIBA,Asociación Hondureña de Instituciones Bancarias,21040,8
1619479898324505,Partido Liberal de Honduras,Partido Liberal Honduras,20634,6
211956622005019,PSH DC,PSH DC,20497,20
100616299413033,Soy Chano Rivera,Mario Enrique Rivera Callejas,20490,12
213736845319886,Carlos Eduardo Reina,Carlos Reina,20262,3
103911988776961,Denis Villalta,Denis Ricardo- Villalta Rivera,20000,4
106586564537122,Pedro Chávez,MARÍA AUXILIADORA AGUILERA GRANERA,19656,18
222259464464471,Yani Rosenthal,Partido Liberal de Honduras,19598,7
143139052987353,Alia Kafati Hay Salida,Alia Niño Kafaty,19384,28
1402511926712969,Mauricio Cálix,Mauricio Calix Ceballos,19359,10
101444895066418,Juventud Demócrata Cristiana HN,Vivian Estefane Rodriguez Moncada,19157,23
869306953200646,Fabiola Abudoj,Fabiola Claudett Abudoj Mena,18944,24
109305628397892,Mario A Gonzales,Mario A Gonzales,18749,27
221798457888029,World Vision Honduras,World Vision Honduras,18715,6
103112105105138,Juan Carlos Lagos - Diputado por Copán,Juan Carlos Lagos Fuentes,18666,27
187581588077191,Juan Barahona,Darwin Enrique Barahona Najera,18215,10
21935701184,DIARIO EL HERALDO,DIARIO EL HERALDO,18166,21
111283084551923,Allan Macoto Diputado,Mario Merardo Zaldaña Olmedo,17877,47
670215973147907,Osman Aguilar,Osman Aguilar,17819,9
130202453827085,Asociación Calidad de Vida,Asociación Calidad de Vida,17649,22
416964031695578,Diputada Scherly Arriaga,Scherly Arriaga,17513,38
1314458455242369,German Altamirano,German Altamirano,17474,69
109774781441351,Francisco Moran - Diputado Fco. Morazán,Jorge Geovanny Reyes Espinoza,17194,32
101779245131396,Maria Antonieta Mejia,Waleskita Mejia,17073,6
103978381957546,Catracho Macizo,Martha Sobeida Soto Lezama,16629,41
110503794626548,"Laboratorio de Gobierno, Innovación y Políticas Públicas",These ads ran without a disclaimer,16609,1
101156194954745,Andres Castro,Andres Alfredo Castro Turcios,16465,39
100750711782346,Christian Martinez Diputado,Christian Josue Martinez Acosta,16276,45
237087153044234,Renan Inestroza,Rossel Renan Inestroza Martinez,16250,20
106862948409248,Unificación Democrática,Lenin Rigoberto Rodas Velasquez,15582,21
1466489633376036,Gilberto Yearwood,Gilberto Jeronimo Yearwood,15563,5
104111364355253,Diario Paradigma,Diario Paradigma,14628,9
107756271125002,Omar Menjivar,Dania Lizbeth Paz Pacheco,14503,18
112333800693678,Hugo Noé Pino,Allan Policarpo Mendez Padilla,14486,18
114301125304932,Secretaría de Trabajo y Seguridad Social,These ads ran without a disclaimer,14478,10
101419972288825,Ernesto Pumpo Diputado casilla #123 cortes,Ernesto Alfonso Pumpo Aguilar,14227,26
21325533991,Inversor Global,These ads ran without a disclaimer,14034,12
112333800693678,Hugo Noé Pino,René Efrain Arias Lopez,13969,15
100345185258583,El Bukele hondureño,El Bukele hondureño,13903,10
114912491193414,Secretaría de Infraestructura y Transporte,Secretaría de Infraestructura y Transporte,13761,27
286652458359644,Mario Suazo,Mario Orlando Suazo Lara,13730,26
110693081275989,La Otra Cara de Latinoamérica,Ana Margarita Lopez Cerrato,13668,28
101704425334880,Erik Javier Tabora,Erik Javier Tabora Tabora,13400,32
268438269939620,Nasry Tito Asfura,These ads ran without a disclaimer,13291,12
109580408013707,Francisco Flores,Francisco Miguel Flores Guifarro,13024,57
28312410177,World Food Programme,These ads ran without a disclaimer,12989,135
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,12980,14
103459952166807,Nota Pública,Nota Pública,12395,15
100230499051562,Dr. José Jaar Diputado,Salvador Jesús García Aguilar,12376,1
1293887574037684,Harry Panting Diputado,Harry Stephen Panting Zelaya,12238,4
114601521910,Jorge Aldana,These ads ran without a disclaimer,12173,19
107640905023095,Martín Pineda Diputado,Agencia de medios digitales nueve de diez,12129,8
816762251805920,Secretaria de Asuntos Electorales PSH,William Eduardo Carias Ortega,12083,31
582482678625013,Asley  Cruz,Asley  Cruz,12024,37
158158757637896,Alianza Paz y Justicia,Alianza Paz y Justicia,11931,12
100132868614625,Javier Santos,Stephanie Bueso De Santos,11891,6
209099099549632,Luis Rene Suazo,Luis Rene Suazo Peña,11783,5
103403128354133,Guillermo Bográn,Despacho de Guillermo y el Pueblo,11713,14
1511642142221183,Nacionalistas Honestos con Godofredo,Deysi Rosibel Banegas Espinal,11647,15
919092984894463,Partido Salvador de Honduras,Cordelia Ordoñez,11636,5
111168057292933,Universal Noticias,Felecity Celene Cooper Cooper,11573,12
106668254944240,Diputado Leiva,Jacobo Enrique Sanchez Matute,11416,38
496839213786593,"Secretaría Nacional de Ciencia, Tecnología e Innovación",SENACIT,11285,43
103130098432214,El Desmadrado,These ads ran without a disclaimer,11259,11
1519747768323108,Edil Mendez,Edil Mendez,11210,27
108562711599066,Eliseo Vallecillo Alcalde SPS Casilla6,Eliseo Vallecillo Reyes,11093,11
101186198642252,Wendy Guerra Alcaldesa,Erik Javier Tabora Tabora,10757,23
107928668693500,"Quintin ""Amigos""","Quintin ""Amigos""",10706,13
279672622673974,Que alguien me explique,These ads ran without a disclaimer,10641,22
342251765968994,Instituto Hondureño de Turismo,These ads ran without a disclaimer,10582,1
112512804005980,Inversiones B&T,Kizzy Stephany Bermudez Najera,10532,10
127750160666287,Tommy Zambrano Diputado,Cristian Edgardo Moreno Funes,10180,8
209729959619098,Luis Pinel,Luis Pinel,10124,11
100654565363948,Honduras-Nativo,These ads ran without a disclaimer,10046,50
101686915153735,Angela Fernández,Julio Cesar Peña Montoya,9994,24
114082948466158,Mauricio Ramos,Mauricio Ramos,9988,3
101047364836155,Lidia Lopez,Lidia Maria Lopez Amador,9899,18
633761396813612,Erasmo J. Portillo,Erasmo J. Portillo,9895,2
316667995124531,Banco Centroamericano de Integración Económica - BCIE,Banco Centroamericano de Integración Económica,9880,9
850142798711511,Ebal Díaz,These ads ran without a disclaimer,9860,31
58895017663,Banco Interamericano de Desarrollo,These ads ran without a disclaimer,9681,44
103191245342461,Liberales Yoro II,Liberales Yoro,9570,20
108670680800309,Ever Miguel Velasquez,Fernando Navarro Hernandez,9368,4
1265830616816937,Linda Donaire,Linda Frances Donaire Portillo,9237,61
241818544421013,Liliana Guevara Diputada / Yoro,Juan Antonio Discua Castro,9182,34
103187835005303,Ramón Enrique Barrios,Maria Isabel Valdez Briones,9166,11
576932955838386,Iris Pineda,Iris Pineda Ramírez,9077,3
544097135969884,Kritza Pérez,Kritza Jerlin Pérez Gallegos,8850,9
108854322177699,Titanes de la Niñez,Con Mis Hijos No Te Metas HN,8844,22
885680998238121,Melvin Paredes,Hector Manuel Sandoval Rodriguez,8801,15
113279288457664,Quintin AMIGO,These ads ran without a disclaimer,8696,28
102366311693428,Made Pedraza Diputada #151,Madelein Pedraza Budde,8685,27
100983801732465,Arlinton López,Arlinton Lopez,8620,16
104340444603882,Ayudas matres soltera,These ads ran without a disclaimer,8487,2
203029881749479,John Milton García Diputado,John Milton García Diputado,8370,24
213736845319886,Carlos Eduardo Reina,These ads ran without a disclaimer,8272,5
919092984894463,Partido Salvador de Honduras,William Eduardo Carias Ortega,8263,19
1047750315359377,Tato Loucel,Edgardo  Hernan Loucel Aguilera,8232,29
103953654913558,Carolina  Fernandez Trochez,Lourdes Carolina Fernandez Trochez,8210,14
248986568895243,Speechify,These ads ran without a disclaimer,8171,9
110142624101962,Nelson Márquez,Johann Serén Castillo,8170,26
1484915738427517,Iroshka Elvir,Iroshka Lindaly Elvir Nasralla,8109,17
107928668693500,"Quintin ""Amigos""","Quintín ""Amigo""",8073,24
1461365960590351,Antiagingcenterhn,These ads ran without a disclaimer,8045,7
101188568427152,Fardos Nashly Montecinos,These ads ran without a disclaimer,7999,4
105397322360821,Red LGBTIQ+ Chamelecón,Miguel Eduardo Barahona Castro,7876,8
122988594435371,Instituto Forymat,These ads ran without a disclaimer,7870,2
240592082461592,Planilla Rene Bendaña,ICCE,7836,7
104930718595058,Hilmer Hermida,Johana Sarai Ramirez Maldonado,7828,8
582482678625013,Asley  Cruz,Asley Guillermo Cruz Mejia,7779,8
68793499001,UNICEF,UNICEF with Facebook Ad Credits,7705,352
131793653512148,Diario La Prensa,Diario La Prensa,7681,15
104111364355253,Diario Paradigma,Joan Marcelo,7675,16
1392592317738074,Jorge Cálix,These ads ran without a disclaimer,7637,19
699137286926774,TuEncarguito.Net,Fernando Navarro Hernandez,7549,1
101099699702332,Únete al movimiento ciudadano,Únete al movimiento ciudadano,7507,45
110882925332549,Yani Rosenthal,Yani Benjamin Rosenthal Hidalgo,7500,5
100433762843279,Red Solidaria Honduras,Red Solidaria Honduras,7426,5
110307101473418,Jorge G. Reyes,Jorge Geovanny Reyes Espinoza,7422,18
147751821930575,Salud Digital Fundación Carlos Slim,These ads ran without a disclaimer,7326,4
107029964338157,Mario Argeñal,Mario Rafel Argeñal Medina,7299,18
231951286852691,Gilberto Ríos Munguía - Grillo,Gilberto Rios Munguia,7120,11
101226852237939,Centroamérica Post,Martha Sobeida Soto Lezama,7080,6
739334302924225,Ronald Panchame,Luis Alberto Zepeda Argueta,7047,50
106586564537122,Pedro Chávez,María Auxiliadora Aguilera Granera,7035,18
1754727451480916,Maribel Espinoza,Maribel Espinoza,7007,16
107166437591846,Fausto Cálix HN,Fausto Manuel Calix Marquez,7000,21
103366818771274,Ana Karola,Ana Carola Burgos Lopez,6994,4
102200678953147,Wilfredo Lopez Casilla 174,Hector Manuel Sandoval Rodriguez,6900,8
114154619999514,Partido Naranja de Honduras,Raul Peña Moreno,6890,16
709160849247917,Evis Santos,Evis Alexander Santos Tabora,6738,34
607812589389584,Luis Zelaya,These ads ran without a disclaimer,6530,4
118795083320932,Tavo Rodas,Jose Octavio Rodas Mendoza,6510,14
1835111130104087,Victor Barahona,Stevens Barahona,6399,12
1342879305770317,Allan Salazar Diputado,Allan Gerardo Salazar Funes,6274,25
359326941305683,Franklin Avila,Franklin Alonso Avila Carrasco,6133,24
102609935176471,Carla Dip Diputada,Carla Belinda Dip Alvarado,6100,2
101775188874514,Dra Paola Carbajal,Gaby Paola Carbajal Matute,6059,10
113632726761769,Gobierno Honduras,Presidencia de la República de Honduras,6000,3
486411318128334,Estamos Listos Honduras,These ads ran without a disclaimer,5978,24
351987848323268,Visita Sorpresa,Secretaría de Coordinación General del Gobierno de Honduras,5920,2
104756201617166,MP CLEAN HN,These ads ran without a disclaimer,5905,14
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,5891,87
103978381957546,Catracho Macizo,These ads ran without a disclaimer,5884,4
881938578596076,Cristianos Valientes,Cristianos Valientes,5803,4
1536298963332674,Eduardo Martell,Vika Yovanka Martell Castro,5647,10
973656702704928,ParadigmaEncuestadora,Fredy Ordoñez Flores,5623,4
348016209601920,Salvador Mata Alcalde,Alexander Martinez,5545,47
415068788604369,David Reyes   Diputado  por Choluteca,David Reyes,5514,16
1716073355341256,La Visión,La Vision,5500,2
102503894494718,Juan Carlos Discua,Jimmy Jhonatan Discua Maldonado,5402,4
1073562932669661,Romeo Vásquez Velásquez,Marvin Reniery Vásquez Teruel,5400,3
107045680721133,La Alianza con el Pueblo,These ads ran without a disclaimer,5347,9
103031135787229,Sensus,Sensus,5333,42
288499014527710,Rasel Tome,Rasel Tome,5232,5
1536298963332674,Eduardo Martell,These ads ran without a disclaimer,5231,22
476494152473046,Secretaría de Desarrollo e Inclusión Social.,These ads ran without a disclaimer,5221,9
129163346947962,Fitness Balancing pillow,These ads ran without a disclaimer,5213,2
1797637890483746,Edwin Guifarro,Alex Manuel Lara Rodriguez,5212,11
1183859241787308,LIBRE Islas de la bahia,El Quinto Poder,5168,5
100654565363948,Honduras-Nativo,Honduras-Nativo,5139,13
104380401971066,Molly Rubi Diputada,Emelda Mollylu Rubi Canizales,5135,20
107928668693500,"Quintin ""Amigos""",Noel Aristeo Molina Funes,5076,32
447476848762504,Fondo Cafetero Nacional,Fondo Cafetero Nacional,5074,7
724521631682438,Honduras News,Honduras News,5061,6
803587436436553,OCDIH,Lilian Guadalupe Gomez Dominguez,5042,12
