Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
113432613540693,وزارة الصحة والسكان المصرية,وزارة الصحة والسكان المصرية,2396368,644
181524565276709,الهلال الأحمر المصري - Egyptian Red Crescent,الهلال الأحمر المصري - Egyptian Red Crescent,2055736,829
798673866859390,ETC TV,ETC TV,2044187,8056
550280998481446,Rasha Kelej,Rasha Kelej,828869,263
145505648808327,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,Mohamed Al Ayyat,607368,14
104863099078670,Mohamed Rezk - محمد رزق,Mohamed Rezk - محمد رزق,542653,52
110434191400161,Turathna Exhibition - معرض تراثنا,Turathna Exhibition - معرض تراثنا,475584,140
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,440075,7
145505648808327,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,Real Deal,393971,39
100835565731657,Ahmed Amin Massoud - أحمد أمين مسعود,Ahmed Amin Massoud - أحمد أمين مسعود,360104,414
106088658611833,المرشح الرئاسى احمد الفضالى,المرشح الرئاسى احمد الفضالى,359576,68
112097178622996,Ahmed Helmy,Ahmed Helmy,359176,66
113390001735261,حزب مصر أكتوبر - الإسكندرية,حزب مصر أكتوبر - الإسكندرية,293001,116
109656438648399,RT Arabic روسيا اليوم - مصر,RT Arabic روسيا اليوم - مصر,291030,106
131582120040714,الحملة الانتخابية للمرشح الرئاسي عبدالفتاح السيسي,KNOT Digital,285924,32
145505648808327,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,268922,49
366309956781525,Ahmed Helmy أحمد حلمى,Ahmed Helmy أحمد حلمى,257392,51
111601691526415,Legacy Real Estate,These ads ran without a disclaimer,208044,11
102883459081121,Mohamed Taher - محمد طاهر,Mohamed Taher - محمد طاهر,205987,617
1424610401122573,هاني العتال - Hany Alattal,هاني العتال - Hany Alattal,203442,90
114229523780037,أحمد إبراهيم البنا - Ahmed Ibrahim Elbanna,Ahmed El Banna,192895,59
106450555171099,مجدي البري - Magdy Elbery,مجدي البري - Magdy Elbery,189884,376
110877857406073,المهندس حسام لبن,المهندس حسام لبن,187366,301
