Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
119878348024795,ULOBA,Uloba - Independent Living Norge SA,148309,519
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,146035,107
61185670016,Troms og Finnmark FrP,Troms og Finnmark FrP,142042,9
391617260945237,LO Oslo og Akershus,LO,140869,77
113015515397125,Norsk Sykepleierforbund,Norsk Sykepleierforbund,139280,28
609322219124074,Bærum MDG,Bærum Miljøpartiet de Grønne,138768,113
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,137292,128
106613969124,Norsk Folkehjelp,Norsk Folkehjelp,133246,33
1241838412569626,Novartis Norge,Novartis Norge AS,131731,154
21967399403,Cappelen Damm,Cappelen Damm,128409,106
59886315529,Unge Høyre,Unge Høyre,127656,324
109364558087970,Aksjon Borgerlig Valgseier,Aksjon for borgerlig valgseier,124752,9
110628757129572,LO Vestfold og Telemark,LO,123764,71
239755386551,SAFE,SAFE,122097,24
120815981305897,KS Kommunesektorens organisasjon,KS Kommunesektorens organisasjon,120410,19
322525743444,Get Inspired,These ads ran without a disclaimer,117942,7
111322125898812,Filter Nyheter,Filter Nyheter,115492,519
156202914404133,Minerva,Mediehuset Minerva,114630,108
103057921635136,Folkets Parti Bergen,Foreningen FNB Bergen,113792,130
28312410177,World Food Programme,These ads ran without a disclaimer,111615,249
138370333527008,Viken fylkeskommune,Viken fylkeskommune,107696,29
2093351790978732,Imprint: Learn Visually,These ads ran without a disclaimer,106855,2
109744289041884,Aftenbladet,Stavanger Aftenblad AS,106713,69
100682016119457,Universitetsplassen - UiO,Universitetet i Oslo,105532,46
107005018213171,Heia Nord-Norge,Heia Nord-Norge AS,105500,95
180922468616209,Oslo SV,Oslo SV,104024,62
226417544192807,Tankesmien Agenda,Tankesmien Agenda,101899,84
101815422763212,Emil Raaen - Ordførerkandidat AP,Trondheim Arbeiderparti,100980,17
116246088451868,Helsedirektoratet,Helsedirektoratet,100312,14
102301918919791,Nidaros sosialdemokratisk forum,Nidaros sosialdemokratisk forum,99588,42
100231879042950,Fylkesordførerkandidat Niklas Memic-Eriksen - FrP,Fylkesordførerkandidat Niklas Memic-Eriksen - FrP,98943,36
59749969562,Vestland FrP,Vestland FrP,98568,29
337998691128,Karmøy kommune,Karmøy kommune,98507,65
83499305740,Tekna – Teknisk-naturvitenskapelig forening,Tekna,97006,55
1605065239748945,Fagforbundet Oslo,Fagforbundet Oslo,95000,9
300127442096,Norske Kvinners Sanitetsforening,Norske Kvinners Sanitetsforening,93053,25
2020314588096067,Bjørnar Skjæran,Arbeiderpartiet,92429,23
665832620193085,Kristiansand Høyre,Kristiansand Høyre,89322,20
112607104243826,Peggy Hessen Følsvik,LO,88202,20
102203325950193,Ingvild Lemme Kristiansen,Stendi,87568,106
14649069067,Rødt,Rødt,87000,22
389115334546402,Båtforbundet - KNBF,Båtforbundet - KNBF,87000,12
117726821605303,PBL,Aurora Dyrnes,86948,52
149903399230,Vestfold og Telemark Arbeiderparti,Vestfold og Telemark Arbeiderparti,86306,132
496415600393799,Abid Raja,Viken Venstre,86046,12
193092437394607,Østfold FrP,Østfold FrP,85625,38
447470820360,Tromsø SV,Tromsø SV,85520,78
218518048020700,MERtid,MERtid,84969,22
100639318714892,Torbjørn Vereide,Torbjørn Vereide,84475,112
298357179829,Trondheim Arbeiderparti,Trondheim Arbeiderparti,84351,47
698086313709969,Rødt Akershus,Rødt,82103,147
120374971332864,Kagge Forlag,Kagge Forlag,80944,18
119878348024795,ULOBA,Uloba - Independent Living Norge,80908,523
204197585127,Coop - litt ditt,These ads ran without a disclaimer,80836,2
189429677833005,Lørenskog SV,Lørenskog Sosialistisk Venstreparti,80457,143
129065303810654,Vestfold Høyre,Vestfold og Telemark Høyre,79009,109
208977999140937,Nordland Venstre,Nordland Venstre,78330,19
125931433588,sol.no,These ads ran without a disclaimer,76411,4
104619835018564,Rødt Buskerud,Rødt Buskerud,76338,278
198748346812235,Drammen Venstre,Drammen Venstre,75449,93
117756891616696,Moss FrP,Moss FrP,75209,86
107028478959490,Troms SV,Troms SV,74220,25
126842761364857,Trøndelag MDG,Miljøpartiet De Grønne Trøndelag,72972,55
94043399802,Telenor Norge,Telenor,72498,3
196060713751352,LO Trøndelag,LO,72363,81
169998233019817,Hadia Tajik,Arbeiderpartiet,71688,19
121420461060912,Kraftkommune,NHO,71648,129
176370189723,SOR,Stiftelsen SOR,70442,23
536745556722065,Lillestrøm FrP,Lillestrøm FrP,70426,141
126895400704503,Rogaland Høyre,Rogaland Høyre,70332,22
170653772985183,Bergen MDG,Miljøpartiet De Grønne Bergen,70098,38
383250941751608,Oslo Senterparti,Oslo Senterparti,69925,23
864035420370978,Agder KrF,Stefan Christian Avila,68414,86
65439442167,SAIH,Studentenes og akademikernes internasjonale hjelpefond,65573,64
151608890040,Innlandet FrP,Innlandet FrP,65561,80
46448594983,Næringsforeningen i Stavanger-regionen,Næringsforeningen i Stavanger-regionen,65541,229
111036919049229,Offshore Norge,Offshore Norge,65302,55
153402168051875,Bergen Senterparti,Bergen Senterparti,65234,18
110181924645568,MuslimerStemmer,MuslimerStemmer,64955,53
10150138357285413,"Folkeaksjonen oljefritt Lofoten, Vesterålen og Senja",These ads ran without a disclaimer,64170,13
112742275428950,Steinar J. Olsen,Steinar Jørgensen Olsen,64140,11
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,63892,61
160643640614804,Rogaland Arbeiderparti,Arbeiderpartiet,63715,22
108106430662575,Suscon As -Du KAN påvirke i demokratiet,Ronny Grindstein,63506,75
113384899919,Noregs Mållag,Noregs Mållag,63429,28
1666902900221274,Norlandia,Norlandia,63000,73
102862913094356,CC Vest,Natalie Mar,62958,16
109197949130115,Kvinnefronten,Kvinnefronten i Norge,62860,35
139630365693,Drammen FrP,Drammen Fremskrittsparti,61775,58
319940767621,Sosialistisk Ungdom,Sosialistisk Ungdom,61740,46
101586441935927,Steinar på Tinget,Trøndelag Arbeiderparti,60602,12
116602181709178,Rogaland KrF,Rogaland KrF,60525,119
131631106897687,Øygarden FrP,Øygarden FrP,60501,58
182186778486870,Bergen Høyre,Bergen Høyre,60487,11
157475710986651,Kvinnegruppa Ottar,Kvinnegruppa Ottar landsstyret,59802,40
237962829599712,Universitetet i Oslo (UiO),Universitetet i Oslo,59347,29
507505952629359,Skolelederforbundet,Skolelederforbundet,59223,25
110030908792138,hjerteinfarkt.info,Asamedic,58169,11
102560641840786,Preventio,Preventio,56209,41
87445018334,Nobel Peace Center,Nobel Peace Center,56208,98
10150138357285413,"Folkeaksjonen oljefritt Lofoten, Vesterålen og Senja","Folkeaksjonen oljefritt Lofoten, Vesterålen og Senja",55974,17
20468812735,LO,These ads ran without a disclaimer,55350,101
136685779699812,Rosa sløyfe,Rosa sløyfe,55337,3
224521330900884,Bergen SV,Bergen SV,54948,66
1514635018793437,Nordmørslista,Nordmørslista,54885,30
286812851915462,Vestland fylkeskommune,Vestland fylkeskommune,53849,7
29033583742,UiA - Universitetet i Agder,UiA - Universitetet i Agder,53761,24
186626994701210,Forbundet for Ledelse og Teknikk (FLT),Forbundet for Ledelse og Teknikk (FLT),53710,50
131821850005205,Norges største flaskehals,Narvik Havn KF,53644,81
109668258634924,Fylkesordførerkandidat Per Olav Skurdal Hopsø,Trøndelag Arbeiderparti,53555,31
129829403731255,Tromsø Arbeiderparti,Tromsø Arbeiderparti,52936,26
1431257707144379,Åpen folkekirke,Åpen folkekirke,52297,11
413702262401064,Innlandet Høyre,Innlandet Høyre,52162,25
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,52100,162
123488517715637,LO Østfold,LO,51828,51
124626434221709,Teknisk Ukeblad,Teknisk Ukeblad Media AS,51826,46
36218282743,Røde Kors,Norges Røde Kors,51572,23
173739506066242,LO Internasjonalt,LO,51552,73
458126690922579,Rødt Trøndelag,Rødt Trøndelag,51020,380
344674789296133,McKinsey & Company Norge,McKinsey & Company Inc Norway,50919,83
310474041955,Innlandet SV,Innlandet SV,50869,254
165191886867221,Østfold Arbeiderparti,Østfold Arbeiderparti,50802,62
445377535506056,Innovasjon- og Teknologipartiet,Svein Dahl,50268,12
490676404357612,Rødt Bodø,Rødt Bodø,49914,142
878808912167876,Mestringshusene,Mestringshusene,48185,48
1583324988565868,Stortinget,Stortinget,48139,125
103044219380073,Østfold Høyre,Østfold Høyre,48139,26
250289965916061,Headway,These ads ran without a disclaimer,47997,8
746520088714513,LO Stat,LO Stat,47768,15
52417950870,Rogaland Venstre,Rogaland Venstre,46995,155
58345093445,Natur og Ungdom,Natur og Ungdom,46650,37
100928051967801,Olve Grotle,Vestland Høgre,46571,23
209735895864644,Sylvi Listhaug,Fremskrittspartiet,46504,13
57542291449,FFO - Funksjonshemmedes fellesorganisasjon,Funksjonshemmedes Fellesorganisasjon (FFO),46134,4
178444262186577,Pensjonistforbundet,Pensjonistforbundet,45879,92
156545564365962,Stavanger Arbeiderparti,Stavanger Arbeiderparti,45124,47
268111163222688,Coop Nordland SA,Coop Nordland SA,44653,10
367725053379647,Møre og Romsdal MDG,Miljøpartiet De Grønne Møre og Romsdal,44367,80
772203719475318,Oslo Arbeidersamfunn,Kasper Silkoset Syvertsen,44330,12
1663819643914700,FrPs sametingsgruppe,Arthur Tørfoss,44188,20
173034686082674,UiO - Det humanistiske fakultet,"Det humanistiske fakultet, Universitetet i Oslo",43919,64
108468474192301,INP - Industri- og næringspartiet,Industri-og næringspartiet,43912,226
94140749496,HL-senteret,HL-senteret,43870,34
322315653557,Unge Venstre,Unge Venstre,43818,31
129727627649524,Atikko Norway,Atikko Norway,43719,26
168480760010,SLUG - Nettverk for rettferdig gjeldspolitikk,SLUG - Nettverk for rettferdig gjeldspolitikk,43715,18
304033187135783,Senterpartiet i Viken,Senterpartiet i Viken,43106,21
796536693738193,LO Innlandet,LO,42895,70
1528546187451897,Trøndelag fylkeskommune,Trøndelag fylkeskommune,41789,23
131267734363,Kirkens Nødhjelp,Kirkens Nødhjelp,41644,25
263806974050,Rødt Drammen,Rødt Drammen,40800,71
1663819643914700,FrPs sametingsgruppe,FrPs sametingsgruppe,40598,25
1163629137097075,Arild Hermstad,Miljøpartiet De Grønne,40159,57
369553031480,Delta - en arbeidstakerorganisasjon i YS,Delta - en arbeidstakerorganisasjon i YS,40000,3
183087034450,OBOS,OBOS,39973,2
128076177249380,Nationen,Nationen,39605,61
874166835935733,Gyldendal Videregående,Gyldendal Undervisning,39081,23
139242997347,Universitetet i Bergen,Universitetet i Bergen,38999,15
105812931235606,Ombudet for barn og unge i Viken,Ombudet for barn og unge i Viken,38998,3
185349298793613,"Kari Nessa Nordtun, kunnskapsminister","Kari Nessa Nordtun, ordfører i Stavanger",38416,20
203599316348054,Nordre Follo Venstre,Nordre Follo Venstre,38301,25
