Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
145347352187764,UN Women Australia,UN Women Australia,224963,1883
14193666340,Australian Conservation Foundation,These ads ran without a disclaimer,224153,452
119271104477423,Save Your Local Pharmacy,The Pharmacy Guild of Australia,223485,386
124097239458,Wayside Chapel,Wayside Chapel,222585,1096
113038028722923,TAB,TAB,221271,48
328641501156991,United Workers Union,United Workers Union,221262,960
121201504755819,Animal Justice Party AJP Victoria,Animal Justice Party,215957,2524
532962446729390,Australian Families,These ads ran without a disclaimer,215688,13
162107547181406,LNP - Liberal National Party,LNP - Liberal National Party,207721,212
106671751116820,NSWRebate.Solar,NSW Solar Rebates,203645,871
213476079972,Essential Workers Deserve Better,Mark Morey,203398,972
486290621414640,Australian Government Department of Health and Aged Care,These ads ran without a disclaimer,200288,12
165242077409311,Australian Automobile Association,Australian Automobile Association,195259,1819
100317645636097,UniSuper,UniSuper,195258,188
44701328033,NSW Liberal Party,"Liberal Party of Australia, NSW Division",192662,239
103768131733660,Leave My Super Alone,Industry Super Australia,188695,679
101818568874753,Together We Can,Australian Conservation Foundation,186999,327
368552196683031,Growing Queensland,"Department of State Development, Infrastructure, Local Government and Planning",182063,122
105820945020955,NSW Solar Rebates,These ads ran without a disclaimer,181440,38
537762462924537,Anthony Albanese,Australian Labor Party,180829,927
186985648081724,Mark Butler MP,Mark Butler MP,180216,498
22936848857,Institute of Public Affairs,Institute of Public Affairs,180095,974
334563333634959,Australian Government Department of Education,"Department of Education, Skills and Employment",176829,84
278029242253904,Twitter,These ads ran without a disclaimer,176314,12
372125409639,World Transformation Movement,World Transformation Movement,173159,914
1670517743250253,Save the Daintree Rainforest,Rainforest 4 Foundation Ltd,168810,402
217740021614483,Electoral Commission of Queensland,Electoral Commission of Queensland,165103,339
233539463360143,Mining & Energy Union,CFMEU Mining & Energy,164998,366
113888451994665,NSW Teachers Federation,NSW Teachers Federation,163932,110
44295826958,Australian Marine Conservation Society,Australian Marine Conservation Society,162925,766
208216550045765,United Australia Party - Queensland,United Australia Party,161972,171
147850655289928,Clean Energy Council,The Clean Energy Council,160009,338
107793774960380,Stand Up For WA,WA Labor,154556,201
1231826293500356,Queensland Resources Council,Queensland Resources Council,153617,217
101546263223119,Scott Morrison (ScoMo),Scott Morrison MP,153566,203
101317875732604,Dr Sophie Scamps,Sophie Scamps,153122,573
133861650136733,ABC Friends,ABC Friends,152341,895
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,151681,107
948595148496917,Andrew Hastie,Andrew Hastie,151302,395
801533023293160,Binary,Gender Awareness Australia,150998,348
1621692424754301,Minderoo Foundation,Minderoo Foundation,150938,155
100385049145414,Allegra Spender,Allegra Spender,150743,368
158532174266173,Steven Marshall,South Australian Liberals,150417,283
105685711151175,The Solar Saver,Solar Saver Energy,150116,988
159985404129715,Zurich,Zurich Financial Services Australia,149113,13
160169784045845,Tasmanian Labor,Tasmanian Labor,145653,309
184543928960,National Party of Australia,National Party of Australia,145104,198
197070314013807,NSW Government,These ads ran without a disclaimer,142768,125
206540052690401,Jean Hailes for Women's Health,Jean Hailes for Women's Health,142658,449
126755754702938,Respect Victoria,Respect Victoria,140373,90
145262132264710,Angus Taylor MP,Angus Taylor MP,138882,423
327313071308838,Zero Co,These ads ran without a disclaimer,138165,190
213548378737767,NRMA Insurance,IAG,137282,33
28312410177,World Food Programme,These ads ran without a disclaimer,136351,300
159082219490,Australian Youth Climate Coalition,Australian Youth Climate Coalition,136195,472
291828937666810,VicRoads,VicRoads,136139,184
427125817373739,Peter Malinauskas,South Australian Labor Party,133576,879
1711993909057766,WA Government,WA Government,133573,46
2089417701338709,Amanda Stoker,Senator Amanda Stoker,132763,42
222537304429414,ETU - The Electrical Trades Union,ETU - The Electrical Trades Union,132453,62
845410525497100,Launch Housing,Launch Housing,132350,1188
41690962883,"ETU - Electrical Trades Union of Australia, Victorian Branch","Electrical Trades Union of Australia, Victorian Branch",131736,42
350996037887,Beyond Zero Emissions,Beyond Zero Emissions,130948,496
195538532456,UNICEF Australia,These ads ran without a disclaimer,130537,224
299753643444311,AEC,Australian Electoral Commission,130000,11
116597924363785,Keep it Together Australia,Grok Ventures,129715,8
155392951186771,Dying with Dignity NSW,Dying with Dignity NSW,128896,666
738620372859560,George Christensen,George Christensen,128823,171
107492935010781,Kylea Tink for North Sydney,Kylea Tink,127238,323
426913580659855,Mark McGowan,Team McGowan,127169,380
119390037922588,Whistleblower Justice Fund,Whistleblower Justice Fund,125798,1134
109949387965341,The TRUST FALL: Julian Assange - Documentary,Films For Change,125641,804
223820240968967,Western Australian Electoral Commission,Western Australian Electoral Commission,125013,72
100162559396,The Australia Institute,The Australia Institute,124868,181
147632815308858,Woolworths,These ads ran without a disclaimer,124842,9
193047494589008,Rex Patrick,Senator Rex Patrick,123564,446
291007457920524,Go Gentle Australia,Go Gentle Australia,123498,138
424864151385105,Gavin Pearce MP,Gavin Pearce MP,122848,562
356802571527711,Dave Sharma MP,Dave Sharma MP,122497,112
373523642668552,Queensland Energy and Climate,Department of Energy and Climate,122181,127
110627367235865,Australian Government,These ads ran without a disclaimer,122089,35
694832627392516,Prime Super,Prime Super,120532,1517
157481181070130,Indigenous Employment Australia,Access,120333,11060
139124319523130,Australian Signals Directorate,These ads ran without a disclaimer,119796,51
24495551981,The Greens NSW,The Greens NSW,119401,591
160089444042253,WA Labor,WA Labor,119063,237
236624143053970,ifaw,ifaw,118072,2172
537762462924537,Anthony Albanese,Anthony Albanese,117722,382
102329728050606,Yes23,Cape York Institute,117526,478
144449965668596,Richard Marles MP,Richard Marles MP,116398,281
280147525974520,Matthew Guy - The Liberal Cuts Guy,Victorian Labor,116147,1146
317357152552163,Powerpal,Powerpal,115830,316
105084998845350,BPH Energy,BPH ENERGY LTD,115700,1121
105348385388237,Senator Babet,Senator Babet,115314,723
108287892602643,CFMEU - Construction & General,CFMEU - Construction & General,115089,128
499236237285269,SolarSavr - Save With Solar,These ads ran without a disclaimer,114896,42
118142061538216,NSW Department of Education,NSW Department of Education,114741,42
98172159854,Prostate Cancer Foundation of Australia,Prostate Cancer Foundation of Australia,114254,232
2063329587276680,Anika Wells MP,Anika Wells MP,112970,977
1414406035466037,Jeremy Rockliff,Jeremy Rockliff,111492,366
281624508711751,Senator Jacqui Lambie,Senator Jacqui Lambie,111014,232
159487260807787,Tindo Solar,Tindo Solar,110551,49
68225180411,Tasmanian Liberals,Tasmanian Liberals,110268,130
161107919341,Save Our Marine Life,Save our Marine Life,109958,365
105733758682166,Big Climate,It's Not A Race,109569,177
113998151684022,Election News,Advance Australia,109235,681
280996218747910,Tim Richardson,Tim Richardson,109075,134
397307097023253,Justine Elliot MP,Justine Elliot MP,108156,238
418405098224592,350.org Australia,350.org Australia,107562,466
2232624883416629,Melissa McIntosh MP,Melissa McIntosh MP,107503,544
181854426162,CHOICE,CHOICE,107316,451
471390022952217,Australian Energy Producers,Australian Energy Producers,107076,658
129209787133659,NSW Nurses and Midwives' Association,NSW Nurses and Midwives' Association,106552,104
191570179167,Catherine Hamlin Fistula Foundation,Catherine Hamlin Fistula Foundation,105522,521
409731082431557,Alan Tudge,Alan Tudge MP,105215,241
368552196683031,Growing Queensland,Department of State Development and Infrastructure,104733,83
100356216050100,Family First Party Australia,Family First Party Australia Ltd,104398,49
158532174266173,Steven Marshall,South Australian Liberals,104278,158
11775531229,The Chaser,The Chaser,104189,212
160021291752,Environment Victoria,Environment Victoria,103872,902
362805317148988,Keith Pitt,Keith Pitt,103617,68
154121814452941,Australian Subscription Television & Radio Association,Australian Subscription Television & Radio Association,103576,9
47047273581,Cancer Council SA,Cancer Council SA,103462,645
121797304549067,Cerebral Palsy Alliance,Cerebral Palsy Alliance,103188,120
302386636554,Matt Guy,Liberal Party of Australia (Victorian Division),102885,140
