Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
120370174702378,Magyarország Kormánya,Magyarország Kormánya,634184109,224
9844779306,Fidesz,Fidesz,469697168,635
103239152025517,Aktuális,Aktuális Média,296971394,493
101666315245855,Erősítő,erosito.hu,271842541,11510
294998357524107,Deák Dániel,Megafon,254176067,126
100401808007704,EzaLényeg.hu,EzaLényeg.hu,228138527,19856
128596180810227,Stefi Déri,Megafon,183447085,94
503614639975773,Trombitás Kristóf,Megafon,170183882,77
543788999005363,ORIGO,New Wave Media Goup Kft.,162996913,2933
248172631940,Mandiner,Mediaworks Hungary Zrt.,151275070,2525
298090296092,Orbán Viktor,Fidesz,143235350,1548
106137971228874,Rákay Philip,Megafon,139848923,92
109637397268775,Nyugati Pályán,Splendidea Communications Kft,139678332,651
178362315106,European Parliament,European Parliament,134896853,3112
103874348723105,Megoldás Mozgalom,Megoldás Mozgalom,132343418,633
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,123050109,2091
102239928957612,Rákay Philip,Megafon,111939880,33
142116653162328,Márki-Zay Péter,Márki-Zay Péter,111693050,4253
142116653162328,Márki-Zay Péter,kormanytvaltok.hu,108308453,4031
193944440638410,Karácsony Gergely,Kilencvenkilenc Mozgalom Egyesület,105617485,2281
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,104703152,593
100521635656870,Ez Van,ezvan.tv,95613702,440
108988364887786,Bohár Dániel,Megafon,89653158,30
592204747588011,Momentum Mozgalom,Momentum Mozgalom,88964442,3538
1880809845328535,Dobrev Klára,Demokratikus Koalíció,82919829,1375
191461774219575,hirado.hu,hirado.hu,79505368,8216
101581945499216,Budapest Beszél,Budapest Beszél,74978703,23
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,71027790,776
71547793430,Fidelitas,Fidelitas,67128044,591
104359131558815,KonVerzió,Megafon,61379092,36
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,61231671,1244
2173319816251894,Egységben Magyarországért,kormanytvaltok.hu,58728120,1357
451844608304228,Metropol,Metropol,56076771,691
1534911313439123,Ripost,Ripost,54552999,815
103946674951254,Kötter Tamás,Megafon,52522286,31
111130191510171,Bohár Dániel,Megafon,52060859,31
107898832590939,European Commission,European Commission,38879016,473
102047885748225,Vélemény Klub '22,Vélemény Klub '22,38732540,526
594088897289853,Alapjogokért Központ,Alapjogokért Központ,38663923,3710
110154728011304,Nerpédia,KözösÜgyünk Nonprofit Kft.,38368783,654
543788999005363,ORIGO,Mediaworks Hungary Zrt.,36303843,1769
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,34274182,737
264517713636590,PestiSracok.hu,PestiSrácok.hu,33011462,1396
106451715124974,Röviden,roviden.info,32533603,117
102414628645144,Korondy Tamás,Megafon,31895862,25
1680970628864639,Bohár Dániel,Megafon,30631075,26
100299381703981,Ps TV,PestiTV,30009993,1011
102162522364746,hovege.hu,hovege.hu,29771351,632
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,28898103,328
287770891404,Jobbik-Konzervatívok,Jobbik Magyarországért Mozgalom,27368786,414
103034067877803,Szentkirályi Alexandra,Magyarország Kormánya,27217758,183
224274995688487,Bohár Dániel - Riporter,Megafon,26592201,37
115388925185513,Magyar Szocialista Párt,MSZP,26029054,505
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,25986269,503
778538352344518,Hollik István,Fidesz,25773378,202
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,25720842,1179
2024678420884437,Varga Judit,Fidesz,25522690,187
109340518076551,Covidoltas.Info,covidoltas.info,25251452,1986
1487569941539650,Tanítanék,Humán Platform,24691875,199
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,24292956,2016
149061108240,Kocsis Máté,Fidesz frakció,24196104,451
193944440638410,Karácsony Gergely,Párbeszéd Magyarországért,22643132,321
438674070213065,Magyar Állampapír,Magyar Állampapír,22168132,218
108346693873484,Győrffy Balázs,Balazs Gyorffy,20553029,658
109217671008015,A kopasz oszt,Megafon,20173300,8
104839218481445,bennfentes,Bennfentes,19730248,460
326635018181862,Magyar Nemzet,Magyar Nemzet,19551589,2240
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,19198747,1044
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,18577910,217
228261192288,Tények.hu,TV2 Média Csoport Zrt.,18429663,14
1449423641866973,Illés Boglárka,Fidelitas,17365597,77
2074269302652716,Menczer Tamás,Fidesz,16996544,796
112150513859297,Antsi,Anita Krizsan,16564285,534
287770891404,Jobbik-Konzervatívok,Országgyűlés Hivatala Jobbik Frakció,16558291,195
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,16279761,268
1406386486355924,Partizán,Gulyás Márton Ferenc,16225148,613
101153069200229,Elegünk Van,Elegünk Van,16205181,515
1377431695828132,Nagy István,Fidesz,15331658,1263
509418276084719,Dömötör Csaba,Fidesz,15269109,300
193944440638410,Karácsony Gergely,Mindenki Budapestért Egyesület,15142988,161
184272521594541,ELÉG,Elég,15015028,9
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,14908715,551
150836998898897,aHang,aHang,14754774,579
126539424061030,Háttér Társaság,Háttér Társaság,14619407,332
186353328771285,Számoljuk együtt,Számoljuk Együtt Mozgalom,14439632,165
776079922494181,Apáti Bence hivatalos oldala,Megafon,14261958,20
781150971947219,Jakab Péter,Jobbik Magyarországért Mozgalom,13751080,709
1869511526651884,Zsigmond Barna Pál,Fidesz,13611085,1403
103433614761947,Megafon,Megafon,13348302,6
294815374340858,Donáth Anna,Donáth Anna - Momentum,13335462,300
324771568775,Varga Mihály,Fidesz,13226227,123
308871671705,BAON Bács-Kiskun vármegyei Online,Mediaworks Hungary Zrt.,13203848,619
107119741560661,Gyerekkel vagyunk,gyerekkelvagyunk.hu,13118177,954
160935777365,bama.hu - a baranyai hírportál,bama.hu - a baranya megyei hírportál,13084171,788
