Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
654180731859809,T-Police,T-Police,609234,99
112239571484142,Lets Fix Nigeria,TBWA CONCEPT UNIT LTD,603653,59
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,593600,159
101300476067946,The Northern Umbrella Forum,Northern Umbrella Forum,576503,25
100202924924063,Page 36,Page 36,575505,1385
106955635517175,Petroleum Industry Act and You,The Nigerian Upstream Petroleum Regulator Commission,568299,68
1924396441113309,Onogwu Muhammed,Martins Onuorah,547614,127
100184822405750,Saliu Mustapha,Saliu Mustapha,534930,32
1598205703573433,Senator Uba Sani,Uba Sani Media,526753,204
107655665420852,South West Umbrella Forum,South West Umbrella Forum,517700,38
163415157011050,Elevation NG,The Elevation Church,506509,21
100627422069042,Anyim Pius Anyim,Cynt Digital LTD,487443,227
828355217366790,Current Library,These ads ran without a disclaimer,478381,2
103876095960528,Vote Adewole Adebayo for President 2023,Adebayo Adewole Campaign Group,473763,3
385490094933242,Dr. Linda Iheme - Only True Account,These ads ran without a disclaimer,466254,1
105971529455847,Lagos Talks,Lagos Talks,451553,3
110808857137968,Marilyn Okowa-Daramola,Marilyn Okowa-Daramola,441936,11
109451148317819,We You HAP,CCSI,435257,8
111671415154722,The Time is Now,Team Caleb Mutfwang,421209,9
211949193036881,Higher Nigeria Movement,Chinaza Somtochukwu Ibeofokile,415138,220
102399141248203,Chief Edward David Onoja,Isaac Ukpahiu'ojo Agene,410014,37
106916588032340,GYB Nigeria,Gimba Manasseh,407983,28
104701309090187,Alesa Highlands Estate,Chuuba Global Switch,390701,6
150797314964845,Senator Ibikunle Amosun,Samuel Ademola Solaja,386637,41
107659108870484,infolasiama,Osasona Oluwasina,386496,5
205279466743027,Lux Terra Leadership Foundation,Lux Terra Leadership Foundation,374999,18
200480966638039,Supremacy 1914,These ads ran without a disclaimer,374968,3
1567614746869354,Daily Shopping,Awotidebe Oluwaseyifunmi,357505,3
14312764639,Atiku Abubakar,Atiku Abubakar Campaign,336076,3
126460284139483,Nigerianeye,NigerianEye,331580,50
102823605038626,Phoenix Relations,Phoenix Relations,326731,9
903423006458068,Orodata Science,Orodata Science,325777,14
68793499001,UNICEF,UNICEF,324364,162
110567998361765,Smokeyhut,These ads ran without a disclaimer,323065,1
2162773263850270,Khalil Network,Khalil Network,322150,23
216311481960,Bill Gates,These ads ran without a disclaimer,318368,62
105723824465800,Naturegift,These ads ran without a disclaimer,318110,18
1976563142629961,Scooper News,These ads ran without a disclaimer,315337,2
215863191948778,Frank Nweke Jr,Frank Nweke Ii,305891,54
112268064929703,Mailantarki Campaign Organisation 2023,Mailantarki Campaign Organisation 2023,298819,62
107241665289643,Nigeria 4 Peter Obi,Ajibola Adeboye,294382,9
101313636221741,WaleKuku4Senate,Ajibola Adeboye,286292,9
62188827209,Femi Fani-Kayode,These ads ran without a disclaimer,283795,6
101620952700531,Babandi Ibrahim,Babandi Gumel Ibrahim,270489,31
100509629482213,The South-South Umbrella Forum,The South-South Umbrella Forum,266339,20
102169824695398,Rero TV,Oghenebrorhie Okotie,258010,361
103333362526988,The Eastern Umbrella Forum,The Eastern Umbrella Forum,257419,20
107676437643727,Inuwa Media Vanguard,Inuwa Media Vanguard,254502,75
106600565326107,Voice Of Meta-VOM,Abdulazeez Odufuwa,253069,160
280983209099426,Isa Ashiru Kudan,Bamali Surajoddeen Saad,248753,38
104680361991427,Hon. Mojisolaoluwa Alli-Macaulay,Omayeli Christabell Amorighoye,248523,49
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,246922,4
248584495820796,Ibe Okwara for House of Representatives - Arochukwu/Ohafia Constituency,Ibe Okwara Support Group,242541,39
496453373762496,Strive Masiyiwa,These ads ran without a disclaimer,242332,1
236831106803225,Accountability Lab Nigeria,Accountability Lab Nigeria,236381,19
100519749481655,Labour Party Ogun State,Ajibola Adeboye,234172,23
112349224687773,Kufre Ekpoh,Kufre Imo Ekpoh,222925,191
355399445235927,WE Accord,WE Accord,221731,24
108922088433582,Rivers Unity Alliance - RUA,Rivers unity allaance,218878,11
103864958273670,"School of Politics, Policy, and Governance",The School Of Politics Policy and Governance,217914,9
101075832871727,Progressives For Renewed Hope,Progressives For Renewed Hope,216942,75
106064468251927,Community Initiatives to Promote Peace,ARDA DCI,211660,227
1746241522274014,Hajiya Maryam Mairo Aminu Waziri Tambuwal Online Forum,Amiru Adamu,210935,377
102619289418448,Refined Alliance for Atiku,Pius Ihechi Ikeoba,210535,11
211082306470490,Klick Media NG,Klick Media NG,208970,9
137297917005216,European Union Support to Democratic Governance in Nigeria,European Union Support to Democratic Governance in Nigeria (EU-SDGN) Phase II,207709,2
474949016032212,Akin Fadeyi Foundation,Akin Fadeyi Foundation,207087,28
107049435250885,Nigerian National Transformation Network - NNTN,Gabriel Olatuja,205099,7
522773744459687,Template for Good Governance,Ogbe Chukwunonso Daniel,204668,20
511160669047435,Senator Bassey Albert  - OBA,Benedict Raphael Ibanga,204011,20
106961441665136,DAW EMPIRE,GRV Lagos,194419,3
103243044963750,Zybabelooks,These ads ran without a disclaimer,194147,11
112540050317799,Fix Politics,Fix Politics,193929,15
101622722635138,Advocacy For Good Governance,Nnadi Sunny,190987,166
242768742596152,Senator Bala Abdulkadir Mohammed,Bala Mohammed Campaign,189938,3
