Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
107520184219093,Douglas Crispin Jóvenes en Movimiento,Dohuglas Crispin,1309,19
110582257361172,Partido Azul,Diego Armando Orellana,1290,9
112086655128494,Danilo Mazariegos,Dilan Daniel,1271,38
100385325447748,Informante Baja Verapaz,Paola Barillas,1253,3
331961940541181,Partido Victoria,Partido Político Victoria,1244,1
105932339114662,Pedro René Escobar,Pedro Si Vá,1228,6
105847621557877,Que Todos Sepan Huehuetenango,Emilio Cruz,1192,1
105069184970982,Izabal Al Día,Emilio Cruz,1191,1
114322204614011,Afiliados VALOR Barillas.,These ads ran without a disclaimer,1175,2
101934795761582,Jaime Suarez,These ads ran without a disclaimer,1171,3
1319918204775846,Cybercompras Bookstore,These ads ran without a disclaimer,1163,8
119274074432076,Ciudad Metrópolis,Ciudad Metrópolis,1149,5
101099789269274,Antonio Rodriguez,Antonio Rodriguez,1092,2
1612828795636861,Movimiento Semilla,Movimiento Semilla,1078,7
147751821930575,Salud Digital Fundación Carlos Slim,These ads ran without a disclaimer,1078,3
102762215788405,VOS.gt,These ads ran without a disclaimer,1078,4
112780826931392,Hugo Fernando del Valle,Katherine Herrera,1065,14
104427078644876,Ojo Ciudadano TV,Ojo Ciudadano TV,1050,2
110546665163444,UNE Sololá Departamental,UNE Sololá Departamental,1047,6
103116819128654,Oswaldo Ruiz,Oswaldo Agustin Ruiz Garrido,1025,36
107964338810168,Hijos de Dios,Hijos de Dios,1022,2
101555919274873,Mi Familia,Mi Familia,1000,1
2318835821714844,Humanista Depto. Guate,These ads ran without a disclaimer,1000,1
100787018649683,Más Media,Emilio Cruz,1000,1
101731272777548,Proclamando Salvación,Proclamando Salvación,1000,1
541367636802117,Cristianos de Guatemala,Cristianos de Guatemala,1000,1
102764015939243,Rosario Menéndez,Maria Del Rosario Menéndez Jimenez,985,7
229496247180755,Fundación Libertad y Desarrollo,These ads ran without a disclaimer,976,10
466991490137676,Centro de Desarrollo Integral Getsemanitas,These ads ran without a disclaimer,953,4
111035383962426,Noticias Tacaná,Jennifer Lopez,921,10
101781936105017,Gay Love Gt,Gay Love Gt,914,2
1482659402044863,Juan Manuel Giordano - Manolo,These ads ran without a disclaimer,914,4
106979288821732,promujer,These ads ran without a disclaimer,908,1
122851700741399,Correr la bola,Correr la bola,897,8
473451232707178,Abogado Federico Barrios Aldana,Federico Javier Barrios Aldana,893,11
1867854420180177,Calzado Online M&A,These ads ran without a disclaimer,892,3
222413591254004,Fundebase,FUNDEBASE,879,2
101747092677033,Biopapama,Bio Papama,863,3
316637245932752,Expresión Libre,Expresión Libre,837,2
110582661881708,cv playera,These ads ran without a disclaimer,837,23
101338045349748,Santa Rosa Informa,Paola Barillas,834,2
391831020911364,Luis Carlos Rivero - Fondista -,Luis Carlos Rivero - Fondista -,833,12
200480966638039,Supremacy 1914,These ads ran without a disclaimer,827,3
306800529496451,La Voz de los Mártires,These ads ran without a disclaimer,826,1
101808062849346,VOS Mixco,VOS MIXCO,800,2
103640525996183,VOS Villa Nueva,Marina Chen Sam,800,2
171059076249865,Iglesia El Candelero de Oro,Iglesia El Candelero de Oro,800,2
103769008029892,Noticias San Marcos,Jennifer Lopez,795,13
101523721591377,Noticias Tejutla,Jennifer Lopez,773,7
101526632797717,Divas Drags Gt,Divas Drags Gt,764,2
693436940755997,Sebastian Siero,These ads ran without a disclaimer,758,10
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,758,17
171452352874755,Universidad Galileo,These ads ran without a disclaimer,744,5
103940842615369,armandocastillogt,These ads ran without a disclaimer,729,1
112746484513924,Mirador Electoral de Guatemala,Mirador Electoral Guatemala,729,2
190878974351206,MARN,Ministerio de Ambiente y Recursos Naturales,717,2
