Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
213000859039052,SANY Group,These ads ran without a disclaimer,129,3
353371268085999,Lorraine LionHeart,These ads ran without a disclaimer,129,1
109741104795977,Raisewise,These ads ran without a disclaimer,129,1
100445878902044,Ubricoin Building Kenya's /Africa's health care,These ads ran without a disclaimer,129,2
1400084976927587,Race to Zero Waste,These ads ran without a disclaimer,129,1
105842865183776,Aawenwenwen_05_M113,These ads ran without a disclaimer,129,1
105501525214110,NFL Africa,These ads ran without a disclaimer,129,2
112328441591927,survival_records,These ads ran without a disclaimer,129,2
100788869122161,Naivasha Young Turks,These ads ran without a disclaimer,129,1
118423691576650,Times 360 Malawi,These ads ran without a disclaimer,129,1
175158559025224,Chatbot App,These ads ran without a disclaimer,129,1
2213352052082894,Hassan Noor,These ads ran without a disclaimer,129,1
108055784899419,Kairos Futura,These ads ran without a disclaimer,129,1
100578545133162,Hon. Bernard Wangamati,These ads ran without a disclaimer,129,1
409050356360074,Canadian Park Training,These ads ran without a disclaimer,129,1
113338843661084,Captainrtv The Trumpet of Hope,These ads ran without a disclaimer,129,1
110895395068950,Maslah Art Studio,These ads ran without a disclaimer,129,1
302972623046139,TAP Magazine,These ads ran without a disclaimer,129,2
106463548895074,pisces_dragon_22,These ads ran without a disclaimer,129,2
17003621606,Reggae Sumfest,These ads ran without a disclaimer,129,2
220117223322413,Pollmax,These ads ran without a disclaimer,129,1
109523418432303,Barbara Wanjiru Baligobye,These ads ran without a disclaimer,129,1
1013320308751698,Inuka Afrika Properties Ltd,These ads ran without a disclaimer,129,1
109926774968672,"Shenzhen Top-Peak Electronics Co.,Ltd.",These ads ran without a disclaimer,129,2
177940625392721,Ramadan bashir ereg,These ads ran without a disclaimer,129,1
113616883716936,Ondes sur Seine,These ads ran without a disclaimer,129,2
103671307875747,Preballot,These ads ran without a disclaimer,129,1
0,Instagram User 6915224956,These ads ran without a disclaimer,129,1
106784722385032,multiculturalnews,These ads ran without a disclaimer,129,1
259722110859156,Slum2School Africa,These ads ran without a disclaimer,129,1
557010960997473,Hon. Mike Makarina,These ads ran without a disclaimer,129,4
464186323601599,Kari Pearce CrossFit Games Athlete,These ads ran without a disclaimer,129,1
103944008376306,Luana em Pequim,These ads ran without a disclaimer,129,5
107714748645793,Big Buzz,These ads ran without a disclaimer,129,5
113228688379821,MtaaWangu,These ads ran without a disclaimer,129,1
115575820139019,Af Fhyf,These ads ran without a disclaimer,129,2
110952018479601,Hassan Ahmed Nuur,These ads ran without a disclaimer,129,1
618018218634498,Hon. Man Stanley Kebenei,These ads ran without a disclaimer,129,1
107389714101152,Partnerships for Prosperity,These ads ran without a disclaimer,129,1
109471082424005,A.BlackTV,These ads ran without a disclaimer,129,1
100490169084007,Association of Catholic Mental Health Ministers,These ads ran without a disclaimer,129,3
116507950133715,Minister Nancy Mulela,These ads ran without a disclaimer,129,1
109575308538291,Dakitari Magongo,These ads ran without a disclaimer,129,2
327579633752493,McOdede Rachilo Ndonga,These ads ran without a disclaimer,129,1
190437738331367,Bus Radio Kajiado,These ads ran without a disclaimer,129,1
359136647518228,Life at Meta,These ads ran without a disclaimer,129,2
189232005248268,CTG,These ads ran without a disclaimer,129,20
241599102365830,Blessed Love Christian Assemblies,These ads ran without a disclaimer,129,1
101280375535044,africana_____,These ads ran without a disclaimer,129,2
100196989145903,Poppo South Asia,These ads ran without a disclaimer,129,1
183157628381815,MK Flav Video,These ads ran without a disclaimer,129,1
110430194483008,CMCMN - Church Ministers Children and Ministers Network,These ads ran without a disclaimer,129,2
106524835147331,Marshall Brown Photography,These ads ran without a disclaimer,129,1
102454687807723,Sofanovel,These ads ran without a disclaimer,129,2
142288373333,HIMSS,These ads ran without a disclaimer,129,6
495005914203576,Darusalam Hospital,These ads ran without a disclaimer,129,1
402685743676956,E-Volve Energy,These ads ran without a disclaimer,129,1
229673247503143,Ministère de l'intégration Régionale de la RDC,These ads ran without a disclaimer,129,1
293012104240049,About Her Culture,These ads ran without a disclaimer,129,2
103209205066127,Francis Koina,These ads ran without a disclaimer,129,1
100322912233358,Arizona Solar Network,These ads ran without a disclaimer,129,1
520105574741504,Lenstech Opticians,These ads ran without a disclaimer,129,1
290323924814214,The Athletic,These ads ran without a disclaimer,129,1
100773417974114,Heavy Brand Podcast,These ads ran without a disclaimer,129,1
104758216233716,Management Sciences for Health,These ads ran without a disclaimer,129,1
169825779558561,Equal Zimbabwe,These ads ran without a disclaimer,129,1
1506019676392068,Hon. Richard Tong'i,These ads ran without a disclaimer,129,1
103676355554445,RJW Foundation,These ads ran without a disclaimer,129,1
102927391782591,Bummhi,These ads ran without a disclaimer,129,1
497831090239525,New Faces New Voices - Kenya,These ads ran without a disclaimer,129,1
371862532868033,Anomali,These ads ran without a disclaimer,129,1
105268685019332,사마리안퍼스 코리아,These ads ran without a disclaimer,129,2
227685140900187,Spring Strategies,These ads ran without a disclaimer,129,1
220935294654186,DIY.org - The Social Learning App For Kids,These ads ran without a disclaimer,129,4
374629732603175,Chef Ali Mandhry,These ads ran without a disclaimer,129,1
108803548201359,Ceeryaamo TV,These ads ran without a disclaimer,129,1
109591138025367,Hustler Nation - UDA- Uganda Chapter,These ads ran without a disclaimer,129,1
163188553553573,Brotherhood Illuminati world,These ads ran without a disclaimer,129,1
1740336349557186,Colby Jeffers,These ads ran without a disclaimer,129,3
149326404934872,Hon Naaman Rop,These ads ran without a disclaimer,129,1
181084318568545,Runta News,These ads ran without a disclaimer,129,2
489584751169431,The Entertainment Governor,These ads ran without a disclaimer,129,1
110064887919554,Good Health By Yourself,These ads ran without a disclaimer,129,2
104862205724681,chix.who.fix,These ads ran without a disclaimer,129,1
117611754686157,Sixty 4 Tribes Press,These ads ran without a disclaimer,129,1
104329658882074,Let's help Ukraine,These ads ran without a disclaimer,129,1
1934271833468173,Noel Khan Gondi - Kijana Wa Mtaa Nairobi West,These ads ran without a disclaimer,129,2
105037218014191,Moallim Shaacir primary and secondary school,These ads ran without a disclaimer,129,1
535503280269676,Xinhua Culture&Travel,These ads ran without a disclaimer,129,2
101930448889523,Ciara Tavares,These ads ran without a disclaimer,129,1
112320437567105,naija_zxne,These ads ran without a disclaimer,129,1
106082817892313,mz_akua_,These ads ran without a disclaimer,129,1
103792984962717,Brilliant Minds Collective,These ads ran without a disclaimer,129,1
110793718040483,Guidance Tower Club,These ads ran without a disclaimer,129,1
210007365537927,Al Jazeera Business Partners,These ads ran without a disclaimer,129,1
638820659597919,Foire de Canton,These ads ran without a disclaimer,129,5
241954343137711,B-Lwendo,These ads ran without a disclaimer,129,1
540586872792397,The Jerusalem Post - Christian World,These ads ran without a disclaimer,129,2
12937187033,SABIS Educational Services,These ads ran without a disclaimer,129,1
295326267645981,The Kenya Times,These ads ran without a disclaimer,129,1
131180680396417,Global Press Journal,These ads ran without a disclaimer,129,1
290420461092357,FBS Analytics,These ads ran without a disclaimer,129,4
2093657030892194,GH The Artist,These ads ran without a disclaimer,129,1
168355243861329,Voices of Community Action & Leadership - VOCAL-Ke,These ads ran without a disclaimer,129,1
0,Instagram User 4143201235,These ads ran without a disclaimer,129,1
399053750181330,Karl Schmid,These ads ran without a disclaimer,129,1
109087065337324,Alhuriya Media,These ads ran without a disclaimer,129,1
0,Instagram User 5576405501,These ads ran without a disclaimer,129,1
113813481747390,TD_BN_Find u more pleasure,These ads ran without a disclaimer,129,1
960209950794589,Mayor Tenna,These ads ran without a disclaimer,129,1
107758308389338,_dmlawrence,These ads ran without a disclaimer,129,1
101646339477283,avarlone_viplounge,These ads ran without a disclaimer,129,1
370242830476218,Stories From A Kenyan Village.,These ads ran without a disclaimer,129,1
102810102487619,Sarah Jones,These ads ran without a disclaimer,129,1
1062587583760015,TerraGenesis,These ads ran without a disclaimer,129,1
102634248135638,Super Roman,These ads ran without a disclaimer,129,3
273089522819834,24Media,These ads ran without a disclaimer,129,16
105064845275272,Share_M113_x11,These ads ran without a disclaimer,128,2
111145811386734,Agunda.a,These ads ran without a disclaimer,127,1
115728894910552,Eric Kim,These ads ran without a disclaimer,127,3
194953000528458,Global Campus of Human Rights,These ads ran without a disclaimer,127,8
112998718281728,Hetanza Lesurano Diaz,These ads ran without a disclaimer,127,1
279024225931607,Felix Koskei,These ads ran without a disclaimer,127,5
107697478280023,Partrick Bii,These ads ran without a disclaimer,127,2
105395411843392,Hon. Edward Wekesa  - Okhwalupao,These ads ran without a disclaimer,127,1
206872319185813,Ithe Wa CK,These ads ran without a disclaimer,127,1
171395182950435,World Future Energy Summit,These ads ran without a disclaimer,126,6
106404915608215,Keysharacel Sidi,These ads ran without a disclaimer,126,1
1471879572874797,Alice Lisa,These ads ran without a disclaimer,126,2
104127791882475,healthxafrica,These ads ran without a disclaimer,126,1
113012827274421,Minister Tony Baraka,These ads ran without a disclaimer,125,2
106774262284810,Ks Joseph,These ads ran without a disclaimer,125,1
102421505516430,Minister EJ Bolden,These ads ran without a disclaimer,125,1
124252504303223,UNICEF (FR),UNICEF,125,43
499423053599032,Njung'a Mwendani Franklin Njiru,These ads ran without a disclaimer,125,1
429009974099356,Hiphopgamer,These ads ran without a disclaimer,125,2
277557227386129,Rhoda Robi Nchagwa,These ads ran without a disclaimer,125,1
319856522234605,Githiomi Mwangi,These ads ran without a disclaimer,125,3
102351916110873,Paul Kagia,These ads ran without a disclaimer,125,3
188084079784,Action Network for the Disabled,These ads ran without a disclaimer,124,1
111595864923192,Aasi Tahir Siddique,These ads ran without a disclaimer,124,9
109357411539727,Nten’s,These ads ran without a disclaimer,124,1
100494059437489,Njuguna Ngugi,These ads ran without a disclaimer,124,1
101427725611072,Minister Jeremy Mwangi,These ads ran without a disclaimer,124,1
105959137784853,Team Aleks,These ads ran without a disclaimer,123,4
114968413612751,"Zhejiang YouLian Machinery Manufacturing Co, Ltd.",These ads ran without a disclaimer,123,2
162618601346910,Visit Kisumu,These ads ran without a disclaimer,123,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,123,53
64982236830,Alumni Association of the University of Michigan,These ads ran without a disclaimer,123,2
100119972767683,Aircraft Lover,These ads ran without a disclaimer,122,2
107150045093978,Jerry Lubala,These ads ran without a disclaimer,122,1
103429118955699,travelwithmaina,These ads ran without a disclaimer,122,8
142780932502737,Helpmum,These ads ran without a disclaimer,122,1
110116503870357,Samson N - Hustler,These ads ran without a disclaimer,122,1
110292970706370,Minister Harriet Blessing,These ads ran without a disclaimer,121,2
0,Instagram User 7021435999,These ads ran without a disclaimer,121,1
108399258983851,Gatanga Duke,These ads ran without a disclaimer,121,2
105846222559421,Governor WA Kamau,These ads ran without a disclaimer,121,4
217779054756886,Youth New Sudan,These ads ran without a disclaimer,121,3
2221499791511001,Amit Chachan,These ads ran without a disclaimer,121,1
1423874047861756,European Union in Kenya,These ads ran without a disclaimer,120,1
103946392094061,Hon. RHODA PULEI-tumah,These ads ran without a disclaimer,120,1
107274351735734,Tiba asili,These ads ran without a disclaimer,120,1
103465465114439,Streaming Asia,These ads ran without a disclaimer,120,5
5647744585,PETA (People for the Ethical Treatment of Animals),These ads ran without a disclaimer,120,1
108777588558733,RIGGY G,These ads ran without a disclaimer,120,1
860574404093479,TRT World Citizen,These ads ran without a disclaimer,119,10
112204658447734,Ca Ro Le Hess,These ads ran without a disclaimer,119,1
211454462257570,International Hockey Federation (FIH),These ads ran without a disclaimer,119,5
111702948080616,4CastDesigns,These ads ran without a disclaimer,119,1
206104336662749,ThreeKingdomsOverlord,These ads ran without a disclaimer,119,2
116168214405184,itekayouthorganization,These ads ran without a disclaimer,119,2
106712158638220,Cyprus Park,These ads ran without a disclaimer,119,1
634019847239399,Mhandisi Karimi,These ads ran without a disclaimer,118,1
421600531598023,Jackson Ojung'a,These ads ran without a disclaimer,118,1
584228022224839,Ruiru wa Ruiru,These ads ran without a disclaimer,118,1
111414411531261,Hon Kinyanjui David,These ads ran without a disclaimer,118,1
220928768239537,Dr. Stanley Karanja,These ads ran without a disclaimer,118,3
110250768050959,IMPT - The Impact Project,These ads ran without a disclaimer,117,7
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,117,3
182715339997244,v.avalonhenry,These ads ran without a disclaimer,117,3
167203077108732,Brian Matu,These ads ran without a disclaimer,117,2
100951056180705,My Sustainable Classroom,These ads ran without a disclaimer,117,1
104929958882674,Liberty_Tours_Ke,These ads ran without a disclaimer,117,1
1661967977437797,Fred  Kiptum Kosgei,These ads ran without a disclaimer,116,6
39759254594,Earth Journalism Network,These ads ran without a disclaimer,116,2
102644272171599,Centre for Occupational Skills,These ads ran without a disclaimer,116,1
106073418368731,Antony Nyutu Chege,These ads ran without a disclaimer,115,1
107341515561861,Tamah Mboya John,These ads ran without a disclaimer,115,2
1580082582270698,General Auditing Commission,These ads ran without a disclaimer,115,3
127029937309236,Governors Camp Collection,These ads ran without a disclaimer,115,1
135156639833927,United Nations OCHA,These ads ran without a disclaimer,115,4
161445577201388,Power Of Africa,These ads ran without a disclaimer,115,1
7619396355,David Guetta,These ads ran without a disclaimer,115,1
109693058600633,Education News Newspaper,These ads ran without a disclaimer,114,3
1217240501663117,Hon. Sammy Owino,These ads ran without a disclaimer,114,1
130589482056290,She Evolution,These ads ran without a disclaimer,114,14
0,Instagram User 8313893750,These ads ran without a disclaimer,114,46
2061641054136507,Shanti Radio,These ads ran without a disclaimer,114,2
114598758399728,Dua na Visomo,These ads ran without a disclaimer,114,1
21474437688,Deloitte,These ads ran without a disclaimer,114,4
156409912584,Marcus Gill,These ads ran without a disclaimer,114,1
591522804223183,Faith to Action Network,These ads ran without a disclaimer,113,1
104692021987583,Legenday Mothogia,These ads ran without a disclaimer,113,1
1564735013803857,Institute of Certified Investment and Financial Analysts,These ads ran without a disclaimer,113,1
104663342305630,Hon Malyun Abdi Farah,These ads ran without a disclaimer,112,1
295456834491355,Gilbert Baker Foundation,These ads ran without a disclaimer,112,1
1492939347703469,MediaTek,These ads ran without a disclaimer,112,3
1469752156670918,Youth China,These ads ran without a disclaimer,112,1
2295758254086017,Nairobi copier machines solutions,These ads ran without a disclaimer,112,1
172399810022905,Rick Artss,These ads ran without a disclaimer,111,1
205687592632487,Mega Millions - Suggested Sequence,These ads ran without a disclaimer,111,2
457989087617669,Action for Dolphins,These ads ran without a disclaimer,111,2
597824227089840,"Never lose your vote, Lari constituency,",These ads ran without a disclaimer,111,1
167941813847159,RedaWrites,These ads ran without a disclaimer,111,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,111,66
106615745485833,Crime News Online,These ads ran without a disclaimer,111,2
107823491099101,01_jay_kayy_nottz,These ads ran without a disclaimer,111,1
106876588904556,Stanley Mwangi Wairimu,These ads ran without a disclaimer,111,1
108510754092365,Hon. Simon Omukhulu -For MP Butere 2022,Michael Omollo,110,1
399701487308709,Baringo Daily News,These ads ran without a disclaimer,110,1
369402276875499,Binance Global Türkçe,These ads ran without a disclaimer,110,1
376005579397367,Kennedy Momanyi Ombati Kenmo,These ads ran without a disclaimer,110,1
1642929092406128,Knowable Magazine,These ads ran without a disclaimer,110,6
100823192690476,Jennifer Davis,These ads ran without a disclaimer,109,1
114137767434092,Hon. Charles Mogaka,These ads ran without a disclaimer,109,1
104719198079090,Marcial Greenflower talk show,These ads ran without a disclaimer,109,1
223287104715778,Oxfam,These ads ran without a disclaimer,109,60
207268042645317,Macquarie Group,These ads ran without a disclaimer,108,6
101044428246530,WOMEN Movement 2022 -DR.William  Ruto,These ads ran without a disclaimer,108,1
110678140757369,Baisheng Laser.,These ads ran without a disclaimer,108,1
174156849125002,Piggy Cryptocurrency,These ads ran without a disclaimer,108,1
152604591277625,PDF WORLD,These ads ran without a disclaimer,108,2
310943025606302,World Cancer Day,These ads ran without a disclaimer,107,8
108398099241530,Chaminuka Wildlife Estates,These ads ran without a disclaimer,107,1
166466977288436,Raph Robert,These ads ran without a disclaimer,107,1
817872015062499,Men End FGM Foundation,These ads ran without a disclaimer,107,1
415763848519993,Babu Owino,These ads ran without a disclaimer,107,1
1286486861452393,Asia World Model United Nations,These ads ran without a disclaimer,106,7
2552060571686733,Novakid Polska,These ads ran without a disclaimer,106,2
531473780365527,Wakeupeverybody242,These ads ran without a disclaimer,106,6
112117403541733,Bobbys Workshop,These ads ran without a disclaimer,106,1
11918108948,African Wildlife Foundation,These ads ran without a disclaimer,106,2
108530227589258,Aliya Darman,These ads ran without a disclaimer,106,1
105972509425490,KADIST,These ads ran without a disclaimer,106,7
1824081084585816,Raila Action Team,These ads ran without a disclaimer,106,2
113205131621824,WorldOrder.News,These ads ran without a disclaimer,106,63
105234964664893,Evercare Group,These ads ran without a disclaimer,105,2
102058702561189,H. E Hon Francis Mwangangi,These ads ran without a disclaimer,105,1
0,Instagram User 1744633366,These ads ran without a disclaimer,105,1
100137306338636,Faith Gee's Motorshop,These ads ran without a disclaimer,105,1
6756153498,Mike Bloomberg,These ads ran without a disclaimer,105,4
114421134980747,Reka Lewis VA,These ads ran without a disclaimer,105,1
100913764805769,Monicah The Realtor,These ads ran without a disclaimer,104,1
103468501590488,The Correctness,These ads ran without a disclaimer,103,3
577587972387534,Uchoraji Company Limited (UCL).,These ads ran without a disclaimer,103,2
109562720823279,CGTN Sports Scene,These ads ran without a disclaimer,103,5
104001605965893,Historical Wear,These ads ran without a disclaimer,103,1
106162264967935,Coinmarketpedia,These ads ran without a disclaimer,103,3
219865844536098,Dr nyuki,These ads ran without a disclaimer,103,1
503099133115374,Good News Unlimited,These ads ran without a disclaimer,102,3
619390238429864,Hon. Florence Bore,These ads ran without a disclaimer,102,1
100573062970407,Cate Gitau,These ads ran without a disclaimer,102,1
215934875104100,Jotun Group,These ads ran without a disclaimer,102,1
111953394837207,UDA Youth Crusader - Kenya Kwanza,These ads ran without a disclaimer,101,1
108584305558738,Kobieroh Evans,These ads ran without a disclaimer,101,1
257011254436236,Dr. Chitayi Murabula,These ads ran without a disclaimer,101,2
390607808067941,Fondation Botnar,These ads ran without a disclaimer,101,2
102634492137332,Destiny Encounter Ministries,These ads ran without a disclaimer,101,2
102040279188611,Support Ukrainians WW,These ads ran without a disclaimer,101,3
113354736763208,Shari Arison - שרי אריסון,These ads ran without a disclaimer,101,5
122724759129541,Veganuary Deutschland,These ads ran without a disclaimer,≤100,6
2227025810904040,Mutai Mtandao,These ads ran without a disclaimer,≤100,1
111809580189138,women_for_women_alliance,These ads ran without a disclaimer,≤100,1
112575481651277,Araap Yego,These ads ran without a disclaimer,≤100,2
102359728203658,The Great Man.,These ads ran without a disclaimer,≤100,1
175851405831761,StreetNet,These ads ran without a disclaimer,≤100,1
100466865366159,Emmanuel Chelugui Melly,These ads ran without a disclaimer,≤100,3
363343250416029,Sain Medicaments Pvt. Ltd,These ads ran without a disclaimer,≤100,1
106643130869972,Collins Mukhongo,These ads ran without a disclaimer,≤100,1
246395959363931,Nailantei Kenga,These ads ran without a disclaimer,≤100,1
189933254372058,Nallah B. Beauty Artist,These ads ran without a disclaimer,≤100,1
114323173655390,Digitech MEDIA,These ads ran without a disclaimer,≤100,1
317108834816461,makomele,These ads ran without a disclaimer,≤100,2
2118367421525464,ZEE5,These ads ran without a disclaimer,≤100,1
109233568659267,Rodgers Mayero,These ads ran without a disclaimer,≤100,1
115387276515304,Capital Car dealer,These ads ran without a disclaimer,≤100,1
114070071638993,bloody.heroes_,These ads ran without a disclaimer,≤100,1
541037595922979,World Climate Foundation,These ads ran without a disclaimer,≤100,4
111242811904287,Empower African Child,These ads ran without a disclaimer,≤100,1
105496271820209,Josphat Sonko,These ads ran without a disclaimer,≤100,1
140935555780161,Ben Mariel Mosoti,These ads ran without a disclaimer,≤100,1
116297088076487,therealafricandiary,These ads ran without a disclaimer,≤100,3
241979543726016,Boulivard Omarion,These ads ran without a disclaimer,≤100,3
176831427354404,Kheyr iyo wanaag,These ads ran without a disclaimer,≤100,3
301968603152459,Xylem,These ads ran without a disclaimer,≤100,3
108587315372676,Elevate Chapel KE,These ads ran without a disclaimer,≤100,1
562471887119419,DHL Africa,These ads ran without a disclaimer,≤100,23
102203941760990,The Purpose Collective,These ads ran without a disclaimer,≤100,1
283655778164116,chrismark047,These ads ran without a disclaimer,≤100,1
103273949425631,Hon Wyclliff Siocha,These ads ran without a disclaimer,≤100,2
110428748083535,Fleming College Toronto,These ads ran without a disclaimer,≤100,2
717593308399703,The Government Machine,These ads ran without a disclaimer,≤100,1
1439753332970369,Humber International Development Institute,These ads ran without a disclaimer,≤100,1
111792560590009,4humanstory,These ads ran without a disclaimer,≤100,1
115906676910192,Dj Louderhouse,These ads ran without a disclaimer,≤100,1
324253041382779,Xavier Cormier,These ads ran without a disclaimer,≤100,3
145345819464433,Plantamillion,These ads ran without a disclaimer,≤100,1
118303650076919,Liberty For LGBTQ,These ads ran without a disclaimer,≤100,12
100921901983553,BUE - N -ovela,These ads ran without a disclaimer,≤100,2
1018235241721050,Hustlers BNN,These ads ran without a disclaimer,≤100,1
103015614938329,Prince David,These ads ran without a disclaimer,≤100,4
484917995035641,"Dtr Owiti Owayo,FDR",These ads ran without a disclaimer,≤100,2
1591433164421320,Beco,These ads ran without a disclaimer,≤100,1
482849415430444,አዲስ አበቤ,These ads ran without a disclaimer,≤100,1
2327667407514858,ALPLA Group,These ads ran without a disclaimer,≤100,1
115567558113891,Peter Wanyama,These ads ran without a disclaimer,≤100,4
109200295078532,Latter-day Saints News Hub,These ads ran without a disclaimer,≤100,3
107180652225807,Abdelkhadar Curaarte,These ads ran without a disclaimer,≤100,2
111191707884062,Joho ali,These ads ran without a disclaimer,≤100,11
109760064978390,Kiwanis Connects,These ads ran without a disclaimer,≤100,2
1445330112387366,Weekly Citizen Newspaper,These ads ran without a disclaimer,≤100,2
102953552238819,Gabriel Kipyegon,These ads ran without a disclaimer,≤100,1
198722273488352,The World's 50 Best Restaurants,These ads ran without a disclaimer,≤100,2
342357970189541,World Tv,These ads ran without a disclaimer,≤100,1
2205397459513763,Kuri,These ads ran without a disclaimer,≤100,1
216650141692498,DEIDO BOY MAGAZINE,These ads ran without a disclaimer,≤100,13
143526063019266,Wandifa Sanneh,These ads ran without a disclaimer,≤100,1
462308447292691,Christ Hope of Glory Ministry.,These ads ran without a disclaimer,≤100,1
222801630909735,Echoes Of Palestine,These ads ran without a disclaimer,≤100,48
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,8
156282627737148,Rachel Rodgers,These ads ran without a disclaimer,≤100,6
102651488955596,Rainbows Today,These ads ran without a disclaimer,≤100,8
2050906864936968,Mining Activities,These ads ran without a disclaimer,≤100,4
423519241069092,Rural 21 - The International Journal for Rural Development,These ads ran without a disclaimer,≤100,2
102483239208580,AHMED IMAN,These ads ran without a disclaimer,≤100,1
109375082451665,SciDev.Net,These ads ran without a disclaimer,≤100,2
111829092211956,CNBC Africa,These ads ran without a disclaimer,≤100,3
102089678252706,Rotary Club for Global Action,These ads ran without a disclaimer,≤100,1
114450390198936,The Black Wall Street,These ads ran without a disclaimer,≤100,2
109741327883412,Mumbi wa Gatheca,These ads ran without a disclaimer,≤100,1
112590486990961,T more caps Ke,These ads ran without a disclaimer,≤100,1
1683103325272755,Rasta Revolution,These ads ran without a disclaimer,≤100,1
182780685729981,Raila Odinga 2022,These ads ran without a disclaimer,≤100,8
109662488246997,Explore Haikou,These ads ran without a disclaimer,≤100,5
106862188248613,World Laureates Forum,These ads ran without a disclaimer,≤100,6
182552058427726,IRC International Water and Sanitation Centre,These ads ran without a disclaimer,≤100,1
176750402731715,Elman Globe,These ads ran without a disclaimer,≤100,2
343817256222320,Social Justice M-Plan,These ads ran without a disclaimer,≤100,3
93101313918,The Good Men Project,These ads ran without a disclaimer,≤100,2
101095043361,Americans United for Life,These ads ran without a disclaimer,≤100,9
258357757657262,Thermo Fisher Scientific,These ads ran without a disclaimer,≤100,1
153336941456515,Ghafla Kenya,These ads ran without a disclaimer,≤100,2
111221727268840,Uzalendo News,These ads ran without a disclaimer,≤100,1
108116868808775,Racheal Chege,These ads ran without a disclaimer,≤100,1
109782391741485,Hon shadrack bett,These ads ran without a disclaimer,≤100,1
177515892891362,José Iván  Herrera Villagómez,These ads ran without a disclaimer,≤100,4
358481724165689,UTS International Students,These ads ran without a disclaimer,≤100,1
706061016415258,Organic & Natural Expo Dubai,These ads ran without a disclaimer,≤100,2
118340351226492,millionaire_paradigms,These ads ran without a disclaimer,≤100,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,3
325482297920191,Filipcoin,These ads ran without a disclaimer,≤100,1
104249898965607,Worldwide opportunities 2022,These ads ran without a disclaimer,≤100,1
109522291470320,Zivik Funding Programme,These ads ran without a disclaimer,≤100,2
101870002163027,Lulu Chat,These ads ran without a disclaimer,≤100,1
884251801724621,EMS Foundation,These ads ran without a disclaimer,≤100,1
106497154172342,China Huaneng Group,These ads ran without a disclaimer,≤100,5
1241242252683425,Rwanda National Association of Deaf women (RNADW),These ads ran without a disclaimer,≤100,1
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,≤100,5
397180121047871,H.E Wairimu Faith,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,10
145643245456953,Jack Hibbs,These ads ran without a disclaimer,≤100,3
232618967558718,Bloomberg New Economy,These ads ran without a disclaimer,≤100,1
2610140028997323,Uniathena,These ads ran without a disclaimer,≤100,7
103679225624797,Achment Gonim,These ads ran without a disclaimer,≤100,1
108814448702364,Skeeter Kwamboka 047,These ads ran without a disclaimer,≤100,1
0,Instagram User 103007161,These ads ran without a disclaimer,≤100,1
104235449092488,Aircraft Secrets,These ads ran without a disclaimer,≤100,1
107734330825841,JIL Graphics,These ads ran without a disclaimer,≤100,1
109313280835246,JS Gagnon,These ads ran without a disclaimer,≤100,1
102408959066915,Mikail KE,These ads ran without a disclaimer,≤100,1
106913571283223,DJ Sharpcut,These ads ran without a disclaimer,≤100,5
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100,22
100605829561214,BRAC International,These ads ran without a disclaimer,≤100,1
149347585097059,Down to Earth,These ads ran without a disclaimer,≤100,1
162258483637739,Augustus Kyalo Muli,These ads ran without a disclaimer,≤100,1
106387005228690,HON CHRIS Mtumishi,These ads ran without a disclaimer,≤100,1
109930158147012,"Nathan Kuria ""ka wanjiku "" Township MCA 2022",These ads ran without a disclaimer,≤100,1
100479411618465,Orato,These ads ran without a disclaimer,≤100,3
1579979498952205,Better Shelter,These ads ran without a disclaimer,≤100,5
107339455413597,The Crime Story,These ads ran without a disclaimer,≤100,2
621558921559052,Risk & Insurance,These ads ran without a disclaimer,≤100,1
105618258917544,Military Power,These ads ran without a disclaimer,≤100,1
108445508280517,HON STEPHEN NGIGI,These ads ran without a disclaimer,≤100,3
382703645429478,Delik Home,These ads ran without a disclaimer,≤100,1
105485102349794,Chairman,These ads ran without a disclaimer,≤100,1
178412635355345,Oirere Charles,These ads ran without a disclaimer,≤100,1
106086844793790,Restor.eco,These ads ran without a disclaimer,≤100,2
271800096711434,Business Elites Africa,These ads ran without a disclaimer,≤100,1
109888318260179,Kevin Wabwire,Kevin Wabwire,≤100,1
106955107903290,Система  акселерации бизнеса,These ads ran without a disclaimer,≤100,20
0,Instagram User 7671111806,These ads ran without a disclaimer,≤100,1
108091988358295,Travels All Abroad,These ads ran without a disclaimer,≤100,21
100682045910822,Prophetess Sylvia Sumba,These ads ran without a disclaimer,≤100,2
383724472248685,Water Flow Africa,These ads ran without a disclaimer,≤100,2
200994316430991,Rindikiri Mugambi Murwithania,These ads ran without a disclaimer,≤100,1
0,Instagram User 8367093174,These ads ran without a disclaimer,≤100,1
108636267940137,Motonews.co.ke,These ads ran without a disclaimer,≤100,1
109006062775474,ملتقى الحوار FDHRD,These ads ran without a disclaimer,≤100,1
