Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,39468,3
639133506227201,"Hon.Dr. John Kanyuithia Mutunga, MP Tigania West",Mwiti Jason Kimathi,39409,18
508387362701036,Hon.Gabriel Kago Mukuha - MP.,Lilian Wanji \ku Githiora,39130,61
788477174582031,Africa CDC,These ads ran without a disclaimer,38768,1
230834147675510,LabXchange,These ads ran without a disclaimer,38682,1
1727289200726711,Search for Common Ground Kenya,Dominick Mwambui,38352,6
109551484807730,Kimathi Mwiti Kanyamu,Kevin Kimathi Mwiti Kanyamu,37724,33
248986568895243,Speechify,These ads ran without a disclaimer,37609,6
100789633316082,Francis Gaitho,Francis Gaitho 2022,37379,42
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,37022,211
103408652150397,Hon. Mohamed Soud Machele,Hon. Mohamed Soud Machele,36941,41
100321965888531,Mrembo na Kazi,Samuel Mwangi,35812,160
259206347427997,Suleiman Shahbal,Suleiman Shahbal Team,35640,26
105758141896010,Senator Ngugi IG,Peris Wambui Mugi,35551,9
105281881984018,Green Thinking Action Party,GREEN THINKING ACTION PARTY,33912,28
101101238772602,Joel Mutuma Buria,Edward Buria,33537,5
227862171115022,Better4Kenya,W.R.T.H.C LLC (hive),33509,20
1852572528349439,Parrot Times,Siyad Hussien,32254,81
101460842681784,TRT Afrika,These ads ran without a disclaimer,32235,4
109943154975037,Michael M. Mutuku,Michael Mutuku,32199,33
113396131374730,Rosemary Kirika,These ads ran without a disclaimer,31799,12
428157337550611,ICMM,These ads ran without a disclaimer,31696,13
109939504179793,Hon. Esther Nyambura Gathogo,Esther Nyambura Gathogo,31290,10
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,31027,16
749501791796416,Hon. Njeri Maina,Jane Njeri Maina,30972,24
193741910669536,Basco Paints,These ads ran without a disclaimer,30968,1
111574468186197,MwelekeoMpya2022KilomeConstituency,John Mutinda Mutiso,30711,50
271153896328530,Investing.com,These ads ran without a disclaimer,30581,2
108623722299106,Dr. Raymond Omollo,Dr. Raymond Omollo,30548,32
108703681766380,Coletta Aluda,Robert Waswa Simiyu,30020,19
1400771023469241,Anne Waiguru,Anne Waiguru,29552,32
104407102574448,Wiseman Opinion,Wiseman Opinion,29062,135
227862171115022,Better4Kenya,hive,29000,15
780365355477607,Kenya Muslim Youth Alliance,Kenya Muslim Youth Alliance,28958,11
103450662408788,Marafiki wa Joshua Irungu,Reuben Kamuri Ngatia,28856,19
6013004059,The Economist,These ads ran without a disclaimer,28191,65
111999833837596,Hon Ali Menza Mbogo,Ali Menza Mbogo,27593,35
111315474678155,Wakili Lawrence Karanja CAS,Anthony Njoroge Muiruri,26667,26
1621692424754301,Minderoo Foundation,These ads ran without a disclaimer,26209,6
127187187348820,Kaspersky,These ads ran without a disclaimer,26113,5
1762800717079250,Shujaaz Biz,These ads ran without a disclaimer,25680,1
104261625396362,Governor Mwende Gatabaki,These ads ran without a disclaimer,25615,14
8304333127,The Wall Street Journal,These ads ran without a disclaimer,25336,2
104327128371305,"Kura Yako, Sauti Yako","Kura Yako, Sauti Yako!",25129,15
108703681766380,Coletta Aluda,Coletta Aluda,24713,13
100695942472030,Hon. Faith Mwaura,Moses Gathua Miricho,24620,131
1951777555043856,Wandeto Wachira - MP Embakasi North,Communist Party of Kenya,24500,24
110665648102420,Team Waiguru Kenya,Rita Rael Akinyi Oyier,24223,4
402920089911866,Gideon K. Moi,Cornelius Ronoh,23773,43
111921338065750,Gatundu North Constituency,These ads ran without a disclaimer,23752,1
706847342715000,Promote to jkt48 indonesia,These ads ran without a disclaimer,23510,1
107614745778711,Faith Odhiambo,Odhiambo Foundation,23085,13
106749345174435,Phoenix-Nova,These ads ran without a disclaimer,22995,4
380578592134891,Siasa Place,Siasa Place,22928,11
749501791796416,Hon. Njeri Maina,Hon. Wakili Njeri Maina,22919,5
100835685957727,PRO PEACE KENYA,Trance Marketing Hub Ltd,22914,18
1430679300564150,Hon. Simon mbugua EALA,These ads ran without a disclaimer,22910,4
910382382340303,CHEGE FRESH,Charles Chege Fresh Campaign Secretariat,22395,9
825625434451307,Hon Gideon Mwiti Irea,Gideon Mwiti Irea,22135,13
102324481269298,Hon. Zamzam Mohammed,These ads ran without a disclaimer,21896,57
344924819231181,"Hon. Rahab Mukami, Nyeri County Women Rep",Rahab Mukami Wachira,21368,13
287683225711,UN Environment Programme,These ads ran without a disclaimer,21358,6
690616741050111,Hon Samuel Mwangi,Samuel Mwangi,21321,35
100126129326486,MSD for Mothers,These ads ran without a disclaimer,20639,4
158714780827513,UNFPA,These ads ran without a disclaimer,20348,279
520055338020280,Tractors PK,These ads ran without a disclaimer,20338,2
1931058397203278,Wakili Boniface Nyamu,These ads ran without a disclaimer,20298,4
1798435720478073,新華香港,These ads ran without a disclaimer,20041,8
102093685620627,Best Diplomats,These ads ran without a disclaimer,19463,1
107221685157526,Makali Munyasi Peter-MP Webuye West 2022,Lorna Wanja,19277,133
101238102415174,Hon. Kenneth Nyamwamu,These ads ran without a disclaimer,19226,2
109569851311304,Wakili Shukran Mwabonje,Alex Shukran Mwabonje,19186,34
1399416513547022,Opera News Kenya,These ads ran without a disclaimer,18686,7
1692208237695305,Button Badges,George Kingori Warui,18359,20
104371402077445,Doctor Wanga Magere 0740156414,These ads ran without a disclaimer,18188,1
750948268577774,The County,Peris Wambui Mugi,17679,16
1775434109359189,Ogutu TV.,Bonface Ouma Ogutu,17584,26
305997703070856,Churchill Odhiambo JM,Churchill Odhiambo JM,17429,169
193394557345243,Devex,These ads ran without a disclaimer,17331,43
104407195505550,"Atiff Khalid Mca Ngara Ward, 2022",Atiff Ibrahim Khalid,17318,13
100835685957727,PRO PEACE KENYA,These ads ran without a disclaimer,17297,10
479285342097950,AeroTime,These ads ran without a disclaimer,17263,14
126052760507,Mama Cash,These ads ran without a disclaimer,17259,81
110791734488485,"Hon Jackline Karani Press Unit, Kisii County Woman Rep 2022",These ads ran without a disclaimer,17235,15
1794191833968562,"Hon Dr. Kabinga Wathayu, OGW, MP",Patrick Macharia Kaboi,17232,85
129963847045606,ELDORET TECHNICAL TRAINING INSTITUTE,These ads ran without a disclaimer,16774,4
111014094154862,"Hon John Kaguchia P.G, MP",These ads ran without a disclaimer,16633,4
101837288924546,Muslimi,These ads ran without a disclaimer,16630,89
597161724281166,Pastor Aiden,These ads ran without a disclaimer,16523,1
412238482219683,Kambaland,Kambaland,16460,77
106385691318175,Simon Gikuru,Bapmax Investments Limited,16258,12
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,16152,9
152785224793083,Hon. Peter Irungu Kihungi,Hon. Peter Irungu Kihungi,16060,57
142223592566477,Pride Traders,These ads ran without a disclaimer,15961,5
109365478130954,"Mwai Gachunga, Senator Nakuru county 2022",Boniface Mwai Gachunga,15902,57
895399983832281,JACOB GITAU,These ads ran without a disclaimer,15853,2
105728562826950,Atlantic International University,These ads ran without a disclaimer,15532,1
101703308411532,Brightstar Kasyoka,These ads ran without a disclaimer,15227,1
116243117357,National Union of Somali Journalists (NUSOJ),These ads ran without a disclaimer,15208,1
111551454887135,About Hon Halima Mucheke,Aisha Timmy,15202,44
178919602832246,National Prayer 2024,Daniel Wachira,14826,2
103211351965821,Abraham Maina Kironji,Abraham Maina,14678,41
415995101823427,SOAS University of London,These ads ran without a disclaimer,14646,7
356604691718481,Hon. Robow Hassan,Beytechinc Consultants,14584,13
109823334046268,Novels and Fiction Stories - G o o d  Novel,These ads ran without a disclaimer,14574,25
103408652150397,Hon. Mohamed Soud Machele,Social Hub,14434,31
100794818802419,Wairagu Wa Maai for Muranga County Governor 2022,Edwin Murage Wanjiru,14267,50
102826972150258,Hon. Mrembo Irene Njoki,Hon. Mrembo Irene Njoki,14015,57
164524410285253,GSMA,These ads ran without a disclaimer,13984,5
830015703781124,Arden University,These ads ran without a disclaimer,13942,32
100409241528099,Kenya Disability Parliamentary Association,Lenox Sudi Matumbufu,13928,4
105655325175635,Hon. Kanchori Daniel,Joshua Kipchumba,13909,27
253619085055869,Tesla Healthcare Supplies,Stanley Musyoki Kyungu,13836,2
107781421934954,Wonderful World,Political Marketers,13717,14
296052720256059,Hon. Muthoni Marubu,Hon. Muthoni Marubu,13709,35
103191991824303,Noor Abdirashid,These ads ran without a disclaimer,13672,7
1517088885216557,AIG,These ads ran without a disclaimer,13632,34
314533105291296,"KBC Radio Taifa, Sauti Ya Mkenya",These ads ran without a disclaimer,13455,2
103408652150397,Hon. Mohamed Soud Machele,Ibrahim Aziz Omar,13212,10
119405895873,Huawei,These ads ran without a disclaimer,12943,33
108870818150811,LGBTQ Kenya,These ads ran without a disclaimer,12902,1
325885259477,PASTOR W F KUMUYI,These ads ran without a disclaimer,12738,8
291756854207703,Joyce Emanikor,Joyce Emanikor,12736,8
105647461757849,Azimio Inawezekana Na Raila.,Bonface Ouma,12691,45
1868190850062310,"Alvan Kinyua, CGP",Peris Wambui Mugi,12628,26
108193200937896,Mungai Express,Paul Wacuka,12558,28
109619745005426,Pius Gumo For MP Endebess,Pius Gumo Omulo,12529,5
20373776304,WWF,These ads ran without a disclaimer,12441,7
1636412836384390,Hon Jayendra Malde,Jayendra Virchand Malde,12410,8
1743520282644325,National Security Watch,Peris Wambui Mugi,12392,23
604742389649107,Seekers Notes,These ads ran without a disclaimer,12387,1
107590771903833,Jonathan Gikabu,Jonathan Murangiri Gikabu,12317,10
110239744913426,Felicity Nkirote Biriri,These ads ran without a disclaimer,12120,9
776229239077555,BAPMAX,Bapmax Investments Limited,12072,9
407289156764172,City Cancer Challenge,These ads ran without a disclaimer,12054,14
111105677346268,Global Youth Leadership Center,These ads ran without a disclaimer,12000,3
157438094324143,The Nature Conservancy in Africa,These ads ran without a disclaimer,11903,25
1107443182702474,"Grab our country Kenya back,real people's president",These ads ran without a disclaimer,11871,3
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,11866,9
112557484430333,Soin Live Updates,These ads ran without a disclaimer,11734,18
102167311604224,Liz Kisyang'a for Machakos Women Rep 2022,These ads ran without a disclaimer,11613,2
108081735427280,Kwetu asili,These ads ran without a disclaimer,11613,3
100637425879986,Thuita Kuria,Joseph Thuita Kuria,11452,14
110210580798549,HON.Feleck Neondo Etemesi,Feleck Neondo Etemesi,11361,45
144393622272640,DW Kiswahili,These ads ran without a disclaimer,11336,4
296418477584762,Kamau Murango,Kamau Murango,11182,16
68793499001,UNICEF,UNICEF,11179,87
103781421861826,babanyukihealing,These ads ran without a disclaimer,11147,5
551019318585616,"Hon Hitan Majevdia OGW, EBS",These ads ran without a disclaimer,11141,5
270748680265302,Usawa Party,Peris Wambui Mugi,11000,1
1868190850062310,"Alvan Kinyua, CGP",These ads ran without a disclaimer,11000,2
102421118718541,Generation Africa,Matchbox Media,10978,7
489179047956298,Allwork.Space,These ads ran without a disclaimer,10954,15
107010781962455,Senator John Ochoti,John Onsomu Ochoti,10842,2
