Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
111361091313,NICABM,These ads ran without a disclaimer,≤100,9
1769843716586707,Caribbean Policy Development Centre - CPDC,These ads ran without a disclaimer,≤100,5
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,4
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,4
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,16
103119027899256,Caribbean Climate-Smart Accelerator,These ads ran without a disclaimer,≤100,2
115890592096050,C&W Business,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,24
109501631856985,Gencestyle,These ads ran without a disclaimer,≤100,2
1374826826104281,Sensibo,These ads ran without a disclaimer,≤100,4
111783969059,Tony Robbins,These ads ran without a disclaimer,≤100,1
1637307879891739,CARICOM.Energy,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,2
2552060571686733,Novakid Polska,These ads ran without a disclaimer,≤100,2
597859916903978,Nomad Africa Magazine,These ads ran without a disclaimer,≤100,1
475778355919914,BB - Best Bios,These ads ran without a disclaimer,≤100,1
106394965482360,Pedro Cardoso,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,7
114298743556792,3AM-Revelation 14:6-12,These ads ran without a disclaimer,≤100,1
589408861751444,UNEP International Environmental Technology Centre,These ads ran without a disclaimer,≤100,1
709430982419756,Thermo King Latinoamérica,These ads ran without a disclaimer,≤100,1
702918479750558,Conferencia Interamericana de Seguridad Social,These ads ran without a disclaimer,≤100,1
198398326957053,Shree Krishnayan Desi Gauraksha Avam Golokdham Sewa Samiti,These ads ran without a disclaimer,≤100,1
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100,5
106883638833589,El Cambio Posible,These ads ran without a disclaimer,≤100,2
105898939096628,Domani Media,These ads ran without a disclaimer,≤100,1
100044596562197,,These ads ran without a disclaimer,≤100,1
343731779325769,Pastor Tinu George,These ads ran without a disclaimer,≤100,1
20800882791,Break,These ads ran without a disclaimer,≤100,1
109984924166982,Money Smarts,These ads ran without a disclaimer,≤100,2
106321962111925,taboo_empower,These ads ran without a disclaimer,≤100,1
1590877284560136,Patti Harris,These ads ran without a disclaimer,≤100,3
105953807950158,Tiệm Nail Z,These ads ran without a disclaimer,≤100,1
112486717952649,Super Rich Tax,These ads ran without a disclaimer,≤100,2
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,3
108835291737711,Cord Stories,These ads ran without a disclaimer,≤100,1
102300279228311,MadeinChina,These ads ran without a disclaimer,≤100,1
171522852874952,Juventus,These ads ran without a disclaimer,≤100,1
127844267330383,Gastech Exhibition & Conference,These ads ran without a disclaimer,≤100,1
106423254910166,Le Docteur Aicha Yatabary,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,9
100277559413886,Music Legend Fan,These ads ran without a disclaimer,≤100,1
102737908598361,Corporación Educativa Interactiva,These ads ran without a disclaimer,≤100,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,5
341179012671163,Walter Spearheart,These ads ran without a disclaimer,≤100,1
100892779250460,Mis Reading,These ads ran without a disclaimer,≤100,1
110917371847867,Marisol Ortiz,These ads ran without a disclaimer,≤100,1
109926774968672,"Shenzhen Top-Peak Electronics Co.,Ltd.",These ads ran without a disclaimer,≤100,2
109197151930600,My Clean Energy,These ads ran without a disclaimer,≤100,1
105480725706202,Consejos de internet,These ads ran without a disclaimer,≤100,1
103454371495257,Mood Spike,These ads ran without a disclaimer,≤100,6
105022575846560,Magic1674-01,These ads ran without a disclaimer,≤100,1
107641855255868,Shovesolida,These ads ran without a disclaimer,≤100,3
290980968206977,GameDay News,These ads ran without a disclaimer,≤100,1
861734543866515,Teresa Galeano Psicóloga,These ads ran without a disclaimer,≤100,1
107096751429673,Animal Post,These ads ran without a disclaimer,≤100,1
104444729065513,Victoria Segovia,These ads ran without a disclaimer,≤100,3
101654825098809,Ecologie et Bienveillance,These ads ran without a disclaimer,≤100,1
105794328926903,Hypersonic Aircraft,These ads ran without a disclaimer,≤100,1
101113365989511,Do and Don't,These ads ran without a disclaimer,≤100,1
103045249292781,Funnies Now - Magazine Page 3,These ads ran without a disclaimer,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,2
100769392869544,Clearlove001,These ads ran without a disclaimer,≤100,1
795719297296041,Ined - Instituto Nacional de Educación Digital,These ads ran without a disclaimer,≤100,1
104069709032034,Sportzspace - Stories,These ads ran without a disclaimer,≤100,1
