Page ID,Page name,Disclaimer,Amount spent (PEN),Number of ads in Library
102251592774261,Coalición Ciudadana,Coalición Ciudadana,14996,15
109789794548552,Juan Matzumura,Frank Antonio Flores Quiñonez,14973,69
100386664728880,Ernesto Zunini,AUGE GROUPCORPORATION SAC,14900,10
351653851127,Nano Guerra,Nano Guerra,14848,15
112157601615877,Cecilia Chacón - San Borja,Wendy Cesarela Ruiz Rodriguez,14716,51
2115747855314930,Guillermo Aliaga,Elí Abiud Ramirez De la Cruz,14664,61
143175009597452,Iván Hernández,Iván Segundino Hernández Carrasco,14620,161
1629211737145398,Dr. José Carlos Ordoñez,Dr Jose Carlos Ordoñez,14538,215
362423643572,Alberto Beingolea,Partido Popular Cristiano,14536,50
110943155045530,Augusto Miyashiro Yamashiro,Laidy Diana Peceros Espinoza,14501,5
1261872650579518,Alejandro Lamas,Alberto Alejandro Lamas Matos,14446,21
956663201099385,Jorge Meléndez Celis,Jorge Enrique Meléndez Celis,14380,136
250133946082463,Jorge Luis Mera Ramírez,MERA,14027,31
515545685229115,Bobby Mattos Oficial,Gabriel Frantsha,14027,34
113162141028968,Integridad,Integridad por el Peru,13871,159
170002363537456,Ulises Villegas,Ana Niño de Guzman Tengan,13838,79
1470976356522933,Daniel Urresti,Julio Garces Calle,13817,72
103770648368639,Konnie Vidaurre,Konnie Vidaurre,13793,67
110695024106209,Juventud Podemos Perú,Laidy Diana Peceros Espinoza,13740,6
102673481661276,Jorge Seminario,Jorge Eduardo Seminario Salazar,13711,45
101816967958633,Ricardo Ramírez del Villar,Fredy Gonzalo Carpio Ortiz,13691,32
382057815556578,Chino Martínez,Chino Martinez - Parcona,13601,96
129936434473,George Forsyth,georgeforsyth,13485,16
299594557247220,Quintopoderpe,Pano 360,13481,38
110543308385139,Miguel Cordano - Gobernador Regional Callao,Influentics org,13333,8
111816763739659,Digital TV Noticias,Miguel Angel Torobeo Tapia,13315,10
317875174912143,Presidencia del Consejo de Ministros del Perú,These ads ran without a disclaimer,13299,7
1511419165829924,Jose Vega,These ads ran without a disclaimer,13253,23
173144229408518,RENIECPERU,Registro Nacional de Identificación y Estado Civil,13205,70
482342095243763,Lucho Molina - Lima,Daniel Salas,12779,67
601256063316040,Ramon Caceda Saavedra,Ramon Alejandro Caceda Saavedra,12754,84
1630616653863244,Vitae Educación Ejecutiva,These ads ran without a disclaimer,12750,102
102098544497318,Alfredo Perez,Alfredo Perez,12670,39
678043585730804,"Ceprebanko - Certificación ""Cajero Bancario y Comercial""",These ads ran without a disclaimer,12668,14
101266035995072,Cordano Gobernador Regional del Callao,Avigaíl Abisai Sinche Panduro,12620,47
925099280862495,Joel Parimango,Joel Ronal Parimango Alvarez,12519,99
105097415425898,Martin Sifuentes,Martin Alfonso Sifuentes Palacios,12475,70
242212052635794,Fernando Meléndez,Andy Valdir Enciso Gonzales,12429,93
1564590206936423,Juan Navarro - Página Oficial,Hober Medrano Aguilar,12198,30
433251497093145,Digna Calle,Sheila Llanos Veliz,12052,14
414139832118173,Ciro Castillo - Callao,Marlon Jeferson Caro Meza,12032,23
104273251982523,Elber Requejo - JP,Requejo Sanchez Elber,12026,82
113716881103703,Juan Carlos Zevallos,Arturo Castilla,11981,61
699489483476556,Darwin Espinoza Vargas,Jhaec Darwin Espinoza Vargas,11960,138
267400830052655,Edy Cuellar Región Cusco 2023,Nadia Sumac Soncco Pimentel,11726,47
404055736443363,Julián Palacín,Julian Palacin Gutierrez,11664,85
111080984768518,Oscar León,Diana Huancaya Matos,11613,63
808315139283273,Roberto Sánchez,Omar Rubio Santander,11600,23
292192054300489,Justo Juarez,Justo Juarez Nima,11530,30
106792205594410,Cordano el Constructor del Callao,cordanoconstructorcallao,11505,29
181220655403516,Salvador Heresi,Saleh Carlos Salvador Heresi Chicoma,11505,83
100649128244355,Miguel Pérez-Política y Social,Julissa Victoria Ricopa Pacaya,11493,59
1430609120516628,Gorbak Infantes,Wendy Cesarela Ruiz Rodriguez,11491,49
149345658977441,Quinto Poder,Ulises Gallegos Ormeño,11435,100
1538852096428300,Maritza Gil,MARITZA GIL,11408,323
104883417709021,Robinson Gupioc,Diana Huancaya Matos,11377,34
464407567673397,Fernando Martorell,Fernando Pablo Martorell Sobero,11314,80
101266035995072,Cordano Gobernador Regional del Callao,Cesar Martín,10924,9
475157512880993,Lucho Neyra León - Gobernador Regional,Jose Miguel Lopez Leon,10757,11
101311221694306,Nil Luna,Luis Felipe Alejandro Luna Morales,10750,6
102098544497318,Alfredo Perez,Omar Alexander Lopez Vilchez,10699,60
1065494303626605,Richard Soria,Eduardo Michel Edijardo Urbino Villalobos,10681,49
137190092966046,Rennán Espinoza,elcambiocontinua,10499,43
1408569059391227,Edwards Infante Lopez,Yo apoyo a Edwards Infante,10330,225
1897126257190528,Instituto Latinoamericano de Capacitaciones Jurídicas-ILCJ,ILCJ,10235,206
21325533991,Inversor Global,These ads ran without a disclaimer,10182,12
108198570574884,Gustavo Cesti Cardó,Gustavo Guillermo Cesti Cardó,10163,59
964277866947393,Diego Bazán Calderón,Renovación Popular,10028,52
107202871320408,Jorge Chávez Alvarez,Victoria Nacional,9995,23
269977736834906,Juan Enrique Dupuy,MAP,9980,28
1976465435931732,Juanito Pa'lante,palante,9865,97
531332587225016,Podemos Perú - Piura,Jhonatan Alfredo Flores Cuya,9848,3
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,9821,3
1502545989851324,Rosita Vásquez - La Cholita,Hache Arteaga,9789,44
102210169262599,Chalacos Unidos,Chalacos Unidos,9719,55
103029921716893,Juan Valverde,Juan Carlos Valverde Geldres,9642,191
776581735709971,Eduardo Saenz Construyendo,Eduardo Armando Saenz Faez,9636,25
102138138335502,Pepe Pozo al Congreso,Jose Manuel Pozo García,9607,32
118465974896482,Banco Falabella Perú,These ads ran without a disclaimer,9582,8
289067581276321,Cesar Combina,Cesar Augusto Combina Salvatierra,9555,28
104883417709021,Robinson Gupioc,Laidy Diana Peceros Espinoza,9552,2
1789685151346147,Gina Galvez,Aaron Esteban Huaynate Espinoza,9535,79
1607614952838589,Mary Acuña Congresista,Mary Acuña Peralta,9484,11
106807872031579,Christian A. Zegarra,Progresista de Apurímac,9434,91
108211755319750,Ing. Miguel Cordano Gobernador del Callao,Yo Apoyo a Miguel Cordano Gobernador,9295,26
109192677992923,Elige tu Lucha,Antonio Javier Bisbal Caceres,9276,242
1193751930654464,Romelia Paredes,Romelia Paredes,9266,19
101892898786829,Despierta Perú,These ads ran without a disclaimer,9211,1
236240533617906,Partido Devolucion,Partido Devolucion,9159,87
368378929946448,Francis Allison Oyague,Francis Allison,9092,31
113163117039969,Dr. Jorge Ayala - Cirujano Oncólogo,Jorge Winder Ayala Gonzalez,9066,86
534284396949027,Ilich López,Renzo Jireh Casas Torres,9062,460
100198778518392,Mg. Luis Gallardo Gálvez,Mery Nataly Gonzales Enriquez,9024,12
102016708354878,Jeri Ramon Ruffner,Siempre San Marcos,8999,57
109045691774284,Nancy Vizurraga Oficial,Hugo Hernández Placencia,8898,58
100330785132565,Saca tu cuenta,Juan Jose Garcia Chau,8891,122
116832580445194,PerúCheck,PERUCHECK,8855,8
111584025018103,Chalaco Porteño,juan porteno,8837,58
100667365286868,Asceli Rabasa 10,Jose Luis Rios Monterrey,8712,37
161405827846629,Juan Manuel García,Juan Manuel García,8712,90
101555396562359,Voto Informado,Voto Informado,8691,20
214114562821852,Noizz App,These ads ran without a disclaimer,8526,5
1413556535603177,Raúl Díaz Pérez,Raul Diaz Perez,8511,104
161170137278613,Banco de Crédito BCP,These ads ran without a disclaimer,8485,2
133886593899664,Wilmer Sánchez,Cynthia del Carmen Sánchez Jimenez,8421,20
107972128106412,Adelante Perú,Adelante Peru,8350,79
409975382947239,Noizz,These ads ran without a disclaimer,8315,3
105956248624820,Leandro Pérez - Alcalde Provincial,Leandro Perez,8288,98
1573884479501568,Frank Krklec,Frank Krklec Torres,8249,4
106180834755385,Donald Torrico Mostajo,Donald Harold Torrico Mostajo,8217,78
525873954428340,Lucho Flores,Luis Ernesto Flores Reategui,8135,79
