Page ID,Page name,Disclaimer,Amount spent (PEN),Number of ads in Library
100961692073772,Sandra Sudario,These ads ran without a disclaimer,209,11
1380085182124578,Sanmarquinos con Nicolás Lynch,Nuevo San Marcos,209,6
107281688756436,Oscar Oyola  Alcalde Hualmay  SOMOS PERU,Jaime Ricardo Paisic Rojas,208,5
103573891139038,Braulio Grajeda,PARTIDO POLITICO NACIONAL PERU LIBRE,208,3
103783314586231,Renovación Popular - Jansi Chistama al Congreso,Enrique Peñaranda Rodriguez,208,2
105808791902106,r20now,These ads ran without a disclaimer,208,1
233654837608,La Crónica de Hoy,These ads ran without a disclaimer,207,4
110923910706019,La Noticia en San Martin,Cintya Raquel Vargas Canaquiri,207,6
106667178612867,Sandrita Ushiñahua Ramirez,Ernesto Rafael Gaona,207,5
287842647957979,EU International Partnerships,These ads ran without a disclaimer,207,5
106417924359820,Carlos Almerí Veramendi,Victor Antonio Calderon Leyva,206,3
102029109305560,Mi voto por Alejandrina Peralta Como Consejera por Carabaya 2022,German Onofre Marocco,206,5
105200021020652,90 Grados Noticias,Gonzalo Briceño Lira,206,2
101489784733643,Victor Velez,José Víctor Velez Delgado,206,13
102679159139240,Johnny Cruz,Deyber Arturo Mendoza Yovera,206,2
100236768401416,Miguel Olivera Rosas,These ads ran without a disclaimer,206,2
1421976678079837,"Librería ""Entre Páginas""",These ads ran without a disclaimer,205,1
101900262201627,Hugo Quinto,These ads ran without a disclaimer,205,1
101112909020482,Carlos Paredes - Fortaleza Perú,Omar Cajusol,205,6
200561513351250,Municipalidad Provincial de San Martín,Municipalidad Provincial de San Martin,205,4
218696126250728,Mente Corporativa,These ads ran without a disclaimer,205,6
110149991490903,Ricardo Castro - Somos Perú,Johana Custodio,204,3
388043768225197,Cesar Correa,Cesar Danilo Ruiz Morante,204,17
1475371999164016,Julio Carbajal,These ads ran without a disclaimer,204,6
1468423903423025,Harold Lévano,Luis Harold Raciel Levano Ochoa,204,13
344174049113701,JPS Loreto,Luis Alberto Vargas Coral,203,7
108008647768570,Luis Hurtado Valencia,These ads ran without a disclaimer,203,8
103459162101625,Avanza País - Nueva Cajamarca,Henry Edilberto Azula Díaz,203,10
302580763256040,Tacna en Linea,Rubén Tohala,203,2
108280511869198,Kazan Ocampo Carpio,Claudia Isabel Del Carpio Pacheco,203,5
107826258382198,Renato Anahua,Jean Paul Quispe,202,22
238510753443102,Lily Juarez Gobernadora Regional de Arequipa,LILY JUAREZ SALAZAR,202,15
1516683621782214,Fuerza Ciudadana - Perú,Fuerza Ciudadana Perú,202,15
107739738377114,ONG Corazón,Josué Natanael Córdova Ayac,202,2
112618897862838,Policlinico Laura Caller,Jovany Chunga Ofi,202,4
113715111306204,Gilmar Luna,Salsa Creativa,202,1
143992204462796,Ivo Rincón Ruiz,imnovando,202,2
110323224917126,Olasp Perú,Carlos Andres Huaman Pacheco,201,6
2351836681768215,Biblia Reina Valera,These ads ran without a disclaimer,201,1
535117840262154,Jaime Luján - Alcalde de La Esperanza,Benner Jaime Luján Aguilar,201,7
614428685678268,Cesar Carranza,Acxel Jair Lopez Lévano,200,5
133987265530092,Willer Torres Gonzales,Willer Torres Gonzales,200,8
104764337549134,Franco Vidal,Katty Melany Quicaña Saavedra,200,1
100827301853253,InfoNews.pe,InfoNews,200,10
101872058039940,Voto Comunicado S.J.L,Victor Piñan,200,4
531292951139968,Impacto Perú,Hugo Andres Garcia Benites,200,5
1712303379016345,Aching Films,Miguel Angel Aching Vasquez,200,1
104795171200824,Angel  Vargas,Zulma Magaly Fernández Buendía,200,2
104274884313742,Sobrinos Tv,Elvis Eder Rosales Neyra,200,2
173117661001595,Integridad Democrática UNI,Mireya Natalie Fabian Gutierrez,200,6
403323716534547,Harry Castro,Denys Andre Garrido Herrera,200,3
337332776471486,"7 De MAYO ""Un militante un Voto"" Corriente Interna",John Tulio Romero Lloclla,200,4
101951161744572,Monica al Congreso por Ica,Carlos Augusto Alfaro Seminario,200,3
118107344943185,Radio Titanka Apurimac,Cristopher Velazque Olarte,200,1
100985352711908,Juventudes APP - Chanchamayo,Gunder Gomez,200,4
352628522222,Marginal Perú,Ramon Espejo Castañeda,200,3
1473641319602789,Denuncia Perú,Gabriel Frantsha,200,1
102716325219718,Juntos por el Perú - Comité Unitario SMP,Brian Silvestre Greco Quispe,200,2
679625102104015,Javier Cornejo,Javier Cornejo,200,1
114573025295470,Mireya Bonilla,Omar Armando Odar Campos,200,1
111190098375665,Juventud Huaraz App Oficial,Cristian Romel Duran Mendoza,200,1
110135403847122,Metropolis Producciones,Jose Luis Urresti Eguiluz,200,1
108582831065884,Amazonas con Forzay,Carlos Augusto Alfaro Seminario,200,2
842060409164346,Jota,Juan Jose Leyva Serrano,200,2
101515441822761,Mary Elena Jaramillo,Carlos Eduardo Pozo Albirena,200,2
290609571092785,Lourdes Jesús al Congreso,Lourdes Felicia Jesus Salazar,200,3
112763377864484,Gold Medical Centro Médico - Odontológico,Alan Herrera Diaz,200,2
100458848849115,No al Comunismo Peruano,Carlos Alfredo Huarca Castro,200,1
101589785230048,Puka Poncho BRAVO,Oscar Eduardo Bravo,200,8
512722965589251,Caller Centro de Súper Aprendizaje y Alto Rendimiento,Herbert Caller Gutierrez,200,1
100623648702091,Jóvenes con Pedro Morales,Victor Javier Quispe Munoz,200,7
106001068552974,Darwin Vargas,Elvis Brando Rojas Melendez,200,2
100102202458551,Digital Noticias,These ads ran without a disclaimer,200,1
139737844935519,Soy Fan del REMO,Rosa Jiga Lozan,200,2
104224472293047,José Luis Huamaní,Giulietta Zegarra Garcia,200,1
597322530365882,Ventana Informativa,Darwin Eidier Portales Paredes,200,3
104311288427052,Yermmy Vásquez,Luis Mijail Ursula Carrillo,200,3
101013981775237,Perú Libre - Pasco,Omar Raul Castañeda Ramirez,200,1
112284094818699,Partido Morado-Barranca,Peter Alejandro Velasquez Morales,200,3
111202654820059,Frente Esperanza - Huarmey,Melanie Rosslyn Sarmiento Polo,200,11
104159872193984,Alex Kouri Bumachar,Wendy Cesarela Ruiz Rodriguez,200,3
100330865943953,Julio Cajahuaman Quispe,Yanacancha ORG,200,2
679625102104015,Javier Cornejo,These ads ran without a disclaimer,200,1
100268202041357,Verónika Mendoza Cajamarca,Jheyson Amed Arana Huamán,200,1
528781870810556,Raúl Pinedo - Gobernador Regional de Cajamarca 2023 - 2026,Lita Lisbett Pinedo Vasquez,200,9
108449932014487,El Extra,Elvita Reategui Tello,200,1
483898364953509,Capriccio Perú,These ads ran without a disclaimer,199,2
101517901491677,JUCO,Jerson Manuel Jurado Cordova,199,5
101382064633453,Maricarmen Alva,These ads ran without a disclaimer,199,1
102057938531688,Hector Vidaurre al Congreso,Hector Vidaurre Torres,199,3
111709365053839,Juan Aredo - Tu Alcalde Alto Trujillo,Juan Aredo Rojas,199,3
688813944485214,César Philipps,César ruiz Philipps,199,3
106977061894753,Comité Provincial de Lima - Unidad Democrática de Centro - UDC,Unidad Democrática de Centro,199,8
329359211759222,Evita Ojeda Celi,Martha Lucia Samaniego Garcia,199,3
111022324979974,Rosario Neyra,Diego André Barba Walters,199,4
109587584605119,Partido Gino,Gino Hilario Huayas,198,3
100526145408997,José Escudero al Congreso por Tumbes,Warner Efraijn Rios Tito,198,4
2182923361941996,Jennifer Catalan al Congreso,Aldo Grover Ulloa Lazaro,198,1
100408158765248,Dygna Miranda Palacios,Javier Elias Blancas Canchaya,198,6
110311817537159,Pedro Castillo Presidente 2021,Isrrael James Castillo Osorio,198,8
106149448793064,Frente Esperanza - San Juan De Miraflores,Vanessa Estefanía Ordaya Calla,198,3
103929871711774,Billy Rojas,Kevin Arenas,198,14
113615355316959,WIRED UK,These ads ran without a disclaimer,198,46
109315145002429,Padrecito  Tito Calizaya Alcalde de Moquegua,Diego Omar Catacora Mamani,198,3
101856861213134,Jahely Albarracin Marquez,Jahely Consuelo Albarracin Marquez,197,7
103304158315756,Virginia Rodríguez Acosta,Daniel José Flores Rodríguez,197,6
109472131774097,Carlitos Peña,Jesus Enrique Peña,197,13
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,197,123
100499132020504,Dr. Zanelli Al Congreso,These ads ran without a disclaimer,197,3
123374447725728,Betsson Perú,These ads ran without a disclaimer,197,1
114114068669333,Sylvia Villarreal Imagen,These ads ran without a disclaimer,197,20
103819795787192,Jeyson Acevedo Solano,Jose Jeyson Acevedo Solano,197,9
100456432035117,Nancy Rossel al Congreso por Puno,Alexander Flores Mamani,197,6
665199096993070,Pepe Aguilar Alcalde de Piura,John Wilson Gallo Silva,197,8
104912865689859,Puma Ulloa - Podemos Perú Guadalupito,Carlos Alejandro Díaz Villalobos,196,11
108988618350875,Antis Cruz - Viru 2023,Roberth Alexander Flores Camacho,196,16
104264071546502,Asociación de Regidores del Perú - ARPE,Harvey Lennin Quiñones Patricio,195,1
104325602414589,Uniendo Carabaya - MIRA Carabaya,Rene Gonzalo Ccama Ramos,195,14
102837905458472,Eduardo Mejía,Lia Huamanñahui,194,2
103109855320094,César Barrientos,Renzo Jorman Lizana Candiotti,194,6
205119946304760,KM Comunicaciones ILO,Miguel Alex Ale Valeriano,194,9
107755175191227,Noticias Cieneguilla,Johana Custodio,193,2
1123829364362584,Red de Mujeres Piuranas,These ads ran without a disclaimer,193,1
392666127586890,OpenMind,These ads ran without a disclaimer,193,2
125335024157691,Promine,These ads ran without a disclaimer,193,3
479285342097950,AeroTime,These ads ran without a disclaimer,193,13
776246422439588,Reacciona Perú,These ads ran without a disclaimer,192,9
107041760751283,Lela Dueñas,David Maccriber Yarasca,192,2
115582011151468,Gilmer Velayarce,Alonso Sinarahua,192,1
1633616783520401,Tandem Finance,Bring My Leads,192,2
103608819124504,Rosmi Rivas - Gobernadora Regional Cusco,Rosmi Rivas Hurtado,192,3
100474352431800,Innovación y Desarrollo Institucional,Daniel Fernando Ezcurra Pelaez,192,12
101311221694306,Nil Luna,These ads ran without a disclaimer,192,4
101682362708323,Cesar Flores - Alcalde de Bustamante 2023,Ederson Miler Ccoto Arratea,192,3
105236611828261,Autentico Tingalez,Yeysi B. Lopez,191,10
106425261238080,Lettera Hotel,These ads ran without a disclaimer,191,2
101353682557253,Genaro Pezo / Acción Regional - Morales,Kenfú Yap,191,4
112106194717101,Carlos Dalguerre - Alcalde de Wanchaq,Eloy Díaz,191,1
111695408178448,Jaime Olavi Honorio Alcalde De Castilla,Patrick Mackarly Honorio Choquehuanca,190,10
343459706117402,Word Collect,These ads ran without a disclaimer,190,2
112540593490064,𝙑𝙞𝙙𝙧𝙞𝙚𝙧𝙞𝙖 𝘾𝙤𝙧𝙥𝙤𝙧𝙖𝙘𝙞𝙤𝙣 𝙕𝘼𝙋𝘼𝙏𝘼 𝙋𝙚𝙧𝙪 𝙎𝘼𝘾,These ads ran without a disclaimer,190,2
413787445737905,Julio Galvez - El huracán,Cristian Banda Banda,190,19
1245931182164216,Muslim World League,These ads ran without a disclaimer,190,1
125558391390794,Richard Martinez SJL,Richard Felix Martinez Guerra,190,6
113626583388128,Noemi Chavesta Oficial,Eduardo Manuel Becerra Gaspar,190,5
104107311758648,El Corazón de Santa Anita,Rodolfo Martinez Silva,190,2
103304219001933,Norman Arredondo,Yusbet Espinoza Alarcon,190,6
103825558555375,Gilmar Luna,Manuel Bazan Pacheco,190,3
184767358374300,CLAVE Ciudadana,Juan Puicón Villanueva,190,12
109017821335813,Jesús Dávila,Jesus Hernan Davila Bravo,190,4
325455832160578,Orisha lasteros 4,Maria Fernanda Naroimy Vidal Cordova,190,4
102422118382804,Omar Cruz Chavez,Omar Cruz Chavez,190,18
117453700121493,Supermercado Kazmeño,César  Augusto Rodríguez Rodriguez,190,5
103715028690082,José Sánchez - Moche,These ads ran without a disclaimer,189,4
100519988572186,Jorge Luis Ángeles Haro,Josue David Asurza Cacerez,189,2
101678032459088,Hernán Aquino - Oficial,John Walter Abad Cueva,189,7
929271507085462,Renovación Popular San Martín,Mario Vasques Torres,189,3
1521215824853656,Luis Herrera Romero,Luis Herrera,189,5
107884705365740,José Luis Málaga - FE,Priscilla Vanessa Chávez Pérez,189,5
105139525634195,Lidio Lázaro Barreto,Jorge L. Miguel Sanchez,189,10
113169641379142,Somos Perú San Marcos,Antenor Ulvi Cerdan Machuca,189,10
338684896921049,Alerta Lince,These ads ran without a disclaimer,189,5
1426488650938921,Proyectos de Inversión - Diplomados José Herrera,These ads ran without a disclaimer,189,7
1818721128360253,Enel Group,These ads ran without a disclaimer,189,1
100375318175397,Dina Boluarte Zegarra,These ads ran without a disclaimer,188,3
103660361844986,Encuesta sobre Comunicación Política 2021,Alvaro Gonzalo Calderon Gonzales,188,2
105794184815690,Jorge Flores Ancachi,Edgar Octavio Rivera Bolaños,188,18
100411648782822,Mi Buen Vecino,Samuel Tucto Ordoñez,188,7
108657498517611,Claudio Jibaja,Hi Politic,188,2
110101591420064,Elliott Huari - Podemos Peru,These ads ran without a disclaimer,188,12
113800287972056,Fidel Carita - Region,Jesus Daniel Quispe Quispe,188,8
100924375269683,victorquijada00,These ads ran without a disclaimer,188,4
1612843852277789,Jason Colonio,Jason Colonio,188,10
104710215205312,Somos Callao La Perla,la perla con kurly,188,6
103896425568967,William Peña Farfán Alcalde de Wanchaq,Ana Maria Huaman Pillco,188,4
103715501779359,Primátor Perú,These ads ran without a disclaimer,187,10
380122715488031,Red Noticias Norte Chico,Henry David Colonia Bernal,187,3
108396450833965,Rafael Ninalaya,Juan Palma Aurazo,187,2
109678057595064,Alexia Palomino Apurímac,Alexia Palomino Palomino,187,9
102126401967264,Venta Autoradio Parlantes RUC 15696015649,These ads ran without a disclaimer,187,5
102149119069798,Yo Puedo Elegir,These ads ran without a disclaimer,187,2
108291077305280,Manolo Bambarén,Manuel Lizandro Bambaren Miasta,187,10
1815769035386685,Cesar Mendoza,Eduardo Manuel Becerra Gaspar,187,7
102098901770248,Yris Silva Orbegoso,Paula Ines Silva Orbegoso,187,5
102229264601501,Carlos Huamán Cruz,These ads ran without a disclaimer,186,3
102253432628691,Wayqui - Frente Esperanza,Will Salas Valenza,186,5
101839272679469,Juan Ulises Hurtado Mori,Ernesto Rafael Gaona,186,4
109825384624872,Econocosas,These ads ran without a disclaimer,186,14
103065525245291,MegaRobo,These ads ran without a disclaimer,186,7
2234545823487463,Municipalidad de Santiago de Surco,Juan José Velezmoro,186,1
102967071538062,Lorena Prado al Congreso,Emma Diana Lorena Paz Prado,186,1
103834008438347,Dr Eugenio Martín,These ads ran without a disclaimer,186,4
105229344954939,Sabry Saab,These ads ran without a disclaimer,186,3
153707081317782,América Televisión,These ads ran without a disclaimer,186,1
106350491351184,Julio Sumerinde - Avanza País,Julio Sumerinde,186,19
109050537429400,Ing. Eduardo Orbegoso,Facho Lennar,186,4
667200623725238,Universidad César Vallejo,These ads ran without a disclaimer,185,1
104349305771646,Movimiento Regional Moral y Desarrollo,Edmundo Javier Muñoz Barrientos,185,4
380122715488031,Red Noticias Norte Chico,Victor Arturo Uribe Torres,185,3
1769528163158967,Quinto Poder,José Antonio Salazar Rengifo,185,5
109295311744837,Chilca Noticias tv,Jose Carlos Guarniz Delgado,184,12
103391321782623,Movimiento Regional Arequipa Avancemos,Maria Cristina Choquehuanca Pari,184,7
119701934394040,Entretenimiento PERU,These ads ran without a disclaimer,184,3
109096360620199,NWprofessionaltraders,These ads ran without a disclaimer,184,1
102409372510667,SALIA DÍAZ,Salia Elma Díaz Silva,184,5
149510962295400,Miluska Olivera a la Región,Luis Alberto Tuesta Olivera,183,5
105839831760577,Hayson Challco Consejero por Canchis,Hayson Challco Cotohuanca,183,8
105406371590801,M.R. AGUA - Provincia de Huaylas,Ivan Chinchay Camino,183,6
1231058463681139,Jaén y San Ignacio,César Montalván,183,3
109345351842657,Denilson Marcell Consejero 2022,Denilson Marcell Del Castillo Mozombite,183,7
1694814467417967,Centro Medico Rutas Peruanas SAC,These ads ran without a disclaimer,182,2
362423643572,Alberto Beingolea,These ads ran without a disclaimer,182,8
100952202697590,Alex Colque,Alexander Ernesto Colque Condori,182,6
114657958585623,Marco Falconí Picardo,Real Marketing SAC,182,4
518272571603665,Yo También Tengo Algo que Decir,These ads ran without a disclaimer,182,4
107128602051722,Perú Hoy,Cesar Antonio Amoroto Terrones,182,8
109422531414005,Instituto Debate y Desarrollo,These ads ran without a disclaimer,182,1
101954701264866,Ariana Orué,Jonas Enrique Berengel,182,10
102367418491762,Jenica Marquina al Congreso,Cinthya Scoli Pinchi Mateo,182,7
1603907593018255,Guevara,These ads ran without a disclaimer,182,5
101401792500899,Eduardo Liu- Alcalde de Lima,Eduardo Sebastian Liu Palacios,182,3
108040604918274,Napolitan consulting,Napolitan consulting,181,8
101826534718918,Santuario Perú,Ari Jauregui Acevedo,181,17
111058631412089,"Alianza para el Progreso   "" San Sebastián""",Laurente Cusihuaman Yunior,181,2
105476427644551,Amparo Garcia,Jose Gutierrez,181,6
115345426581804,Susana Gutiérrez,Diana Paola Ricalde Guerrero,181,2
115806960260634,Juan Carlos Mori,Jose Antonio Inuma Torres,180,9
425555137502936,Mac Protec,These ads ran without a disclaimer,180,4
102359222325797,Frente de la Esperanza - Carabayllo,Diego de Gonzalo Sánchez Franco,180,6
1497095980557287,Ideario.pe,Ideario,180,28
104934208093923,Gilberto Al Congreso,Gilberto Gonzales Bernal,180,1
100750925376121,Róger Cáceres Al Congreso 2021,Roger Caceres Barrionuevo,180,13
2182787448617159,Vamos con Ackerman,Ackerman Alexander II Castro Saldaña,180,2
103084862716671,Noticias Chincha PERU,These ads ran without a disclaimer,180,2
107600587735093,Edmundo del Águila Morote,David Martin Alva Berna,180,6
102642851704036,Alberto Balladares Ramírez,Diego Fernando Hurtado,180,5
102080525239450,Rómulo León Alvarez,Marco Antonio Valverde Arce,180,7
100808009044676,RADIO Los Compadres,RADIO Los Compadres,180,7
106255357801567,Alianza por la Amazonía,These ads ran without a disclaimer,180,6
101497525320492,Walter Torres congresista 2021,Milton Aldair Martínez Castro,180,4
162890510974594,Juntos por el Perú - Huaura,Jhony Rodrigo Solis Jaimes,180,8
103675165837895,San Martin Elige,Elvita Reategui Tello,180,1
102547985022978,Avanza País - Región San Martín,Marco Tony Valladolid Acuña,180,9
106620402124859,Jean Alcas,Jean Humbert Alcas Maceda,179,7
103562718389575,Promoción Empresarial - Municipalidad de La Victoria,Mariano Jose Malaga Campean,179,3
100475899363807,Fernando Paredes,Alicia Esther Soles Garcia,178,14
373339686786236,Presente,These ads ran without a disclaimer,178,7
110162571216875,Hinchas Del Progreso,These ads ran without a disclaimer,178,4
203832843465588,El Poder,Diario El Poder,178,7
107125384907200,Un futuro con esperanza,These ads ran without a disclaimer,178,1
144493032287424,Soy autista y qué?,Bryan Culcos,178,2
107812960551226,Lucero Beatriz - Consejera por Huancayo,Lucero Beatriz,177,2
388043768225197,Cesar Correa,Diego Ruiz Morante,177,11
113405283709561,Johan Montoya Vásquez,Milagros Castillo,177,5
110061291184659,Patricio Aliaga,Patricio Aliaga Infante,177,4
107431191046825,Somos Perú Madre de Dios,Cesar Chia Davila,177,7
107793581074164,Parque del Recuerdo- Consejera Lisbeth Castro,Parque del Recuerdo- Consejera Lisbeth Castro,177,33
180519815314343,Grupo Propuesta Ciudadana,These ads ran without a disclaimer,177,3
103718355821503,San Martin Noticias,Julio Ernesto Rodriguez Del Castillo,177,2
104567821344629,EZ LoL GG,These ads ran without a disclaimer,177,1
102841959128288,Adriel Reynoso Alcalde de Andahuaylas,Abner Rosales Huamán,176,1
112189903992021,Visoor Studio,Angel Jhosue Quiñonez Amarillo,176,3
412078875658529,El Garrote Hvca,These ads ran without a disclaimer,176,3
1464298547208490,FUERZA POPULAR UCAYALI,Renan Garcia Noriega,176,1
114696193780931,Manolo Garcia Correa,These ads ran without a disclaimer,176,3
339976643050007,Gold Fields Limited,These ads ran without a disclaimer,176,11
111942100714385,Lucho Sarango Seminario,These ads ran without a disclaimer,176,65
110409148102552,Nilza Chacón Trujillo,Nilza Chacón Trujillo,176,7
104402974872962,Adriana Tudela,These ads ran without a disclaimer,176,89
106637841979530,Partido político fe en el Perú - Zarumilla,Jefry Heiners Mendoza Moron,176,1
105898618897654,Ovidio Rodriguez - Goyo - Bloque Popular,Leo Aldana Condor,176,4
108439911567368,Investigación Pasco,Empresa de Investigación y Opinión de Mercado,175,7
113168908023165,"Alianza Para El Progreso - ""Huambos""",Maritsa Elisa Pachamoro Ramirez,175,6
541042730165457,Onside,These ads ran without a disclaimer,175,6
101024636053433,Orlando Chumpitaz - Avanza País,Alvaro Chumpitaz,175,5
320349701503150,Conveagro - Convención Nacional del Agro Peruano,These ads ran without a disclaimer,175,1
102410665221668,Wong por Amazonas,Wagner Malca,175,6
127395202860637,Victor Moquillaza,These ads ran without a disclaimer,175,10
54921214620,Diana Gonzales,Benigno Gonzales Villavicencio,175,5
108250501041149,Pucallpa General Trading,These ads ran without a disclaimer,175,4
103319581750771,Ina Mayushin Al Congreso,Ina Emilia Vasquez Rodriguez,174,19
1545589482234560,Juan Ramírez Flores,Kelly Ramirez Lira,174,6
102443078231765,Pablo Pisconti - Ica - Perú,Paola Erika Pisconti Salazar,174,18
106365581139361,Luis Iván Cruz Puma,Iván Cruz Puma,174,8
100435665726241,Martin Guevara por La Victoria con Fe,These ads ran without a disclaimer,174,2
569883299830337,Agencia de Comunicaciòn Perú,Hi Politic,174,2
108089441133066,CONTIGO TV,Erik Antonio Muñoz Izquierdo,174,23
537406009612079,Fancy wallpaper-1,These ads ran without a disclaimer,174,5
111765157673270,Perú con memoria,These ads ran without a disclaimer,173,42
103975614816705,Suna al Congreso,Gustavo Gabriel Perochena Ochoa,173,2
121475537930454,Fundación Arquitectura y Sociedad,These ads ran without a disclaimer,172,4
481940582235343,Sensor,Sensor SRL,172,3
101739079180904,Juan Yaipén a la Alcaldía de Monsefú,Eber Regalado Bustamante,172,2
100848505243952,Milcoges,Luz Marina De Olivo,172,2
103235915587381,Juventud con Gana Ayacucho,Vetson Molina Huyhua,171,22
2016552458575408,Dr. Luis Ghezzi Hernandez,These ads ran without a disclaimer,171,6
105702068838127,Asesora Inmobiliaria Shabelly Conislla,These ads ran without a disclaimer,171,2
106597324616366,Asociación Latinoamericana De Mujeres Abogadas Alma,Edith Betzabe Carranza Enríquez,171,3
110709911485437,Arq. Hector Ramos Ccorihuaman,Ed Germán Angelino Zuñiga,171,1
511332582370807,La Tribu Caviar,Sin Pena Ni Gloria,171,3
176916059004457,Diosdado Gaitan Castro,These ads ran without a disclaimer,171,4
102989368463497,Huamanga Comenta,These ads ran without a disclaimer,171,2
100864285274577,Jorge Luis Díaz,Christian Alberto Pisconte Arguedas,171,8
280150618691583,Asociación de Mujeres Peruanas Afectadas por las Esterilizaciones Forzadas,Asociación de Mujeres Peruanas Afectadas por las Esterilizaciones Forzadas,170,8
103149368416001,Maritza Valera al Congreso 2021,Ivan Angelino Beckenbauer Paniura Ramos,170,3
106135350898006,Karina Pacori Al Congreso 2021,Guido Ruben Zea Mamani,170,4
1522741538027562,David Mendoza - Partido Morado,David Mendoza Berrocal,170,5
1415709675312135,David Bazán,David Riveros Flores,170,4
469533216918896,Palace Oficial,These ads ran without a disclaimer,170,1
101052438047760,Hubert Alvarez - Miraflores 2022,Helart Manuel Álvarez Mamani,169,5
102867925549795,Gerardo Novillo - Regidor Provincial Piura 2023 - 2026,Ricardo Enrique Rumiche Bonilla,169,8
1687824968126683,Alberto Oliva al Gobierno Regional de Ica,Alberto Eugenio Oliva Corrales,169,2
116209278460476,Autoridad grupo rmo,Eddy Angel Sanchez Vargas,169,1
102238708539056,Jaime Huarcaya,Hans Gutierrez Puma,169,8
111393801000500,TV News International,These ads ran without a disclaimer,169,3
109179554096172,Héroes unidos,These ads ran without a disclaimer,169,1
103395569085,Soundview Executive Book Summaries,These ads ran without a disclaimer,168,6
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,168,3
104446508239793,Vladimir Luna al Congreso,Vladimir Jhosseth Luna Valle,168,8
110672924174926,Marleny Portero,Hilda Marleny Portero Lopez,168,3
107747645382836,Max Castillo,Italo Ramos Diaz,168,11
109958267102862,Luis Alberto Sanchez al Congreso 2021,Juan Carlos Huancapaza Zea,168,5
102134289278669,Juan Escriba Salcedo,Juan Carlo Escriba Salcedo,168,4
113323048054316,Yelson Espinoza,Cynthia Milagros Arguelles Quispe,168,7
113782826844292,Carlos Rubio - Página Oficial,Klinton Jhunior Ushiñahua García,168,5
1697808590265370,Mirko Avendaño,Omar Pareja Mendoza,168,8
104055275950075,AMPE PERÚ Gestión 2023 - 2026,Gonzalo Joaquín Rojas Leonardo,168,2
100756815658287,Roxana Valverde Liñan,These ads ran without a disclaimer,168,5
182187855654330,Joel Ludeña VMT,These ads ran without a disclaimer,167,6
106528211370031,Ivan Garcia-Hidalgo Candidato PPC #33,These ads ran without a disclaimer,167,1
892724110780342,Remurpe,Harthley Jesus Vela Damaso,167,3
112263290942415,Porky 2021 - Peru,These ads ran without a disclaimer,167,2
1938768576215438,Alex Morales,Alex Morales,166,3
235242081749750,Pascual Güisa Bravo - Tacna 2022,Luis Roger Solis Palacios,166,8
111769403622859,Paty Barrera,These ads ran without a disclaimer,166,5
154978698412816,Pedro Pinedo,Pedro Jair Pinedo Pauta,166,7
101561348953315,Lista Innovación Total UNAC,Producciones Genesis,166,1
142282643063710,Asociación Leonciopradina,Juan Alejandro Gallo,165,14
102353625880340,El Chupacabra,These ads ran without a disclaimer,165,4
215790655136,Sociedad Interamericana de Prensa,These ads ran without a disclaimer,165,3
101614692125176,Dialogo Regional CUSCO,DIALOGO REGIONAL CUSCO,165,7
1339743212731959,Jean Paul Granados,Grupo EGVA,165,6
247135792129967,HomeBiogas,These ads ran without a disclaimer,165,14
495706950531442,Pepe Feria,These ads ran without a disclaimer,165,7
2061549180767595,Voto Electrónico - Perú,These ads ran without a disclaimer,165,2
211159199053043,Punto de Encuentro,Alan Dario Godofredo Chirinos Pachas,165,18
103428458810404,Luis Felipe Romero,Flor Chero Millones,165,1
892724110780342,Remurpe,These ads ran without a disclaimer,165,5
101129935174621,Margorie Perez Ríos - Somos Perú,Rodolfo Martinez Silva,165,5
163104111305613,Escuela de Gobierno y Desarrollo Nacional - EGDN,Luis Harold Raciel Levano Ochoa,164,2
348918111931815,Videnza Consultores,These ads ran without a disclaimer,164,1
1230721467003544,Macronorte.pe,Macronorte.pe,164,2
1421316657985315,Esmeralda Limachi Congresista,Deyvis Roy Ramos Ninaraqui,164,12
1611625182488854,Jonatan Ubaldo,Cristian Gabriel Benites,163,8
108946178441242,Sandro Caller,Jorge Del Pozo Gómez Silva,163,6
656932894394148,Ticlio,These ads ran without a disclaimer,163,1
110510020459703,Trujillo es Noticia,Alex Hernaldo Villarroel Flores,163,1
102897934996929,Coronel Guilmar Trujillo,These ads ran without a disclaimer,163,1
463466330897467,Los Hijos No Son Trofeo de Guerra ni Negocio,Mauricio Guillermo Bouanchi Viaña,163,3
1896684277254815,Sebastian Beja,These ads ran without a disclaimer,162,1
106281405569976,Partidos Políticos Unidos,Jean Alexis Mayo Carrera,162,13
770210006355174,Alfredo Uriol Mariñoz,Alfredo Uriol mariñoz,162,4
105073207967492,CTG Perú,These ads ran without a disclaimer,162,16
2186804811641218,Municipalidad de El Agustino,These ads ran without a disclaimer,162,1
339421982806639,Buensalvaje,These ads ran without a disclaimer,162,6
614540045346405,Lorelein Palao,Lorelein Palao,161,3
111379848215061,Ricardo Guanilo,Ricardo  Orlando Ayala  Guanilo,161,9
154541225168658,"Instituto Latinoamericano de Proyectos de Inversión, Ingeniería y Economía",These ads ran without a disclaimer,161,7
657005737775582,Heidy Juárez Calle,These ads ran without a disclaimer,161,4
465726126804798,Bailes Diana,Bailes Diana,161,3
