Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
116985491494949,GM Invest - Tối Ưu Giải Pháp Đầu Tư,CÔNG TY TNHH KẾT NỐI ĐẦU TƯ GM,25898627,61
107862538714602,Chương Trình Đại Học Từ Xa - TVU,These ads ran without a disclaimer,25284608,7
107714735225600,Bao Da Ví Cao Cấp AZNS V5,These ads ran without a disclaimer,25155366,1
351996128552419,Tư vấn - Hỗ trợ pháp lý - Tri Minh L.A.W,These ads ran without a disclaimer,24550810,1
373953772625074,Phòng khám Thẩm mỹ Laser Công nghệ cao Dr Nghị,These ads ran without a disclaimer,23955205,6
113032691384445,Philip Tuất,These ads ran without a disclaimer,22985580,1
114771895207322,CellphoneS - Hệ thống bán lẻ di động toàn quốc,These ads ran without a disclaimer,22669445,12
120235188603455,Thiên Mộc Hương - Agarwood Jewelry,These ads ran without a disclaimer,22612128,82
102277969208321,Toàn Dân Chủ Công,These ads ran without a disclaimer,22603760,6
112107555015410,Phong Thủy Tam Phúc,These ads ran without a disclaimer,22504233,2
111186785038742,Phòng Khám Đa Khoa Y Học Quốc Tế - 12 Kim Mã.,These ads ran without a disclaimer,22008696,8
129595907763959,Trường Trung Cấp Hồng Hà Thành Phố Cần Thơ 1,These ads ran without a disclaimer,21605817,6
100949182604693,Tượng Đồ gỗ long An,These ads ran without a disclaimer,21304227,6
101724179507170,Sách Nhanh,These ads ran without a disclaimer,21215879,9
1168034986601986,Trung tâm vùng EB-5 trực tiếp - American Venture Solutions,American Venture Solutions,20790784,6
102553165609242,Audio Books - Nghĩ Giàu Làm Giàu,These ads ran without a disclaimer,20776603,90
337962056385764,Soha.vn,These ads ran without a disclaimer,20734508,6
113614244649513,Bút ký cao cấp 1,These ads ran without a disclaimer,20438001,28
104325415664155,Chóng Mặt Ngự Y Mật Phương - Nhất Nhất.,These ads ran without a disclaimer,20253326,21
106184945559187,Shop Bút Ký Cao Cấp - Quà Tặng Doanh Nghiệp,These ads ran without a disclaimer,20185257,17
1507429892822619,BOM Money,BOM Money,20147135,150
100998719402643,Nguyễn Thị Thu Thảo,Nguyễn Thị Thu Thảo,19897397,2
108701418667021,Bv Hanh phuc -Cơ sở Long xuyên I,These ads ran without a disclaimer,19786975,1
112603834840414,Ma Hiệp Truyền Kỳ - VGP,These ads ran without a disclaimer,19625562,1
105310469026814,Nhật Bản Chờ Tôi Nhé,These ads ran without a disclaimer,19615526,40
266790296879,Bloomberg,These ads ran without a disclaimer,19504993,40
1496138663944724,Tâm Tính đề cao nhờ Tu luyện Pháp Luân Công,These ads ran without a disclaimer,19461869,16
165600847322369,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,19430512,81
110154723856642,JA & Partners - Đầu Tư Định Cư,These ads ran without a disclaimer,19403876,11
109261451934873,Trung Tâm Điều Trị Viêm Da Hương Giang Hà Nội,These ads ran without a disclaimer,19388537,4
106728438959248,Nhà Chùa Pháp Tạng - Trụ trì Thích Trí Huệ,These ads ran without a disclaimer,19114029,7
483701721831792,Hoa Tết,These ads ran without a disclaimer,18576726,9
102137385120118,Cao Vị Nhân Việt Nam,These ads ran without a disclaimer,18443137,42
200480966638039,Supremacy 1914,These ads ran without a disclaimer,18169337,3
101284848502536,Học Viện Queen Nail - Bình Dương,These ads ran without a disclaimer,18123087,6
103922995798978,Lương Y Nguyễn Văn Lư - Chữa Bệnh Xương Khớp,These ads ran without a disclaimer,17998547,52
280124715749325,Sự Thật Về Pháp Luân Công,Sự Thật Về Pháp Luân Công,17948703,9
104766922398282,Lương Y - Phạm Văn Thanh,These ads ran without a disclaimer,17875913,10
239146989989263,Đào tạo Sau đại học - Trường Đại học Khoa học,These ads ran without a disclaimer,17872610,4
1510318069113464,Tiếng Trung Molii FM - Tiếng Trung Giao Tiếp,These ads ran without a disclaimer,17867908,1
110105991215490,Thời Trang Xinh TTX,These ads ran without a disclaimer,17775416,15
269206097132174,Quà Tặng Doanh Nghiệp - Quà Tặng Khắc tên,These ads ran without a disclaimer,17604139,1
103696505642477,Chùa Quán Sứ,Chùa Quán Sứ,17522532,50
107520482262762,Tiệm sách bình dân,These ads ran without a disclaimer,17102823,2
104783532355469,Adelaida Mattson,These ads ran without a disclaimer,16363733,45
113138335014881,Phương Hạnh,These ads ran without a disclaimer,16149701,12
101115862314558,Nhà Thuốc Điều Trị Tiểu Đường-PHẠM VĂN THANH,These ads ran without a disclaimer,16075521,10
101688359533054,Lương Y Triệu Thanh - Điều Trị U,These ads ran without a disclaimer,16048623,19
8304333127,The Wall Street Journal,These ads ran without a disclaimer,16035086,5
108510284767191,Trung Tâm Trị Xương Khớp - TTƯT.Phạm Văn Thanh,These ads ran without a disclaimer,15512003,3
101307016333491,Cha Phêrô Nguyễn Văn Tường,These ads ran without a disclaimer,15339840,15
691541834375753,Nha Khoa Paris Buôn Ma Thuột,These ads ran without a disclaimer,15212144,3
201924886648336,Xe Cưới Đông A,These ads ran without a disclaimer,14762363,3
107607795775010,4Ask - AI Giải bài tập tiếng Anh,These ads ran without a disclaimer,14735577,3
103260552510240,Abc Store 1,These ads ran without a disclaimer,14651346,1
526258937389146,Chiến Lược Đầu Tư Thông Minh 04,These ads ran without a disclaimer,14531862,13
100796508821221,BiBi Shop,These ads ran without a disclaimer,14527951,8
194551723744781,Tổng Kho Phân Phối Dakami Chính Hãng 다카미,These ads ran without a disclaimer,14472088,11
102714105936610,Hỗ Trợ Đầu Tư Tài Chính 4.0,These ads ran without a disclaimer,14432806,12
102544049091254,Sách Online 365,These ads ran without a disclaimer,14273951,11
103410089343391,Nguyễn Thái - Tiêu U gia truyền,These ads ran without a disclaimer,14130828,6
106182191965167,Sách Cổ - Tri Thức Thời Xưa,These ads ran without a disclaimer,14085752,34
155460521146066,RFI Tiếng Việt,These ads ran without a disclaimer,13888995,24
1200963776702033,Hàng Rào Bê Tông Bắc Giang,These ads ran without a disclaimer,13349995,8
108209205672294,"Bí quyết trị U Vú, U Nang, U Xơ, U Tuyến Giáp",These ads ran without a disclaimer,12862333,1
101081219482550,"Nội thất cao cấp S-house - Chuyên vách ngăn, kệ tivi, kệ rượu trang trí",These ads ran without a disclaimer,12759551,4
114539731238756,Nguyễn Mỹ Bách,These ads ran without a disclaimer,12638690,2
1406349006330894,Nhận Đặt Tiệc Hồng Phát - nautiechongphat.com,These ads ran without a disclaimer,12447415,9
111556250595580,Mr Yến - Giấy Tờ Bằng Cấp,These ads ran without a disclaimer,12254242,3
802630369856759,Thẩm Mỹ Viện Quốc Tế Nevada,These ads ran without a disclaimer,12215993,26
101667059317703,Shop Bút Ký Cao Cấp Cở sở 8,These ads ran without a disclaimer,12192515,4
