Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
170182359507634,EU. News,These ads ran without a disclaimer,≤100,3
101733315799353,Aid Legion Ukraine,These ads ran without a disclaimer,≤100,2
432363893938433,KPOP MUSIC,These ads ran without a disclaimer,≤100,12
186681194527236,Libra-Official,These ads ran without a disclaimer,≤100,7
101476018258325,WAN DY,These ads ran without a disclaimer,≤100,1
715337551812957,One Ummah,These ads ran without a disclaimer,≤100,8
441717016632433,Kasaba Lagup,These ads ran without a disclaimer,≤100,5
106616288997915,Actual news,These ads ran without a disclaimer,≤100,1
1953982967998974,DpL - Demokraten Pro Liechtenstein,These ads ran without a disclaimer,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,8
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,7
1496843297242441,Fernstudium Direkt,These ads ran without a disclaimer,≤100,2
579848135530446,Porzellanmanufaktur FÜRSTENBERG,These ads ran without a disclaimer,≤100,5
455133101359253,Tax Consulting South Africa,These ads ran without a disclaimer,≤100,6
145891912753401,mrhost,These ads ran without a disclaimer,≤100,1
104002928883686,Somatic Institute For Women,These ads ran without a disclaimer,≤100,1
170578859467775,Harainbow,These ads ran without a disclaimer,≤100,9
1648670215356137,Fabio Marziali,These ads ran without a disclaimer,≤100,2
110038557114533,Imagine5,These ads ran without a disclaimer,≤100,10
138071576236484,Messe Friedrichshafen,These ads ran without a disclaimer,≤100,2
122102090780008967,B-News,These ads ran without a disclaimer,≤100,6
388770034503865,Autonome Schule Zürich - ASZ,These ads ran without a disclaimer,≤100,1
122093773022017765,Some News,These ads ran without a disclaimer,≤100,10
581045078625669,Sweettatt Balm,These ads ran without a disclaimer,≤100,5
382081373056,BMW Group,These ads ran without a disclaimer,≤100,13
907567945950773,Bob Peters,These ads ran without a disclaimer,≤100,8
107898798686030,Postcards from Ukraine,These ads ran without a disclaimer,≤100,2
192419543964851,European Life,These ads ran without a disclaimer,≤100,3
270512389472104,The Dancing Cucumber,These ads ran without a disclaimer,≤100,2
112564955077010,News,These ads ran without a disclaimer,≤100,1
122724759129541,Veganuary Deutschland,These ads ran without a disclaimer,≤100,3
104154842555246,Terra Vita - Charitable Ukrainian Found/Український Благодійний Фонд ГО,These ads ran without a disclaimer,≤100,1
