Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
510750862466303,Rodolfo Del Real,Rodolfo Del Real,393880,10
454711151401906,Concejal Ramón González,Ramón González Munizaga,393492,53
100348945409715,Ricardo Correa Core2021 vota 179,Ricardo Correa,393439,49
619000351454145,Sergio Urbano Gonzalez,Sergio González,393396,29
111549203970340,Robinson Flores,Robinson Flores,392914,19
199001820992215,Marcelo Santo Abogado,Marcelo Jose Santo Rodriguez,392546,13
104266675024641,Vanessa Kaiser - Concejal por las Condes,Vanessa Olimpia Kaiser BArents-Von HoHenhagen,392545,11
107249944417519,Pablo Jansana,Pablo José Jansana Soto,392463,34
101248676163115,Asociación Comunal La Higuera,Asociación Comunal La Higuera,391972,12
100170162153992,Gonzalo Ortega Alcalde Navidad 2021,Gonzalo Alberto Ortega Prieto,391882,8
115883738043634,No A Ciclo,No a Ciclo,391558,11
214114562821852,Noizz App,These ads ran without a disclaimer,390906,2
578582825921587,CCPS,Cristian Alejandro Vivian Troncoso,390641,6
792674714143783,Tele13Radio,These ads ran without a disclaimer,390493,19
100389792418324,Nicolás Lacámara CORE,Victor Nicolás Lacámara Sepúlveda,390237,13
109246581147267,Marcela Novoa Concejal,Hernan Cisternas,389766,24
106185091443519,Giovanna Moreira Almonacid,Giovanna Moreira,389486,35
446354745721438,Ernesto Balcazar - San Miguel,José Ernesto Balcazar Gamboa,388177,18
106171691878055,Carolina Gárate Diputada D-10,Carolina Gárate,388023,5
1495349440756275,Coordinadora Nacional NO Mas Afp,Javier Armando Marquez Gomez,386555,10
141279532409199,Bicycle Shop,These ads ran without a disclaimer,386432,1
108520748585669,Creando Puentes,These ads ran without a disclaimer,386412,9
101310041952081,Carolina Santis Gonzalez,Ana Carolina Santis Gonzalez,386343,53
1606737326204665,Dirección de Cultura Alcaldía Ciudadana,ESTUDIO 17 SPA,386090,16
1149958331708921,Ignacio Sapiaín,Ignacio José Sapiain Martinez,385522,23
101139925159685,Fernando Oyarzún Macías,Fernando Oyarzún Macías,384861,6
157486068164868,Alejandro Díaz Carvajal,Juan Carlos Limache Mamani,384023,13
107500107674041,OREO,These ads ran without a disclaimer,384001,5
101824482019485,Consejera Regional Susana Bustos Miranda,Susana Bustos Miranda,383476,11
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,383260,6
311368549779237,Orizon Seafood,Orizon,383151,15
100356111745773,Graciela Arochas Concejala,Graciela Arochas,382882,20
107299324596152,Martín Hauri Constituyente,Martin Jerez,382451,25
105248971603797,Marco Arellano Constituyente,Marco Antonio Arellano Ortega,381809,7
