Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
114157567088314,Γιώργος Διογένους - Georgios Diogenous,Γεωργιος Διογενους,5120,80
781256998671742,Μάριος Νεοφύτου,Μάριος Νεοφύτου - Υποψ. Αντιδήμαρχος ΔΗΜΟΥ Πάφου,4969,26
404386316397983,Κόμμα Δικαιοσύνης - ΟΑΔ,Michael Minas,4945,93
106743188642083,Φίλοι Μητροπολίτου Λεμεσού Αθανασίου - Friends of Metropolitan Athanasios,Neofytos Georgiou,4793,48
112058395311030,Christos Michaelides,Christos Michaelides,4689,92
101989786067935,Sadık Gardiyanoğlu,Sadık Gardiyanoğlu,4681,12
106262547828612,Φωτεινή Τσιρίδου - Fotini Tsiridou,Φωτεινή Τσιρίδου - Fotini Tsiridou,4681,108
2147276642205753,Κωνσταντίνος Χριστοφίδης 2023,Neo Kyma | Volt Cyprus,4678,97
221354394401941,Κυριάκος Ξυδιάς · Υποψήφιος Δήμαρχος Ανατολικής Λεμεσού,Marina Dimitriou,4514,65
2050729838486968,Θεατρο Ανεμωνα - Theatro Anemwna,Θεατρο Ανεμωνα - Theatro Anemwna,4495,108
100310018714166,Achilleas Demetriades,Achilleas Demetriades,4482,54
1981519141869958,Δημοκρατική Παράταξη · ΔΗΠΑ,DEPA,4477,172
101539042396068,Γιώργος Κολοκασίδης,Αλεξανδρος Μιχαηλιδης,4462,158
319277908712118,Netcast Zone,Netcast Zone,4428,184
28312410177,World Food Programme,These ads ran without a disclaimer,4372,234
151183983049330,Γιώργος Κουντούρης,Γιώργος Κουντούρης,4143,240
109379988652594,Fuat Namsoy,Mediazet Reklam Ajansı,4003,66
527351247377965,European Committee of the Regions,European Committee of the Regions,3987,399
122074554119,EU Social,EU Social,3896,39
381304162069025,Δημήτρης Δημητρίου - Demetris Demetriou,Δημήτρης Δημητρίου - Demetris Demetriou,3863,47
100514261565221,Chinese Embassy in Cyprus,Georgios Kitis,3859,60
1184280198249256,Κίνημα Αλληλεγγύη,Κίνημα Αλληλεγγύη,3687,80
159662674097761,Phedon Phedonos,Phedon Phedonos,3676,227
271604076034953,Κώστας Κωνσταντίνου,Costas Constantinou,3632,121
173956835959315,Ευθύμιος Δίπλαρος - Efthimios Diplaros,Ευθυμιος Διπλαρος,3616,267
1658836934390503,Tufan Erhürman,Tufan Erhürman,3595,28
1523797697855594,Δήμος Λεμεσού - Limassol Municipality,Limassol Municipality,3563,102
175364966541034,Let's Make Cyprus Green,EkoNest,3516,19
108134441312999,Παναγιώτης Τουλούρας - Panayiotis Toulouras,Panos Toulouras,3508,20
295136020510756,Παναγιώτης Γ.Κύζας,Παναγιώτης Γ.Κύζας,3499,56
292486477507787,Lidl Cyprus,These ads ran without a disclaimer,3484,6
110528361402047,Dr. Erdal Özcenk,Dr. Erdal Özcenk,3480,7
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,3405,49
101939345264058,Δρ Μιχάλης Χίνης - Μαζί στην Πρώτη Γραμμή,Michalis Hinis,3361,23
2050729838486968,Θεατρο Ανεμωνα - Theatro Anemwna,Theodora Xenofontos,3360,73
100936455330537,Σαββας Βουτήρου - Savvas Voutirou,Savvas Voutirou,3303,43
325422097488660,Cumhuriyetçi Türk Partisi,Cumhuriyetçi Türk Partisi,3263,92
1938937872998528,Κωνσταντίνος Λετυμπιώτης - Konstantinos Letymbiotis,Konstantinos Letymbiotis,3239,88
204892446290422,Kudret Özersay,Kudret Özersay,3199,122
300094114169666,Foni Cyprus,These ads ran without a disclaimer,3178,9
261958090506019,Πάνος Αναστασίου · Υποψήφιος Βουλευτής Λεμεσού · ΔΗΠΑ 2,Παναγιωτης Αναστασιου,3164,57
2338155079796185,Ali Başman,Ali Başman,3113,76
102944721782406,Γραφείο Επιτρόπου Επικοινωνιών,Γραφείο Επιτρόπου Επικοινωνιών,3107,129
232786976590497,Christos Makariou,Christos Makariou,3095,63
646627969136950,ΟΠΑΠ Κύπρου,ΟΠΑΠ Κύπρου,3086,68
519155634805463,Zeki Çeler,Zeki Çeler,3058,21
210461165486448,Δήμος Κάτσης,Δήμος Κάτσης,3028,42
1663243560590599,Ονούφριος Κουλλά l Onoufrios Koulla,Onoufrios Koulla,2950,198
822417261217421,Dr. Eleni Stavrou - Δρ Ελένη Σταύρου,Eleni Stavrou,2922,100
745685212118319,Μακάριος Δρουσιώτης,Μακάριος Δρουσιώτης,2878,24
878208312216203,Prof. Dr. Niyazi Kızılyürek,Prof. Dr. Niyazi Kızılyürek,2729,79
206470649447499,CARDET,CARDET,2687,107
100945898926732,Μιχάλης Χατζηπαντέλα - Michael Hadjipantela,Μιχάλης Χατζηπαντέλα - Michael Hadjipantela,2661,74
