Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
539786692743987,Sebany Gaspar,These ads ran without a disclaimer,7826,6
106401695334655,Eliseu Paulino,These ads ran without a disclaimer,7687,1
100158055906490,Kwenda Magic,These ads ran without a disclaimer,7610,1
434438863316803,RFI Português,These ads ran without a disclaimer,7451,2
230834147675510,LabXchange,These ads ran without a disclaimer,7234,1
321207378328910,President Clinton Bellerye,These ads ran without a disclaimer,7233,6
111574430612504,Geraldo Dala,These ads ran without a disclaimer,6957,2
573006369523741,Nicompan,These ads ran without a disclaimer,6957,2
105957165570845,Xé - Agora Aguenta,These ads ran without a disclaimer,6957,1
216311481960,Bill Gates,These ads ran without a disclaimer,6527,67
112151021142520,UniPeople,These ads ran without a disclaimer,6520,1
391387864969982,Prisoners Defenders,These ads ran without a disclaimer,6520,2
110969251495643,Cabef - Central Africa Business Energy Forum,These ads ran without a disclaimer,6520,1
430773770330702,Gripe Prolongada - Dr. Jorge Derna,These ads ran without a disclaimer,6379,1
105894188869820,carabacana00,These ads ran without a disclaimer,6087,1
110250330354380,Discover Beijing,These ads ran without a disclaimer,6026,8
360424321432255,Doha Debates,These ads ran without a disclaimer,5861,4
103449517822304,CNPC,These ads ran without a disclaimer,5844,4
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,5829,2
31292782350,Deutschland.de,These ads ran without a disclaimer,5780,127
328170537196961,Domplex,These ads ran without a disclaimer,5588,1
763097837185993,Instituto Reformado de São Paulo,These ads ran without a disclaimer,5555,27
101860826001801,O Pediatra,These ads ran without a disclaimer,5503,1
0,Instagram User 8712915569,These ads ran without a disclaimer,5244,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,5234,6
116421244767013,Turkish Airlines-Angola .,These ads ran without a disclaimer,5226,2
132821356581146,JMPLA - Comité Provincial de Luanda,These ads ran without a disclaimer,5217,1
423670114403144,Trending in China,These ads ran without a disclaimer,5131,9
112857077857582,Omo - Weight Loss With Psychology,These ads ran without a disclaimer,5122,6
100303102751882,P-NJango,These ads ran without a disclaimer,5005,1
229740661129378,Movimento Laudato Si' - Brasil,These ads ran without a disclaimer,4961,1
285530825204,Klitschko,These ads ran without a disclaimer,4935,97
118724814882454,CPLP - Comunidade dos Países de Língua Portuguesa,These ads ran without a disclaimer,4867,3
100342762418085,Blessing Light’ngozi,These ads ran without a disclaimer,4852,3
102093685620627,Best Diplomats,These ads ran without a disclaimer,4756,1
117217181279013,Inovae,These ads ran without a disclaimer,4739,1
112298561809645,Sombla,These ads ran without a disclaimer,4657,1
100602915032991,Pedro Tadeu,These ads ran without a disclaimer,4628,3
116459031393041,Excool Man,These ads ran without a disclaimer,4582,2
322865159833,RCD Espanyol de Barcelona,These ads ran without a disclaimer,4563,5
100126212204265,Homebond Properties,These ads ran without a disclaimer,4516,1
113387548252633,محمد عبد الله احمدو,These ads ran without a disclaimer,4460,3
245783122707027,Mars Solar Power System Manufacturer,These ads ran without a disclaimer,4409,2
104015742220554,Mimic,These ads ran without a disclaimer,4365,7
104069985013801,Pércia Tapetes,These ads ran without a disclaimer,4348,1
1635372166480101,TOP 2,These ads ran without a disclaimer,4348,1
108350037422144,Hora de Hablar,These ads ran without a disclaimer,4348,8
176104589110851,IEEE,These ads ran without a disclaimer,4210,3
102877471454350,Kande Gao,These ads ran without a disclaimer,4128,2
110530811849672,Encontros PNAID 2023,These ads ran without a disclaimer,4032,2
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,4000,4
153340565417638,Assembleia Nacional de Angola,These ads ran without a disclaimer,3930,1
146836722151434,Iberbibliotecas,These ads ran without a disclaimer,3926,1
100444065759459,The Renata,These ads ran without a disclaimer,3890,3
330275596831695,Diário Rubro-Negro,These ads ran without a disclaimer,3809,1
111622410196045,State of Youth,These ads ran without a disclaimer,3726,18
425350744240843,Comitê Internacional da Cruz Vermelha,These ads ran without a disclaimer,3520,2
342762849696677,Liga o Cérebro,These ads ran without a disclaimer,3520,1
896780547036922,Nos Bastidores do Reino-A vida secreta na Igreja Universal do Reino de Deus,These ads ran without a disclaimer,3478,1
104567442530838,Rádio Ouvinte,These ads ran without a disclaimer,3478,3
187429968296722,Harvard Online,These ads ran without a disclaimer,3405,5
2078571719077963,Axx,These ads ran without a disclaimer,3185,1
103817482531792,P-Njango,These ads ran without a disclaimer,3070,1
100664652308511,Atelier D'Artes Lucengomono,These ads ran without a disclaimer,3009,1
107313071722125,alugueisimoveishotmailcom,These ads ran without a disclaimer,2998,2
1568451713458250,Rádio Ouvinte,These ads ran without a disclaimer,2896,2
456346654766111,CCV Advogados,These ads ran without a disclaimer,2868,1
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,2853,13
270167810536121,SUGE Internacional,These ads ran without a disclaimer,2852,1
267410650127820,NRD Companies,These ads ran without a disclaimer,2821,6
107626211033665,Sapalo,These ads ran without a disclaimer,2817,2
110268564951923,Wildlife Solutions,These ads ran without a disclaimer,2794,2
447879208736980,Arteleia - Produção de Conteúdos Literários,These ads ran without a disclaimer,2794,2
2904975949728291,Catarina Taborda Gomes,These ads ran without a disclaimer,2794,1
15748409421,Kaysha,These ads ran without a disclaimer,2794,1
367711660105191,Jornal da Ciência,These ads ran without a disclaimer,2791,2
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,2791,29
106852784106445,LGMG,These ads ran without a disclaimer,2770,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,2691,8
101080731878586,ICEJ Em Portugues,These ads ran without a disclaimer,2686,2
1592184267758930,Round-Table,These ads ran without a disclaimer,2636,4
100463332064270,menina__do_campo,These ads ran without a disclaimer,2623,1
103194074552709,Comércio Total,These ads ran without a disclaimer,2609,1
108151051312823,Consultório NeuroEixo,These ads ran without a disclaimer,2609,2
506953826155064,MPLA - Kilamba Kiaxi,MPLA - Kilamba Kiaxi,2609,3
219612384781411,Bloomberg Philanthropies,These ads ran without a disclaimer,2609,11
