Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,94
108773793870894,The Kitchen Doha,These ads ran without a disclaimer,≤100,1
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,5
107219538605414,Rise Luxury Real Estate - Dubai,These ads ran without a disclaimer,≤100,12
112306555011875,holaqatar92,These ads ran without a disclaimer,≤100,1
104286442385135,فلسطينية,These ads ran without a disclaimer,≤100,1
191147204407115,International Task Force on Teachers for Education 2030,These ads ran without a disclaimer,≤100,1
100206438148571,Kunefe House,These ads ran without a disclaimer,≤100,1
430759586971486,Education Above All Foundation,These ads ran without a disclaimer,≤100,2
175823385612796,Orb Radiance,These ads ran without a disclaimer,≤100,1
102153965975712,King's Real Estate,These ads ran without a disclaimer,≤100,1
106813862404577,Noor Humayun,These ads ran without a disclaimer,≤100,3
139242189282481,Saadiyat Cultural District,These ads ran without a disclaimer,≤100,1
100904822517086,Non-Trivial,These ads ran without a disclaimer,≤100,17
286110394875405,Ministry of Culture - وزارة الثقافة بدولة قطر,These ads ran without a disclaimer,≤100,5
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,4
125310737338273,Send Them Home,These ads ran without a disclaimer,≤100,4
104356656288007,International Hunting and Equestrian Exhibition - Abu Dhabi,These ads ran without a disclaimer,≤100,3
21169267101,Give,These ads ran without a disclaimer,≤100,2
565225540184937,CGTN,These ads ran without a disclaimer,≤100,111
28928259418,"Saïd Business School, University of Oxford",These ads ran without a disclaimer,≤100,2
111425141958605,Sparklo,These ads ran without a disclaimer,≤100,6
109050608782113,AC Repair Service Buy and Sell Doha Qatar,These ads ran without a disclaimer,≤100,1
104030452104180,Helena Health Shop,These ads ran without a disclaimer,≤100,1
107191257470391,EIIS - European Institute of Innovation for Sustainability,These ads ran without a disclaimer,≤100,1
102127678361370,k3k.qtr,These ads ran without a disclaimer,≤100,1
