Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library
87433504191,Democratic Action Party,Democratic Action Party,587636,1038
237380633036751,火箭报,DAP Malaysia,586087,1340
221159141657466,Newswav,Newswav - Malaysia Latest News,550204,3579
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,514105,730
343347583411734,歡樂大東家,These ads ran without a disclaimer,419002,34
350525301281,Ismail Sabri Yaakob,Ismail Sabri Yaakob,405419,1367
401788663279891,Yayasan Sofa Negeri Sembilan,Yayasan Sofa,310949,67
104398771409285,Perikatan Nasional,Perikatan-Nasional,298814,213
1955662711111123,Apa Kata Orang,Apa Kata Orang,277612,3294
145165568851292,Rafizi Ramli,Ayuh Malaysia,274690,993
511180939055992,DAP Sabah 沙巴民主行动党,DAP Sabah 沙巴民主行动党,225056,729
204862942932993,Nikkei Asia,These ads ran without a disclaimer,200361,1115
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia - DPPM,198403,877
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,161356,171
138361272876308,马华公会,马华公会,144397,466
474963719253432,Yayasan Ikhlas,Yayasan Ikhlas,133086,157
110729661261813,斗罗大陆：武魂觉醒-新马版,These ads ran without a disclaimer,129684,7
103627275288286,Lumi News Malaysia,These ads ran without a disclaimer,128406,43
102465258256702,Wasiat Tok Wan,Ikhwan Ariff Bin Samsudin,112561,23
643562522335339,KyoChon Malaysia,These ads ran without a disclaimer,92619,197
330451017046844,Amirudin Shari,Amirudin Shari,89915,594
214066990599,Berita Harian Online,Berita Harian Online,87082,325
902721186484854,GCMAsia,These ads ran without a disclaimer,81629,5
170501559668050,Kementerian Kesihatan Malaysia - Portal Myhealth,Kementerian Kesihatan Malaysia,80000,54
517210464961612,刘华才博士,PGRM,75396,764
112737487033275,Harm Awareness Association,Harm Awareness Association,71600,40
87363369882,Sinar Harian,Sinar Harian,71383,470
1419575668348742,Gerakan Muafakat,Mohd Rais Bin Omar,70921,124
377863958981851,Mahdzir Khalid,Mahdzir Khalid,70362,78
693929714007978,Hj Nicholas Sylvester Muhammad Abdullah,Portal Mudah,66936,11
293098370815536,Mohd Rafiq Naizamohideen,Mohd Rafiq Bin Naizamohideen,64019,118
2164630037156785,Adly Zahari,Parti Amanah Negara,61128,313
143451526401157,Abdul Rahim Tahir For P.063 Tambun,Abdul Rahim Bin Tahir,59657,75
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,59453,91
108541027668420,盛世芳華,These ads ran without a disclaimer,58380,9
104583751158392,Pustaka Permata Ummah,Pustaka Permata Ummah,57729,121
135091239861609,Nur Jazlan Mohamed,Nur Jazlan Mohamed,56991,117
37447942417,Nurul Izzah Anwar,Parti Keadilan Rakyat,56490,33
102366124467442,KitaReporters.com,Ng Weng Thiam,50000,14
161765427218260,Coffeeticks,Ng Weng Thiam,50000,15
581780825238774,TOPIX Technology,These ads ran without a disclaimer,49504,202
102347691691485,Malaysian Viral Page,Malaysian Viral Page,48272,308
28312410177,World Food Programme,These ads ran without a disclaimer,47442,215
110103494236868,BN COMMS,BN Comms,47359,253
1130669147012110,Syed Saddiq Syed Abdul Rahman,Syed Saddiq Syed Abdul Rahman,46448,96
109978830534400,Dr Dominic Lau Hoe Chai,PGRM,45751,419
413417772151030,NH ONLINE,Mohd Ismail Bin Baharudin,45531,238
197799207237326,Pakatan Harapan,Harapan,45098,136
176159849754763,MCA,MCA,43015,99
102662592664570,KJ John P105 Petaling Jaya,K.J John A/L John Kuruvilla,42131,225
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,41629,55
484252648673938,Age of Origins,These ads ran without a disclaimer,40964,8
27588322041,BFM Radio - The Business Station,BFM Radio - The Business Station,39485,238
2212692808965426,蓝天 Lan Tian,蓝天 Lan Tian,37210,96
100256272901671,Johan Ropi,Johan Ropi,36432,35
146911248727335,Abdul Hadi Awang,Abdul Hadi Awang,36240,35
1629302040667117,Koleksi Viral,Koleksi Viral,36012,136
112040937302708,Parti MUDA Malaysia,Mohamad Momen Bin Abdul Aziz,35654,26
112183975526837,Muhyiddin Yassin,Mohd Ikhmal Abu Bakar,35623,12
211591442051,Harian Metro,Rev Media Group,35321,170
104503762988176,Hidayah Centre Foundation,Hidayah Centre Foundation,35131,31
1466006540330480,Shahril Hamdan,Shahril Hamdan,33288,17
121684657859752,Tech Terrain College,These ads ran without a disclaimer,33106,7
122913508099,Parti Gerakan Rakyat Malaysia,PGRM,32855,160
126519450697836,Dr Halimah Ali,Dr Halimah Ali,32657,16
223180581163143,Jagdeep Singh Deo 'Serving the People',Jagdeep Singh Deo 'Serving the People',32267,410
11726505964,Astro AWANI,Astro AWANI,31531,39
195105060510135,Kementerian Dalam Negeri (KDN),Aiman Hakim Bin Mohd Yusof,31320,29
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,31105,298
100636399607458,Malaysia MADANI,Malaysia MADANI,30606,35
107899287659414,Negeri Kita,Negeri Kita,30509,4546
110160487304852,Dr. Siti - NK Age-Reverse,These ads ran without a disclaimer,30322,11
416587839184745,Negeri Sembilan Update ( N.S.U ),Negeri Sembilan Update ( N.S.U ),30322,4198
304069066908775,Team TokMin,Team TokMin,30142,4074
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,30095,13
150274412333441,Ana Tahu,Ana Tahu,29904,171
1560866277543941,Dr Radzi Jidin,Era Baharu Putrajaya,29480,33
131870563493026,OHBULAN!,OHBULAN!,29194,280
1011160672261971,Parti Amanah Negara,AMANAH,29130,264
102136629894327,Greenpeace Malaysia,Greenpeace Malaysia Sdn Bhd,29104,174
446352142470360,Ustaz Marzuk Shaary,Ahmad Marzuk Bin Shaary,29018,272
183927005655878,Yayasan Maghfirah,Muhammad Azra'ie Bin Azmi,28533,49
104730808300706,PN Melaka,Nur Hayati Binti Hassan,28512,23
100262819409856,Hasnizan Harun,Hasnizan Harun,28120,45
133784156640557,FTMS College Malaysia,FTMS College Malaysia,27592,3
192381083777,Hyundai Worldwide,These ads ran without a disclaimer,26445,7
121531764716236,Dato' Dr. Ahmad Yunus Hairi,Dato' Dr. Ahmad Yunus Hairi,26417,41
100414095066894,阿米,阿米,26215,83
318368621577316,Fadhli Shaari,Fadhli Shaari,25771,38
166067163728164,Dr Sim Kui Hian,N14 Dr Sim Kui Hian,25440,81
511562268982741,Dato' Syed Abu Hussin - Ahli Parlimen P059 Bukit Gantang,Dato' Syed Abu Hussin - Ahli Parlimen P059 Bukit Gantang,25281,77
511188415592658,Dr. Fathul Bari,Dr. Fathul Bari,25261,17
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS),25113,44
105058084612992,Perikatan Nasional,Ahmad Zulqurnain Binti Ghazalli,25053,10
176612389069865,Hafez Sabri,Hafez Sabri,25016,58
31373189944,Malaysiakini BM,FG Media Sdn Bhd,24841,89
450309788374603,Aminuddin Yahaya,Aminuddin Yahaya,24822,35
104730808300706,PN Melaka,Mohd Rafiq Bin Naizamohideen,24547,56
146956585431852,Afnan Hamimi Taib Azamudden,Afnan Hamimi Taib Azamudden,24439,26
100484115131221,The Vibes,The Vibes,24426,177
217391881631388,SAYS,SAYS,23872,75
324846571399982,Tan Sri M Ramasamy,Tan Sri M Ramasamy,23505,92
68793499001,UNICEF,These ads ran without a disclaimer,23327,54
109856850946859,Nsummit 3 ComeBack,These ads ran without a disclaimer,23308,627
446352142470360,Ustaz Marzuk Shaary,Ustaz Marzuk Shaary,22886,313
200480966638039,Supremacy 1914,These ads ran without a disclaimer,22639,3
105544175163523,Panglimaoil.com,These ads ran without a disclaimer,22292,63
485555938296885,Aman Palestin Berhad,These ads ran without a disclaimer,21932,6
881712758830165,BERJASA Malaysia,BERJASA Malaysia,21763,22
130114577096206,刘镇东,DAP Malaysia,21459,54
503951883021764,ShareTheMeal,These ads ran without a disclaimer,20820,46
165375866806647,Melaka Kini,Melaka Plus,20739,120
369244243546,Kementerian Kewangan,These ads ran without a disclaimer,20653,7
277441125605570,FXTM,These ads ran without a disclaimer,20646,8
269301935826,ROTIKAYA,ROTIKAYA,20585,108
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia,20056,87
101439082646437,邱培栋,kotamelaka.com,19602,66
869012066555452,See Chee How 施志豪,Jeffery Mok Hui Chung,19491,205
101384989460744,Pakatan Sahabat,Vanity Maverick,19125,116
68793499001,UNICEF,UNICEF with Facebook Ad Credits,19105,23
664860666981168,美嘉樂爱心之家,These ads ran without a disclaimer,19084,4
446376772194584,宾果日报 Bingo Daily,Bingo Daily,18606,53
101948845952442,Amyleakainsedap,Evan Mcclarance Gundi Anak Kelvin Renggan,18526,25
1644453149175670,Paramount Property,These ads ran without a disclaimer,18526,9
101387829455160,GO2V,GO2V,18460,18
1071860782942949,JohorPress,Sayefullah Bin Jasman,18287,83
135729286825875,Hamzah Zainudin,Hamzah Zainudin Orang Kita,18268,101
413417772151030,NH ONLINE,Nor Hamzie Bin Md Hambali,18253,175
101088682525262,Zarul Salleh,Ahmad Zulqurnain Binti Ghazalli,18251,40
107575511165573,Pemuda Perikatan Nasional,Shahidatul Aida Binti Mhd Said,18230,138
105478775690881,Support Deepak PRU15,Gwi Terk Chern,18041,35
106163341355774,Akmal Nasir阿克玛,Akmal Nasir阿克玛,17820,37
330284787718666,Muhammad Al Afiz Yahya,Wan Nur Syarizzah Binti Jamil,17495,85
718939814829233,ViralMeletop,Gwi Terk Chern,17472,58
106217881913074,Parti Bangsa Malaysia Rasmi,Mohd Zaihan Bin M Zainal,17465,65
184626038756582,Ahmad Bilal Rahudin,Shahidatul Aida Binti Mhd Said,17371,83
1716331915146804,Khairi Aizat,These ads ran without a disclaimer,17284,4
103406462160763,Nat Market,VIDARA SDN BHD,17269,179
1744716682510052,Ustaz Aire Roslan - UAR,Muhammad Zahir Bin Mat Yunos,17176,56
223180581163143,Jagdeep Singh Deo 'Serving the People',Usha A/p Balakrishnan,17090,183
200137296705417,Persatuan Pengguna Islam Malaysia (PPIM),These ads ran without a disclaimer,17017,152
150371651783435,Yeo Bee Yin（杨美盈）,Yeo Bee Yin,16775,31
114972633525483,Tile fun,These ads ran without a disclaimer,16747,2
