Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
124201680936949,Telge Energi,Telge Energi,1358046,643
151738534885183,Kraftringen,Kraftringen,1324031,141
323156205347,Vänsterpartiet,Vänsterpartiet,1315289,736
191359334218856,Internetstiftelsen,Internetstiftelsen,1298181,390
118943054880945,Annie Lööf,Centerpartiet,1284278,183
103915918247717,Bulletin,Bulletin,1279243,100
294378704099,FELIX,FELIX,1267342,37
2194546487442221,Neste,Neste,1266411,646
117056501654820,Socialdemokraterna i Stockholm,Socialdemokraterna i Stockholm,1261141,234
1419307421424959,Demokraterna,Demokraterna,1260917,173
237813956289260,Maskrosbarn,Maskrosbarn,1249731,671
267640803634611,Moderaterna i Västerbotten,Moderaterna i Västerbotten,1179742,566
111699453757094,Soft Towel Games,These ads ran without a disclaimer,1170251,19
369122343101775,e.on,E.ON Sverige AB,1167654,52
183512318424647,Magdalena Andersson,Socialdemokraterna,1160560,727
133536819999319,SOS Barnbyar,SOS Barnbyar,1159066,468
108184264291841,Frankful,Frankful,1157403,27
208619589270223,Nextory,Nextory,1145264,180
91818886532,We Effect,We Effect,1128365,504
163820136238,LO Sverige,Landsorganisationen Sverige,1125281,199
118191008217331,Handelsbanken,Handelsbanken,1112248,135
291973617241,Ben & Jerry's,Ben & Jerry's,1112205,105
576845979156129,Techarenan,Techarenan,1111395,239
150057951690751,OKQ8,OKQ8,1082365,126
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,1077715,1660
261455205686,LRF,LRF,1044517,871
237187386324119,Frälsningsarmén,Frälsningsarmén,1043435,339
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,1015630,26
145401631365,SSAB,Scream Mediabyrå AB,998991,36
113710601984970,Barnfonden,Barnfonden,995581,556
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,991250,1089
302057731617,Myndigheten för samhällsskydd och beredskap (MSB),Myndigheten för samhällsskydd och beredskap,987688,28
109969847586061,Morgon-Tidningen,AIP Media,970702,389
109724707089757,Barndom utan baksmälla,Barndom utan baksmälla,968748,178
101376125280259,Sträck ut en hand,Läkarmissionen,958194,364
412192732132640,ECPAT Sverige,ECPAT Sverige,915315,1121
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,909176,550
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,907963,399
17775970938,Cancerfonden,Cancerfonden,893110,1571
163820136238,LO Sverige,LO Sverige,883868,448
130666626950917,Öresundskraft,Öresundskraft,872699,146
636103536446815,Johan Danielsson,Landsorganisationen i Sverige,871930,29
175843834306,WaterAid Sverige,WaterAid Sverige,867214,1376
170211353124087,Centerpartiet i Stockholm,Centerpartiet i Stockholm,850329,432
234172635050,Forum för levande historia,Forum för levande historia,846430,572
237146235237,Timbro,Tankesmedjan Timbro,833813,566
1609117266076436,Kyrkoval 2021,Trossamfundet Svenska kyrkan,818544,269
171317269565008,SodaStream Sverige,SodaStream Nordic AB,816474,12
100253435575183,EPHI - Environment and Public Health Institute,Environment and Public Health Institute,815378,177
98623096089,Lantmännen,Lantmännen,812541,39
290735261080438,Moderaterna i Göteborg,Moderaterna i Göteborg,800606,444
143140665862271,Moderaterna Umeå,Moderata kretsen Umeå,760149,439
115403725210334,Hand in Hand Sweden,Hand in Hand Sweden,757205,232
273053169937029,ClimateHero,ClimateHero,753730,65
232873963389824,Göteborg Energi,OMD Sweden,747061,55
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,739798,351
296423575695,Afrikagrupperna,Afrikagrupperna,739103,531
139767876088719,Skandia,Skandia,732542,258
109609604086656,Vejpkollen.se,Vejpkollen.se,718943,75
108492218918,IF Metall,IF Metall,718040,636
166859653342254,Roks - mot mäns våld mot kvinnor,Roks - mot mäns våld mot kvinnor,714088,203
1409496505838142,Doktor.se,These ads ran without a disclaimer,710743,13
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,707053,389
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,699002,278
578953655567499,Jörgen Astonson,ETC Media AB,693913,129
106579105171694,ETC nyhetsmagasin,ETC Media AB,691251,2086
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",688277,526
393959767360779,Sverigedemokraterna Region Skåne,Sverigedemokraterna Region Skåne,675296,279
102335578503312,Linköpingslistan,Linköpingslistan,665491,132
109886133732943,RESCUE - Sverige,RESCUE – Sverige,664728,550
105462524358269,Den Svenska Gruvan,Den Svenska Gruvan,663008,73
116032393137834,Jessica Stegrud,Jessica J Stegrud,661005,129
133681391993,Socialdemokraterna i Göteborg,Socialdemokraterna i Göteborg,652890,495
328754490337,Vårdförbundet,Vårdförbundet,652740,343
254543154597970,Miljöpartiet i Stockholms stad,Miljöpartiet i Stockholms stad,652381,721
122074554119,EU Social,EU Social,646184,35
532465623480216,Skanska Bostad,These ads ran without a disclaimer,605215,32
113234935374946,Grön Ungdom,KSMG,601111,1724
1359442884155278,Järvaveckan,Stiftelsen The Global Village,597785,402
163820136238,LO Sverige,Landsorganisationen i Sverige,594986,314
176875999028086,Kristdemokraterna Stockholm,Kristdemokraterna Stockholm,584685,960
225975657531513,Moderaterna i Södertälje kommun,Lukas Patrik Hållkvist,584359,869
114526821939129,Arla,Arla Foods,583711,13
1797724450537743,GoClimate,Go Climate Neutral,583170,185
126245644082634,Malmömoderaterna,Malmömoderaterna,579245,656
145401631365,SSAB,SSAB,577843,65
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,572946,285
189772844921401,Vad Vi Vet. Politik,Vad Vi Vet.,568522,60
643137272398136,Sverige för UNHCR,Viva Media,565398,226
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,563691,686
314283591054,Byggnads,Byggnads,561940,612
112225970344,Räddningsmissionen,Räddningsmissionen,556944,414
107661276615407,Enkla Kassen,Enkla Kassen,552053,122
809338299217333,Svenska Epoch Times,Svenska Epoch Times,550904,67
100941935326134,RekonstruktionsGruppen,Rekonstruktionsgruppen Sverige AB,546676,535
172441106275050,KPA Pension,KPA,530020,6
157164123601,Trafikverket,Trafikverket,527348,83
1177015185803869,Textilsmart,Naturvårdsverket,521665,87
1757191391203190,Proethos fond,Proethos AB,520527,310
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,514647,193
133910158381,Saco,Saco,506985,387
201702346508598,Liberalerna Skåne,Liberalerna,506865,252
602053453278014,NIBE,NIBE,506072,14
419986881240,AcadeMedia,AcadeMedia,501123,103
171884817870,Lärarförbundet,Lärarförbundet,496897,877
312084019369,Dagens Medicin,Dagens Medicin,495886,35
114262485262083,Konsumentverket,Konsumentverket,495552,19
608975645850217,Vattenfall,These ads ran without a disclaimer,492220,178
116621488352172,Centerpartiet i Göteborg,Centerpartiet i Göteborg,487983,470
249195615122371,Sara Skyttedal,Sara Skyttedal,487700,200
141366725876424,European Greens,European Greens,479768,359
539297539496434,Dagens Samhälle,Dagens Samhälle,477799,88
166406746310,Resumé,Resumé,477261,43
890888971075662,Stockholm Exergi AB,Stockholm Exergi,477183,44
223302541061447,Nema Problema,Nema Problema,470227,449
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,469517,1021
102414309949126,Socialdemokraterna i Skåne,Socialdemokraterna i Skåne,466239,159
101260085431656,Kavlaupp,The Amazing Society AB,466000,26
219410318157271,Läkarmissionen,Läkarmissionen,460628,96
176407156115,OLW,OLW,454406,8
140417992681511,Clowner utan Gränser,Clowner utan Gränser,453367,309
202436601104,Transportstyrelsen,Transportstyrelsen,450000,5
223595107653447,Philadelphia Sverige,Mondelez Sverige AB,449034,7
110813562940,Vision,Vision,445561,190
935167936599501,CSN,CSN,445402,470
690167674732029,Lena Hallengren,Socialdemokraterna,438966,274
712230305617939,Uniper i Sverige,Uniper i Sverige,438285,677
103296115466644,Skattenytta,Kommissionen för Skattenytta,436389,148
153028052500,Kvinna till Kvinna,Kvinna till Kvinna,435838,717
239855722130,Nyhetsmagasinet Fokus,Fokus,428433,605
126840196572,Kia Sweden,Kia Motors Sweden,426693,208
278117815576023,EU Justice and Consumers,BANG,424669,17
369337099772743,Skanska Sverige,Skanska Sverige,424503,511
399863096781774,Mind,Mind,424490,263
153150404966,Moderaterna Skellefteå,Moderaterna Skellefteå,423883,215
