Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
110985836193,Loren Legarda,Friends of Loren Legarda,1475377,244
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,1474560,45
245279018975702,Paul Aguinaldo Abaya,Abayanihan,1469078,162
102227058569651,Team Loren Legarda,Friends of Loren Legarda,1465002,347
62739603227,7-Eleven Philippines,Philippine Seven Corporation,1431078,10
366797844060990,Now You Know,Now You Know,1430680,780
154883128049730,Greco Belgica,Greco Belgica,1417646,17
28312410177,World Food Programme,These ads ran without a disclaimer,1409963,215
100259438736790,WiFi Partylist,Wifi Partylist Supporters,1403341,18
68793499001,UNICEF,These ads ran without a disclaimer,1358779,64
498928790144853,Neri Colmenares,Angela Bayonet Colmenares-Sabino,1348903,3
423314964466362,Congressman Migz Villafuerte,Governor Migz Villafuerte,1343486,277
316546052816,DIWA Partylist,DIWA Partylist,1338584,28
378776322864956,ANG PROBINSYANO Party-list,Elrey James Delmo Penestan,1318756,226
240031043234904,Bicol News,Joshua Arroyo Pinca,1318736,199
115015826622320,Rapid News PH,Rapid News PH,1302650,711
155127674511376,Chowking PH,These ads ran without a disclaimer,1281898,4
388689438381348,Mike Defensor,MALAYANG QUEZON CITY,1265185,626
385941377323,Novo Ecijanos for Leni Robredo,Dapat si Leni,1264783,8
319488142121,Jinggoy Estrada,Pwersa Ng Masang Pilipino,1246754,271
101160911535099,Healthy Pilipinas,Claudio Espigol Rugay,1236526,14
102248760571,UNICEF Philippines,These ads ran without a disclaimer,1232410,65
599316740192350,kumu,These ads ran without a disclaimer,1217285,25
319488142121,Jinggoy Estrada,Anak Ng Masa,1211002,84
868396583546728,Tayo si ISKO,Tayo Si Isko,1207583,26
101893772463453,Cong Atayde Kita Movement,Cong Atayde Kita Movement,1205343,90
210804265725911,Monsour del Rosario,Universal Vision PH,1193118,48
100350202335117,Benhur Abalos,Authority Asia Communications Inc.,1179883,255
198852633461667,Lray  Villafuerte,Lray  Villafuerte,1165930,184
247331620535579,Mike Defensor,The Mike Defensor Organization,1147938,313
100524842436526,QC Malaya Mayor Mike Defensor,MALAYANG QUEZON CITY,1120806,317
135261979819373,"Antonio ""Sonny"" Trillanes IV",Antonio Fuentes Trillanes Iv,1101480,44
284388901610603,Philippine Manila Times,Sartine,1096976,360
2103172176611007,Aksyon Demokratiko,Aksyon Demokratiko,1091533,515
331046463913000,StarMaker Global Bring Out The Singer In You,These ads ran without a disclaimer,1089031,20
200969413280005,Shell,These ads ran without a disclaimer,1045756,2
109535090749815,The Manila Journal,The Manila Journal,1038259,466
480552092150213,Malayang Quezon City,MALAYANG QUEZON CITY,1037806,646
100528209080217,Oscar Orbos,Marilyn Gatcho Lacson,1030394,122
401812333925645,Malayang Quezon City,MALAYANG QUEZON CITY,992241,671
1124813047530288,COMELEC,COMMISSION ON ELECTIONS,990476,34
202280736594640,REX Gatchalian,REX Gatchalian,971856,80
107747491627704,Herbert “Bistek” Bautista,Harlene Charmaine Bautista Tejedor,966546,84
135261979819373,"Antonio ""Sonny"" Trillanes IV","Antonio ""Sonny"" Trillanes IV",952102,27
824886400914694,Ping Lacson,"Bestpak Packaging Solutions, Inc.",951481,57
367893917057700,DDS Bicol,Chinky Rosales Viola,941165,137
1087859964611855,Philippine Competition Commission,Philippine Competition Commission,937482,45
107677411516687,GIBO Teodoro PH,Friends of Gibo Teodoro,933340,349
107092931016452,Negosyante News,Negosyante News,913938,470
546388532235263,Duterte Youth Party-list,Ronald Gian Carlo Lapitan Cardema,904793,67
111793954617070,Pure Love Pilipinas,GPMPI,900000,6
1499852983661200,We Support Vice President Leni Robredo,Tony Reyes,899179,37
111994177005011,NewPost,Christian Vicente Puod,894229,41
156752721080952,Sonny Angara,Sonny Angara,881459,564
100170811672425,Pilipinas Today Kyusi,WFPH,881228,635
102750731425600,Partido Serye,Lauren Romero Villanueva,860021,88
61953501555,Akbayan Partylist,Social Dynamics,851700,24
265779500134955,SM Supermalls,SM Supermalls,844446,127
271011446806109,The Eco Shift,These ads ran without a disclaimer,844411,104
2199886150257370,Rinconada Secret Files,Gabrielle Hilario Corralde,837799,105
175305872527922,Nestlé,These ads ran without a disclaimer,832548,6
107843324807719,Pinuno Partylist,Pinuno Partylist,822828,74
107575351484015,Baretang Rinconada,Paulene Roxas Yuboco,814602,52
844188729012036,Amado Bagatsing,KABAKA Foundation,802327,93
109511527345620,PH Heroes,These ads ran without a disclaimer,799892,9
2101088876594734,MBS- Senior Deputy Speaker DOY Leachon,Ronalee Escondo Leachon,797765,454
108465807567403,Boy Blue Aguinaldo Abaya,Abayanihan,787799,217
351392538789732,WOW Pilipinas Partylist,WOW Pilipinas Partylist,783845,87
106352075165169,e-Boto,e-Boto,775993,457
102227058569651,Team Loren Legarda,Supporters of Loren Legarda,771838,213
351882775900832,"Kamusta ka, Pilipinas?",Friends of Loren Legarda,768038,134
294533340569341,AKO BICOL Party List,Ako Bicol Supporters,759926,92
107568071387326,TODA Partylist,SOULUTION,758375,66
957982664357284,Rolando Malampaya Andaya,Trixie Garcia Salazar,754467,123
102473324919517,Baretang Bikol,Andy Castillo Peralta,754089,126
115227060028890,Pinoy Daily Digest,Clutch Media,746364,82
102338925458321,Rapid News PH Luzon,Rapid News PH,738770,285
105587894956894,Premium Oil Blends Philippines,These ads ran without a disclaimer,738664,52
149833938363019,Century Tuna Superbods,These ads ran without a disclaimer,714190,6
