Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
106241572361769,Carmen Walker Späh FDP,Carmen Walker Späh,5511,18
201545746545669,Solidar Suisse,Solidar Suisse,5430,57
324773857561365,Die Mitte Kanton Zürich,Die Mitte Kanton Zürich,5424,32
251838211585945,SP Basel-Stadt,SP Basel-Stadt,5249,45
176998335660824,PLRT,PLRT,5205,88
82752099000,Alternative Liste ZH,Alternative Liste Zürich,5058,114
103082059271118,SP Bezirk Hinwil,SP Wetzikon,5042,59
224581297586778,Gewerkschaftsbund des Kantons Zürich,Gewerkschaftsbund des Kantons Zürich,5000,15
1524954517562834,Prominis,Prominis GmbH,4968,103
116890591678651,Vert'libéraux - Genève,Parti vert'libéral genevois,4909,39
113035494739725,Simon Vlk,Simon Vlk,4822,8
583706025047684,Pierre Rappazzo in den Zürcher Kantonsrat,Pierre Rappazzo,4820,6
162745750462776,Mieterinnen- und Mieterverband MV,Mieterinnen- und Mieterverband MV,4800,55
571992639616487,Aktivferien,These ads ran without a disclaimer,4765,6
705478906236710,FDP.Die Liberalen Bezirk Uster,FDP.Die Liberalen Bezirk Uster,4760,10
114275974912005,GE équilibre fiscal,GE équilibre fiscal,4681,16
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,4494,115
129540293872233,FDP.Die Liberalen Zug,Cédric Amir Schmid,4470,20
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,4418,18
102014399307738,Direkt,direkt,4408,33
341385563009188,Toni Ricciardi - politiche 2022,Angelo Sicurenza,4402,66
101631722666462,NON à l'initiative neuchâteloise des soins dentaires,NON à l'initiative neuchâteloise des soins dentaires,4395,8
119045178123830,Die Mitte Kanton Zug,Die Mitte Kanton Zug,4338,30
109469528675603,Philipp Egger,Philipp Egger,4284,37
104068392569671,Nein zum Stadtparlament Rapperswil-Jona,"Komitee «NEIN zur neuen Gemeindeordnung, NEIN zum Stadtparlament»",4222,15
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,4140,15
103299438957921,No all'inutile iniziativa sull'allevamento,Alleanza contro l’iniziativa sull’allevamento intensivo,4033,87
106321615725425,Oui à la Loi climat,Oui à la loi climat,4000,10
109213507316253,SP Zürich 11,SP Zürich,3930,36
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,3788,42
173741639353852,SP Kanton Zug,SP Kanton Zug,3743,158
1429860470617358,Le Centre / Ville de Genève,Le Centre / Ville de Genève,3697,34
756722317788172,FDP.Die Liberalen Stadt Luzern,FDP.Die Liberalen Stadt Luzern,3631,44
1534982756793690,Foodvisor,These ads ran without a disclaimer,3593,10
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,3592,19
107473872051075,Wir wollen Wil West,Wir wollen WILWEST,3573,21
1579272705641700,Gabriela Suter,Gabriela Suter,3563,19
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,3515,31
259871484198551,Thomas Matter,Thomas Matter,3349,15
101469746117157,"Xavier Magnin, candidat au Conseil d'Etat 2023",Xavier Magnin,3333,5
111930631689315,migroliNOTsocar,Migrolinotsocar,3329,113
161852057173460,SP Bezirk Affoltern,SP Bezirk Affoltern,3199,33
112750821712602,Ruedi Hug als Bezirksrichter,Rudolf Hug,3182,42
192306360802833,Grünliberale Luzern Land,Grünliberale Luzern Land,3127,26
103268734355782,Gian Brun,Gian Brun,3097,57
618765881570878,EKS,Elektrizitätswerk des Kantons Schaffhausen AG,3073,15
125466200895962,Valentin Landmann,Sven Kunz,3052,46
97721121385,Public Eye,Public Eye,3002,46
102541125863689,Florian Weber,FDP Kanton Zug,2980,5
200480966638039,Supremacy 1914,These ads ran without a disclaimer,2968,5
54779960819,United Nations,United Nations with Facebook Ad Credits,2919,5
809010089207949,Aperta e sovrana,aperta e sovrana,2873,20
106254955524910,SVP Binningen,SVP Binningen,2831,6
191136321464981,Die Mitte Stadt Winterthur,Die Mitte Stadt Winterthur,2826,14
140896972593990,FDP - Hünenberg,FDP Hünenberg,2818,10
255506388731408,Biodiversitätsinitiative / Initiative biodiversité,Biodiversitätsinitiative / Initiative biodiversité,2806,27
231320586878427,Hauseigentümerverband (HEV) Region Winterthur,Hauseigentümerverband Region Winterthur,2753,4
463645587339110,Piero Marchesi,Piero Marchesi,2726,25
187828241245131,Grüne Baselland,Grüne Baselland,2719,48
110038441861588,JA zur Gerechtigkeitsinitiative,SVP des Kantons Zürich,2675,1
317591871730585,SVP Bezirk Meilen,Marc Michel Wachter,2650,4
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,2634,22
106020715591381,"Thomi Jourdan - Regierungsratskandidat Baselland - ""fürs Baselbiet vo morn""",Thomi Jourdan in den Regierungsrat,2624,30
119245155521044,Ylli Doko - Politiker - FDP Die.Liberalen,Ylli Doko,2622,20
110973047281096,Basel2030,Verein für Klimagerechtigkeit,2621,32
110888273821104,Alain Miserez,Alain Miserez,2598,16
108206818777404,Bezirksgewerbeverband Bülach,Bezirksgewerbeverband Bülach,2584,77
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,2511,31
221555984562317,SVP Kanton Schwyz,SVP Kanton Schwyz,2490,27
102151651460969,Raiffeisen Anlegen & Vorsorgen,These ads ran without a disclaimer,2486,1
110552451830296,"Parti socialiste Erguël, élections communales 2022",Parti socialiste Erguël,2475,19
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,2450,19
1504706079628728,ASLOCA Suisse,ASLOCA Suisse,2400,55
109023033782956,Unisanté,Unisanté,2389,18
269029886456205,Giorgio Fonio,Giorgio Fonio,2347,22
158128287567461,BastA! - Basels starke Alternative,BastA! - Basels starke Alternative,2320,12
1439209716323593,UDC Ticino,UDC Ticino,2271,47
103440272521713,Sarah Fuchs in den Kantonsrat,Sarah Fuchs,2266,33
109123788743774,Benjamin Frei,Benjamin Rolf Frei,2251,16
143515322381736,Bauernverband Aargau,Bauernverband Aargau,2250,61
100345702834585,All Out Deutschland,All Out,2249,6
108471975894983,Chambre vaudoise du commerce et de l'industrie (CVCI),Chambre Vaudoise du Commerce et de l'Industrie,2199,4
169042736456594,All Out,All Out,2163,8
102698189080182,Ivan Abramović in den Zuger Kantonsrat 2022,Ivan Abramovic,2139,18
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,2109,50
721730891185276,Alternative - die Grünen Kanton Zug,Alternative - die Grünen Zug,2106,62
231086633606227,SVP Baselland,SVP Baselland,2000,461
122849551077569,Democrats Abroad Switzerland,Democrats Abroad,1985,23
102030162043693,Di NachBUUR,LBM - Landwirtschaft Bern Mittelland,1980,9
1722137767860098,Grüne Bülach,Grüne Bülach,1967,57
579711169033602,Massimo Ungaro,Massimo Ungaro,1953,14
305699609616768,Verdi Liberali Ticino,verdi liberali Ticino,1914,45
121446461263308,SP Kanton Schwyz,SP Kanton Schwyz,1896,42
1836872279965837,Fabian Peter,fabianpeter.ch,1887,73
207703323162140,"Doris Meier, Kantonsrätin und a. Gemeindepräsidentin von Bassersdorf",Doris Meier-Kobler,1833,17
140334276690,Grüne Luzern,GRÜNE Luzern,1816,13
469738339721305,SP Zürich 3,Sozialdemokratische Partei Zürich 3,1810,27
190133177759419,Giuseppe Cotti,Giuseppe Cotti,1802,52
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,1793,58
106964611977537,Switlo,Switlo,1782,17
235558128849,FDP Thun,Manuel Liechti,1779,59
100213996124067,Grünliberale Sektion Emmen-Hochdorf,Grünliberale Sektion Emmen-Hochdorf,1776,49
238982909481105,Les Vert·e·s Genevois·es,Les Vert-e-s genevois-es,1717,78
111250058362068,Vota Michele Schiavone,Michele Schiavone,1695,15
113326388690102,SP Zürich 1 und 2,SP Zürich 1+2,1687,5
102691421255810,PlanBasel,PlanBasel,1687,3
111539168454051,Avanti,Avanti,1674,79
498444850167888,Die Mitte Baar,Die Mitte Baar,1668,15
353685744720476,Jungfreisinnige Stadt Luzern,Jungfreisinnige Stadt Luzern,1657,10
1587949341492441,Claudio Zihlmann,Claudio Zihlmann,1655,69
106252468372887,Isabelle Chassot,Isabelle Chassot,1600,13
1991942507517845,Römisch-Katholische Kirche im Aargau,Römisch-Katholische Landeskirche des Kantons Aargau,1598,23
105257442419923,Die Mitte Bezirk Bülach,Die Mitte Bezirk Bülach,1597,22
106757785360603,Alternative - die Grünen Stadt Zug,Alternative - die Grünen Stadt Zug,1581,20
151183321586281,Jeunes Vert·e·x·s Genève,Jeunes Vert·e·x·s Genève,1564,48
375845269120737,FDP. Die Liberalen Dietikon,FDP. Die Liberalen Dietikon,1560,17
364939817683277,Marco Hirzel Politik,Marco Hirzel Politik,1552,10
388815591176119,SP Zürich 9,SP Zürich,1548,28
110059368568518,NEIN zur ungerechten Vermögenssteuer-Vorlage,NEIN zur ungerechten Vermögenssteuer-Vorlage,1543,6
75338704887,Fondation Franz Weber,Fondation Franz Weber,1531,1
120371314332042,FDP Wahlkreis Sursee,FDP.Die Liberalen Luzern,1530,62
678633652249724,Grüne Thun,GRÜNE Thun,1526,34
1700824713324064,SP Zürich 10,SP Zürich 10,1525,23
112233721686095,Ylfete Fanaj in den Regierungsrat,Ylfete Fanaj in den Regierungsrat,1520,12
513407995428696,actif-trafiC,actif-trafiC,1513,8
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,1500,5
