Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
103609621828452,Force for Good Tech,These ads ran without a disclaimer,123,3
100378135104746,Darktrace,These ads ran without a disclaimer,123,26
458817690979235,SG FinTech Festival,These ads ran without a disclaimer,122,2
112251290459413,Temasek Trust,These ads ran without a disclaimer,122,5
110407418475258,中国驻新加坡使馆公使衔参赞王珞,中国驻新加坡使馆公使衔参赞王珞,122,2
49275915266,MSI Reproductive Choices,These ads ran without a disclaimer,121,160
603959439665212,Dharma Bums Yoga & Activewear,These ads ran without a disclaimer,121,24
311369752233854,Brahm Centre,These ads ran without a disclaimer,121,4
364797184885,Singapore EXPO,These ads ran without a disclaimer,121,1
2253988111586115,APRIL Group,These ads ran without a disclaimer,120,4
109342664142836,S-glow护发养成日记,These ads ran without a disclaimer,120,3
102660698760458,Wilfred Ling,These ads ran without a disclaimer,120,5
480305829018059,Badland Brawl,These ads ran without a disclaimer,119,2
626498137479094,Instagram for Business,These ads ran without a disclaimer,119,3
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,118,4
411870925517127,StandUpFor.SG,Tham Wah Lee (Tan Hualie),118,5
102846844707933,Neon Sign Singapore Pte. Ltd.,These ads ran without a disclaimer,118,2
121431974221602,Vincero,These ads ran without a disclaimer,118,10
512958379175981,FT Rethink,These ads ran without a disclaimer,117,8
343459706117402,Word Collect,These ads ran without a disclaimer,117,3
254647936444190,Action for Her,These ads ran without a disclaimer,117,5
101407395080343,Good,These ads ran without a disclaimer,117,1
151744588014572,麦格理资本证券 - 新加坡私人有限公司,These ads ran without a disclaimer,117,3
102582208577192,LKY Returns,These ads ran without a disclaimer,115,8
450457320640,Singapore Institute of International Affairs,These ads ran without a disclaimer,115,22
103887089046131,Big Mouth Daily,These ads ran without a disclaimer,114,2
109283601246176,Asian flower,These ads ran without a disclaimer,113,1
268944506791582,GICG,These ads ran without a disclaimer,113,1
425781817581304,ANA BLUE WING,These ads ran without a disclaimer,113,6
1656590977890066,IDEO U,These ads ran without a disclaimer,113,4
105355630863920,Advene,These ads ran without a disclaimer,112,2
102643112351705,Modern Families,These ads ran without a disclaimer,111,5
286658671378720,Syria Relief & Development,These ads ran without a disclaimer,111,1
1844794665787078,VICE Asia,These ads ran without a disclaimer,111,2
100287785016819,潮人時尚shop（Shop Three）,These ads ran without a disclaimer,111,4
645355275615156,Expat Tax Online,These ads ran without a disclaimer,110,41
108474487657062,The Online Therapist,These ads ran without a disclaimer,110,4
157219929419666,Asean+3 Macroeconomic Research Office,Asean+3 Macroeconomic Research Office,110,2
1784394008508469,Bob the Baker Boy - Customised Cakes SG,These ads ran without a disclaimer,110,3
108495681762743,Roy Chang,These ads ran without a disclaimer,109,32
905961496092500,王薀老師,These ads ran without a disclaimer,109,3
104015742220554,Mimic,These ads ran without a disclaimer,108,10
148662429123591,Gtech Singapore,These ads ran without a disclaimer,108,1
436826960480,Infosys,These ads ran without a disclaimer,108,2
111828332236725,Comedy Masala Singapore,These ads ran without a disclaimer,108,8
104228851475522,Benham and Reeves Singapore,These ads ran without a disclaimer,108,4
130394300164663,新加坡维权中心,These ads ran without a disclaimer,108,1
328771631175563,"Breeze: mood journal, diary",These ads ran without a disclaimer,107,1
104572834267165,City Sprouts,These ads ran without a disclaimer,107,4
312558588767862,PMET Network,ACCSS Digital Pte Ltd,107,2
103396332070931,The Florence Residences,Christine Lim Hui Khim,107,1
551158678560402,Epimonia,These ads ran without a disclaimer,106,5
103468970997377,Looking for Victims,These ads ran without a disclaimer,105,2
936287866429051,Queenstown SG,These ads ran without a disclaimer,105,3
639617156203802,The Marketing Trade,These ads ran without a disclaimer,105,1
2138601813019908,Jason Sim TT,Sim Tiong Tat Jason,104,1
726282547396228,DataCamp,These ads ran without a disclaimer,104,1
100858346620905,Udemy,These ads ran without a disclaimer,104,1
901776976544599,RBC Wealth Management,These ads ran without a disclaimer,104,2
2265619163672365,Your Mortgage Planner - Brandon Tee 专业房屋贷款与理财规划服务,These ads ran without a disclaimer,103,3
225293900658552,Hair accessories,These ads ran without a disclaimer,103,3
462640017135012,Parley for the Oceans,These ads ran without a disclaimer,103,1
111825287239615,Bảo hiểm PVI,These ads ran without a disclaimer,103,1
110147670531540,IBVN Church Senador Canedo,These ads ran without a disclaimer,103,1
106549699392982,HealthServe,These ads ran without a disclaimer,103,5
107395152208695,Keppel Corporation,These ads ran without a disclaimer,102,1
110667314191574,一点通 Yi Dian Tong,These ads ran without a disclaimer,101,2
676692975786082,Fun Games For Free,These ads ran without a disclaimer,101,1
102049175463558,Une pensée immortelle,These ads ran without a disclaimer,101,1
86687063743,Straits Chinese Nonya Restaurant 土生坊娘惹餐厅,These ads ran without a disclaimer,101,2
112990256771,Shangri-La Singapore,These ads ran without a disclaimer,≤100,2
109826557071160,Uptime,These ads ran without a disclaimer,≤100,1
108544578050603,RHINOSHIELD,These ads ran without a disclaimer,≤100,1
111468566935930,Josh Cho FT,"Lau Jia Hao, Andrew",≤100,2
1688299141416221,Ntrust Consultancy Pte Ltd,Ntrust Consultancy Pte Ltd,≤100,1
1471031629813232,pH balancer,These ads ran without a disclaimer,≤100,1
453961014813944,UOB,MONEY FM 89.3,≤100,1
106033701106151,iWine.sg,These ads ran without a disclaimer,≤100,1
167398369978729,"Agency for Science, Technology and Research (A*STAR)","Agency for Science, Technology and Research (A*STAR)",≤100,1
100879008065715,Our Green MoCa - Moulmein-Cairnhill,These ads ran without a disclaimer,≤100,1
113196956902467,Parc Clematis,These ads ran without a disclaimer,≤100,1
2290679160995275,Majesty AutoWorks Pte Ltd,These ads ran without a disclaimer,≤100,1
643349319433356,HappyDot.sg,These ads ran without a disclaimer,≤100,2
155166075960,The TENG Company,These ads ran without a disclaimer,≤100,1
111454518539584,Suncare SG,Suncare SG,≤100,1
10438346977,"NUS Business School, National University of Singapore","NUS Business School, National University of Singapore",≤100,1
1748866435402840,Bapa Sepanjang Hayat,Bapa Sepanjang Hayat,≤100,9
73585165564,RADION International,These ads ran without a disclaimer,≤100,5
100941663621281,SP Group,These ads ran without a disclaimer,≤100,4
1013083012047523,ScRach MarcS,These ads ran without a disclaimer,≤100,2
574866795920689,The Fifth Person,These ads ran without a disclaimer,≤100,1
258252551727194,Neetha Sanjay Consulting,These ads ran without a disclaimer,≤100,6
104309247802527,Women at NTU,"Ang Yuheng, Reuben",≤100,4
110500107146383,AForex Trading,These ads ran without a disclaimer,≤100,2
43979526193,KONE,These ads ran without a disclaimer,≤100,1
1742384659401520,"Saij Elle: Wisdom, Wealth, Wellness for Women",These ads ran without a disclaimer,≤100,1
107059687575289,WhatIF Foods,These ads ran without a disclaimer,≤100,5
105283559013002,Viral MKT 66,These ads ran without a disclaimer,≤100,1
101176814872722,Global Pride 2020,These ads ran without a disclaimer,≤100,1
114947716915769,Flaskpluspw,These ads ran without a disclaimer,≤100,3
1242959862490421,Thinkers Alliance,These ads ran without a disclaimer,≤100,1
111253634015629,Regardless,These ads ran without a disclaimer,≤100,2
101387514932390,Gigene Wong 袁麒钧,These ads ran without a disclaimer,≤100,3
545263068907635,Orbis Singapore,These ads ran without a disclaimer,≤100,4
115979795130394,Christians Care International,These ads ran without a disclaimer,≤100,4
5647744585,PETA (People for the Ethical Treatment of Animals),These ads ran without a disclaimer,≤100,4
106354521105997,少年三国志2新马版,These ads ran without a disclaimer,≤100,44
279052452197672,Megapolis,These ads ran without a disclaimer,≤100,2
336751889526208,Lions 03,These ads ran without a disclaimer,≤100,15
1944472599140323,Asmara.sg,These ads ran without a disclaimer,≤100,15
194844760538628,Epson,"Ang Yuheng, Reuben",≤100,1
107165557312576,Something Private,Something Private,≤100,3
116820765695261,The Whitehatters,These ads ran without a disclaimer,≤100,5
193913523968522,PropertyGuru.com.sg,These ads ran without a disclaimer,≤100,4
111641468006019,KRebels,These ads ran without a disclaimer,≤100,3
772320532896653,UChicago Hong Kong Campus,These ads ran without a disclaimer,≤100,3
826388154112963,Dr. Clemen Chiang,Dr. Clemen Chiang,≤100,1
118200389040,South East CDC - Your Social Broker,These ads ran without a disclaimer,≤100,1
107508132084340,Passive Income,These ads ran without a disclaimer,≤100,1
161704781305446,The Spark Company,These ads ran without a disclaimer,≤100,26
103133488962134,Live A Home SG,These ads ran without a disclaimer,≤100,2
100987634774930,Miredo Asia,These ads ran without a disclaimer,≤100,1
1437565483144916,중앙선거관리위원회,These ads ran without a disclaimer,≤100,2
236955856697563,Dilmah Tea,These ads ran without a disclaimer,≤100,6
461895657190529,NHK WORLD-JAPAN,These ads ran without a disclaimer,≤100,3
101450968245869,Thien Moc Huong - Agarwood Jewelry,These ads ran without a disclaimer,≤100,52
122923861099394,Crestar Ceiling Fans,These ads ran without a disclaimer,≤100,1
350031092062650,Public Libraries Singapore,These ads ran without a disclaimer,≤100,3
874194502713182,Sika Singapore,These ads ran without a disclaimer,≤100,1
645777128775318,Bizlink Centre Singapore Ltd,Bizlink Centre Singapore Ltd,≤100,1
107467960655476,Viêm Xoang Ông Bảo,These ads ran without a disclaimer,≤100,3
141567239237218,Help Lightning,These ads ran without a disclaimer,≤100,1
114787180273015,الدعوة إلى الله,These ads ran without a disclaimer,≤100,3
2406054719719256,Humanity Matters,These ads ran without a disclaimer,≤100,1
149181595103955,Siam Center,These ads ran without a disclaimer,≤100,2
277441125605570,FXTM,These ads ran without a disclaimer,≤100,8
122610304898,Science Centre Singapore,These ads ran without a disclaimer,≤100,5
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,9
109253394199032,Joyread-Excellent book,These ads ran without a disclaimer,≤100,18
1061904257163232,The Chosen Media Platform,These ads ran without a disclaimer,≤100,14
312558588767862,PMET Network,These ads ran without a disclaimer,≤100,4
1401257183516352,BCA Academy,These ads ran without a disclaimer,≤100,1
966031133504106,Green Is The New Black,These ads ran without a disclaimer,≤100,11
655525777793666,Marina Square,These ads ran without a disclaimer,≤100,5
491008884305945,"Charlie Ang - The Unstoppable Futurist, Strategist & Coach",These ads ran without a disclaimer,≤100,2
100904822517086,Non-Trivial,These ads ran without a disclaimer,≤100,20
217519028785017,Nature Research Custom Media,These ads ran without a disclaimer,≤100,78
149575631753689,Microsoft Developer,These ads ran without a disclaimer,≤100,1
112644946778360,祥瑞神料行,These ads ran without a disclaimer,≤100,1
297452645110,Dr. Cornel West,These ads ran without a disclaimer,≤100,4
106663245516446,Czur JP,These ads ran without a disclaimer,≤100,1
117262578074891,Invеstіng Plаtfоrm,These ads ran without a disclaimer,≤100,7
210561071272,South West CDC,Digital Blowfish,≤100,5
209470755572731,亚邦国际律师事务所-欣律师,These ads ran without a disclaimer,≤100,17
102229301426179,boalt,These ads ran without a disclaimer,≤100,1
296987267375706,New Zealand Story,These ads ran without a disclaimer,≤100,7
291293164370771,Rockwell Razors,These ads ran without a disclaimer,≤100,8
2025473947677949,Jsim Education 沈氏书局,These ads ran without a disclaimer,≤100,4
102501884673296,BestStory,These ads ran without a disclaimer,≤100,4
105680701779175,Founders' Memorial Singapore,These ads ran without a disclaimer,≤100,8
198387360016876,Manny Pacquiao Fans Pages,These ads ran without a disclaimer,≤100,1
470117126431317,Boxgreen Singapore,These ads ran without a disclaimer,≤100,6
450457320640,Singapore Institute of International Affairs,Singapore Institute of International Affairs,≤100,12
112442627155018,Lincoln & Jesyi Real Estate,"Heng Tse-Loong, Lincoln",≤100,1
107720000870833,Discounted SG New Launches,These ads ran without a disclaimer,≤100,1
102497879276770,Viral Media,These ads ran without a disclaimer,≤100,1
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,3
1196332233715132,The FinLab,These ads ran without a disclaimer,≤100,2
1919474238086499,Inside Audible,These ads ran without a disclaimer,≤100,1
390535344359887,VMware Singapore,These ads ran without a disclaimer,≤100,1
1401764299980601,ECOVERO_global,These ads ran without a disclaimer,≤100,2
917220798369672,Emeritus,These ads ran without a disclaimer,≤100,1
105326697792304,SG TUFF - Singapore Tenants United For Fairness,These ads ran without a disclaimer,≤100,6
529294211146617,Avenue South Residence by UOL Group Limited,These ads ran without a disclaimer,≤100,1
1688415878083678,Beanstalk ECDA,These ads ran without a disclaimer,≤100,8
1389010631425852,World Scientific Singapore,These ads ran without a disclaimer,≤100,10
113475170436737,မဲပေးကြမယ်,These ads ran without a disclaimer,≤100,9
110836007155622,Everyday Heroes SG,These ads ran without a disclaimer,≤100,1
207082576296571,SuperBee Wax Wraps,These ads ran without a disclaimer,≤100,2
144244285634285,People's Association Youth Movement (PAYM),People's Association Youth Movement,≤100,1
748435792573529,TMDToomuchdeals,These ads ran without a disclaimer,≤100,1
1747710828842851,National Council on Problem Gambling - Singapore,National Council on Problem Gambling - Singapore,≤100,4
269100023778615,MapleBear West Coast,These ads ran without a disclaimer,≤100,2
425221594650569,NooTrees,These ads ran without a disclaimer,≤100,1
1669299769972489,Ryan's Grocery,These ads ran without a disclaimer,≤100,1
108288982531729,張維錫,These ads ran without a disclaimer,≤100,1
102810034423131,Lu Yuan Language School 禄園华文中心,These ads ran without a disclaimer,≤100,4
214351281833,Dassault Systèmes,These ads ran without a disclaimer,≤100,17
420339951879937,TENCEL,These ads ran without a disclaimer,≤100,5
104621444710618,TapShort,These ads ran without a disclaimer,≤100,2
190935420935804,ISSET,These ads ran without a disclaimer,≤100,1
103116384725934,Shirley / EIGHT Karats,These ads ran without a disclaimer,≤100,1
105989847783837,Dreame story,These ads ran without a disclaimer,≤100,6
109067475923117,One Fifty Peel,These ads ran without a disclaimer,≤100,7
165860513925505,Mandala Club Singapore,These ads ran without a disclaimer,≤100,1
606870632795323,HeartbeatBedok,These ads ran without a disclaimer,≤100,3
110108304222056,Tech X Academy,These ads ran without a disclaimer,≤100,1
158855050860058,ACN - Aid to the Church in Need,These ads ran without a disclaimer,≤100,7
216604452329165,FBS CopyTrade,These ads ran without a disclaimer,≤100,16
162678203751209,Gilead Sciences,These ads ran without a disclaimer,≤100,7
108392158615822,Investment Strategy,These ads ran without a disclaimer,≤100,1
103411335831202,DE.TL,These ads ran without a disclaimer,≤100,3
114613698177349,Fidio Tech Gadgets,These ads ran without a disclaimer,≤100,1
110302367408104,Next Level Options Masterclass,These ads ran without a disclaimer,≤100,7
357787027613216,Shin Min Daily News 新明日报,These ads ran without a disclaimer,≤100,3
103972486124377,Grеаt Mоmеnts,These ads ran without a disclaimer,≤100,6
101480108037319,Domestika,These ads ran without a disclaimer,≤100,16
158199164036481,Center for Financial Self-Improvement,These ads ran without a disclaimer,≤100,3
274533562882887,Homage,These ads ran without a disclaimer,≤100,4
102937798160892,Applied Appliances,These ads ran without a disclaimer,≤100,17
426882464340788,Rightspot,These ads ran without a disclaimer,≤100,7
208411345454,Manchester City,These ads ran without a disclaimer,≤100,1
113368541794965,CyberGenius,These ads ran without a disclaimer,≤100,1
111736520313259,Hey Mini Cupcakes,These ads ran without a disclaimer,≤100,3
258519050943230,林尤发，Desmond Lim,These ads ran without a disclaimer,≤100,1
583801112311913,Liveon保健-陈家小妹SG,These ads ran without a disclaimer,≤100,6
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,4
538304003175378,Singapore Immigration Partners,These ads ran without a disclaimer,≤100,1
180973565385091,ALIGN GROUP,These ads ran without a disclaimer,≤100,3
125639837452552,POWER 98 Love Songs,These ads ran without a disclaimer,≤100,2
108941944326061,Arina-Goodbye Diabetes2.0 85861375,These ads ran without a disclaimer,≤100,1
113447613420674,Waterfall Security Solutions,These ads ran without a disclaimer,≤100,7
112455601961766,盛德国际律师事务所- 张律师,These ads ran without a disclaimer,≤100,1
105353481046439,Kucing Bolat Comel,These ads ran without a disclaimer,≤100,4
2078260679053825,It’s Your Life,These ads ran without a disclaimer,≤100,1
218539395612668,Social Gifting,These ads ran without a disclaimer,≤100,3
516658892133415,Heroic - Magic Duel,These ads ran without a disclaimer,≤100,1
2105177903075219,Rabbit Hole,These ads ran without a disclaimer,≤100,2
104598718715488,Thượng Tọa Thích Tuệ Hải - Bậc Thầy Chữa Bệnh Trĩ,These ads ran without a disclaimer,≤100,8
111189596894404,Snack-crate,These ads ran without a disclaimer,≤100,5
109247548039038,The Watergardens At Canberra,Christine Lim Hui Khim,≤100,5
102258201281332,Brain Wrek,Howard Choy Din Shen,≤100,10
106455845882150,The Purest.,These ads ran without a disclaimer,≤100,1
223615561514771,VI 中文,These ads ran without a disclaimer,≤100,5
106279142028607,Frasers Property,These ads ran without a disclaimer,≤100,2
242351902481164,The Radical Tea Towel Company,These ads ran without a disclaimer,≤100,13
101899258474797,Mobile bookstore,These ads ran without a disclaimer,≤100,37
102411841631497,Calypsoul.Life,These ads ran without a disclaimer,≤100,2
1580272915521866,Scratch Golf Academy,These ads ran without a disclaimer,≤100,25
239479583379,Fenton,These ads ran without a disclaimer,≤100,2
7382473689,Al Jazeera English,These ads ran without a disclaimer,≤100,3
175853505783811,防音専門ピアリビング,These ads ran without a disclaimer,≤100,1
343087392717019,We Are Total Defence,We Are Total Defence,≤100,1
113835893611155,President: Election Simulator,These ads ran without a disclaimer,≤100,11
360234291192755,Heckin' Unicorn,These ads ran without a disclaimer,≤100,3
1600300896898940,OneService Community,These ads ran without a disclaimer,≤100,3
1602210006739135,今日海峽,These ads ran without a disclaimer,≤100,14
1992169167690755,Harry Potter: Hogwarts Mystery,These ads ran without a disclaimer,≤100,1
100101842896905,Recom,These ads ran without a disclaimer,≤100,1
285783598753,HISTORY,These ads ran without a disclaimer,≤100,8
1615060178725223,Pets Avenue Veterinary Clinic,These ads ran without a disclaimer,≤100,1
100717348420172,New Times Asia,These ads ran without a disclaimer,≤100,2
253428021880272,CGS International  Securities Singapore,These ads ran without a disclaimer,≤100,3
1560360550872627,Nedla,These ads ran without a disclaimer,≤100,1
1560360550872627,Nedla,nedla,≤100,4
101668017914180,Uncharted Power Pte Ltd,Han Fook Kwang (Han Fuguang),≤100,2
126772280725628,Nor-Shipping,These ads ran without a disclaimer,≤100,8
131512630195163,Aurora Expeditions,These ads ran without a disclaimer,≤100,4
135119019992177,Bodybagus,Agusdartono @ Wang Jing Hui,≤100,1
129431733734000,Chek Yong - Travel Photography,These ads ran without a disclaimer,≤100,1
1116353191710229,Muslim Assistant,These ads ran without a disclaimer,≤100,1
61910993640,Tomorrow's World - Magazine and Television program,These ads ran without a disclaimer,≤100,3
102481572957988,Powerful aphrodisiac,These ads ran without a disclaimer,≤100,1
209046883068747,SongPhi Brows,These ads ran without a disclaimer,≤100,1
125534984223328,AfA Singapore,AfA Singapore,≤100,4
1666198156933823,The Malayan Council,These ads ran without a disclaimer,≤100,1
105830564925489,Catalyst Reflection,These ads ran without a disclaimer,≤100,13
110219920763822,The Local Pâtisserie,These ads ran without a disclaimer,≤100,9
102481158076847,Kayla Low 罗舒玉,These ads ran without a disclaimer,≤100,8
1422199251185756,CyberSafe,These ads ran without a disclaimer,≤100,1
1509855649057368,Think Teach Academy,These ads ran without a disclaimer,≤100,2
1288049544646829,SongHe.Rice,These ads ran without a disclaimer,≤100,2
1013391925524387,Progress Singapore Party,Tan Chika (Chen Qianjia),≤100,4
189236087844696,STClassifieds.sg,These ads ran without a disclaimer,≤100,1
172345762634462,亚邦国际律师事务所-邓律师,These ads ran without a disclaimer,≤100,18
105937264908526,Methodist Preschools,These ads ran without a disclaimer,≤100,7
112173487226670,AD Credit Singapore,These ads ran without a disclaimer,≤100,1
108022910747221,Sarangly,Sarangly,≤100,7
135473939823466,Enterprise Singapore,Enterprise Singapore,≤100,1
104168361033837,Green Leaps Singapore,These ads ran without a disclaimer,≤100,6
215138065124,Louis Vuitton,These ads ran without a disclaimer,≤100,3
267926623635962,New Naratif,These ads ran without a disclaimer,≤100,3
1045428602277462,Paul Marlier,These ads ran without a disclaimer,≤100,3
109694697539764,Aeroclass,These ads ran without a disclaimer,≤100,3
1010103632410348,Cuts,These ads ran without a disclaimer,≤100,1
100644622910840,GreenSpace+,These ads ran without a disclaimer,≤100,6
106781508772530,Jom,Jom,≤100,3
125999247433518,雨揚樂活家族Yu Young,These ads ran without a disclaimer,≤100,1
103992878358588,Nikkei ScoutAsia,These ads ran without a disclaimer,≤100,4
305115773870,Adobe,These ads ran without a disclaimer,≤100,7
73890411249,Halogen Singapore,These ads ran without a disclaimer,≤100,1
103999798047606,廖貴人,These ads ran without a disclaimer,≤100,1
106859028046277,"International Committee of the Red Cross Malaysia, Singapore & Brunei",These ads ran without a disclaimer,≤100,1
108853501297043,We Got This,These ads ran without a disclaimer,≤100,8
727630248028969,Lola Rose,These ads ran without a disclaimer,≤100,3
103117404929533,九鹿小說,These ads ran without a disclaimer,≤100,5
164524410285253,GSMA,These ads ran without a disclaimer,≤100,5
136628555447,Andersen People,These ads ran without a disclaimer,≤100,3
1068449343167242,The Simple Sum Singapore,These ads ran without a disclaimer,≤100,2
800660560021071,Hong Kong Free Press HKFP,These ads ran without a disclaimer,≤100,13
111953148288447,Gear_UP,These ads ran without a disclaimer,≤100,28
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,5
235945666565031,Food Yoga International,These ads ran without a disclaimer,≤100,16
106178538592625,Robert.Kim,These ads ran without a disclaimer,≤100,1
198892435401,University of Chicago Booth School of Business,These ads ran without a disclaimer,≤100,4
455133101359253,Tax Consulting South Africa,These ads ran without a disclaimer,≤100,7
212344372978122,Centred Space,These ads ran without a disclaimer,≤100,2
240966039259839,Slush,These ads ran without a disclaimer,≤100,68
101978933230493,DHL,These ads ran without a disclaimer,≤100,7
997123347052487,China Taiping Life Insurance Hong Kong Company Limited太平人壽（香港）,These ads ran without a disclaimer,≤100,5
1901923636498747,Magped,These ads ran without a disclaimer,≤100,5
103208045476041,Oatly,These ads ran without a disclaimer,≤100,1
116851183559520,Amazing New Launches Of Singapore,Jia Xingjie,≤100,3
109784130654592,Investing Your Future,Wang Hut Shiang (Yuan Xueshang),≤100,1
1654128581530169,Dunlin Immigration,These ads ran without a disclaimer,≤100,1
101068615513156,Pulse Clinic Singapore - A Lifestyle Clinic,These ads ran without a disclaimer,≤100,3
522761701529245,Global-is-Asian,These ads ran without a disclaimer,≤100,8
104494786019,Securities Investors Association Singapore (SIAS),These ads ran without a disclaimer,≤100,2
109764683771189,Debtless SG,These ads ran without a disclaimer,≤100,5
1374826826104281,Sensibo,These ads ran without a disclaimer,≤100,6
207194736087316,SunNUS,Jerica Liew Hui Qi,≤100,2
108898120534386,Munchy Bites,These ads ran without a disclaimer,≤100,1
284439288280409,MARUAH,MARUAH,≤100,3
46279882838,Singapore International Foundation,Singapore International Foundation,≤100,2
107439669286986,The Substation,These ads ran without a disclaimer,≤100,1
1905936222783972,Temasek Foundation International,Temasek Foundation,≤100,3
290117088623,Lenovo Singapore,These ads ran without a disclaimer,≤100,3
107676940796027,Media Studio,These ads ran without a disclaimer,≤100,1
103572957681001,From India,These ads ran without a disclaimer,≤100,3
402677536461567,AllMatters,These ads ran without a disclaimer,≤100,6
111535051331501,KC&Jo Hypercars,These ads ran without a disclaimer,≤100,1
425242907825036,Conservation International Singapore,These ads ran without a disclaimer,≤100,3
108144391332764,最新資訊,These ads ran without a disclaimer,≤100,1
100696965594341,Hoàng Minh Hiệp - Người thật việc thật,These ads ran without a disclaimer,≤100,1
1583568088446259,Boba Tribe,These ads ran without a disclaimer,≤100,15
343215695708173,PhillipCapital,These ads ran without a disclaimer,≤100,5
109892507549709,Webfic,These ads ran without a disclaimer,≤100,6
1681575125488100,SGInnovate,These ads ran without a disclaimer,≤100,2
102369658674013,Aussie Beef & Lamb Singapore,These ads ran without a disclaimer,≤100,5
102996687722479,Rough Cuts,Mah Yinghao,≤100,4
719107118121857,BuildTech Asia,These ads ran without a disclaimer,≤100,2
118252021381264,Online Musk,These ads ran without a disclaimer,≤100,2
766265230230323,Lumen,These ads ran without a disclaimer,≤100,1
103701577737990,EnjoyTime,These ads ran without a disclaimer,≤100,6
679045158842091,Life Miracle Center Youth and Praise Fellowship,These ads ran without a disclaimer,≤100,9
106110117792679,Oximlife,These ads ran without a disclaimer,≤100,7
1083199895183408,A Plastic Ocean Foundation,These ads ran without a disclaimer,≤100,1
104232327943312,My Dorm Our Home,These ads ran without a disclaimer,≤100,1
108637620485364,Brain Nuggets,These ads ran without a disclaimer,≤100,18
142785352371,NBAS - Norwegian Business Association Singapore,These ads ran without a disclaimer,≤100,1
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,54
105773418962416,Sense MRKTing,These ads ran without a disclaimer,≤100,1
176320315778048,IKEA,These ads ran without a disclaimer,≤100,1
104387721515604,Little Olive Tree Singapore,These ads ran without a disclaimer,≤100,1
106330845101821,Tech Publish,These ads ran without a disclaimer,≤100,1
615120568835815,QR Fashion 直播,These ads ran without a disclaimer,≤100,1
115787051558496,Teamwork Tribe,These ads ran without a disclaimer,≤100,1
344414872859730,Quotes by Christie,These ads ran without a disclaimer,≤100,5
197140967509099,Unyangkordai SG,These ads ran without a disclaimer,≤100,2
441795545991256,療癒天使的愛情聖殿-女巫Yvette,These ads ran without a disclaimer,≤100,3
180520171996876,IslamInSpanish,These ads ran without a disclaimer,≤100,6
110200237057844,Jerry Low 劉權義,Low Jerry,≤100,1
102085506027217,peace.of.art.sg,These ads ran without a disclaimer,≤100,4
151180364982137,ZALORA,These ads ran without a disclaimer,≤100,1
105171192862790,UNRWA,These ads ran without a disclaimer,≤100,9
622898131222952,Gaston Luga,These ads ran without a disclaimer,≤100,1
1386420264993993,International Built Environment Week - IBEW,These ads ran without a disclaimer,≤100,1
104105927826150,Maritime Fairtrade,These ads ran without a disclaimer,≤100,4
118929751565173,Providend,These ads ran without a disclaimer,≤100,1
1474631539418477,EarthFest Singapore,These ads ran without a disclaimer,≤100,3
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,42
102940118170371,Storysome,These ads ran without a disclaimer,≤100,87
105866712161159,畫三國,These ads ran without a disclaimer,≤100,1
1718742838343746,9tro CARES,Tsui Wing Hong,≤100,2
1434275420188199,View Plastic Surgery,These ads ran without a disclaimer,≤100,2
446917588779167,Esplanade - Theatres on the Bay,These ads ran without a disclaimer,≤100,4
110244256999671,Plant-based Healthy Living SG,These ads ran without a disclaimer,≤100,4
962389510565966,Shiki Singapore,These ads ran without a disclaimer,≤100,2
102888597764823,Clinton & Claire - Epitome of Luxury Living,These ads ran without a disclaimer,≤100,4
497770893965663,Expatriates in Singapore,These ads ran without a disclaimer,≤100,2
2201799980085895,Chandler Institute of Governance,These ads ran without a disclaimer,≤100,3
932392073525643,PAP Community Foundation,These ads ran without a disclaimer,≤100,3
1794972264056889,Spot project,These ads ran without a disclaimer,≤100,1
332055150197736,Sofitel Luang Prabang,These ads ran without a disclaimer,≤100,2
463173573768284,Penh Lenh,These ads ran without a disclaimer,≤100,7
101328828591341,Harmoninie A,These ads ran without a disclaimer,≤100,1
371396839635758,トレジャーデータ,These ads ran without a disclaimer,≤100,6
106699025585311,Nga Cole,These ads ran without a disclaimer,≤100,3
977111672328365,Gim Tim Restaurant 锦珍,These ads ran without a disclaimer,≤100,3
135428189643724,Finance Dream Advisor,These ads ran without a disclaimer,≤100,3
102291025695252,Master Tay Fengshui,These ads ran without a disclaimer,≤100,5
179537035908503,5-hour ENERGY SG,These ads ran without a disclaimer,≤100,1
2737071922975168,International Conference on Cohesive Societies,These ads ran without a disclaimer,≤100,3
459067954517628,Jamie Harrison Guitar,These ads ran without a disclaimer,≤100,1
1479485312267144,Kreta Ayer - Kim Seng Community,These ads ran without a disclaimer,≤100,1
362602686929003,Coconut 25,These ads ran without a disclaimer,≤100,5
106665408170316,The Origins Property - TOP,These ads ran without a disclaimer,≤100,1
1655146611385973,Gordon Ryan,These ads ran without a disclaimer,≤100,4
6651543066,CNN Business,These ads ran without a disclaimer,≤100,31
101135654714262,Marina Bay Alliance,These ads ran without a disclaimer,≤100,3
