Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
256953359544240,ExxonMobil Singapore,ExxonMobil,8650,122
180972142391567,Keep It Real With Marcus Luah,Luah Chuan Teck (Lai Quande),8568,19
109970554219010,SG New Launch,Ong Han Yang,8566,362
260767724059953,zaobao.sg 生活娱乐,These ads ran without a disclaimer,8500,2
105288124903136,Asset Builder Legacy,Huang Chuqin,8402,89
116729641688864,My Community,My Community,8393,15
147322899276238,Schroders Singapore,Schroder Investment Management (S) Ltd,8382,41
1730431717183351,Temasek Foundation,These ads ran without a disclaimer,8346,20
110729661261813,斗罗大陆：武魂觉醒-新马版,These ads ran without a disclaimer,8033,7
101963408923046,Real Estate Insight,Sim Hanwen,7902,53
218020061613734,UBS,These ads ran without a disclaimer,7886,77
111793617823901,Singapore New Homes,Ong Han Yang,7806,449
548461415321079,MSIG,MSIG,7736,63
147322899276238,Schroders Singapore,These ads ran without a disclaimer,7732,47
219808688070361,Ministry of Sustainability and the Environment,Ministry of Sustainability and the Environment,7720,44
143357200921814,Eva Horáková,These ads ran without a disclaimer,7720,26
166565800052060,ConnexionSG,Nexus,7693,240
358075914270353,Climate Change SG,These ads ran without a disclaimer,7648,46
100236475043813,SG Real Estate,Ong Han Yang,7611,161
171989046195163,Urban Redevelopment Authority,Urban Redevelopment Authority,7464,8
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,7405,13
215341045518389,GIC,These ads ran without a disclaimer,7383,45
126996258015076,Global Ehsan Relief Singapore,Global Ehsan Relief Singapore,7321,49
1671514566466943,Singapore Ministry of Foreign Affairs,Singapore Ministry of Foreign Affairs,7107,32
101042995382096,Being Community,IfThenHow (Pte. Ltd.),7033,408
107189398130066,Changi Chapel and Museum,Changi Chapel and Museum,6988,2
93889432933,CNA,These ads ran without a disclaimer,6958,25
273631818393,Malay Heritage Centre,Malay Heritage Centre,6729,39
194844760538628,Epson,These ads ran without a disclaimer,6715,25
254479141243831,Indian Heritage Centre,Indian Heritage Centre,6676,27
103944372988172,Singapore Ministry of Manpower,These ads ran without a disclaimer,6627,19
5777172751,Splunk,These ads ran without a disclaimer,6541,6
410762465730472,Redbrick Mortgage Advisory,These ads ran without a disclaimer,6470,2
1131590550277323,Senoko Energy,Senoko Energy Supply Pte Ltd,6445,38
359422924132462,Children's Cancer Foundation,"Phua Min Jiang, Dennison",6395,22
262901137100137,Caritas Singapore,Caritas Singapore,6270,37
124552578236495,MONEY FM 89.3,MONEY FM 89.3,6128,84
101815586571229,Edwin Tong,Chingay Parade SG,5899,53
138131312885745,SAFRA,SAFRA,5871,21
1468082613467781,Nee Soon Town Council,Nee Soon Town Council,5863,177
2097214403866690,Get Right Property,Ong Han Yang,5859,159
232479886816529,Cambridge Institute for Sustainability Leadership,These ads ran without a disclaimer,5824,28
925007000949719,ExxonMobil,These ads ran without a disclaimer,5788,32
407993356023021,NVPC - Towards a City of Good,These ads ran without a disclaimer,5772,7
152629044783412,CONVERSE,CONVERSE,5642,34
247381659254685,Peggy Leong,Ong Han Yang,5316,110
425106448078044,"Ministry of Law, Singapore",These ads ran without a disclaimer,5049,26
507001609479677,Jayson Ang - Singapore Property Swapper,Ong Han Yang,5034,407
571310173079250,Singapore International Cyber Week,Cybersecurity Agency of Singapore,5015,24
214889341167,Families for Life,Families for Life Council,4975,17
109608330766374,Singapore Properties,Ong Han Yang,4851,213
1494800797442605,The Edge Singapore,The Edge Singapore,4790,13
413150835409724,"Ministry of Culture, Community and Youth - MCCY",These ads ran without a disclaimer,4769,5
169550633394859,Immigration & Checkpoints Authority,Immigration & Checkpoints Authority,4762,3
56706929407,Singapore Police Force,Singapore Police Force,4762,1
101417873005129,Fantastic,These ads ran without a disclaimer,4750,6
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,4745,148
106451404488898,TWC2 Bangla,Transient Workers Count Too - TWC2,4679,128
113788516928393,SG New Condo Projects,Ong Han Yang,4678,372
220333061356729,Public Hygiene Council,Public Hygiene Council,4654,16
1820081314962590,The Explorer,These ads ran without a disclaimer,4654,1
216476098374055,NoonTalk Media,NoonTalk Media,4642,18
656250544998887,SG Property Deals,Ong Han Yang,4639,281
176560205832891,Our SG – Home of Forward SG,These ads ran without a disclaimer,4606,10
98511430597,CNB Drug Free SG,CNB Drug Free SG,4599,8
155387247827735,MSF Singapore,These ads ran without a disclaimer,4585,2
831037833925929,On The Market,Ong Han Yang,4579,121
2102437883340053,ClickAcademy Asia - Singapore,These ads ran without a disclaimer,4560,11
2052922968263010,96.3好FM,Nur Ashiqin Binti Jaffar,4525,18
188150991229978,Hair for Hope,That Design Agency,4521,22
108457084029845,LeapVista,These ads ran without a disclaimer,4420,5
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,4407,46
106517704482191,Youthopia SG,National Youth Council Singapore,4402,86
403165229849291,Smart Nation Singapore,ACCSS Digital Pte Ltd,4325,28
399136685976,SUTD Singapore University of Technology & Design,These ads ran without a disclaimer,4241,13
107268453300637,Patrick Foo - SG Properties,Ong Han Yang,4231,69
407993356023021,NVPC - Towards a City of Good,NVPC,4175,25
102051768541022,EDUdebt Singapore,EDUdebt HQ,4063,29
310518205758742,Vulcan Post,Vulcan Post,3981,9
18658822510,GovTech (Government Technology Agency of Singapore),GovTech (Government Technology Agency of Singapore),3977,17
836689413097228,Our Grandfather Story,Our Grandfather Story,3935,20
181553168581969,KPMG Singapore,KPMG Services Pte Ltd,3907,20
2791672460849739,SG Undervalued Properties,"Tan Aik Hong, Matthew",3888,29
548461415321079,MSIG,These ads ran without a disclaimer,3819,67
136631649735930,Energy Market Authority,These ads ran without a disclaimer,3719,28
104011306065156,Plаtfоrm оf thе futurе,These ads ran without a disclaimer,3691,8
55406192028,Young NTUC,Young NTUC,3660,128
125248617530449,Workplace Safety and Health Council,These ads ran without a disclaimer,3655,11
1730431717183351,Temasek Foundation,Temasek Foundation,3466,8
28388245100,ONE FM 91.3,SPH Radio Pte Ltd,3463,69
100546457967654,Nur International Services,Nur International Services,3403,257
318396722288716,SG Select Homes,Ong Han Yang,3398,84
1047466158733462,StashAway,These ads ran without a disclaimer,3350,7
2385654928125376,Reshveen Rajendran,These ads ran without a disclaimer,3249,16
109372984090446,Happy Kopitiam 阿乐咖啡店,Yew Tee Grassroots Organisation,3248,18
108541027668420,盛世芳華,These ads ran without a disclaimer,3230,9
6788957003,"Ministry of Education, Singapore",These ads ran without a disclaimer,3200,5
110103327444480,SG Property Insider,Ong Han Yang,3169,75
187872331392500,Dayre App,Dayre App,3150,6
101169729385565,クジラ・クジラ選抜館,These ads ran without a disclaimer,3147,23
136982159795537,Institute of Policy Studies - IPS,Institute of Policy Studies,3141,11
252274678156252,Oogachaga,Oogachaga,3050,24
18658822510,GovTech (Government Technology Agency of Singapore),These ads ran without a disclaimer,3045,12
106414362305922,Ugly goods,These ads ran without a disclaimer,3032,2
1685015248493274,Zula,CONVERSE,3000,4
100348172083031,Supagard - IMM,These ads ran without a disclaimer,2999,2
232099226838906,AIMS Immigration & Relocation Specialist,Next Level SG,2987,9
1592451054344555,Cyber Security Agency of Singapore - CSA,These ads ran without a disclaimer,2968,5
672689342753938,National Heritage Board,National Heritage Board,2955,6
245562153391,PSB Academy,These ads ran without a disclaimer,2935,8
106967301787038,SG Property Edge,Cheng Yap Toh,2933,338
111400040612779,My Brother SG,Sim Mui Hoon (Shen Meiyun),2926,140
161350640869919,Plantations International,These ads ran without a disclaimer,2891,1
477009055671222,Austral Migration Consultancy - Immigration Law Professionals,These ads ran without a disclaimer,2885,5
153763430481,Temasek Polytechnic,Temasek Polytechnic,2873,14
84284465067,Easyread - helping children to read and spell made easy with visual phonics,These ads ran without a disclaimer,2863,2
