Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
95972290770,Gustavo Petro,GUSTAVO PETRO,2437371429,670
241499431662,Fico Gutiérrez,Federico Gutierrez,2331136573,6916
108379099286148,Alcaldía Mayor de Bogotá,Alcaldía Mayor de Bogotá,621644861,1109
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,451872547,821
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,389412308,667
619776134722439,Secretaría Distrital de Salud,Secretaría Distrital de Salud,366481157,494
251292808253299,Canadian College,Canadian College,333310649,361
186850511364615,Presidencia de la República de Colombia,Presidencia de la República de Colombia,331206291,469
308580499200723,Alcaldía de Medellín,Alcaldía de Medellín,274785019,1357
316256535073131,Gobernación de Antioquia,Gobernación de Antioquia,268290326,343
95972290770,Gustavo Petro,Colombia Humana,264764656,42
484901491569666,David Barguil Presidente,Partido Conservador Colombiano,253510451,248
657246630966661,Ing Rodolfo Hernández Suarez,Rodolfo Hernandez Suarez,237595738,770
12415375791,Fajardo,Fajardo,233664769,221
130834367164,Red PaPaz,Red PaPaz,228659009,624
109799108388155,El Cuarto Poder,El Cuarto Poder,226986622,41
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,224043478,455
1400280116941194,Fabian Diaz,Fabian Diaz,223544165,15692
110612701109258,Nuevo Liberalismo,Nuevo Liberalismo,212073601,86
104077675063594,Pacto Histórico,Daniel Sebastian Contreras Ortiz,204911767,52
75884689790,Colectivo de Abogados,Colectivo de Abogados,197008293,93
102060675691486,Corruptometro,No más de los mismos,174548635,70
328009191437615,Julia Correa Nuttin,Julia Correa,171523514,301
104402821442426,Colombia LIBRE,colombia libre,168380330,64
106958901859545,No más de los mismos,Mujeres Colombia,161862914,87
104496788776749,Cosa política,Colombia sin odios,149766333,121
321789057890530,Secretaría de Movilidad,Secretaría de Movilidad,145883409,322
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,145376316,264
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,137851142,177
152939514772308,Elsa Noguera,Gobernación del Atlántico,133449642,584
1208208469251722,Secretaría Seguridad Bogotá,Secretaría de Seguridad,129953740,215
377334062304350,Secretaría de Educación de Bogotá,Secretaría de Educación de Bogotá,112620588,334
231483620573206,Edward Rodríguez,Edward Rodriguez,108022179,197
1179595778797776,Salvación Nacional,Partido Salvación Nacional,107134584,107
1676597692648453,Micolombia,mi colombia unica,106568334,24
206744309357233,Testigo Directo,Testigo Directo,106430960,172
101071764864119,Dulce Veneno,Dulce Veneno,105865292,81
132840983520233,Gobernación del Atlántico,Gobernación del Atlántico,104962580,486
1731056567124346,Miguel Samper,Miguel Samper,100645629,854
134038813277917,Santiago Valencia G.,Santiago Valencia González,100506894,1396
103410991275865,Impacto Venezuela,Impacto Venezuela,96587751,154
299469560099835,Alcaldía de Cali,Alcaldía de Cali,92448604,180
166392070120129,John Milton Rodríguez,John Milton Rodríguez,91727121,184
1417035641685142,Ricardo Ferro,Ricardo Ferro,89466968,339
207862082611972,Óscar Iván Zuluaga Oficial,Oscar Ivan Zuluaga,89194790,269
1482897701997453,Paloma Valencia,Paloma Valencia,87365484,349
100719861705266,Gabriel Cifuentes,Lizeth Pamela Vallejo Trujillo,85106695,45
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,84808048,44
1459311927714665,Kike Cabrales,Juan Sebastian Reina Garcia,84447374,36
170366363003312,Miguel Uribe Turbay,Miguel Uribe Turbay,84387322,393
12415375791,Fajardo,Add Media,82524992,129
109219134285554,Colombia Grande Co,Colombia grande,80493373,132
100937844801063,Gustavo Orozco Lince,Gustavo Orozco,80114678,402
