Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,502125,2
109882498582200,Osvoboďme Česko,Budovy21 s.r.o.,499995,44
1410403182565683,Petr Hladík,KDU-ČSL,498336,449
313971562018913,STAN Středočeský kraj,Starostové a nezávislí,492509,525
496346277123749,Piráti Ústecký kraj,Česká pirátská strana,490610,359
328899600936330,Petr Hlaváček - náměstek pro rozvoj,STAROSTOVÉ A NEZÁVISLÍ,484041,157
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,463993,274
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,459809,293
578342809023884,Jsme fér,Prague Pride,454637,268
103059308644099,Replastuj.cz,Replastuj.cz,448527,221
157741540937883,CARE Česká republika,CARE Česká republika,446775,105
1269502056393120,Info.cz,Info.cz,422310,462
495496033796328,Stanislav Blaha,Stanislav Blaha,416773,810
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,414556,311
280617905401953,Alexandra Udženija,Občanská demokratická strana,414459,227
107536521911422,1planet4all,Člověk v tísni o.p.s.,407203,28
34825122262,Časopis Reflex,Časopis Reflex,404413,177
1477535869227488,Vít Rakušan,Starostové a nezávislí,391850,220
553773474671244,Martin Kupka,ODS - Občanská demokratická strana,391254,222
257529307701966,Jiří Pospíšil,TOP 09,385872,699
605137899592157,STIHL,"Andreas STIHL, spol. s r. o.",385532,140
977639539069229,Jana Maláčová,Jana Maláčová,384359,169
108879588015539,Tečka.,MZ ČR,383565,65
137301989386,Aktuálně.cz,Aktuálně.cz,378103,436
1422617594662590,Petr Mach,SPD a Trikolora,375270,422
101591979523190,Oldřich Hájek,Oldřich Hájek,371880,151
347200411975609,VELUX,VELUX,371591,3
206045673805,Deník.cz,VLTAVA LABE MEDIA a.s.,368293,132
378827025796132,Peak.cz,Peak.cz,364966,3698
263441620339662,Nestlé,Nestlé Česko s.r.o.,363907,39
52479821102,Týdeník Respekt,Týdeník Respekt,363626,505
104969727582298,Možnost volby,Konektor Social,353444,62
141366725876424,European Greens,European Greens,345751,245
236211929833146,Tomáš Zima,ZFP s.r.o,340080,442
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,337673,1376
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",336194,55
397919187215,Evropská komise v ČR,Evropská komise v ČR,335906,215
111041662264882,Sociální demokracie,Sociální demokracie,333187,201
159731441359190,hnutí spOLečně,hnutí spOLečně,332322,443
1401321553476901,Jan Farský,STAROSTOVÉ A NEZÁVISLÍ,328903,186
112078397341578,FlashNews CZ,FlashNews s.r.o.,324129,125
707458719329186,Starostové Praha,Stan Praha,321986,384
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,321724,105
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,318957,150
166647353891,DOBROTY S PŘÍBĚHEM,These ads ran without a disclaimer,317084,11
1432139953751418,Josef Středula,Josef Středula,311333,54
301147597357008,"Robin Povšík, zastupitel Mladé Boleslavi, Hlas pro Boleslav",ČSSD Středočeský kraj,310764,109
111740250703509,STAROSTOVÉ pro OSTRAVU,Proud consulting,310275,73
609246842426009,Rekonstrukce státu,Rekonstrukce státu,309173,463
581395601924343,Jan Čižinský,PRAHA SOBĚ,304184,48
108726857444837,České zájmy v EU,DFMG,301660,162
104111369111523,Jenvyrozhodnete.cz - Starostové pro Ostravu,NEZÁVISLÍ,301067,28
2108659169383946,František Talíř,KDU-ČSL,300575,346
161396423900274,Piráti Pardubický kraj,Česká pirátská strana,294524,651
1477535869227488,Vít Rakušan,Vít Rakušan,292366,77
289075461571,TOP 09 - Středočeský kraj,TOP 09,288082,179
196970324392694,Historické darčeky,These ads ran without a disclaimer,283942,1
183947234987295,Ministerstvo vnitra,Ministerstvo vnitra ČR,283822,118
137681825598,ODS Praha,Občanská demokratická strana,281115,827
375868542113,Piráti Jihočeský kraj,Česká pirátská strana,276585,657
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita Česká republika,275624,181
112718776235,Jana Černochová,Občanská demokratická strana,273283,36
1681478228766601,Jan Grolich I Hejtman JMK,Pavel Krček,271264,186
1571432816412854,Ministerstvo pro místní rozvoj,Ministerstvo pro místní rozvoj ČR,269636,96
178362315106,European Parliament,These ads ran without a disclaimer,268717,28
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",263151,265
147547541961576,Council of the European Union,Council of the European Union,262044,1258
102090718057736,Urban Developers and Investors,"Urban Developers and Investors, s.r.o.",259470,102
93433992603,Hospodářské noviny,Hospodářské noviny,258743,168
102403989060169,Pomáháme Ukrajině,DFMG,257666,70
118719801252410,Národní plán obnovy,Národní plán obnovy,256345,33
108726857444837,České zájmy v EU,České zájmy v EU,256320,211
203656526961481,Klub Pátečníků - patecnici.cz,Klub Pátečníků s.r.o.,255374,237
124212050978293,Kverulant org,Kverulant org,254096,794
101157758403430,Professorado Caribbean,These ads ran without a disclaimer,253172,2
169065407139584,Tilt,European Greens,251992,109
107736952362788,Denik.to,Denik.to,251434,464
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",251233,437
116938576359818,Dalibor Uhlíř - 1. místostarosta Českého Krumlova,Dalibor Uhlíř,247509,209
109971530524897,Hrot24.cz,Týdeník Hrot,246593,430
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,244650,78
101894271393926,Daniel Kůs - Radní Plzně,Česká pirátská strana,242154,140
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,242132,77
587682004653785,Piráti Praha,Česká pirátská strana - Praha,241397,139
179497582061065,Tomio Okamura - SPD,These ads ran without a disclaimer,237101,210
1036986463173677,Humans of Piráti,Česká pirátská strana,233892,182
100981095684030,Lenka Helena Koenigsmark,SEN 21,232283,67
1953958664821128,Piráti Hradec Králové,Česká pirátská strana,232101,704
415472211798220,Prague Pride,Prague Pride z.s.,230347,197
229399305668679,Neschopnost zabíjí,"PRodukujeme, s. r. o.",226140,26
589026071265968,dotaceEU.cz,Ministerstvo pro místní rozvoj,225629,195
115589329891193,Konference Budoucnost evropského zemědělství /2023,European Parliament,222707,136
121241337968943,"Koruna Česká - monarchistická strana Čech, Moravy a Slezska","Koruna Česká - monarchistická strana Čech, Moravy a Slezska",222579,114
2277494545898464,The Eco Experts,These ads ran without a disclaimer,221406,11
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,219106,134
118797678145782,ODS Zlínský kraj,ODS Zlínský kraj,219001,202
58864692622,Český rozhlas Vltava,Český rozhlas,215813,224
111657753956755,Michael Žantovský,TOP 09,214381,103
1199083776860090,Strana nezávislosti České republiky,Strana nezávislosti České republiky,213795,77
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,210592,241
107882544976316,Volte jako vaše děti,"Fund4Future, z. s. IČ: 07609906",210511,15
1461492400563385,"Jan Lacina, radní Prahy 6 a poslanec STAN",STAN Praha 6,210373,105
187407575190610,Adam Scheinherr,PRAHA SOBĚ,209651,207
284944781875,EURACTIV.cz,EURACTIV.cz,209069,767
103430204491217,Robert Šlachta,Šimway,208929,58
1395881230682843,Luděk Niedermayer,TOP 09,207758,82
139379141293,Paměť národa,"Post Bellum, z.ú.",207756,317
103852342345135,Společně ODS a TOP 09 pro Prahu 4,adMaster s.r.o.,207070,37
107747200956355,Petr Kajnar,Česká strana sociálně demokratická,206337,551
2016193845077300,Renáta Zajíčková - poslankyně,Renáta Zajíčková,205792,251
1434319750128022,Jan Skopeček,ODS - Občanská demokratická strana,202702,273
103923024523450,Radio Zet,RadioZET s.r.o.,202294,101
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,202286,118
176459739425212,Ivo Grüner,ČSSD,201324,82
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,201128,280
433052613812240,Markéta Vaňková,Markéta Vaňková,200871,55
109056560836,iFortuna.cz,iFortuna.cz,199745,15
371102969577848,Spojenci24 s vámi,Spojenci - Koalice pro Olomoucký kraj,198491,225
104517784280261,Jiří Kadeřávek - zakladatel Pirátů,Jiří Kadeřávek,197509,219
101571722521084,Prahajede.cz,Magistrát hl. města Prahy,197236,74
193618398034790,Piráti a Starostové - Olomoucký kraj,Česká pirátská strana,196777,264
282765711734893,Piráti Moravskoslezský kraj,Dedek Jakub,196236,216
275023395197,Hospodářská komora České republiky,Hospodářská komora,196014,31
43855944703,Svobodní,Trikolora Svobodní Soukromníci,195777,63
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,195386,59
1736314393286607,Klára Dostálová,Ministerstvo pro místní rozvoj,194408,15
106149624597497,Manifest.cz,David Tesař,193103,78
100505211433010,Hejtmanka Petra Pecková,Starostové a nezávislí,192594,122
535611970260854,Evropa společně,Evropa společně,190900,52
490930117644709,Lubomír Zaorálek,Česká strana sociálně demokratická,190831,203
139250618282109,Diagnóza zdravotnictví,Diagnóza zdravotnictví,189376,24
112641041456966,Motoristé sobě,Motoristé sobě,185227,331
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,185101,70
101730838422101,Za Sazku,SAZKA a.s.,183228,13
125830487980906,Solární asociace,Solární asociace,182559,258
149368281915233,Sociální demokracie Jihočeský kraj,Česká strana sociálně demokratická,182255,155
179497582061065,Tomio Okamura - SPD,Tomio Okamura - SPD,181905,265
579215965436046,JSNS,JSNS,180797,144
264983260329918,Rádio Universum,Igor Ondřej,180174,298
