Page ID,Page name,Disclaimer,Amount spent (BMD),Number of ads in Library
107280108323471,One Garden - Community for the Curious,These ads ran without a disclaimer,≤100,14
126052760507,Mama Cash,These ads ran without a disclaimer,≤100,31
107207931828456,Next Thing Technologies,These ads ran without a disclaimer,≤100,5
106000875743370,plp_constituency26,These ads ran without a disclaimer,≤100,1
224071001011041,Hart Energy,These ads ran without a disclaimer,≤100,4
1517088885216557,AIG,These ads ran without a disclaimer,≤100,28
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,22
1662597657336484,OUTBermuda,These ads ran without a disclaimer,≤100,1
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,7
161707728106607,BayWa r.e. Global,These ads ran without a disclaimer,≤100,4
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,9
761109064021757,David Celley,These ads ran without a disclaimer,≤100,1
1821609834721994,Otis Elevator Co,These ads ran without a disclaimer,≤100,12
104238192067446,Fox'oclock,These ads ran without a disclaimer,≤100,2
21591025194,The University of Melbourne,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,UNICEF,≤100,38
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,30
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,5
105812628046929,VirtualRunners Global,These ads ran without a disclaimer,≤100,21
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,7
68793499001,UNICEF,These ads ran without a disclaimer,≤100,19
315603771494,Milaap,These ads ran without a disclaimer,≤100,6
208189704820,Ellen MacArthur Foundation,These ads ran without a disclaimer,≤100,4
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
111361091313,NICABM,These ads ran without a disclaimer,≤100,18
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,13
105837862009417,MegaNovel: Fictions,These ads ran without a disclaimer,≤100,5
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,4
266790296879,Bloomberg,These ads ran without a disclaimer,≤100,5
150294649018041,Julia Murça,These ads ran without a disclaimer,≤100,3
172523236104176,Panasonic,These ads ran without a disclaimer,≤100,4
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,20
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,10
105806708960852,Webfic - Read Romance Story,These ads ran without a disclaimer,≤100,4
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,3
101660089132919,Scanner,These ads ran without a disclaimer,≤100,1
165525366896608,Soka Gakkai,These ads ran without a disclaimer,≤100,1
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,8
232479886816529,Cambridge Institute for Sustainability Leadership,These ads ran without a disclaimer,≤100,1
