Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
250947744954005,התנועה הקיבוצית,These ads ran without a disclaimer,1109,22
580053072415802,MVoice,These ads ran without a disclaimer,1109,2
164295087285418,Thai Line Kitchen,These ads ran without a disclaimer,1109,9
100528275628213,נחמן שי - Nachman Shai,These ads ran without a disclaimer,1107,6
483560698377581,מועצה אזורית שפיר,Sharon Atiya,1107,7
255190007909871,"שי דבורה, סגן ראש העיר לשעבר","שי דבורה, סגן ראש העיר לשעבר",1107,10
547899102308980,יסמין סאקס פרידמן - Yasmin Sacks Fridman,יסמין סאקס פרידמן - Yasmin Sacks Fridman,1107,5
123476174412250,Doris Kearns Goodwin,These ads ran without a disclaimer,1106,11
122102763962011716,משה שטרית,Moshe Shitrit,1106,4
103421968406412,עולם טוב יותר,ארז דגן,1106,23
599453993544831,نساء ضد العنف  Women Against Violence,These ads ran without a disclaimer,1105,2
342250522539369,"עו""ד יחזקאל רוזנבלום","עו""ד יחזקאל רוזנבלום",1105,11
373243122780309,טבעונים - בראשות שמוליק שמחון,טבעונים - בראשות שמוליק שמחון,1104,4
364807043365,התיאטרון הקאמרי The Cameri Theatre,These ads ran without a disclaimer,1103,14
104865681540628,נתינה באהבה,תהילה חזן,1102,18
114337291577655,البقيعة بيتنا- جميل خير,Jameel Khair,1100,11
116850018045907,ניסן חסון - Nissan Hason,Nissan Hason,1100,4
146691292175860,יער עין חמד גן אירועים בטבע,These ads ran without a disclaimer,1100,4
180823523395,פאר לוין תקשורת,פאר לוין תקשורת,1100,6
102500322901532,"קצא""א - עתיד שחור","קצא""א - עתיד שחור",1100,2
106102827929645,צחי אבו - Zachi Abou,צחי אבו - Zachi Abou,1100,2
425986920919206,ريان المجتمع العربي في الشمال - ריאן חברה ערבית צפון,These ads ran without a disclaimer,1100,20
260555564573470,אריאל שווה יותר - בראשות אבנר משרקי למועצת העיר אריאל,אריאל שווה יותר - בראשות אבנר משרקי למועצת העיר אריאל,1100,19
562413387114006,המגירה,These ads ran without a disclaimer,1100,4
102238896044402,חה״כ דבי ביטון - Debbie Biton,חה״כ דבי ביטון - Debbie Biton,1099,74
166127883248742,פורום תקווה,These ads ran without a disclaimer,1099,3
143507315519682,"WBN אסטרטגיה, תקשורת ודיגיטל","WBN אסטרטגיה, תקשורת ודיגיטל",1099,14
255589754570158,Kloss ארונות מתקדמים מהחומרים הטובים בעולם,These ads ran without a disclaimer,1098,10
118243184932390,גלאי תקשורת יחסי ציבור,GALAI PR BY BAYSBERG TEAM,1097,6
175357433214430,מדיקל אלטרנטיבי - טיפול בגלי הלם ופיזיותרפיה מתקדמת,These ads ran without a disclaimer,1097,46
421610191739409,סלבריטי קרוזס - Celebrity Cruises Israel,These ads ran without a disclaimer,1096,10
137395946125208,جميل مرزوق للرئاسة,جميل مرزوق للرئاسة,1095,7
256055635013062,תל אביב 1 בראשות רון חולדאי,תל אביב 1 בראשות רון חולדאי,1093,7
125673344167567,הכל בדולר - דיזינגוף סנטר,These ads ran without a disclaimer,1093,2
117718274921641,אוקינאווה תל אביב - Okinawa Tel Aviv,These ads ran without a disclaimer,1092,132
171197756239359,"עומר יעבץ - צחי ביטון משרד עו""ד צבאי ונכי צה""ל","עומר יעבץ - צחי ביטון משרד עו""ד צבאי ונכי צה""ל",1092,28
112548182107940,aviation-links קשרי תעופה,These ads ran without a disclaimer,1091,19
266790296879,Bloomberg,These ads ran without a disclaimer,1088,13
267128536476461,سامر زبيدات - لرئاسة مجلس بسمة طبعون,סאמר זבידאת samer zubidat,1088,13
104762622956185,פורום החוסכים לפנסיה בישראל,"פורום החוסכים לפנסיה בישראל (ע""ר)",1087,6
250272298161753,Максим Шмагин,Максим Шмагин,1087,3
205223616018515,EDK Media,משה קלוגהפט EDK Media,1087,29
810922998993451,מינהל קהילתי הגבעה הצרפתית והסביבה,Ariel Ansbacher,1086,9
225859937576032,הליגה נגד השמצה - ישראל,These ads ran without a disclaimer,1085,5
108178221644306,SKYWELL ISRAEL - סקייוול ישראל,These ads ran without a disclaimer,1085,2
101945464783084,JISS - מכון ירושלים לאסטרטגיה ולביטחון,JISS - מכון ירושלים לאסטרטגיה ולביטחון,1083,12
503035236392779,المركز الجماهيري-رهط- מרכז קהילתי רהט,المركز الجماهيري-رهط- מרכז קהילתי רהט,1082,8
284881034891554,David Perets Hair Salon דוד פרץ סלון,These ads ran without a disclaimer,1082,26
1436250216613580,"אורט שפירא - כפר סבא     תיכון בינתחומי להייטק, למדעים ולאמנויות",טרנדי מרקטינג,1080,14
2214253365299366,Gabi Daniel - גבי דניאל,These ads ran without a disclaimer,1080,1
667307676707874,סטימצקי דיגיטל D-Steimatzky,GetBooks - ספרים דיגיטליים בעברית,1078,10
141064439084905,הציונות הדתית לוד - בראשות יוסי הרוש,הציונות הדתית לוד - בראשות יוסי הרוש,1078,9
100877628045152,שומרים על חופי השרון,Robbie Atar,1078,2
954031624746112,סימה כחלון - לראשות מועצת עומר,סימה כחלון - מועצת עומר,1077,9
271660011645,"אריק שלו ושות', משרד עורכי דין",Yifat Hazan,1076,19
174515142564219,מוזיאון נחום גוטמן לאמנות - Nahum Gutman Museum of Art,מוזיאון נחום גוטמן לאמנות - Nahum Gutman Museum of Art,1076,13
1407065079551605,Kuli Alma,These ads ran without a disclaimer,1075,6
408265492578926,עפר שלח - Ofer Shelah,These ads ran without a disclaimer,1075,5
2388354714741824,EcoInnova,These ads ran without a disclaimer,1070,4
1397664743789289,"החופש לבחור בבריאות - שיקמה נחמן, דיאטנית, מאמנת כושר - כוח מוח",Shikma Nachman,1069,23
806779316016355,אנו ANU نحن,These ads ran without a disclaimer,1067,3
984583378242835,Тали Плоскова,Likud,1066,4
361255281360068,יש-עתיד שוהם,Gabby Ventura,1065,12
179022298938932,אברהם דז'ורייב - Avraham Dejuraev,אברהם דז'ורייב - Avraham Dejuraev,1065,5
561508917249930,Gal Sharabi - גל שרעבי - דמאיו,Gal Sharabi Damayo,1065,7
110552874407168,BRAND Academy - המרכז למיתוג,These ads ran without a disclaimer,1064,2
100933871661970,"רו""ח רפאל משה - Refael Moshe","רו""ח רפאל משה - Refael Moshe",1063,7
1431601380479206,Lev Bagalil - לב בגליל,מועצת הגליל,1063,8
108345862251250,بروفيسور محمد حسين حجيرات,بروفيسور محمد حسين حجيرات,1062,15
882544658795678,SlideQuest,These ads ran without a disclaimer,1062,7
138705366792476,להקת הלל עם מרב ברנר,להקת הלל עם מרב ברנר,1062,2
285742004879697,عيسوي فريج Esawi Freige עיסאווי פריג',These ads ran without a disclaimer,1061,7
1676782359240182,דניאל כהן ושות׳- חברת עורכי דין Daniel Cohen& Co - Law Firm,דניאל כהן ושות׳- חברת עורכי דין Daniel Cohen& Co - Law Firm,1061,11
105827165037026,ענת וילנאי עורכת דין ומגשרת,ענת וילנאי עורכת דין ומגשרת,1060,15
110473020507440,משפט הבנקאים - הסרט,Yair Yona,1059,8
154057734998294,טירת כרמל בוחרת ראש עיר,טירת כרמל בוחרת ראש עיר,1059,20
102659761841741,מימוש ביטוח סיעודי,These ads ran without a disclaimer,1059,1
367359463816351,תנועת אנחנו,תנועת אנחנו,1057,15
1824323844461002,יקיר שינדלר,These ads ran without a disclaimer,1056,3
673860406021643,Atlas,These ads ran without a disclaimer,1055,2
113464021815849,Осознанный Ришон,Осознанный Ришон,1055,5
300976690382614,סוזי עוזסיני-ארניה Susie Ozsinay-Aranya,ליאור הררי,1052,6
1334293316594010,Dr. Wael Kraiem Economist,These ads ran without a disclaimer,1051,4
234799963313908,"תוכנית בארי, מכון שלום הרטמן",מכון שלום הרטמן,1050,3
102565495938905,НДИ без галстука,ישראל ביתנו,1050,3
329880780378483,מרצ תל אביב-יפו,Meretz מרצ,1050,1
1718303728444368,מרשם - ארגון המתמחים לרפואה בישראל,מרשם - ארגון המתמחים לרפואה בישראל,1050,10
455885857826652,"לח""י - העמותה להנצחת מורשת לוחמי חרות ישראל",These ads ran without a disclaimer,1050,1
127757258676,קשת 12,These ads ran without a disclaimer,1050,4
369655989728696,אסף דעבול - Asaf Daabul,אסף דעבול,1050,4
117341024718525,Yinon Slominsky,These ads ran without a disclaimer,1049,3
401643503342852,جمعة الزبارقة - Jumaah Al-zbarqa,These ads ran without a disclaimer,1049,4
101976266249839,Наташа Данилова,These ads ran without a disclaimer,1049,2
742247702819009,ruso model scale,Yaniv Ruso,1048,31
327674870711883,Galis Jewelry - גליס תכשיטים,These ads ran without a disclaimer,1047,39
110726252003225,אושרת בראל,Oshrat Barel,1045,9
194425917254186,Koupat Ha'ir,These ads ran without a disclaimer,1044,1
201329659363,הוכמן רואי חשבון,קובי הוכמן,1044,9
121036490986805,"Да, Нетания","Да, Нетания",1043,3
431367200941854,מיכל שיר - Michal Shir,These ads ran without a disclaimer,1042,3
108474768627580,דורית אוחנה - Dorit shitrit Ohana,דורית אוחנה,1042,6
810904589094226,צביקה ברוט - Tzvika Brot,These ads ran without a disclaimer,1041,15
454906794537062,"Dayan Clinic - ד""ר יוסף דיין",These ads ran without a disclaimer,1041,21
103073238487173,מעשה טוב ביום,נעם גליקו,1040,28
118359977918473,יובל ארד - לראשות מועצת כוכב יאיר-צור יגאל,Yuval Arad,1039,2
376141329482978,The Autographers,Amir Rosenbaum,1039,11
122049014216069,יוזמה - ציונות משפטית,יוזמה - ציונות משפטית,1039,6
217207238142271,אמיר שני - הנשיא הבא של לשכת המסחר,אמיר שני,1038,15
107863545666861,"עו""ד נתנאל אחרק לראשות העיר ראש העין","עו""ד נתנאל אחרק - מועמד לראשות עיריית ראש העין",1038,4
1431601380479206,Lev Bagalil - לב בגליל,Lev Bagalil - לב בגליל,1035,13
110643161211445,היחידה לאבטחת מעברי הגבול,These ads ran without a disclaimer,1034,2
231568170035906,משימה משותפת,משימה משותפת,1034,25
103293814887019,האגף לשילוב חברתי בעיריית לוד,האגף לשילוב החברתי בעיריית לוד,1033,5
1141487879356642,Soulmate - סולמייט,These ads ran without a disclaimer,1033,4
108901617934570,המטה הספרדי,Eyal Shetrit,1032,10
1144380385572477,ג.ג מערכות מיגון,These ads ran without a disclaimer,1031,4
392866501469954,"נטו מוצקין, זה רק - נטו מוצקין",יוסי מרקוביץ,1030,41
107470447413490,Дешифратор,These ads ran without a disclaimer,1029,1
101632715323973,Mia-travel,Tal Kama,1029,22
174411199282819,איתן כבל,These ads ran without a disclaimer,1028,3
599262683593052,חוג בוגרי ובוגרות המחנות העולים,בוגרי המחנות העולים,1026,6
221998731340865,התחנה מרכז הצעירים בלוד,התחנה מרכז הצעירים בלוד,1025,2
106287274112925,Plazit Polygal a Plaskolite Company,These ads ran without a disclaimer,1025,1
1781739578575358,אלון אלימלך משרד עורכי דין Alon Elimelech Law Office,אלון אלימלך משרד עורכי דין Alon Elimelech Law Office,1021,19
1448370805427615,איגוד רבני הקהילות בישראל,These ads ran without a disclaimer,1021,2
347786717159,כלל ביטוח ופיננסים,These ads ran without a disclaimer,1021,3
173987419305088,Funia,Funia,1020,3
215634698989590,ידידי הג'האלין - למען זכויות הבדואים במדבר יהודה  اصدقاء الجهالين,Friends of Jahalin,1019,8
102037343286839,זוכרים את הרצח. נאבקים על הדמוקרטיה,מועצת תנועות הנוער בישראל,1019,5
106298875546847,"עו""ד אופיר פרל למועצת העיר פתח תקווה","עו""ד אופיר פרל למועצת העיר פתח תקווה",1018,3
352085778333428,המרכז של קרסו בירוקה,These ads ran without a disclaimer,1017,4
112804341530070,מפלגת יש כיוון,מפלגת יש כיוון,1017,8
105110711515609,Wolf Prize,Wolf Prize,1016,5
1595472650675673,מחוז תל אביב - משרד החינוך,These ads ran without a disclaimer,1016,2
111250155267911,Act News,Act News,1016,3
2262671587380914,דרורי בנייה מתקדמת,These ads ran without a disclaimer,1015,5
604890186681585,מור ויצמן,מור ויצמן,1015,11
118410851589072,Miri Regev מירי רגב,מירי רגב,1014,2
512355185513534,ראש העיר מיכאל וידל,These ads ran without a disclaimer,1014,15
308748509199767,סמדר גרושקא מעצבת,These ads ran without a disclaimer,1009,4
1572918566306585,The Foreign Desk,These ads ran without a disclaimer,1008,3
2771671346183637,אמישראגז Home,These ads ran without a disclaimer,1008,6
1823890261193086,מועצה אזורית מנשה,These ads ran without a disclaimer,1007,2
899656300154701,עמותת הבית לחולי טרשת נפוצה,"עמותת ""הבית לחולי טרשת נפוצה""(ע""ר)",1007,1
754075528001932,מועצת הנגב,יוהן אטלן,1007,14
1570059663275831,הארגון הישראלי לבני משפחה מטפלים Caregivers Israel,הארגון הישראלי לבני משפחה מטפלים Caregivers Israel,1006,11
102902776082760,הירוקים הוד השרון,הירוקים הוד השרון,1005,4
122766647780109,אביטל איסקוב - המרכז לקוסמטיקה מתקדמת,These ads ran without a disclaimer,1005,3
611969872630041,עמי פינשטיין - Ami Fienstien,Ami Fienstien,1001,2
189391881258525,גוד נייט,גוד נייט,1000,1
166047136744115,עם עובד - הוצאת ספרים,עם עובד - הוצאת ספרים,1000,6
823182014484495,שחר אורגד - סגן ראש לשכת עורכי הדין,"שחר אורגד  - משרד עו""ד",1000,1
459746320752301,תל אביב-יפו הירוקה,Riky Cohen,1000,2
103890341944715,תנופה - קרית חיים חוזרת לעצמה,Mati Golani,1000,3
103476062195166,Матан Диль,מתן דיל,1000,1
2028513427258728,בית כנסת בית אל גריבה בנתניה,Asaf Yaron Meshulam,1000,1
190232317661055,بلدية باقة الغربية - الصفحة الرسمية - עיריית באקה אלגרבייה,بلدية باقة الغربية - الصفحة الرسمية - עיריית באקה אלגרבייה,1000,1
136884783852344,Eau Thermale Avène,These ads ran without a disclaimer,1000,4
199381213757428,שי קינן - shai keinan,These ads ran without a disclaimer,1000,1
406436429494665,"ד""ר צחי שלקוביץ-Tzachi Shelkovitz M.D",These ads ran without a disclaimer,1000,1
382996878412513,Tous Jewelry,These ads ran without a disclaimer,1000,1
302436213149117,פרופסור עמי ספרבר,These ads ran without a disclaimer,1000,1
107874391524431,אגדת חורבן,סרטי נחשון,1000,1
690751200972440,הבורסה לניירות ערך,הבורסה לניירות ערך,1000,6
195558977143733,שם עולם - מחברים את דור העתיד לשואה ׀ Shem Olam,שם עולם - מחברים את דור העתיד לשואה ׀ Shem Olam,1000,1
279266815462537,קניון עופר רמת אביב,These ads ran without a disclaimer,1000,1
100182539851204,חדשות חולון,חדשות חולון,1000,1
330163421118527,התאגיד הממלכתי - המרכז למורשת יהדות אתיופיה,Guy Goren,1000,22
562707030479676,סקירה דיזיין - הכל בעיצוב,These ads ran without a disclaimer,1000,1
1716690721975743,Diana's cakes-העוגות של דיאנה,Diana Bilayev,1000,4
127127047460161,"אבינעם גואלמן משרד עו""ד ונוטריון","אבינעם גואלמן משרד עו""ד ונוטריון",1000,1
392234858273619,יזהר שי - Izhar Shay,תל״ם,1000,3
110173600718824,مركز الشباب - الطيرة / מרכז הצעירים - טירה,These ads ran without a disclaimer,1000,1
364478330291286,מוטי יוגב - Moti Yogev,ימינה,1000,2
1502664890022456,מישאל בן-עמי,מישאל בן-עמי,1000,3
1574472442816162,درب الكرامة والنزاهة - قائمة المحامين العرب,درب الكرامة والنزاهة - قائمة المحامين العرب,1000,7
101559312575874,"המכון הלאומי לשבת, חברה וכלכלה","המכון הלאומי לשבת, חברה וכלכלה",1000,5
139277859420485,מערך הדיגיטל הלאומי,gov.il,998,1
151980724869152,מאפיית אנג'ל,מאפיית אנג'ל,998,2
203379449685023,לוחמים לשלום,These ads ran without a disclaimer,997,4
565108056966122,Curiosity Stream,These ads ran without a disclaimer,996,35
201585363049108,إسماعيل زعبي - لرئاسة بستان المرج,اسماعيل,996,10
185349397996029,התנועה הדרוזית לדמוקרטיה ושוויון,התנועה הדרוזית לדמוקרטיה ושוויון,995,7
110210588494125,Law.cfd,These ads ran without a disclaimer,995,4
1290190267797271,Properties.il,These ads ran without a disclaimer,995,1
108463997709248,The Jerusalem Parliament,The Jerusalem Parliament,995,17
2504846706195319,Депутат Хайфского городского совета Лазарь Каплун,Депутат Хайфского городского совета Лазарь Каплун,995,8
114665858353024,ثائر سليم תאאר סלים Thaer Saleem,Thaer Saleem,994,5
819673004730155,The Duchesses - Watches & Jewellery,These ads ran without a disclaimer,994,1
110178328228079,NinjaOne Europe,These ads ran without a disclaimer,993,9
137552396286931,מיטה-לי חדרי ילדים מעוצבים - עבודות נגרות לעיצוב הבית בהתאמה אישית,These ads ran without a disclaimer,992,1
181569658560452,"מרכז סיוע לנפגעות ולנפגעי תקיפה מינית ת""א",איגוד מרכזי הסיוע לנפגעות ולנפגעי תקיפה מינית,992,9
1836365373266980,Cooking Diary,These ads ran without a disclaimer,992,1
106652318513330,אלי בן חמו,אלי בן חמו,992,10
386001744772337,Michal Biran | מיכל בירן,סיעת כולנו סלע בהסתדרות בראשות עופר עיני,992,4
235164144083,Orri Dror - music & curiosities,These ads ran without a disclaimer,991,2
247082971995713,Gabrieli Hand Weaving,These ads ran without a disclaimer,989,5
104068001012642,"עו""ד עבד מסארוה",Amal Massarwy,988,19
1805533439759230,אסיף איזק - ראש מועצת חוף הכרמל,These ads ran without a disclaimer,987,34
207524289120141,النداء العربي اللداوية بلدنا,النداء العربي اللداوية بلدنا,987,9
101694494957337,המרכז הישראלי לקריירה - Tic.center,These ads ran without a disclaimer,985,6
582379818539624,א.ג.ש נכסים,These ads ran without a disclaimer,983,20
107602844417662,"עו""ד שלמה ינאי",שלמה ינאי,983,4
511456009318411,זיוה יצחק,These ads ran without a disclaimer,981,2
102997349163272,ברוך לגזיאל - הקול של המושבים חזק בעבודה,תדמית באינטרנט,980,13
288099395173008,אתי חוה עטיה - Etty Hava Atia,משה נוישטט,980,10
100966344810617,סניף הליכוד פתח תקווה החדש,These ads ran without a disclaimer,980,4
106234667778778,כחול לבן   מטה איכות הסביבה,These ads ran without a disclaimer,978,2
106477859202978,רועי שרעבי,רועי שרעבי,977,17
112700220463405,חלל חיצון גרילים,These ads ran without a disclaimer,977,1
105232662635786,רני גבריאל לראשות העיר ראש העין,רני גבריאל לראשות העיר ראש העין,975,6
202361369783708,People & Computers - אנשים ומחשבים,These ads ran without a disclaimer,974,3
182073298490036,Gaia,These ads ran without a disclaimer,974,4
433942603478314,אהרון ליבוביץ - Aaron Leibowitz,אהרון ליבוביץ - Aaron Leibowitz,974,6
112560631680318,השרון נט,השרון נט,974,9
1751606525096695,"פולי - ניהול וקידום נדל""ן",These ads ran without a disclaimer,974,4
125051447366537,המטה להחזרת החטופים והנעדרים,These ads ran without a disclaimer,974,4
137762212900,שר המשקאות,These ads ran without a disclaimer,972,5
174181712677742,Arim mall קניון ערים,These ads ran without a disclaimer,971,1
179947419302561,שאול כמיסה,שאול כמיסה,970,17
626173404059608,Liebling Haus -The White City Center - בית ליבלינג - מרכז העיר הלבנה,These ads ran without a disclaimer,969,5
657753034307158,נסיקה עסקית,These ads ran without a disclaimer,969,3
193263240729861,קרן טראמפ למצוינות בחינוך,The Trump Foundation,969,1
102130312025727,נירה שפק - Nira Shpak,מפלגת יש עתיד,968,7
109102793838788,"פאדי אבו אסעד - משרד עו""ד,  فادي أبو أسعد - مكتب محاماة",These ads ran without a disclaimer,968,14
102960991699820,ronit_siboni,These ads ran without a disclaimer,967,2
108239281869608,LEGO Certified Store Israel - חנות לגו ישראל הרשמית,These ads ran without a disclaimer,966,9
1460575324207050,"ד""ר לוינגר מרכזים רפואיים",These ads ran without a disclaimer,965,1
1610081575890045,דוד וטין - David Vatine,These ads ran without a disclaimer,965,23
353049178637699,מרצ סניף ג'לג'וליה - ميرتس فرع جلجولية,המחנה הדמוקרטי,963,11
196849714321381,NOLÉ by Noga,These ads ran without a disclaimer,961,2
516372985411990,יאיא פינק,המחנה הדמוקרטי,961,4
1697622230343817,Влад Капустин,Влад Капустин,960,29
396752650422453,מנע ושות משרד עורכי דין,מנע ושות משרד עורכי דין,959,1
284364824930186,הויה - טקס ישראלי,הויה - טקס ישראלי,958,10
1762109877337858,גאסי רקמה ממוחשבת,These ads ran without a disclaimer,956,8
1276259192440841,ערן חרמוני - Eran Hermoni,חרמוני ערן,955,22
1668234820147264,שווים - קול לאנשים עם מוגבלות,These ads ran without a disclaimer,954,6
583385501695143,נטו סטודנטים ברופין בראשות עידו ברוכשטיין,Ido Brochstein,954,6
104734948265479,למען הנזקקים,Boris Goldman,953,4
361297524253043,הסתדרות המורים - סניף חדרה - שומרון,"אמ""י בראשות יפה בן דויד",952,6
1788728421422878,בשביל אריאל,בשביל אריאל,952,7
1803344143279181,אוכלוסיית ה5%,These ads ran without a disclaimer,952,12
828322890593405,الجبهة الديمقراطيه للسلام والمساواة- فرع طرعان חד״ש סניף טורעאן,الجبهة الديمقراطيه للسلام والمساواة- فرع طرعان חד״ש סניף טורעאן,952,11
121743824506271,פסיכודהרמה - בודהיזם מדיטציה לימודים,These ads ran without a disclaimer,952,7
1027753777339417,Наш Дом Хайфа,Наш Дом Хайфа,950,8
1263717540325535,גן העיר כרמיאל,These ads ran without a disclaimer,950,2
734980876854034,אלעד דנוך - Elad Danoch,Elad Danoch,950,18
1101295543238080,אומיד ושות' - עורכי דין ונוטריונים,Yifat Hazan,949,9
164306561501,רופאים לזכויות אדם,רופאים לזכויות אדם,948,1
1650131855266850,גיור כהלכה,These ads ran without a disclaimer,948,3
106977131210879,Boaz Moldawsky ISDE President - בועז מולדבסקי נשיא בורסת היהלומים,These ads ran without a disclaimer,948,2
106977131210879,Boaz Moldawsky ISDE President - בועז מולדבסקי נשיא בורסת היהלומים,Ifat Saban,947,4
379108852157373,"ארבל - מרכז רפואי רב תחומי - ד""ר עברי שמעון",Liron Cohen,946,5
122098773494004080,מוצקין שלנו - בראשות אליהו עמר,SE יחסי ציבור,945,10
102784001119179,001 - מהעולם החשאי לחיים שלך,These ads ran without a disclaimer,944,2
100406666225034,5050 שותפות ושוויון מגדרי,5050 שותפות ושוויון מגדרי,943,26
102308138080414,השבוע בדרום,השבוע בדרום,943,13
63803619400,הוצאת שוקן,These ads ran without a disclaimer,940,1
106727318920424,שלו גרינברגר עורכי דין,שלו גרינברגר | עורכי דין,940,1
103217167742497,הכנעני,גלעד טירם,940,31
103865821563771,טקאטש-הבר דרכונים אירופאים,These ads ran without a disclaimer,939,2
641514279247588,עיריית שדרות,These ads ran without a disclaimer,939,3
121416927893886,קניון עופר נהריה,These ads ran without a disclaimer,939,3
718411331887192,"עו""ד איטל גנון",איטל גנון,938,6
217517568424508,לריסה גינת - Larissa Ginat,These ads ran without a disclaimer,938,7
368368903022583,אליהו רביבו - אנחנו מאשימים,משפחות שבעה באוקטובר,937,3
591983597616912,שווארמה ראש העיר - ליאור ולהב,These ads ran without a disclaimer,936,13
110953105276453,"מרלן שחאדה, משרד עורכי דין",These ads ran without a disclaimer,936,25
1484712825147171,Tomer Warsha-Asaf Weitzen Adv - Immigration to Israel & Citizenship,"תומר ורשה - אסף וייצן, משרד עורכי דין",936,15
19042228020,דוידי הרמלין,These ads ran without a disclaimer,932,3
565685046783082,الحركة الاسلامية الطيبة,الحركة الاسلامية الطيبة,932,11
100378528527676,מכשול למתמחה,Ilya Rosenfeld,932,11
111420048282472,Shanna Orlik - שאנה אורליק,Shanna Orlik,932,14
2140073229640663,"שיל""ת, הרשקוביץ, אשכנזי ושות' - רואי חשבון","שיל""ת • הרשקוביץ • אשכנזי רואי חשבון",929,4
242732972866081,"שניידרמן, סברדליק ושות' משרד עורכי דין","שניידרמן, סברדליק ושות' משרד עורכי דין",929,25
1144735395625887,"אבי ששו עו""ד ונוטריון","אבי ששו עו""ד ונוטריון",929,19
104691616912946,أبناء قانا,أبناء قانا,929,6
109708842392860,מרכז השלטון המקומי בישראל,These ads ran without a disclaimer,929,16
117475584943891,עמק יזרעאל,These ads ran without a disclaimer,928,3
321247772663460,Tikva Hadasha,בנימין לאשקר,927,6
129069247144339,לויס תכשיטים,These ads ran without a disclaimer,926,1
131460316882053,נורופן לילדים - אנחנו נטפל בכאב,These ads ran without a disclaimer,925,6
104953287873657,"העיקר הבריאות - מוצרי בריאות, ניידות ונגישות",These ads ran without a disclaimer,925,8
105748097987829,מפלגת דור אחר,עקרון בדרך להיגיון,924,4
101668231233315,Farah Raslan - פרח רסלאן,These ads ran without a disclaimer,923,1
200285951916,Zap דפי זהב,These ads ran without a disclaimer,923,4
320938884644368,בורסת היהלומים הישראלית - The Israeli Diamond Exchange,בורסת היהלומים הישראלית - The Israeli Diamond Exchange,923,9
110862702111503,אריאל בריח,אריאל בריח,921,6
263965267719843,من اجلك يا باقة,Helmi Kittani,920,12
181785975623239,لئوميت خدمات الصحة,These ads ran without a disclaimer,920,2
111821491591340,משה רוט,משה רוט,920,3
1692293270989088,שדה ושות' משרד עורכי דין נוטריון ומגשרים,Yifat Hazan,920,23
242732972866081,"שניידרמן, סברדליק ושות' משרד עורכי דין",Yifat Hazan,920,23
112002847381684,מאחורי הכסף,These ads ran without a disclaimer,920,5
109870183782201,Kesaot Hatzfon,These ads ran without a disclaimer,920,11
110052591967356,לירון סבן משרד עורכי דין,Yifat Hazan,919,7
139139220137982,כינרת אלישע כהן למועצת העיר הוד השרון,כן למועצת העיר הוד השרון - בראשות כנרת אלישע כהן,918,8
1703268633265805,"משרד עו""ד איתי הכהן","משרד עו""ד איתי הכהן",917,23
1641251499483405,בית החינוך הדו לשוני יד ביד בית ברל المدرسة ثنائية اللغة يدًا بيد,בית החינוך הדו לשוני יד ביד בית ברל المدرسة ثنائية اللغة يدًا بيد,916,4
190731637642996,מועצה אזורית משגב,These ads ran without a disclaimer,916,3
103046652412733,דולב אטיאס - Dolev atias,Dolev Atias,916,11
111306778636150,شريف نجم لرئاسة مجلس الجش المحلي,شريف نجم لرئاسة مجلس الجش المحلي,915,11
1551528425093736,Михаэль Лайтман,Михаэль Лайтман,915,6
404524626406590,המרכז הרפואי זיו,These ads ran without a disclaimer,915,2
210991305999971,יגואר  Jaguar Israel,These ads ran without a disclaimer,914,2
116528784757878,שוהם בעד דמוקרטיה,These ads ran without a disclaimer,912,4
104300251352585,בעד,מפלגת יש עתיד,912,1
353907448126652,קרן גוש עציון לפיתוח,קרן גוש עציון,910,4
1682319665375637,בית הכנסת הגדול בתל אביב הדף הרשמי - Great Synagogue TLV,Yosef Rabin,910,3
108731275367875,לימודים למסחר בקריפטו,These ads ran without a disclaimer,909,2
109828623700520,תיקון מפלגת ההסכמה,These ads ran without a disclaimer,909,3
103000923469955,Irina Nevzlin - אירינה נבזלין,These ads ran without a disclaimer,908,6
1860775654191289,להב תל אביב,להב תל אביב,908,4
106065484513801,Merge Friends,These ads ran without a disclaimer,907,4
104919325716513,קרן הלוואות לעוסק מורשה,These ads ran without a disclaimer,907,2
212508465430143,מען ארגון עובדים  معًا - نقابة عمالية MAAN Workers Association,These ads ran without a disclaimer,906,5
109259651346776,zabarshualy,These ads ran without a disclaimer,906,11
1410751602491467,ברק כרטיסים,These ads ran without a disclaimer,906,2
100847772871964,אפשר גם אחרת - תמר קידר,אפשר גם אחרת - תמר קידר,905,5
110974386948474,استفتاء محلي - عرابة,Captain Media,905,2
182725922666,Epharma - איפארמה,These ads ran without a disclaimer,905,10
175570835813637,Association for Civil Rights in Israel (ACRI),Association for Civil Rights in Israel (ACRI),903,11
109880580419027,טארק ח'ורי - משרד עורכי דין,טארק ח'ורי - משרד עורכי דין,903,23
380022938677931,NINJA POLO בוטיק מותגים,These ads ran without a disclaimer,902,1
1453676008260486,The International Legal Forum,Barak Herscowitz,902,6
101661052624356,אורן מגנזי - Oren Magnezy,Oren Magnezy,902,2
409950982465636,Dan Illouz en français,Dan Illouz en français,901,27
101008431674258,Merchan style - מרצ'נסטייל,These ads ran without a disclaimer,901,2
105781574797356,יד לנזקקים,Mohammd Abutair,900,6
