Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,669618,3515
914741188600735,עומדים ביחד نقف معًا,עומדים ביחד نقف معًا,646611,1433
2049801181979253,עלה לנו עד כאן,הברית הישראלית,639671,256
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,639348,1197
137939329405400,מחדל23,מחדל23,639034,449
104206554902778,תקווה חדשה,תקווה חדשה - אחדות לישראל,625963,527
1915868198652314,האם ראית את האופק לאחרונה?,האם ראית את האופק לאחרונה?,602905,1080
109523830757998,דמוקרטtv,דרכנו,588486,1984
221716018708004,ישראל לפני הכל,מפלגת כחול לבן,554048,293
103907495935157,צו חירום,צו חירום,546341,441
401687276639883,רז קינסטליך - ראש עיריית ראשון לציון,רז קינסטליך - ראש עיריית ראשון לציון,498782,572
344747335726179,القائمة المشتركة,القائمة المشتركة הרשימה המשותפת,496289,947
102761875997789,מגזין מרחיב דעת ומעורר מחשבה - האפוק,מגזין מרחיב דעת ומעורר מחשבה - האפוק,496191,411
325131448440639,מפלגת נעם,מפלגת נעם,480224,1256
790149967713981,דרכנו,דרכנו,461986,1077
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,458977,2737
100948875285149,המפלגה הכלכלית בראשות ירון זליכה,המפלגה הכלכלית החדשה,452505,442
501512673192146,Авигдор Либерман,Авигдор Либерман,449357,2040
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,448854,1226
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",441825,1005
536794249813012,תומר גלאם - Tomer Glam,עיריית אשקלון,429979,1940
101085734585825,مصوتين,17/9 Coalition,426282,194
676336439165235,קרן משפחת רודרמן: יחסי ישראל-יהדות ארצות הברית,קרן משפחת רודרמן: יחסי ישראל-יהדות ארצות הברית,425352,1551
104016161489936,Israel siton,Israel Siton,421906,373
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,421457,1375
134252303927914,Майкл Мур - מייקל מור,Michael Moore,416915,1099
655073717925481,קרן ברל כצנלסון,קרן ברל כצנלסון,400489,3347
100301088671913,Tal Hershkovitz,Tal Hershkovitz,396028,150
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,376428,327
104222621115858,הביטחוניסטים,הביטחוניסטים,372798,1895
2355767117877522,המחנה הדמוקרטי,המחנה הדמוקרטי,371033,604
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,359884,1668
103105742291121,ארנון בר-דוד  יו״ר ההסתדרות הכללית החדשה,עוגנים,358447,262
115456451553737,יונה יהב,יונה יהב,356630,570
370270343005611,ישראל ביתנו,ישראל ביתנו,356238,2538
1197610913585169,אורנה ברביבאי - Orna Barbivay,אורנה ברביבאי - Orna Barbivay,354984,521
800602783635410,الجبهة الديمقراطية والعربية للتغيير,الجبهة الديمقراطية والعربية للتغيير,349465,142
113172981678041,הביתה,הביתה,344930,109
162089177185799,התאחדות התעשיינים בישראל,התאחדות התעשיינים בישראל,343608,1299
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר הוצאה לאור,339095,1808
433529446712013,Ayman Odeh - أيمن عودة,Ayman Odeh - أيمن عودة,332785,1118
103085619445870,ניר ברכיה משרד עורכי דין,ניר ברכיה משרד עורכי דין,332605,7
100299515277556,תינוקות של החיים,תינוקות של החיים,327646,660
272234459475504,Ehud Barak - אהוד ברק,המחנה הדמוקרטי,326543,584
1132552263454922,לשכת יועצי מס בישראל,Ziv Habob,320628,142
116563891775107,עיריית פתח תקווה,עיריית פתח תקווה,320241,769
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,317945,9
104743111658191,Ron Ben Shushan,רון בן שושן,317500,392
482975571739120,ארגון המורים העל-יסודיים,ארגון המורים העל-יסודיים,316398,356
66398526339,Nitzan Horowitz - ניצן הורוביץ,המחנה הדמוקרטי,311812,570
108614562299021,הפקרה,הפקרה,290601,59
429184557235927,בצלאל סמוטריץ',האיחוד הלאומי,289181,282
501512673192146,Авигдор Либерман,ישראל ביתנו,287868,501
1506163609667780,שקוף - גוף התקשורת של הציבור,שקוף,285562,1874
256244498134186,אגף הביטחון - משרד ראש הממשלה,אגף הביטחון - משרד ראש הממשלה,285074,132
393511881426604,סודות השיווק של ביבי,"וידיס שירותי ניהול בע""מ",281092,339
256546887847232,עיריית רמת גן,עיריית רמת גן,281016,330
153664638161877,מתן דיל - ראש העיר רחובות,מתן דיל- Matan Dil,279449,460
104070234838628,מחדל הקורונה - העדויות שלכם,הברית הישראלית,278325,611
100230935579742,מתחת לרדאר,מתחת לרדאר,273237,453
604890186681585,מור ויצמן,Mor Weitzman,271485,431
259748721586881,ועדת הבחירות המרכזית לכנסת,ועדת הבחירות המרכזית לכנסת ה-22,270926,80
1913755198907011,"המרכז הרפואי לטיפול בהשמנה - ד""ר רז",המרכז הרפואי לטיפול בהשמנה,270703,72
155300937864628,המרכז להעצמת האזרח,המרכז להעצמת האזרח,267651,837
810904589094226,צביקה ברוט - Tzvika Brot,צביקה ברוט - Tzvika Brot,261594,3019
108030247997581,BuzzIsrael - באזז ישראל,באזז ישראל,260585,381
1392138171047822,"ארגון נכי צה""ל","ארגון נכי צה""ל",256793,374
109992682018930,Noam Zluf,Noam Zluf,256468,1356
175285029214345,הציונות הדתית,האיחוד הלאומי,253591,475
121179420924897,המשאל של ישראל,הביתה,253497,39
101085734585825,مصوتين,17.9 Coalition,252683,80
160178307760913,מחזקים,מחזקים,248043,477
101254456625034,אפוק טיימס,אפוק טיימס,247061,454
103428925850338,אבי סלמה - דרך חדשה לנתניה,אבי סלמה - דרך חדשה לנתניה,245725,331
649373828424341,Moshe Lion - משה ליאון,Moshe Lion - משה ליאון,244794,538
115028251920872,זהבה גלאון Zehava Galon,Meretz מרצ,237487,350
284075141627594,רון חולדאי,מפלגת הישראלים,237186,53
453662681675220,הברית הישראלית,הברית הישראלית,234936,429
664693323933235,"תנועת ש""ס","ש""ס התאחדות הספרדים העולמית שומרי תורה",234858,72
562900707171914,ליעד אילני - Liad Ilani,סיעת רמת-גן שלנו,232590,490
137449656335533,Amnesty International Israel,Amnesty International Israel,227556,1563
105650638229611,يائير لبيد - حزب يش عتيد,מפלגת יש עתיד,226468,45
109551402519,Haaretz הארץ,Haaretz הארץ,225958,422
134252303927914,Майкл Мур - מייקל מור,Майкл Мур - מייקל מור,225195,812
123104621200309,המשרד לביטחון לאומי,המשרד לביטחון לאומי,224158,86
1040192852853323,منصور عباس - Mansour Abbas,منصور عباس - Mansour Abbas,222551,358
849824028408565,תנועת אם תרצו,תנועת אם תרצו,221174,1425
205544429526773,תג מאיר: אור במקום טרור,תג מאיר: אור במקום טרור,219934,932
500238833397356,ציפי ברנד,ציפי ברנד,218104,1363
325048350950892,רמי גרינברג,עיריית פתח תקווה,216357,584
321795461283120,גנאדי בורשבסקי,גנאדי בורשבסקי,215467,99
124894077550811,ישראל חופשית,ישראל חופשית,213053,992
126099790738165,אנימלס,אנימלס,207635,274
281777035357977,איתמר בן גביר,עוצמה יהודית,206626,132
161804953943328,Яир Лапид,יש עתיד - בראשות יאיר לפיד,202750,937
94258847306,האגודה לזכויות האזרח בישראל,האגודה לזכויות האזרח בישראל,201648,3674
111909540147240,מפלגת צדק בראשות אבי ילאו,Innovate,201374,414
371986449521679,הקרן למורשת הכותל המערבי,Tal Sanderoni,197768,1850
501178966564217,פורום קהלת Kohelet Forum,פורום קהלת Kohelet Forum,196821,733
303720457847,לשכת רואי חשבון בישראל,לשכת רואי חשבון בישראל,196134,499
1230703323658792,מרכזים לצדק חברתי,מרכזים לצדק חברתי,195786,1750
160119221434385,דוד עציוני -ראש העיר חיפה,דוד עציוני -ראש העיר חיפה,194811,370
173196886046831,משה (בוגי) יעלון - Moshe (Bogie) Ya'alon,מפלגת כחול לבן,192247,96
977353718949028,מיקי זוהר-  Micki Zohar,ח״כ מיקי זוהר  Micki Zohar,191623,311
332194137252900,אחריות לאומית,אחריות לאומית,190285,412
161096657252221,שוברים שתיקה,שוברים שתיקה,185878,1025
175285029214345,הציונות הדתית,הציונות הדתית,185202,257
129709433742187,Shalem College - המרכז האקדמי שלם,Shalem College - המרכז האקדמי שלם,183948,484
