Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
246477898857961,tv3.lv,Skaties.lv,2763,142
1335196376559627,Juris Jurašs,Jaunā konservatīvā partija,2716,15
104078275475537,Gabli Gm,These ads ran without a disclaimer,2689,141
28312410177,World Food Programme,These ads ran without a disclaimer,2679,219
101872688217669,Baiba Bļodniece,Attīstībai/Par!,2668,25
601458446716365,Viesturs Zeps,"Attīstībai/Par!, Progresīvie",2657,34
458756657627773,"Sociāldemokrātiskā partija ""Saskaņa“","SDP ""Saskaņa""",2648,86
105331665035028,LRA_Tukums,Latvijas Reģionu Apvienība,2595,41
470923236652482,Mārtiņš Staķis,Martins Stakis,2578,25
215486111795023,Swedbank Latvia,Media House,2570,22
831485113704995,Vides aizsardzības un reģionālās attīstības ministrija,Vides aizsardzības un reģionālās attīstības ministrija,2533,130
100393545205830,Stabilitātei - Jā,Stabilitātei - Jā,2500,4
1982109711813991,Jānis Butāns,Jānis Butāns,2464,117
100424496074658,SUVERĒNĀ VARA,SUVERĒNĀ VARA,2430,50
108091848218452,Latvija pirmajā vietā,LATVIJA PIRMAJĀ VIETĀ Politiskā partija,2388,31
108383188512253,Latvijаs Ziņas,These ads ran without a disclaimer,2352,2
470923236652482,Mārtiņš Staķis,"Partiju apvienība ""Attīstībai/Par!""",2233,25
517372208321136,Neste Latvija,These ads ran without a disclaimer,2233,18
123850427644696,Новые grani,SIA Mediastrims,2210,139
261928170652349,Edgars Tavars,Zaļo un zemnieku savienība (ZZS),2199,23
496837527004594,Latvijas attīstībai,"politisko partiju apvienība ""Attīstībai/Par!""",2180,141
114008315836144,Русский союз Латвии Даугавпилс,Алексей Васильев,2175,89
117059818306039,Latvijas Radio,Latvijas Radio,2167,26
131413990063258,Kaspars Briškens,Progresīvie,2157,15
587293021433280,Mamikins.lv,Andrejs Mamikins,2088,17
348067996243992,Andrejs Pagors,Andrejs Pagors,2072,39
156380717753955,Ziedot.lv,Foundation Ziedot.lv,2060,2
117250093914624,Aleksandrs Kazačkovs - Александр Казачков,"""Saskaņa"" Sociāldemokrātiskā Partija",2056,44
108652292534913,Латвийское радио 4,Latvijas Radio,2027,55
114089470140575,Jānis Patmalnieks,Jānis Patmalnieks,2007,33
660016677346773,Zaļā brīvība,Zaļā brīvība,2000,75
276290739178566,VIRŠI,"VIRŠI-A, Akciju sabiedrība",2000,2
232235720264707,Rīga,Rīga.lv,1985,22
646580578713705,TV3 Play Latvija,TV3 Play Latvija,1974,66
1010050165739760,NA Valmieras novada nodaļa,Nacionālā apvienība,1963,30
246018588766742,Re:Baltica,Re:Baltica,1955,41
531548457213796,Viktors Valainis,Zaļo un Zemnieku savienība,1952,23
345732198859561,Vilnis Ķirsis,Jaunā Vienotība,1945,35
106058431445885,Mārupes un Babītes attīstībai,Partija Latvijas Attīstībai,1931,104
108526644284900,Mārupe un Babīte PAR,"Kustība ""Par!""",1921,74
345347539390006,Ijabs Ivars,"partija ""Latvijas attīstībai""",1875,71
882409845138643,Valmierai un Vidzemei,"Politiskā partija ""Valmierai un Vidzemei""",1804,30
215486111795023,Swedbank Latvia,Jānis Keisis,1789,18
270474076412955,Ģimenes studija,Latvijas Radio,1762,44
1753687044724099,Saskaņa Rīga,"SDP ""Saskaņa""",1758,38
871918342949984,Liepājas Partija,Liepājas partija,1754,31
156380717753955,Ziedot.lv,These ads ran without a disclaimer,1736,2
1685967391532260,Artūrs Butāns,Nacionālā Apvienība,1714,42
106466418445097,Indriķis Latvietis,Lato Lapsa,1705,15
203733280310341,Gatis Eglītis,Jaunā konservatīvā partija,1658,23
585560904809361,Nacionālā apvienība Liepājā,Nacionālā apvienība,1642,59
185497885323119,Eiropas Komisijas pārstāvniecība Latvijā,Eiropas Komisijas pārstāvniecība Latvijā,1621,63
100586851601230,Liepāja PAR,"Kustība ""Par!""",1619,145
837296389667198,Apvienība Latvijai,Par Cilvēcīgu Latviju,1610,88
100987135017963,Ādaži un Carnikava PAR / Jaunā Vienotība,"Kustība ""Par!""",1579,122
655400601175001,Edvards Ratnieks,Nacionālā apvienība,1575,43
111877875608583,DELNA - Sabiedrība par atklātību,Inese Taurina,1548,115
1278770302178858,Jelgavas novads LRA,Latvijas Reģionu Apvieniba,1535,36
101133648516525,Ogre PAR,"Kustība ""Par!""",1510,93
188523344340616,Russia's War on Children,Russia's War on Children,1497,6
1854321788195516,Pēteris Apinis,Zaļo un Zemnieku savienība,1496,32
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,1490,102
1473702159329081,Skola2030,Skola2030,1488,7
345347539390006,Ijabs Ivars,"partiju apvienība ""Attīstībai/Par!""",1465,28
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,1438,97
1777067839274759,Ralfs Nemiro,"Politiskā partija ""KPV LV""",1437,31
111937207401068,Natālija Duņko - Lazdiņa,Latvijas attīstībai,1431,77
1185179818233770,Jaunā Vienotība Talsu novadam,Māris Rozenbergs,1430,49
1379604382300280,Latvijas Reģionu Apvienība,Latvijas Reģionu apvienība,1413,71
156377917851872,Latvijas Investīciju un attīstības aģentūra - LIAA,Latvijas Investīciju un attīstības aģentūra,1403,13
1510549822502479,Jelgava PAR,"Kustība ""Par!""",1390,45
345347539390006,Ijabs Ivars,Ivars Ijabs,1387,109
216716380356441,Nils Ušakovs,"SDP ""Saskaņa""",1387,116
100708115764701,ORST GM,These ads ran without a disclaimer,1384,117
105440401628626,Dace Lebeda,Jaunā Vienotība,1374,28
118575516612684,Guntars Dzenis,Guntars Dzenis,1367,11
640932736117490,"Nacionālā apvienība Ropažu novadā - Garkalne, Ropaži, Stopiņi, Vangaži",Nacionālā apvienība,1363,38
1921193498149435,Andrejs Elksniņš - Андрей Элксниньш,Andrejs Elksniņš - Андрей Элксниньш,1360,91
470923236652482,Mārtiņš Staķis,"Kustība ""Par!""",1360,63
111491477643840,Cēsu novads PAR,"Kustība ""Par!""",1356,106
221692838585824,Konservatīvie Dobeles novadā,Jaunā konservatīvā partija,1339,44
305608429284,EU Environment,EU Environment,1331,32
1764718630423929,Ministru kabinets / Government of Latvia,Ministru kabinets,1329,37
