Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
573559522797177,Flokkur fólksins,Flokkur Fólksins,15554081,692
737169626371453,Heimildin,Stundin,11671521,571
197825446750111,Ástþór Forseti,Ástþór Forseti,10853548,134
269089752708,Sjálfstæðisflokkurinn,Sjálfstæðisflokkurinn,7093191,423
152804904889,Samfylkingin,Samfylkingin,6734892,606
137524753533383,Miðflokkurinn,Miðflokkurinn,6122021,882
41021009350,Framsókn,Framsókn,5601419,246
314036327204,VR,VR,5313539,216
423451321043674,Vinstrihreyfingin - grænt framboð,Vinstrihreyfingin - grænt framboð,4392526,384
737169626371453,Heimildin,Sameinaða útgáfufélagið,3728113,198
74969168478,Sjálfstæðisflokkurinn í Hafnarfirði,Sjálfstæðisflokkurinn í Hafnarfirði,3494287,303
201037343748,Sjálfstæðisflokkurinn í Reykjavík,Sjálfstæðisflokkurinn,2768396,133
405625165041,Reykjavíkurborg,Reykjavíkurborg,2729884,251
626846780726124,Viðreisn,Viðreisn,2684415,598
173490016118090,Píratar,Píratar,2574656,275
1284030001655471,Sósíalistaflokkur Íslands,Sósíalistaflokkur Íslands,1888888,97
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,1888770,223
154893001218870,ADHD samtökin,ADHD samtökin,1729470,227
241503652726,Katrín Jakobsdóttir,Katrín Jakobsdóttir,1662167,34
156161194561570,Heimildin,Kjarninn,1538616,137
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Foreldrasamtök gegn áfengisauglýsingum,1304263,45
1746448375616304,Sjálfstæðisflokkurinn í Kópavogi,Sjálfstæðisflokkurinn í Kópavogi,1230775,81
54662962022,Guðlaugur Þór Þórðarson,Guðlaugur Þór Þórðarson,1133195,390
360448174068530,Fréttablaðið,Fréttablaðið,1119425,674
75051631968,XS Reykjavík,Fulltrúaráð Samfylkingar í RVK,1112070,154
268535239679312,Halla Hrund - Fyrir framtíðina,Stuðningsfólk Höllu Hrundar Logadóttur,1100428,155
276274722490886,Alþýðusamband Íslands - ASÍ,Alþýðusamband Íslands - ASÍ,1072757,164
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,1023108,192
573559522797177,Flokkur fólksins,Flokkur fólksins,1010485,25
429577173821764,Matvælaráðuneytið,matvælaráðuneytið,990597,99
1778738372383482,Framsókn í Reykjavík,Framsókn í Reykjavík,942957,22
454784611588642,Ásmundur Einar Daðason,Ásmundur Daðason,929961,68
218508415010642,Sjálfstæðisfélag Kópavogs,Sjálfstæðisfélag Kópavogs,849109,92
103482761920999,Arnar Þór Jónsson,Stuðningsmannafélag um forsetaf,827908,125
492305957644704,Halla Tómasdóttir 2024,Halla Tómasdóttir,818212,80
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,729922,96
152485285414822,Guðbjörg Oddný,Guðbjörg Jónasdóttir,711840,75
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið -The Icelandic Constitution Society,703075,20
253019487550,Ísland.is,Ísland.is,683082,8
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Árni Guðmundsson,670998,18
281400880778,Jón forseti 2024,Jón forseti 2024,668572,101
284766541381468,Baldur og Felix,Félag um framboð Baldurs Þórhallssonar til forseta,667775,50
263095547109656,Sjálfstæðisfélag Garðabæjar,Sjálfstæðisflokkurinn,593514,99
