Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
101163639185548,الدكتور محمود السيد,These ads ran without a disclaimer,74627,1
115619300086317,"Smart Translator - OCR, photo-1",These ads ran without a disclaimer,74627,1
210927869316790,Mohamad Shaker Kawas - محمد شاكر القواس,Mohamad Shaker Kawas - محمد شاكر القواس,74627,1
1518441595136392,Ghada Eid,These ads ran without a disclaimer,74627,1
271984697949399,Wasil Bicycle Courier,These ads ran without a disclaimer,74627,1
108303891820315,Ghassan Karam - غسان كرم,These ads ran without a disclaimer,74627,1
109112633772887,180post,These ads ran without a disclaimer,74627,1
1478971498788662,Keserwan - كسروان,These ads ran without a disclaimer,74627,1
102482795748863,Iman Tabbara Alayli,These ads ran without a disclaimer,74627,2
100196472662990,لبنان السيادة,These ads ran without a disclaimer,74627,1
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,74627,2
8573063397,Misbah Ahdab,These ads ran without a disclaimer,74627,1
141657695852214,لبنان,لبنان,74627,1
102159074552873,لبنان التغيير,These ads ran without a disclaimer,74627,1
100222209311677,rabih_elsibai,These ads ran without a disclaimer,74627,1
113453360375818,New Bintjbeil,These ads ran without a disclaimer,74627,1
100244682902499,operationlightshine,These ads ran without a disclaimer,74627,1
880241755366761,Theatre of Wrong Decisions,These ads ran without a disclaimer,74478,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,74328,3
658696364152489,Société de Saint Vincent de Paul Liban / جمعية مار منصور دي بول لبنان,These ads ran without a disclaimer,74030,1
464041416970667,مونت كارلو الدولية / Monte Carlo Doualiya,These ads ran without a disclaimer,73654,3
933310850194959,Israel Alliance,These ads ran without a disclaimer,71790,12
235123059866368,"Hitachi, Ltd. -Global",These ads ran without a disclaimer,71516,5
107847177821253,NOW الشرق,These ads ran without a disclaimer,71343,7
101660089132919,Scanner,These ads ran without a disclaimer,71045,1
366743290567184,WIRED Middle East,These ads ran without a disclaimer,70896,1
102827584396904,إعلام العرب,These ads ran without a disclaimer,70448,2
941850892580877,IAAFoundation,These ads ran without a disclaimer,69254,1
324651768014448,MSI Films,These ads ran without a disclaimer,68657,1
331430457777776,حكواتي الفرات,These ads ran without a disclaimer,65995,5
107318822020551,فلك نوح - المجيء الثاني,These ads ran without a disclaimer,65901,3
210439572404391,Geistlich Dental,These ads ran without a disclaimer,65172,1
105195065540875,الدكتورة سنية فيصل الحسيني Dr. sania Al-Husseini,These ads ran without a disclaimer,63302,1
107600958493138,Bobo wallpaper,These ads ran without a disclaimer,61791,1
106165358710696,Abdul-latif Itani  عبد اللطيف رياض عيتاني,Rawan Alsabeh,60597,1
327943840921884,ONDES,These ads ran without a disclaimer,59702,1
116433386467652,الشريف سليمان,الشريف سليمان,59702,1
105184934243050,Al Hadath Lebanon الحدث اللبناني,These ads ran without a disclaimer,59701,1
110551908226579,Let Ukraine Win,These ads ran without a disclaimer,59701,1
106315671685968,Neiman Azzi - Events Management,These ads ran without a disclaimer,59701,1
137986426735344,بيروت بدها قلب - Beirut Badda Aleb,These ads ran without a disclaimer,59701,2
101751525847407,بيروت تواجه,These ads ran without a disclaimer,59701,2
133108990188763,Mon Liban,These ads ran without a disclaimer,59701,1
1593768507337663,Infomed for Events,These ads ran without a disclaimer,59701,1
195302699987,Maguy Nenedjian,These ads ran without a disclaimer,59701,3
101971649108245,SOFARSOLAR,These ads ran without a disclaimer,59701,2
113135891008208,artistindistress_,These ads ran without a disclaimer,59552,1
108477462251390,Tia,These ads ran without a disclaimer,59089,1
244108199019564,الأسواق العربية - Al Arabiya Business,These ads ran without a disclaimer,58656,9
104135571948736,oalahmed,These ads ran without a disclaimer,56904,2
509133645788184,Bob Finance s.a.l,These ads ran without a disclaimer,56418,2
121129357949826,Saida Online,These ads ran without a disclaimer,56119,1
451256781884275,Klondike Adventures,These ads ran without a disclaimer,55075,2
109713104739856,Rash way,These ads ran without a disclaimer,54727,1
29056789480,Project Syndicate,These ads ran without a disclaimer,53433,5
116817077673196,فرح الحداد - Farah Al Haddad,These ads ran without a disclaimer,53134,1
163569036989882,Sawt el shaab,These ads ran without a disclaimer,52687,2
104109145597251,Dr. Khaled Hamad Merhi,Khaled H. Merhi,52687,1
175590267993,Al Majalla,These ads ran without a disclaimer,52239,13
697976397041986,Mohamad Taqi,These ads ran without a disclaimer,51877,1
426140647911773,Select Deals Property,These ads ran without a disclaimer,51063,1
260980794911,EU neighbours south,These ads ran without a disclaimer,49426,3
103508525614949,Mirna Maalouf,These ads ran without a disclaimer,49426,1
229720444047190,الرواة للدراسات والأبحاث - Al Rowat for Studies & Research,These ads ran without a disclaimer,48955,1
113078047276907,Sole Project,These ads ran without a disclaimer,48924,2
251999725597188,اللجنة الدولية لشؤون المفقودين - ICMP,These ads ran without a disclaimer,48806,1
1486831468292650,ملتقى سيدات أبوظبيAbu Dhabi Ladies Forum,These ads ran without a disclaimer,48775,1
100515988574320,thehumanising,These ads ran without a disclaimer,47949,4
198390736986258,Antoine Salim Elchakieh,These ads ran without a disclaimer,47551,1
212602352159668,إبراهيم ريحان,These ads ran without a disclaimer,47463,2
101661357940243,MAK Group,These ads ran without a disclaimer,47015,2
31292782350,Deutschland.de,These ads ran without a disclaimer,46815,63
100206276140873,Insureds Protection Lebanon - ALPA,Insureds Protection Lebanon - ALPA,46567,2
2104011683191435,Dr youssef khalifeh الدكتور يوسف مصطفى خليفة,These ads ran without a disclaimer,45970,3
106503167770584,Baladak Siyehtak,These ads ran without a disclaimer,45821,1
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,45320,4
103385736102086,Lebanon Olympic Committee Athletes Page,These ads ran without a disclaimer,45075,1
105535055794455,Taqamena,Taqamena,44776,1
125165287555491,The Muhanna Foundation,These ads ran without a disclaimer,44776,1
102922824707474,Hasan Al Masri -حسن محمد المصري,حسن محمد المصري,44776,3
1428463010810830,Nisrine on God's way,These ads ran without a disclaimer,44776,1
151008728279498,Toni Attieh Hadchiti طوني عطيه حدشيتي,These ads ran without a disclaimer,44776,3
103479645653885,Nibal Assaad AlDahouk,These ads ran without a disclaimer,44776,1
416176208845897,Emma,These ads ran without a disclaimer,44776,1
101451588060359,Minbeirut News,These ads ran without a disclaimer,44776,1
104193908211629,Kl Chi Online,These ads ran without a disclaimer,44776,2
106872865290892,rolandmokheiber,These ads ran without a disclaimer,44776,1
105004315526348,د.وفيق ريحان,These ads ran without a disclaimer,44776,1
435889223606099,President,These ads ran without a disclaimer,44776,1
189970955101427,Tarek Ammar - طارق عمار,These ads ran without a disclaimer,44776,1
106597228718144,Downloader Zb,These ads ran without a disclaimer,44776,1
450402991663325,Studio Abougoush,These ads ran without a disclaimer,44776,1
208685479508187,U-Report Global,These ads ran without a disclaimer,44776,2
357467278052964,النائب عبدالعزيز الصمد - الصفحة الرسمية,These ads ran without a disclaimer,44776,2
2249685175258687,Georges Boutros,These ads ran without a disclaimer,44776,2
104109145597251,Dr. Khaled Hamad Merhi,These ads ran without a disclaimer,44776,2
1541838982729128,Anna Lindh Foundation Network in Sweden - Anna Lindh Stiftelsen i Sverige,These ads ran without a disclaimer,44385,1
108212665130252,Book Max,These ads ran without a disclaimer,44328,1
313071759264009,Georges Dib Music,These ads ran without a disclaimer,44051,2
302216297364970,إذاعة أرمينيا العامة,These ads ran without a disclaimer,43582,5
22098836555,Smallable,These ads ran without a disclaimer,43500,4
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,43284,107
109256447165736,Lebanese_revolution_19,These ads ran without a disclaimer,42985,3
107228128192881,Lujaina Mohsin Darwish,These ads ran without a disclaimer,42836,1
1640209509609973,Daraj Media,These ads ran without a disclaimer,41791,1
102541684669288,بيروت للتنمية الاجتماعية,These ads ran without a disclaimer,40746,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,40448,39
102093685620627,Best Diplomats,These ads ran without a disclaimer,40297,1
107101715306981,الموجز,These ads ran without a disclaimer,37551,1
154999351203898,Ahmad Tea,These ads ran without a disclaimer,37068,2
103796419203419,Newsalist,These ads ran without a disclaimer,36866,2
104157162273309,dr.bizri,These ads ran without a disclaimer,36581,1
135279586550289,Alumni USJ,These ads ran without a disclaimer,36567,1
1931310293779356,Guardian Glass Middle East & Africa,These ads ran without a disclaimer,35591,2
110940138063061,Manal Shreim منال شريم,These ads ran without a disclaimer,35522,1
102180128155667,تجمع الإعلاميين الفلسطينيين في لبنان- تفاعل,These ads ran without a disclaimer,35300,1
107828805181615,حملة الجنوب يواجه,These ads ran without a disclaimer,34030,2
100468832368610,_alhaj_abo_nour,These ads ran without a disclaimer,33765,1
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,33731,5
1618911251725745,Khalil Helou,These ads ran without a disclaimer,33582,2
146822482008281,DW عربية,These ads ran without a disclaimer,33445,5
104495022194452,liontrading5,These ads ran without a disclaimer,33134,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,33130,63
273089522819834,24Media,These ads ran without a disclaimer,33106,10
100384336069971,renaissance.leb,These ads ran without a disclaimer,32951,1
103270261494301,Make a Jump Outplacement - Boissonny Conseil,These ads ran without a disclaimer,32951,1
1193690844094654,Journal des Français à l'étranger,These ads ran without a disclaimer,32951,2
184028364877,The Element,These ads ran without a disclaimer,32951,1
156974001514471,Liberated T ت متحررة,These ads ran without a disclaimer,32951,2
100153036398807,Sane Paltry,These ads ran without a disclaimer,32951,1
100540011911633,yafaabourah,These ads ran without a disclaimer,32517,1
646615532122697,The Continual Federal Congress,These ads ran without a disclaimer,32388,2
102648238074021,أسبوع العلوم العربي,These ads ran without a disclaimer,32090,2
771462172882741,OnePath Network,These ads ran without a disclaimer,31960,8
503569446649440,التحالف الدولي,These ads ran without a disclaimer,31463,3
100141725956191,almoojaz,These ads ran without a disclaimer,31452,2
1724148267695799,بيت الحكمة 2.0,These ads ran without a disclaimer,31140,3
137195823051820,Maharat Foundation,These ads ran without a disclaimer,29851,1
102843667817596,Mohamad Karam Jardali محمد كرم الجردلي,These ads ran without a disclaimer,29851,1
102672531482527,Ihab Matar - إيهاب مطر,These ads ran without a disclaimer,29851,1
552391915277611,Pierre Baaklini بيار بعقليني,These ads ran without a disclaimer,29851,1
111296668116658,AlGhanem Real Estate,These ads ran without a disclaimer,29851,1
101155445273087,صحيفة السهم,These ads ran without a disclaimer,29851,1
450202925100147,اخبار واتسابaghapress,Mohammed Agha,29851,1
115867340105739,FMS Climate,These ads ran without a disclaimer,29851,2
109317661680549,ائتلاف ١٧ تشرين للتغيير صيدا-جزين,These ads ran without a disclaimer,29851,1
1557231747832291,afikra,These ads ran without a disclaimer,29851,4
47846938499,Baldati.com,These ads ran without a disclaimer,29851,1
111104961506827,Shining wallpaper2.23z1,These ads ran without a disclaimer,29851,1
130227963788024,Moise A. Khayrallah Center for Lebanese Diaspora Studies,These ads ran without a disclaimer,29851,1
2410885765853859,قناة العروة الوثقى,These ads ran without a disclaimer,29851,2
105064845275272,Share_M113_x11,These ads ran without a disclaimer,29851,1
355678584445584,Ketleh Chaabieh - الكتلة الشعبية,These ads ran without a disclaimer,29851,1
107263468609733,Wahib Ahmad Tatar - وهيب احمد ططر,These ads ran without a disclaimer,29851,1
101983162491856,Elie Cordahi,These ads ran without a disclaimer,29851,1
595649217551961,الشيخة د. غنى حمود,These ads ran without a disclaimer,29851,1
186211991419584,Sawt El Ghad Lebanon,These ads ran without a disclaimer,29851,1
113347603916280,Beirut607,These ads ran without a disclaimer,29851,1
580979592072016,بوابة اللاجئين الفلسطينيين,These ads ran without a disclaimer,29851,2
103305932088,Aramex,These ads ran without a disclaimer,29851,3
240336477689,FastPro-Secure&Fast-2,These ads ran without a disclaimer,29851,5
101037405443529,ecitylab,These ads ran without a disclaimer,29851,2
145099946188660,Firas El Husseini - فراس الحسيني,Firas El Husseini - فراس الحسيني,29851,1
108841715827974,Carnegie Middle East,These ads ran without a disclaimer,29851,1
102342290388576,Daizy Gedeon,These ads ran without a disclaimer,29851,2
102481471811648,Integral Development Foundation - IDF,These ads ran without a disclaimer,29851,1
100259715966837,Le Tablier du CLW,These ads ran without a disclaimer,29851,1
1408758399401580,Dearborn.org / موقع ديربورن,These ads ran without a disclaimer,29851,4
104238915656696,Kab_Z4,These ads ran without a disclaimer,29851,1
109667758705400,klevr.lb,These ads ran without a disclaimer,29851,1
230720990840290,Safaa Darwich - صفاء درويش,These ads ran without a disclaimer,29851,2
105728695286283,الشرق للأخبار - السودان,These ads ran without a disclaimer,29851,6
1428873024044736,المدن - almodon,These ads ran without a disclaimer,29851,1
106999052368694,لائحة إنماء الحدث - La2i7at Inma2 Al Hadath,These ads ran without a disclaimer,29851,2
101750309269829,cascadedthoughts,These ads ran without a disclaimer,29851,2
268223526948867,U.S. Soy,These ads ran without a disclaimer,29851,2
401704656668751,Lebanese Syriac Union Party,These ads ran without a disclaimer,29851,1
229215123835874,Nabatieh.org,These ads ran without a disclaimer,29851,1
248540468526545,Ruwad Houkouk - رواد الحقوق,These ads ran without a disclaimer,29851,1
247107172353477,Dr. Abdul Rahman Bizri - د. عبدالرحمن البزري,These ads ran without a disclaimer,29851,1
103908344892760,Alfred Riachi الفرد رياشي,These ads ran without a disclaimer,29851,3
103371894637618,Khamsmieh,These ads ran without a disclaimer,29851,3
129818538822125,L’île De S- Lebanon,These ads ran without a disclaimer,29851,1
2577723188920076,Darperag21.net,These ads ran without a disclaimer,29851,1
103134425297797,شبكة الفيحاء الإخبارية FNN,These ads ran without a disclaimer,29851,1
100417094807800,القوات اللبنانية-مركز المعلقة,These ads ran without a disclaimer,29851,1
92080024705,Stanford Health Care,These ads ran without a disclaimer,29851,1
341382739738342,Roudine Rachid - رودين رشيد,These ads ran without a disclaimer,29851,1
155688977968164,Rachel Karam راشيل كرم,These ads ran without a disclaimer,29851,1
113791238657176,قناة العربية  Al Arabiya,These ads ran without a disclaimer,29851,3
219063645161416,Øostil,These ads ran without a disclaimer,29850,1
446168552419572,SEEDS for Legal Initiatives - نواة للمبادرات القانونية,These ads ran without a disclaimer,29552,1
105918788471703,الشيخ ابو نزار البنداري,These ads ran without a disclaimer,29240,1
102256345834907,Sosoo wallpaper-zw 5.19,These ads ran without a disclaimer,29105,1
128323707185817,deVere Group,These ads ran without a disclaimer,29000,5
118592938221174,ZTE Corporation,These ads ran without a disclaimer,28955,1
173754443298551,Maloles Antignac Miracosta,These ads ran without a disclaimer,28835,1
153063591397681,Amazon Web Services,These ads ran without a disclaimer,28657,2
570143803144220,Nibal,These ads ran without a disclaimer,28452,1
144824882142,Lebanese Women's Right to Nationality and Full Citizenship,These ads ran without a disclaimer,28358,4
107800617419717,MYKA Foundation,These ads ran without a disclaimer,28209,3
107849721869490,toxicfashion.leb2,These ads ran without a disclaimer,28209,1
101029892524840,اللادينيون السوريون,These ads ran without a disclaimer,27692,1
101222748819385,الشيخ صابر ابو هارون المعالج الروحاني لجلب الحبيب وفك جميع انواع السحر,These ads ran without a disclaimer,27522,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,27188,1
109280531740678,Arşimed Saç Ekimi,These ads ran without a disclaimer,26413,3
108474765107911,شباب التقدمي الاشتراكي,These ads ran without a disclaimer,25939,1
109501812017258,البديل الماركسي,These ads ran without a disclaimer,25705,2
285530825204,Klitschko,These ads ran without a disclaimer,25548,72
209260229112443,Greenpeace غرينبيس,These ads ran without a disclaimer,25375,18
113502287096979,I Luv Australia,These ads ran without a disclaimer,25030,2
100561169109024,afraaalnoaimi,These ads ran without a disclaimer,24546,1
100712478496992,Palestine Today فلسطين الیوم,These ads ran without a disclaimer,24291,1
7783116506,Animals Asia,These ads ran without a disclaimer,23775,40
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,23433,1
124194491548886,M. Nabil El Halabi المحامي نبيل الحلبي,These ads ran without a disclaimer,23022,4
34440108608,Net Impact,These ads ran without a disclaimer,22990,21
971499552913093,العربية برامج - Al Arabiya Programs,These ads ran without a disclaimer,22836,2
111361091313,NICABM,These ads ran without a disclaimer,22428,31
761407760663758,Alberta Muslims Social Association AMSA,These ads ran without a disclaimer,22025,1
1520153948249803,"Jiangsu, China",These ads ran without a disclaimer,21791,5
110145528531965,Rein Colombia,These ads ran without a disclaimer,21496,4
105143981952671,Jewish Peoplehood עמיות יהודית,These ads ran without a disclaimer,21456,1
10606591490,TIME,These ads ran without a disclaimer,21194,5
139577716095155,Newcastle University,These ads ran without a disclaimer,21155,2
100586201896998,Decarb Connect,These ads ran without a disclaimer,21155,2
2272107553117243,باب الشرق,These ads ran without a disclaimer,21091,6
108252735356201,Wetweet Lebanon,Tarek Hafez,21045,2
107125578633836,lobnanuna_official,These ads ran without a disclaimer,21045,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,20911,1
110833270323962,فِكر - Fikr,These ads ran without a disclaimer,20850,2
2228210687393586,Rahimoun - راحمون,These ads ran without a disclaimer,20746,1
728928314513224,صحيفة الوطن اليوم,These ads ran without a disclaimer,20746,2
2552060571686733,Novakid Polska,These ads ran without a disclaimer,20600,2
918318338180165,CHINT GROUP,These ads ran without a disclaimer,20448,20
307323366135,Alhurra قناة الحرة,These ads ran without a disclaimer,20232,3
185771248113677,Etihad Airways,These ads ran without a disclaimer,20211,2
1516018492026775,Al Morakeb Group المراقب غروب,These ads ran without a disclaimer,20149,1
103324148978093,البصيرة اليومalbasira today,These ads ran without a disclaimer,20044,1
116407493525071,حفريات,These ads ran without a disclaimer,19403,8
2002031900080230,Citizenship and Investments Ltd,These ads ran without a disclaimer,19254,3
101735919457751,Healthmateclinic,These ads ran without a disclaimer,19185,3
412409048849179,Behold Israel,These ads ran without a disclaimer,18955,5
2327667407514858,ALPLA Group,These ads ran without a disclaimer,18784,1
174559545982571,British Council Schools,These ads ran without a disclaimer,18775,1
112177278825671,King's College London Alumni,These ads ran without a disclaimer,18775,6
1737688093166469,Vogue Arabia,These ads ran without a disclaimer,18663,1
108297068304061,Barid - بريد,These ads ran without a disclaimer,18507,3
103145075727721,Omar Business School,These ads ran without a disclaimer,18417,1
127346097343715,Saving Moses,These ads ran without a disclaimer,18358,3
706061016415258,Organic & Natural Expo Dubai,These ads ran without a disclaimer,18206,2
2142247305841946,أكاديمية إسطنبول للخدمات الجامعية,These ads ran without a disclaimer,18156,1
110105907522931,bento_de_espinoza,These ads ran without a disclaimer,17960,2
103553614349757,Hafryat plus,These ads ran without a disclaimer,17910,11
683227071739510,Camelia Entekhabifard,These ads ran without a disclaimer,17761,1
100316503058124,Immigration & asylum consultations استشاري لجوء وهجرة,These ads ran without a disclaimer,17650,1
116148855126547,Horeca Show,These ads ran without a disclaimer,17612,1
1103820369820238,Siemens Digital Industries Software,These ads ran without a disclaimer,17466,4
101202775223325,Connective Cities- MENA,These ads ran without a disclaimer,17463,3
1061420730573798,Sinopec,These ads ran without a disclaimer,17015,9
491278577976306,Euromena Energy,These ads ran without a disclaimer,16866,3
127757937250301,German Information Centre Arab World - المركز الألماني للإعلام,These ads ran without a disclaimer,16826,13
106074405274137,LIFE GOALS,These ads ran without a disclaimer,16728,4
106417857514959,لبنان أون - Lebanon On,These ads ran without a disclaimer,16716,1
152292984850728,International Monetary Fund,These ads ran without a disclaimer,16716,3
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,16567,44
905607689529561,لهون وبس,These ads ran without a disclaimer,16475,1
167263937462348,الضنية ٢٥,These ads ran without a disclaimer,16475,2
106935537447539,Firefly hope project,These ads ran without a disclaimer,16475,1
138756620064262,Fanack.com of the Middle East and North Africa,These ads ran without a disclaimer,16475,6
1298580286989029,Salimbeni1891,These ads ran without a disclaimer,16475,1
102243059022168,amirsommer,These ads ran without a disclaimer,16475,1
391387864969982,Prisoners Defenders,These ads ran without a disclaimer,16475,3
110142418191232,منصة تارجيت الإعلامية,These ads ran without a disclaimer,16475,1
100475675413599,ՌԱԶՄԻԿ,These ads ran without a disclaimer,16475,3
106949945339944,psychologistleachawki,These ads ran without a disclaimer,16475,1
104303579154311,The Badil البديل,These ads ran without a disclaimer,16475,2
571720146321662,دعاء حسن,These ads ran without a disclaimer,16422,16
2079991985390610,Vusal abdullayev,These ads ran without a disclaimer,16269,1
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,16148,3
122361105135046,See,These ads ran without a disclaimer,15916,2
127118874027114,World Intellectual Property Organization,These ads ran without a disclaimer,15607,1
606018839433507,Future for Advanced Research & Studies - FARAS,These ads ran without a disclaimer,15370,13
341501396446062,Kodorat Special Needs,These ads ran without a disclaimer,14925,1
1525313027790221,دعم,Mohammad Yassin,14925,1
2169350749755873,Beit El Baraka,These ads ran without a disclaimer,14925,1
106524592310599,Realiste,These ads ran without a disclaimer,14925,1
108221258498046,Deep Wallpaper-wei-3.21,These ads ran without a disclaimer,14925,1
103357695676811,بريدج للتسويق والإعلان - Bridge Advertisements,These ads ran without a disclaimer,14925,1
379592699288721,Firas Al Nimri - فراس النمري,These ads ran without a disclaimer,14925,2
70088406269,Narconon,These ads ran without a disclaimer,14925,1
204636012880834,Pierre Sadek Foundation,These ads ran without a disclaimer,14925,1
737857699581289,"Gen Judayna, Wellness Influencer",These ads ran without a disclaimer,14925,2
107949058558887,AONE TV  الأردنية,These ads ran without a disclaimer,14925,1
162597697701478,لبنان الجديد Newlebanon,These ads ran without a disclaimer,14925,1
756877521031964,CCTV+,These ads ran without a disclaimer,14925,4
1935746320039422,World citizen,These ads ran without a disclaimer,14925,1
100433766382817,صناعتي,These ads ran without a disclaimer,14925,1
106688445184021,Lebanese Private Sector Network,These ads ran without a disclaimer,14925,1
145327659223282,Nature Index,These ads ran without a disclaimer,14925,1
101627758378363,All in Mart . AIM,These ads ran without a disclaimer,14925,1
102629289259056,said.kalbani,These ads ran without a disclaimer,14925,1
177190699445749,نبض لبنان,These ads ran without a disclaimer,14925,2
105650298706609,1+1 Show,These ads ran without a disclaimer,14925,1
5952827727,AGBU,These ads ran without a disclaimer,14925,1
110812270656027,زميل الأرز,These ads ran without a disclaimer,14925,3
177190699445749,نبض لبنان,Mohammad Yassin,14925,1
598705943508458,ADB Publications,These ads ran without a disclaimer,14925,5
223905977695672,Etienne Sakr (Abu Arz),These ads ran without a disclaimer,14925,2
6228260919,961sms.com,These ads ran without a disclaimer,14925,3
104836355131745,The Mo Show Podcast,These ads ran without a disclaimer,14925,1
103329703114613,شام تايمز shamtimes.net,These ads ran without a disclaimer,14925,1
517762121588320,Visit Dubai,These ads ran without a disclaimer,14925,1
1504649046459646,Hdayed Travel & Tourism,These ads ran without a disclaimer,14925,1
110041648308511,المرشح نزيه نافذ زوذ,هيثم محمد طالب,14925,1
2341509736123123,السيد الروحاني أبو مرايا إلى جميع الحالات,These ads ran without a disclaimer,14925,1
175432202507494,Syndicate of Owners of Restaurants in Lebanon,These ads ran without a disclaimer,14925,1
31744768821,Radio Free Asia,These ads ran without a disclaimer,14925,1
1096538887134446,Reuters Plus,These ads ran without a disclaimer,14925,5
378972795850835,souksixteen,These ads ran without a disclaimer,14925,1
101916699499203,وقف الأمة ummetvakfi - sy,These ads ran without a disclaimer,14925,1
101530016133290,Akhbarna Online - أخبارنا أونلاين,These ads ran without a disclaimer,14925,1
496963520398360,Fayssal Omar Karameفيصل عمر كرامي,These ads ran without a disclaimer,14925,1
1181588521857104,Alibaba Cloud,These ads ran without a disclaimer,14925,1
169198846849325,لبنان اليوم  Libanaujourdhui,These ads ran without a disclaimer,14925,3
931124023721359,حفريات,These ads ran without a disclaimer,14925,5
130715123792103,Rania Adel Ghaith - رانيه عادل غيث,These ads ran without a disclaimer,14925,1
103428617805080,سياسة لس,These ads ran without a disclaimer,14925,1
111087454789577,محبين التيار الصدري,These ads ran without a disclaimer,14925,1
103908344892760,Alfred Riachi الفرد رياشي,Alfred Riachi Ii,14925,1
404341956318549,eQuia,These ads ran without a disclaimer,14925,1
495832660429142,Lebanese Medical Association for Sexual Health - LebMASH,These ads ran without a disclaimer,14925,2
153371894688575,World Bank,These ads ran without a disclaimer,14925,2
248986568895243,Speechify,These ads ran without a disclaimer,14925,1
1916536815335192,مناطق.نت,These ads ran without a disclaimer,14925,1
324253041382779,Xavier Cormier,These ads ran without a disclaimer,14925,3
468837943180706,Fe-Male,These ads ran without a disclaimer,14925,1
207242941103,The Deen Show,These ads ran without a disclaimer,14925,4
109997320825655,Harout Keoseyan,These ads ran without a disclaimer,14925,2
102031895817591,Salim El-Jalkh 2022,These ads ran without a disclaimer,14925,1
110653084938703,Afraa Eid - عفراء عيد,These ads ran without a disclaimer,14925,1
426879321202315,الحركة العالمية لمقاطعة المنتجات الأمريكية,These ads ran without a disclaimer,14925,4
303635099675354,Mohamed Choucair,These ads ran without a disclaimer,14925,1
108651057436092,العبدلي نيوز,These ads ran without a disclaimer,14925,3
215286502189,Makhzoumi Foundation,These ads ran without a disclaimer,14925,1
1868479583415489,Ahmad Kheir أحمد الخير,These ads ran without a disclaimer,14925,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,14925,44
396449060737452,Talal AlAjmi,These ads ran without a disclaimer,14925,1
1427345390918544,سالم فتحي يكن Salem Yakan,These ads ran without a disclaimer,14925,1
100639716690451,Guimarães Rosa Institute - Beirut / Brazil-Lebanon Cultural Center,These ads ran without a disclaimer,14925,1
437153699802747,Brendan Kane,These ads ran without a disclaimer,14925,6
1632855763633502,Beirut Art Film Festival,These ads ran without a disclaimer,14925,1
103803175838999,blackoud.lebanon,These ads ran without a disclaimer,14925,1
544293369114015,القوات اللبنانية,These ads ran without a disclaimer,14925,1
104475835776917,Dr. Milad Dib,These ads ran without a disclaimer,14925,1
102168131922984,foxy_overload,These ads ran without a disclaimer,14925,1
315543515306,Jing Daily,These ads ran without a disclaimer,14925,2
1645533172376038,Mostafa aweek - مصطفى العويك,These ads ran without a disclaimer,14925,1
878927722178495,Lebanese Institute for Market Studies - LIMS,These ads ran without a disclaimer,14925,1
105268685019332,사마리안퍼스 코리아,These ads ran without a disclaimer,14925,2
1815949165284503,Georges Chehwane,These ads ran without a disclaimer,14925,1
105870172023660,انتخابات زحلة والبقاع,These ads ran without a disclaimer,14925,1
101823928627820,Samir A. Elhalabi,These ads ran without a disclaimer,14925,1
109524918389065,samadabdelaziz,These ads ran without a disclaimer,14925,1
104202045543652,عزام أيوبي,These ads ran without a disclaimer,14925,1
545570078802340,MEDCO SAL,These ads ran without a disclaimer,14925,1
1475648009425578,الحسن علي,These ads ran without a disclaimer,14925,1
107772090671491,Kamvas,These ads ran without a disclaimer,14925,1
108776244023965,中国驻黎巴嫩大使馆 Chinese Embassy in Lebanon,These ads ran without a disclaimer,14925,1
113182461360428,Dr. Elie Hamid Dib,These ads ran without a disclaimer,14925,1
106018175416573,Mahmoud chouaibمحود شعيب,These ads ran without a disclaimer,14925,2
176104589110851,IEEE,These ads ran without a disclaimer,14777,3
195457563804483,Meezan Bank Limited,These ads ran without a disclaimer,14776,1
840536952727752,آغا برس الثانية,Mohammed Agha,14776,1
213000859039052,SANY Group,These ads ran without a disclaimer,14776,2
347265340270,Architecture Competitions,These ads ran without a disclaimer,14665,3
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,14627,11
100583298420752,Macario21,These ads ran without a disclaimer,14627,2
229076713781357,قناة أبوظبي,These ads ran without a disclaimer,14626,1
100857876030792,Adele UKraine,These ads ran without a disclaimer,14561,2
106062748700806,Boycott Russia,These ads ran without a disclaimer,14478,5
100949305633793,Silent_High Quality113-V,These ads ran without a disclaimer,13933,2
105972509425490,KADIST,These ads ran without a disclaimer,13881,3
232569396816424,Michelle Jubilee Gonzalez,These ads ran without a disclaimer,13731,1
358733860458,IÉSEG School of Management,These ads ran without a disclaimer,13676,2
105812628046929,VirtualRunners Global,These ads ran without a disclaimer,13675,21
103286731467883,Psychedelic Spotlight,These ads ran without a disclaimer,13582,23
