Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
468687119859116,مارك ضو - Mark Daou,taqaddomlb.org,13795684,26
105186148380157,نَفَس جديد - Nafas Jdeed,Democracy Reporting International,13630609,20
213984232686928,Naim Aoun - نعيم عون,كلارا صعب,13625236,27
100299462632788,داني خاطر - Dany Khater Election 2022,Georgio Boukhazaal,13260161,28
971444456268642,مدينتي - Madinati,Beirut Madinati,12985086,9
109112633772887,180post,180Post,12888818,149
2082052578716332,محمد شفيق حمود,Arab Window,12722400,49
105319651353770,Jusur,Jusur Arabia,12562847,31
109714404691687,Hani Saliba Official,Hani Saliba,12394937,13
177546435614220,Al Joumhouria الجمهورية,Al Joumhouria,12308369,3
116157328113022,Hide Park,Friedrich-Ebert-Stiftung Lebanon Office,12194030,8
991861044224086,أنصار المشاريع,أنصار المشاريع,11894190,14
102282304519788,Awalan.com,Awalan- Al-Iktissad Wal-Aamal,11858518,33
101566668972678,Dr. Amal Abou Zeid Friends - أصدقاء الدكتور أمل أبو زيد,These ads ran without a disclaimer,11722548,3
106817274816325,سوا لِلبنان - Sawa Li Lubnan,These ads ran without a disclaimer,11402985,4
100191119311645,Joe Reaidy - جو رعيدي,Think Online,11341204,45
111398440284772,خط أحمر,its.,11316876,15
113533150399652,Naqd - نقد,naked politics,11016876,32
28312410177,World Food Programme,These ads ran without a disclaimer,10942437,124
407030722963047,Pierre BouAssi بيار بوعاصي,Marwan Rashid,10858965,9
164472683608068,Act for the Disappeared,ACT for the Disappeared,10850746,21
588821528151554,Riad Tawk,Ghina Tawk,10823741,14
108793975135237,LiWatani - لوطني,its,10750607,49
447622602345481,الحزب التقدمي الإشتراكي,Anbaa Online,10702696,30
111206914851412,Wissam Mansour,The North Life,10560159,8
1244891025642787,النائب فيصل الصايغ - MP Faysal Sayegh,AnbaaOnline,10522388,17
1680404738865135,Lebanon Elections إنتخابات لبنان,Lebanon Elections,10447771,2
109369945072387,Ibrahim Mneimneh 2022 - ابراهيم منيمنة,Ibrahim Mneimneh,10432836,12
100803919237967,Najat Aoun Saliba - نجاة عون صليبا,Wadih Ghossein,10283582,40
178060266158852,Choucri Haddad - شكري حداد,Choucri Haddad,9908964,10
107800617419717,MYKA Foundation,Elie M. ElHelou,9776119,25
1546904762297051,Josephine Zgheib,its,9666576,9
107746558566967,Romanos Raad - رومانوس رعد,Romanos Aziz Raad,9626866,11
960087244008629,MASAR,Masar,9582090,14
